,c,h,l,o,oi,time,v
0,224.45,226.2,215.7,220.0,0,2013-04-22,1245857
1,215.95,227.4,214.05,225.0,0,2013-04-23,3328311
2,215.95,217.9,211.55,214.75,0,2013-04-25,1988129
3,212.85,219.25,211.5,216.65,0,2013-04-26,885992
4,216.95,219.0,210.0,213.5,0,2013-04-29,1073106
5,218.1,219.85,212.0,218.05,0,2013-04-30,1418499
6,218.85,223.0,215.4,216.0,0,2013-05-02,1232502
7,222.45,224.85,214.15,219.0,0,2013-05-03,1430028
8,228.4,230.0,220.1,224.0,0,2013-05-06,1155104
9,231.95,233.6,229.0,229.55,0,2013-05-07,1507902
10,229.2,232.5,225.65,231.0,0,2013-05-08,1037646
11,229.3,234.7,227.35,229.5,0,2013-05-09,941153
12,226.7,230.25,225.0,229.5,0,2013-05-10,744658
13,226.3,226.9,225.4,226.7,0,2013-05-11,49199
14,217.2,225.95,214.95,225.4,0,2013-05-13,846924
15,214.75,217.2,212.5,216.8,0,2013-05-14,770119
16,226.05,228.4,214.75,215.0,0,2013-05-15,1061669
17,229.15,232.0,225.1,227.2,0,2013-05-16,947037
18,235.35,238.4,226.0,229.15,0,2013-05-17,1042914
19,242.9,251.25,235.0,239.0,0,2013-05-20,4363819
20,239.75,247.05,236.5,243.4,0,2013-05-21,2112376
21,232.8,242.35,231.25,240.25,0,2013-05-22,1095969
22,219.05,231.35,214.6,231.0,0,2013-05-23,1599967
23,221.1,223.35,215.8,220.15,0,2013-05-24,929792
24,225.25,227.4,219.0,220.5,0,2013-05-27,788334
25,221.85,228.1,220.1,225.95,0,2013-05-28,991840
26,219.55,223.95,216.05,220.0,0,2013-05-29,1352959
27,222.15,225.7,220.3,224.0,0,2013-05-30,1615034
28,211.7,223.45,209.9,220.1,0,2013-05-31,1070070
29,207.95,212.2,204.7,212.0,0,2013-06-03,1253739
30,206.4,212.4,205.0,208.0,0,2013-06-04,1153706
31,213.1,214.1,205.0,206.8,0,2013-06-05,1213315
32,215.1,215.8,208.2,212.9,0,2013-06-06,1028104
33,209.65,217.95,208.3,215.35,0,2013-06-07,853181
34,206.05,212.9,203.55,211.1,0,2013-06-10,941014
35,196.95,205.7,187.1,204.0,0,2013-06-11,1969004
36,182.9,198.75,176.0,196.0,0,2013-06-12,3953119
37,177.45,182.85,175.45,180.0,0,2013-06-13,1872052
38,179.25,181.65,176.2,179.7,0,2013-06-14,3123203
39,177.75,180.0,169.55,179.95,0,2013-06-17,2066978
40,186.3,188.9,175.1,178.7,0,2013-06-18,1975935
41,192.0,194.0,183.6,187.0,0,2013-06-19,1649982
42,183.05,189.9,179.2,189.9,0,2013-06-20,2033418
43,182.8,188.3,178.55,181.0,0,2013-06-21,3838005
44,182.15,184.8,175.1,180.9,0,2013-06-24,1197612
45,188.65,192.2,177.7,182.15,0,2013-06-25,1710370
46,185.5,191.35,182.4,191.35,0,2013-06-26,2111465
47,191.85,194.4,186.6,188.25,0,2013-06-27,1880859
48,206.05,210.0,193.4,193.4,0,2013-06-28,1695339
49,216.15,216.95,205.75,207.9,0,2013-07-01,1150235
50,216.7,219.45,212.35,217.0,0,2013-07-02,1582749
51,205.65,213.5,202.55,213.0,0,2013-07-03,1626698
52,205.95,208.7,199.8,206.3,0,2013-07-04,1599627
53,204.05,210.5,201.15,206.5,0,2013-07-05,1727845
54,204.15,205.85,195.5,199.8,0,2013-07-08,1147184
55,204.8,208.45,199.75,205.0,0,2013-07-09,1359179
56,200.1,206.25,198.6,204.8,0,2013-07-10,969062
57,203.45,206.95,201.5,203.8,0,2013-07-11,927062
58,200.8,206.0,197.7,204.55,0,2013-07-12,893741
59,201.8,203.75,198.35,201.0,0,2013-07-15,971357
60,199.5,201.2,195.1,200.0,0,2013-07-16,951818
61,198.35,202.3,194.2,199.55,0,2013-07-17,1155378
62,200.75,201.7,197.55,200.0,0,2013-07-18,1211675
63,199.8,202.75,195.5,200.75,0,2013-07-19,1015765
