,c,h,l,o,oi,time,v
0,150.35,152.8,140.7,144.0,0,2013-04-22,1690739
1,147.3,151.0,145.5,150.0,0,2013-04-23,1160058
2,145.5,148.1,141.75,146.5,0,2013-04-25,2246425
3,144.85,146.2,143.25,144.0,0,2013-04-26,877991
4,145.4,147.5,143.0,143.0,0,2013-04-29,415488
5,145.0,146.7,143.15,146.0,0,2013-04-30,892336
6,146.3,149.0,144.15,145.0,0,2013-05-02,1253183
7,155.55,158.8,148.1,150.0,0,2013-05-03,3167410
8,152.45,156.65,151.25,156.35,0,2013-05-06,1465010
9,150.35,153.3,147.3,152.55,0,2013-05-07,1713111
10,154.4,155.35,150.0,151.0,0,2013-05-08,1288174
11,151.55,154.75,150.35,154.55,0,2013-05-09,1362727
12,150.95,152.5,150.0,152.0,0,2013-05-10,1444269
13,151.1,151.85,150.3,151.7,0,2013-05-11,29097
14,150.35,153.85,149.3,149.3,0,2013-05-13,878208
15,149.95,151.7,148.8,150.4,0,2013-05-14,440169
16,152.5,153.5,149.7,150.7,0,2013-05-15,1562040
17,162.0,167.35,154.4,157.0,0,2013-05-16,8280624
18,168.25,169.0,163.05,163.05,0,2013-05-17,9076436
19,167.6,175.0,166.9,169.7,0,2013-05-20,7727111
20,160.65,168.0,160.0,167.6,0,2013-05-21,3803039
21,154.65,161.8,153.25,160.8,0,2013-05-22,2243155
22,152.45,158.95,150.55,154.0,0,2013-05-23,2104757
23,156.65,158.2,150.3,153.25,0,2013-05-24,1502462
24,158.0,160.15,153.0,157.7,0,2013-05-27,3890085
25,157.85,159.75,156.1,158.65,0,2013-05-28,2825798
26,153.5,157.95,151.1,157.0,0,2013-05-29,1839294
27,154.65,156.2,151.6,152.0,0,2013-05-30,2440279
28,152.05,155.45,150.05,154.7,0,2013-05-31,2175273
29,153.55,154.65,149.55,151.0,0,2013-06-03,2987578
30,155.35,156.5,153.0,153.0,0,2013-06-04,3938790
31,154.55,155.45,149.15,154.1,0,2013-06-05,2291669
32,152.5,155.45,152.0,153.8,0,2013-06-06,1270646
33,152.05,153.8,150.0,152.0,0,2013-06-07,1577506
34,150.8,160.35,150.3,152.2,0,2013-06-10,4320732
35,148.3,153.3,145.75,150.4,0,2013-06-11,2191377
36,144.15,147.8,141.8,147.2,0,2013-06-12,2083999
37,143.3,144.3,136.4,142.0,0,2013-06-13,3768898
38,148.6,149.9,143.8,143.9,0,2013-06-14,1702926
39,150.0,151.0,145.25,149.0,0,2013-06-17,1738706
40,153.95,155.0,149.45,150.8,0,2013-06-18,1791207
41,150.35,154.5,148.3,153.35,0,2013-06-19,1074287
42,148.9,151.4,146.85,149.9,0,2013-06-20,3201936
43,151.45,152.6,146.8,147.0,0,2013-06-21,4669085
44,150.75,152.0,147.75,152.0,0,2013-06-24,907117
45,145.0,151.0,143.95,150.75,0,2013-06-25,557666
46,147.8,150.0,143.0,146.4,0,2013-06-26,974214
