,c,h,l,o,oi,time,v
0,833.0,840.0,828.15,840.0,0,2013-04-22,52972
1,834.35,835.0,825.25,833.55,0,2013-04-23,81998
2,833.35,835.0,828.4,834.95,0,2013-04-25,76860
3,825.65,835.0,822.6,827.0,0,2013-04-26,124945
4,824.9,834.0,817.3,825.95,0,2013-04-29,203218
5,834.2,838.9,825.1,829.95,0,2013-04-30,333380
6,825.5,847.95,819.55,837.5,0,2013-05-02,418522
7,828.5,833.35,823.0,825.5,0,2013-05-03,60194
8,859.2,868.0,826.75,836.0,0,2013-05-06,333905
9,869.65,873.0,855.0,862.0,0,2013-05-07,249548
10,905.7,913.9,869.95,870.0,0,2013-05-08,304901
11,918.55,927.7,894.5,906.85,0,2013-05-09,316638
12,941.55,953.65,910.0,910.0,0,2013-05-10,380667
13,944.95,954.0,936.0,936.0,0,2013-05-11,28974
14,899.4,949.35,892.0,945.0,0,2013-05-13,178571
15,909.35,921.75,883.1,900.0,0,2013-05-14,191464
16,964.65,992.75,906.15,909.8,0,2013-05-15,492804
17,1043.95,1060.0,972.0,974.7,0,2013-05-16,1640222
18,1066.4,1097.85,1025.05,1055.0,0,2013-05-17,1266192
19,996.9,1072.0,977.4,1072.0,0,2013-05-20,973424
20,976.95,1001.0,940.4,990.0,0,2013-05-21,936313
21,943.35,996.95,936.0,977.0,0,2013-05-22,637786
22,949.8,965.0,910.0,939.0,0,2013-05-23,387546
23,900.7,970.0,890.0,958.8,0,2013-05-24,425303
24,950.65,972.9,900.95,906.0,0,2013-05-27,888479
25,979.95,992.0,936.05,954.8,0,2013-05-28,877300
26,962.7,985.45,942.0,971.6,0,2013-05-29,545872
27,960.05,980.0,954.5,965.0,0,2013-05-30,1028429
28,1007.7,1045.0,960.0,960.0,0,2013-05-31,4658894
29,971.4,1044.0,962.65,1009.0,0,2013-06-03,528878
30,1026.25,1040.0,976.5,985.0,0,2013-06-04,617696
31,1017.8,1048.0,1004.5,1030.0,0,2013-06-05,493171
32,1004.85,1018.1,996.0,1018.0,0,2013-06-06,224018
33,980.9,1024.0,970.0,997.05,0,2013-06-07,173711
34,1000.6,1019.85,952.8,985.15,0,2013-06-10,339238
35,956.0,1018.0,945.25,1000.0,0,2013-06-11,378688
36,929.45,964.0,922.0,960.0,0,2013-06-12,407592
37,924.75,935.0,910.0,925.0,0,2013-06-13,194006
38,994.55,1003.9,931.0,931.0,0,2013-06-14,371274
39,991.85,1003.7,970.0,998.15,0,2013-06-17,162499
40,989.85,1011.4,979.6,988.0,0,2013-06-18,261478
41,976.45,998.65,969.25,992.0,0,2013-06-19,144914
42,979.1,990.9,956.0,974.0,0,2013-06-20,200771
43,972.35,983.9,945.0,970.0,0,2013-06-21,278730
44,970.05,974.95,956.0,965.0,0,2013-06-24,100247
45,952.25,976.85,925.0,971.0,0,2013-06-25,247535
46,944.1,960.0,916.0,945.0,0,2013-06-26,316339
47,981.65,997.6,945.2,945.2,0,2013-06-27,380039
48,1053.45,1071.2,972.05,976.0,0,2013-06-28,440545
49,1005.75,1054.0,998.0,1054.0,0,2013-07-01,241855
50,990.15,1035.0,983.2,1016.0,0,2013-07-02,305038
51,941.3,990.0,935.0,990.0,0,2013-07-03,343907
52,937.5,965.0,933.0,950.0,0,2013-07-04,184416
53,962.85,968.0,946.0,946.0,0,2013-07-05,141925
54,954.8,969.95,949.0,960.0,0,2013-07-08,111839
55,969.95,975.0,957.0,966.0,0,2013-07-09,263940
56,971.2,987.85,965.0,970.0,0,2013-07-10,194953
57,980.6,1000.0,975.0,975.0,0,2013-07-11,222039
58,984.4,992.1,970.2,989.0,0,2013-07-12,125914
59,968.5,992.8,963.95,992.8,0,2013-07-15,156131
60,980.25,985.5,951.2,951.2,0,2013-07-16,245020
61,996.95,1000.0,975.05,975.05,0,2013-07-17,168724
62,988.15,1007.0,970.1,998.0,0,2013-07-18,160113
63,988.15,996.5,982.2,982.2,0,2013-07-19,81978
64,974.05,998.9,969.0,978.15,0,2013-07-22,42435
65,992.15,1009.0,975.2,975.2,0,2013-07-23,186929
66,994.8,1006.0,981.05,992.0,0,2013-07-24,142466
67,969.7,997.9,960.65,993.0,0,2013-07-25,96471
68,949.35,989.9,943.2,979.8,0,2013-07-26,992766
69,957.4,970.9,950.0,960.0,0,2013-07-29,49235
70,956.25,964.95,933.5,964.95,0,2013-07-30,122960
71,938.15,964.0,927.15,964.0,0,2013-07-31,129025
72,944.55,957.4,925.0,938.15,0,2013-08-01,86123
73,950.35,967.75,930.75,945.0,0,2013-08-02,105098
74,963.95,972.5,950.35,950.35,0,2013-08-05,152892
75,959.25,965.5,945.1,963.0,0,2013-08-06,140861
76,920.6,969.9,906.1,969.9,0,2013-08-07,366308
77,909.9,950.0,905.0,915.55,0,2013-08-08,187674
78,944.2,949.4,911.55,915.0,0,2013-08-12,128798
79,939.25,954.95,928.65,948.0,0,2013-08-13,227765
80,968.7,973.85,927.0,945.5,0,2013-08-14,105181
81,981.3,990.0,960.0,965.0,0,2013-08-16,255167
82,912.45,983.0,910.1,983.0,0,2013-08-19,138345
83,827.3,911.0,801.2,911.0,0,2013-08-20,381916
84,887.15,932.6,833.0,833.0,0,2013-08-21,690446
85,883.8,894.0,846.2,866.0,0,2013-08-22,269311
86,907.2,922.0,885.1,893.0,0,2013-08-23,191892
87,905.55,915.0,896.25,901.6,0,2013-08-26,136803
88,883.35,908.95,876.1,900.0,0,2013-08-27,82453
89,858.65,886.0,850.0,886.0,0,2013-08-28,190054
90,863.3,879.0,851.05,860.75,0,2013-08-29,219627
91,864.55,872.0,850.05,866.0,0,2013-08-30,349158
92,856.1,869.4,853.55,861.0,0,2013-09-02,188803
93,850.2,863.0,845.0,857.05,0,2013-09-03,96769
94,852.4,858.4,847.5,850.0,0,2013-09-04,304014
95,850.7,875.0,847.3,862.0,0,2013-09-05,440505
96,850.4,859.4,847.0,851.3,0,2013-09-06,103161
97,871.6,877.0,850.05,853.0,0,2013-09-10,720490
98,866.65,877.0,858.65,869.65,0,2013-09-11,230317
99,868.35,873.0,863.0,865.4,0,2013-09-12,184116
100,859.95,874.95,852.25,869.0,0,2013-09-13,103820
101,859.3,866.65,855.1,862.05,0,2013-09-16,81144
102,858.35,865.9,850.3,850.5,0,2013-09-17,160356
103,855.9,867.0,853.6,867.0,0,2013-09-18,67584
104,885.6,893.8,860.15,865.0,0,2013-09-19,172256
105,864.55,892.75,855.45,886.0,0,2013-09-20,201857
106,877.8,881.4,859.9,860.0,0,2013-09-23,146178
107,877.25,884.5,871.25,871.25,0,2013-09-24,128829
108,922.65,932.8,874.0,874.0,0,2013-09-25,258585
109,938.15,948.8,922.65,930.0,0,2013-09-26,223333
110,945.7,949.0,936.25,936.25,0,2013-09-27,84826
111,929.65,941.95,921.0,941.0,0,2013-09-30,71804
112,916.55,935.0,887.5,930.0,0,2013-10-01,143975
113,908.55,932.0,905.25,915.0,0,2013-10-03,113369
114,884.05,909.0,881.15,904.5,0,2013-10-04,238872
115,865.2,892.75,864.0,881.05,0,2013-10-07,122928
116,850.05,874.4,848.7,866.25,0,2013-10-08,350183
117,887.7,893.5,852.25,852.25,0,2013-10-09,238621
118,896.9,900.0,882.0,885.0,0,2013-10-10,113771
119,885.65,900.0,875.1,898.0,0,2013-10-11,60449
120,888.2,899.75,885.2,887.5,0,2013-10-14,42673
121,888.2,906.0,882.1,906.0,0,2013-10-15,97364
122,887.65,897.4,882.1,894.35,0,2013-10-17,190988
123,897.05,900.0,885.0,888.5,0,2013-10-18,69289
124,899.6,900.0,888.45,892.0,0,2013-10-21,52500
125,900.85,909.95,891.6,898.0,0,2013-10-22,139591
126,890.35,903.0,882.4,901.0,0,2013-10-23,96951
127,889.7,897.4,882.2,891.35,0,2013-10-24,44960
128,891.65,898.7,886.0,886.0,0,2013-10-25,42161
129,876.7,897.5,872.0,889.0,0,2013-10-28,30896
130,897.35,900.0,882.15,884.7,0,2013-10-29,129111
131,899.9,901.0,892.25,901.0,0,2013-10-30,68513
132,908.85,914.45,888.0,890.0,0,2013-10-31,187901
133,893.4,917.35,890.0,911.7,0,2013-11-01,86555
134,898.05,900.5,894.1,899.0,0,2013-11-03,8413
135,913.15,927.0,896.85,899.05,0,2013-11-05,124874
136,897.1,919.7,893.55,907.15,0,2013-11-06,40227
137,900.7,923.9,890.1,890.1,0,2013-11-07,100571
138,889.35,900.0,885.1,895.3,0,2013-11-08,61710
139,898.5,905.85,881.4,892.3,0,2013-11-11,117935
140,872.65,907.5,863.05,900.0,0,2013-11-12,152570
141,879.85,887.2,865.0,871.0,0,2013-11-13,55546
142,882.1,887.15,873.15,873.15,0,2013-11-14,117390
143,877.95,886.85,865.0,885.0,0,2013-11-18,76503
144,867.35,893.75,865.5,875.15,0,2013-11-19,224019
145,872.85,899.0,867.4,867.4,0,2013-11-20,143166
146,881.85,896.8,871.0,872.95,0,2013-11-21,227085
147,874.05,888.8,871.1,883.05,0,2013-11-22,26733
148,848.1,877.55,845.1,874.05,0,2013-11-25,162320
149,842.35,860.0,839.0,858.95,0,2013-11-26,195260
150,832.95,848.0,830.05,845.05,0,2013-11-27,179401
151,844.4,855.85,838.0,838.0,0,2013-11-28,57199
152,834.1,845.9,831.1,837.2,0,2013-11-29,120079
153,840.8,844.9,833.0,843.25,0,2013-12-02,178264
154,846.45,851.2,840.05,842.5,0,2013-12-03,312036
155,829.7,853.0,827.0,840.0,0,2013-12-04,112867
156,834.4,846.0,831.45,834.4,0,2013-12-05,127147
157,833.4,843.65,831.1,831.1,0,2013-12-06,89883
158,835.1,849.4,815.35,840.0,0,2013-12-09,111697
159,848.95,852.0,837.0,839.0,0,2013-12-10,122883
160,850.4,856.7,839.0,850.0,0,2013-12-11,158018
161,839.3,848.95,836.05,843.0,0,2013-12-12,64129
162,823.85,839.0,821.15,835.0,0,2013-12-13,64915
163,827.45,836.0,824.0,824.0,0,2013-12-16,105390
164,820.5,844.0,818.0,838.55,0,2013-12-17,179777
165,821.95,827.6,818.05,825.0,0,2013-12-18,140712
166,821.45,828.25,818.4,823.0,0,2013-12-19,93631
167,830.6,836.9,821.45,821.45,0,2013-12-20,152122
168,848.4,866.7,832.5,834.0,0,2013-12-23,191370
169,874.85,884.0,845.1,845.1,0,2013-12-24,1261854
170,884.85,894.9,880.0,880.0,0,2013-12-26,207883
171,938.9,945.0,889.9,889.95,0,2013-12-27,891625
172,949.7,961.7,932.85,948.45,0,2013-12-30,360277
173,946.4,954.0,939.3,954.0,0,2013-12-31,720225
