,c,h,l,o,oi,time,v
0,464.71,474.0,461.25,466.01,0,2013-04-22,655860
1,464.95,469.48,461.54,469.48,0,2013-04-23,421830
2,465.21,468.85,464.0,466.2,0,2013-04-25,1946230
3,470.55,478.45,469.22,470.2,0,2013-04-26,2005270
4,471.38,476.7,467.7,471.0,0,2013-04-29,1219140
5,468.13,471.65,463.1,471.59,0,2013-04-30,494960
6,472.74,474.99,467.0,467.0,0,2013-05-02,1284490
7,469.52,473.9,467.89,472.8,0,2013-05-03,438070
8,485.6,489.4,470.52,470.52,0,2013-05-06,894460
9,490.0,494.9,486.5,489.0,0,2013-05-07,1010350
10,485.35,493.9,484.11,493.9,0,2013-05-08,686830
11,467.1,492.51,459.0,487.0,0,2013-05-09,3269420
12,463.88,466.7,460.4,466.7,0,2013-05-10,1607860
13,471.63,474.98,464.11,464.11,0,2013-05-11,222800
14,469.95,478.9,468.52,472.01,0,2013-05-13,745550
15,474.9,478.5,470.35,471.3,0,2013-05-14,908190
16,482.45,484.8,475.3,475.3,0,2013-05-15,895580
17,486.15,490.9,480.0,480.0,0,2013-05-16,853000
18,481.28,489.9,478.6,486.7,0,2013-05-17,675110
19,477.36,484.9,476.57,484.9,0,2013-05-20,445210
20,478.5,482.5,472.4,475.2,0,2013-05-21,523650
21,483.57,485.15,476.05,479.52,0,2013-05-22,403560
22,480.0,483.02,475.5,475.5,0,2013-05-23,597040
23,480.5,482.5,476.23,481.0,0,2013-05-24,505090
24,482.6,484.02,477.1,480.7,0,2013-05-27,785040
25,482.17,487.5,480.24,483.0,0,2013-05-28,663290
26,481.53,486.0,477.99,485.4,0,2013-05-29,339930
27,491.36,494.9,479.1,479.1,0,2013-05-30,693880
28,486.31,492.99,485.02,491.0,0,2013-05-31,582840
29,469.43,485.99,465.5,484.31,0,2013-06-03,928510
30,468.03,475.62,466.01,470.0,0,2013-06-04,702350
31,467.52,471.12,464.2,469.4,0,2013-06-05,428150
32,462.0,465.95,460.5,464.19,0,2013-06-06,478640
33,457.68,465.81,456.0,459.2,0,2013-06-07,514400
34,453.73,461.39,452.5,458.51,0,2013-06-10,1006600
35,448.97,454.5,446.64,453.0,0,2013-06-11,1084780
36,449.61,452.0,444.01,448.5,0,2013-06-12,726820
37,444.42,452.24,442.66,446.55,0,2013-06-13,585410
38,455.95,459.49,446.4,446.5,0,2013-06-14,586880
39,457.54,463.48,452.5,454.1,0,2013-06-17,609850
40,457.52,460.7,453.31,455.21,0,2013-06-18,637000
41,461.05,462.0,455.33,455.33,0,2013-06-19,538200
42,457.36,459.5,451.5,456.6,0,2013-06-20,957840
43,455.77,460.58,451.22,454.0,0,2013-06-21,882670
44,439.32,455.95,437.01,452.01,0,2013-06-24,869780
45,436.15,442.72,429.47,437.31,0,2013-06-25,1410210
46,449.3,452.9,436.6,437.0,0,2013-06-26,934730
47,453.81,469.99,450.77,455.9,0,2013-06-27,1677620
48,463.65,465.2,454.5,456.2,0,2013-06-28,1249300
49,471.25,474.02,460.0,460.61,0,2013-07-01,1020000
50,467.76,473.5,466.5,468.21,0,2013-07-02,530990
51,457.13,468.25,454.7,466.0,0,2013-07-03,630880
52,456.52,462.0,452.74,460.34,0,2013-07-04,303550
53,466.88,468.95,457.0,460.0,0,2013-07-05,353290
54,467.3,469.9,463.0,466.63,0,2013-07-08,653300
55,476.25,477.4,468.03,468.03,0,2013-07-09,533050
56,478.28,484.88,477.0,478.4,0,2013-07-10,712580
57,487.45,488.76,481.0,481.0,0,2013-07-11,468740
58,482.67,489.95,479.17,489.95,0,2013-07-12,646070
59,481.26,483.8,478.6,480.51,0,2013-07-15,333500
60,483.59,485.88,475.52,475.52,0,2013-07-16,336360
61,501.15,503.24,481.6,483.0,0,2013-07-17,1478710
62,521.31,522.9,500.61,501.6,0,2013-07-18,1825930
63,516.54,524.78,515.01,522.11,0,2013-07-19,846650
64,505.03,522.5,496.73,518.99,0,2013-07-22,1718900
65,494.1,505.6,490.1,502.4,0,2013-07-23,2053240
66,498.6,501.5,489.5,491.0,0,2013-07-24,1079600
67,508.04,511.8,497.69,500.78,0,2013-07-25,1638100
68,507.55,517.36,503.9,511.5,0,2013-07-26,1259820
69,511.82,513.75,505.5,507.5,0,2013-07-29,420570
70,510.75,522.4,502.65,521.5,0,2013-07-30,898758
71,507.6,513.55,495.15,512.0,0,2013-07-31,800891
72,498.2,515.0,486.3,515.0,0,2013-08-01,841361
73,497.45,504.15,492.0,499.0,0,2013-08-02,986501
74,472.8,500.45,469.0,498.1,0,2013-08-05,1753463
75,437.35,470.0,434.15,470.0,0,2013-08-06,1513183
76,423.2,439.45,412.0,435.3,0,2013-08-07,2441631
77,430.8,435.0,423.2,423.2,0,2013-08-08,1000667
78,436.9,439.8,418.5,431.45,0,2013-08-12,1050655
79,439.95,441.8,431.0,438.9,0,2013-08-13,576780
80,434.75,443.95,430.0,442.1,0,2013-08-14,808688
81,418.7,437.0,414.1,434.45,0,2013-08-16,1875723
82,427.2,430.85,398.15,418.7,0,2013-08-19,1450144
83,417.8,423.95,411.0,420.9,0,2013-08-20,1339308
84,415.15,427.65,411.0,423.0,0,2013-08-21,1405177
85,420.3,424.5,412.0,413.0,0,2013-08-22,715086
86,420.05,425.7,415.0,419.0,0,2013-08-23,986872
87,427.85,434.45,421.0,421.5,0,2013-08-26,813600
88,410.0,430.5,405.0,422.7,0,2013-08-27,1618168
89,392.0,402.85,373.4,400.6,0,2013-08-28,2461413
90,403.2,409.5,389.7,389.7,0,2013-08-29,1479215
91,420.95,424.95,393.75,408.2,0,2013-08-30,1514956
92,422.4,427.9,418.3,420.0,0,2013-09-02,533907
93,398.15,424.95,395.0,422.0,0,2013-09-03,1313672
94,403.3,409.5,399.0,403.0,0,2013-09-04,668024
95,405.6,413.1,402.85,410.0,0,2013-09-05,1025465
96,425.1,426.8,406.5,406.8,0,2013-09-06,1558392
97,445.8,450.3,428.05,429.8,0,2013-09-10,1598104
98,444.6,448.7,435.0,448.7,0,2013-09-11,875515
99,438.5,451.85,435.5,446.55,0,2013-09-12,1740100
100,442.35,445.9,436.0,437.0,0,2013-09-13,596005
101,441.35,458.7,436.5,450.0,0,2013-09-16,1263167
102,441.7,443.9,437.45,441.05,0,2013-09-17,463021
103,445.5,448.5,438.5,442.0,0,2013-09-18,618855
104,479.1,486.45,450.0,452.0,0,2013-09-19,1571260
105,488.15,491.3,469.4,480.25,0,2013-09-20,1366454
106,486.1,494.95,479.75,485.0,0,2013-09-23,1698587
107,485.3,504.8,483.1,486.0,0,2013-09-24,1854893
108,477.85,489.8,471.55,489.5,0,2013-09-25,1269349
109,479.8,484.3,476.45,476.8,0,2013-09-26,1423622
110,469.8,486.3,468.1,484.0,0,2013-09-27,1022869
111,459.25,470.2,456.4,470.0,0,2013-09-30,1184167
112,454.35,464.0,451.0,462.0,0,2013-10-01,1194903
113,470.8,477.2,457.0,457.0,0,2013-10-03,1872476
114,467.1,476.1,466.0,467.95,0,2013-10-04,1105813
115,463.5,469.8,456.2,469.8,0,2013-10-07,1246791
116,459.7,471.35,457.5,465.0,0,2013-10-08,1062402
117,469.9,472.2,453.6,455.0,0,2013-10-09,1219033
118,479.65,483.5,467.0,467.0,0,2013-10-10,1241962
119,485.05,487.9,476.2,485.05,0,2013-10-11,732464
120,470.6,481.5,468.55,481.5,0,2013-10-14,922169
121,480.8,483.4,470.6,473.9,0,2013-10-15,984845
122,486.4,489.95,481.7,484.4,0,2013-10-17,963435
123,486.9,494.6,476.3,484.1,0,2013-10-18,2524634
124,515.8,529.8,488.25,490.0,0,2013-10-21,4416370
125,523.2,531.2,510.3,530.0,0,2013-10-22,3048277
126,522.15,526.4,515.25,526.0,0,2013-10-23,978398
127,521.5,533.5,518.45,520.25,0,2013-10-24,1415249
128,513.7,522.35,512.1,517.0,0,2013-10-25,702992
129,501.55,519.0,500.0,517.9,0,2013-10-28,1054082
130,519.0,521.0,495.5,502.0,0,2013-10-29,1519476
131,528.25,529.4,517.1,521.0,0,2013-10-30,1579868
132,539.45,541.95,526.6,529.5,0,2013-10-31,1791990
133,542.8,544.95,532.65,539.0,0,2013-11-01,1033935
134,538.15,545.9,536.75,543.95,0,2013-11-03,173340
135,548.2,551.35,535.3,535.35,0,2013-11-05,1376974
136,552.35,555.75,541.3,550.0,0,2013-11-06,1527805
137,551.4,558.45,547.55,552.0,0,2013-11-07,880347
138,556.6,561.75,546.65,550.0,0,2013-11-08,896874
139,546.5,556.55,545.2,551.15,0,2013-11-11,942969
140,530.45,550.95,528.1,548.0,0,2013-11-12,886182
141,522.85,531.8,518.2,523.1,0,2013-11-13,922754
142,513.15,530.25,511.1,525.25,0,2013-11-14,1141064
143,526.3,527.9,515.05,518.2,0,2013-11-18,1208180
144,531.3,534.3,528.0,528.0,0,2013-11-19,840508
145,524.3,537.0,521.4,531.9,0,2013-11-20,869675
