,c,h,l,o,oi,time,v
0,288.23,296.8,286.84,287.1,0,2013-04-22,13252895
1,288.96,291.02,282.63,289.0,0,2013-04-23,7340650
2,300.68,304.0,290.6,294.2,0,2013-04-25,19391755
3,297.27,299.98,293.42,298.0,0,2013-04-26,10489965
4,295.08,297.2,292.05,297.2,0,2013-04-29,6561785
5,298.54,300.2,291.6,297.4,0,2013-04-30,9010945
6,303.2,305.75,296.79,297.02,0,2013-05-02,10775590
7,294.96,302.6,293.4,302.6,0,2013-05-03,9326475
8,291.95,294.37,289.0,293.4,0,2013-05-06,6739100
9,300.79,301.4,291.82,292.4,0,2013-05-07,7357170
10,297.94,302.81,294.15,301.2,0,2013-05-08,4865505
11,290.83,297.6,289.52,297.6,0,2013-05-09,15607600
12,293.98,294.94,289.2,290.0,0,2013-05-10,7711835
13,294.49,295.67,292.26,294.0,0,2013-05-11,360400
14,290.4,299.6,289.22,293.0,0,2013-05-13,10233900
15,293.5,294.38,289.02,291.0,0,2013-05-14,6341930
16,301.74,302.99,293.6,293.6,0,2013-05-15,8367595
17,306.18,308.0,300.29,300.46,0,2013-05-16,5787370
18,307.05,308.19,303.0,306.0,0,2013-05-17,6127865
19,305.94,309.98,304.91,307.74,0,2013-05-20,7109685
20,304.11,309.0,303.0,305.05,0,2013-05-21,4457135
21,302.59,306.2,299.62,305.4,0,2013-05-22,4430345
22,291.04,300.57,289.48,297.02,0,2013-05-23,17628985
23,292.24,296.35,287.11,293.4,0,2013-05-24,11354170
24,295.63,297.6,289.0,292.0,0,2013-05-27,5079820
25,293.7,296.74,291.61,295.1,0,2013-05-28,6338635
26,291.92,293.8,288.7,293.8,0,2013-05-29,4984010
27,286.54,292.88,283.63,289.86,0,2013-05-30,19729175
28,286.11,287.73,282.2,285.0,0,2013-05-31,6939990
29,286.17,287.6,282.0,284.8,0,2013-06-03,5639100
30,279.09,288.8,277.4,286.0,0,2013-06-04,6481315
31,276.45,279.88,272.42,278.0,0,2013-06-05,10525180
32,283.62,285.56,273.65,275.8,0,2013-06-06,7218255
33,275.65,284.39,273.82,282.8,0,2013-06-07,16958990
34,271.05,277.87,269.64,277.2,0,2013-06-10,7101745
35,264.54,269.0,262.57,269.0,0,2013-06-11,10709250
36,254.89,262.8,253.31,262.4,0,2013-06-12,16756695
37,254.13,258.44,251.48,254.0,0,2013-06-13,9278645
38,259.6,262.08,256.36,256.84,0,2013-06-14,9145290
39,263.21,264.21,253.81,260.42,0,2013-06-17,9148855
40,257.32,262.94,256.8,262.35,0,2013-06-18,7215030
41,257.01,257.9,253.4,257.39,0,2013-06-19,7633795
42,247.96,253.2,246.4,252.8,0,2013-06-20,9339930
43,251.94,253.89,244.79,245.81,0,2013-06-21,11567800
44,248.61,251.76,246.87,249.86,0,2013-06-24,8864770
45,246.29,250.8,241.58,250.2,0,2013-06-25,17111600
46,249.68,252.84,247.22,247.22,0,2013-06-26,13302520
47,255.01,257.0,252.74,252.8,0,2013-06-27,11566105
48,265.04,266.4,257.5,258.4,0,2013-06-28,7250955
49,269.76,270.78,264.01,264.8,0,2013-07-01,5323995
50,261.7,270.98,260.93,268.42,0,2013-07-02,5683025
51,255.57,260.41,254.22,258.29,0,2013-07-03,6367035
52,252.99,258.6,251.82,256.42,0,2013-07-04,9497150
53,257.61,260.28,253.8,254.36,0,2013-07-05,5785940
54,250.51,255.8,249.2,255.8,0,2013-07-08,10780235
55,252.87,255.46,252.0,253.0,0,2013-07-09,4614270
56,251.35,256.3,249.97,253.8,0,2013-07-10,5341890
57,257.55,259.98,255.45,256.2,0,2013-07-11,4593290
58,258.31,259.7,254.2,259.2,0,2013-07-12,5287195
59,261.78,262.99,256.49,258.4,0,2013-07-15,5449990
60,246.17,254.0,245.21,254.0,0,2013-07-16,9493130
61,238.74,247.2,235.53,247.19,0,2013-07-17,17944220
62,247.64,249.52,231.62,241.35,0,2013-07-18,28548405
