,c,h,l,o,oi,time,v
0,1762.85,1816.0,1747.25,1795.0,0,2013-04-22,249317
1,1805.0,1814.5,1755.0,1755.05,0,2013-04-23,226371
2,1838.0,1854.0,1812.1,1820.0,0,2013-04-25,320107
3,1895.7,1905.0,1832.35,1835.0,0,2013-04-26,333109
4,1900.0,1934.0,1882.7,1900.0,0,2013-04-29,257661
5,1880.4,1917.05,1861.1,1905.0,0,2013-04-30,268297
6,1860.05,1899.0,1856.75,1880.4,0,2013-05-02,471887
7,1807.5,1865.0,1800.0,1860.0,0,2013-05-03,436707
8,1827.1,1841.95,1806.0,1810.2,0,2013-05-06,162518
9,1848.45,1857.3,1817.05,1831.35,0,2013-05-07,501159
10,1838.65,1852.2,1825.0,1848.0,0,2013-05-08,195615
11,1826.5,1857.95,1821.0,1840.0,0,2013-05-09,159331
12,1858.05,1861.0,1826.6,1827.0,0,2013-05-10,296787
13,1862.0,1869.95,1842.05,1842.05,0,2013-05-11,23464
14,1819.3,1867.4,1812.0,1851.0,0,2013-05-13,156428
15,1787.7,1824.0,1777.0,1820.25,0,2013-05-14,371941
16,1822.05,1839.0,1783.4,1788.0,0,2013-05-15,524631
17,1806.5,1883.75,1794.6,1834.95,0,2013-05-16,1656463
18,1832.05,1835.0,1783.75,1807.0,0,2013-05-17,503587
19,1863.8,1878.0,1820.25,1820.25,0,2013-05-20,574827
20,1853.85,1888.0,1845.0,1872.95,0,2013-05-21,361919
21,1849.35,1869.0,1834.0,1854.95,0,2013-05-22,253432
22,1813.45,1875.5,1804.85,1855.0,0,2013-05-23,516453
23,1804.65,1847.0,1787.0,1847.0,0,2013-05-24,366597
24,1818.1,1822.9,1753.05,1804.3,0,2013-05-27,474528
25,1840.6,1848.0,1788.7,1823.8,0,2013-05-28,422707
26,1824.55,1860.0,1816.2,1835.3,0,2013-05-29,527462
27,1837.9,1843.7,1810.05,1818.9,0,2013-05-30,330724
28,1820.5,1837.9,1791.8,1837.9,0,2013-05-31,418116
29,1759.5,1820.35,1742.0,1820.05,0,2013-06-03,454501
30,1767.95,1774.5,1739.1,1759.5,0,2013-06-04,429041
31,1755.9,1764.0,1746.3,1763.0,0,2013-06-05,519225
32,1745.9,1754.4,1733.4,1749.8,0,2013-06-06,467062
33,1745.0,1750.0,1731.15,1741.0,0,2013-06-07,357068
34,1767.0,1774.8,1753.25,1753.3,0,2013-06-10,367490
35,1783.2,1789.4,1755.55,1765.25,0,2013-06-11,271665
36,1743.15,1784.0,1723.0,1784.0,0,2013-06-12,306650
37,1708.3,1734.9,1695.0,1734.9,0,2013-06-13,454593
38,1764.65,1774.4,1708.3,1713.0,0,2013-06-14,204276
39,1808.8,1817.6,1742.5,1767.7,0,2013-06-17,398034
40,1828.75,1839.25,1779.15,1795.25,0,2013-06-18,414459
41,1835.65,1840.9,1810.1,1825.25,0,2013-06-19,374627
42,1820.35,1855.0,1800.0,1814.0,0,2013-06-20,451241
43,1830.05,1837.65,1788.45,1805.15,0,2013-06-21,307812
44,1794.55,1830.0,1776.05,1830.0,0,2013-06-24,446107
45,1799.55,1810.0,1756.2,1794.0,0,2013-06-25,657806
46,1787.1,1793.8,1760.0,1782.8,0,2013-06-26,500188
47,1838.2,1871.0,1787.0,1787.1,0,2013-06-27,1030259
48,1923.95,1940.0,1842.5,1842.5,0,2013-06-28,794222
49,1922.9,1935.0,1886.0,1928.0,0,2013-07-01,496573
50,1913.3,1969.9,1900.0,1910.0,0,2013-07-02,592561
51,1890.05,1907.7,1866.0,1891.0,0,2013-07-03,434707
52,1876.6,1894.15,1861.0,1867.8,0,2013-07-04,406242
53,1879.5,1893.4,1870.0,1893.4,0,2013-07-05,286679
54,1863.05,1875.0,1838.25,1861.15,0,2013-07-08,329807
55,1898.2,1915.0,1871.15,1875.0,0,2013-07-09,188148
56,1862.4,1917.1,1842.0,1899.0,0,2013-07-10,399958
57,1876.55,1888.6,1864.0,1864.0,0,2013-07-11,185148
58,1869.65,1881.0,1845.6,1879.7,0,2013-07-12,208815
59,1901.7,1906.85,1850.5,1864.7,0,2013-07-15,153038
60,1907.55,1918.0,1871.55,1884.8,0,2013-07-16,332357
61,1909.55,1920.0,1880.1,1920.0,0,2013-07-17,257814
62,1896.7,1919.8,1884.8,1910.0,0,2013-07-18,183219
63,1966.0,1987.75,1862.5,1886.5,0,2013-07-19,1609280
64,1985.35,2009.0,1947.0,1950.0,0,2013-07-22,418429
65,1975.5,2009.25,1968.0,2000.0,0,2013-07-23,415840
66,2001.8,2010.0,1954.5,1962.0,0,2013-07-24,277794
67,2001.85,2029.0,1984.55,1995.6,0,2013-07-25,505006
68,2032.15,2050.0,2006.95,2006.95,0,2013-07-26,361112
69,1996.2,2050.0,1987.2,2025.0,0,2013-07-29,142531
70,1925.8,2015.0,1919.0,2001.1,0,2013-07-30,286047
71,1934.75,1954.65,1916.2,1924.0,0,2013-07-31,1000215
72,1933.8,1966.2,1908.05,1952.7,0,2013-08-01,319950
73,1909.25,1949.0,1890.2,1935.0,0,2013-08-02,289389
74,1875.95,1920.05,1869.0,1920.0,0,2013-08-05,214153
75,1808.75,1869.0,1790.05,1869.0,0,2013-08-06,391496
76,1771.55,1825.0,1748.25,1814.7,0,2013-08-07,557125
77,1782.3,1795.0,1751.0,1755.0,0,2013-08-08,360718
78,1807.6,1817.8,1776.85,1786.0,0,2013-08-12,414841
79,1858.8,1869.8,1796.4,1806.0,0,2013-08-13,516681
80,1908.6,1913.0,1869.7,1869.7,0,2013-08-14,472360
81,1848.35,1924.95,1827.65,1895.25,0,2013-08-16,391479
82,1763.05,1834.0,1730.25,1830.05,0,2013-08-19,419333
83,1756.75,1784.65,1721.05,1760.0,0,2013-08-20,641187
84,1734.5,1805.0,1712.3,1770.0,0,2013-08-21,470325
85,1776.7,1794.0,1702.0,1725.0,0,2013-08-22,409880
86,1779.6,1796.95,1753.25,1776.0,0,2013-08-23,253568
87,1780.65,1817.85,1752.5,1788.0,0,2013-08-26,196958
88,1727.75,1782.75,1701.25,1762.0,0,2013-08-27,431297
89,1727.75,1744.35,1680.05,1710.0,0,2013-08-28,457301
90,1740.45,1756.3,1708.0,1749.8,0,2013-08-29,466893
91,1837.0,1850.0,1708.25,1740.45,0,2013-08-30,900898
92,1856.1,1870.0,1835.05,1837.0,0,2013-09-02,272132
93,1837.85,1885.15,1818.0,1864.0,0,2013-09-03,489186
94,1888.75,1898.8,1841.0,1865.0,0,2013-09-04,503110
95,1901.0,1937.0,1889.0,1904.8,0,2013-09-05,179794
96,1910.85,1925.0,1874.2,1908.0,0,2013-09-06,244046
97,1980.7,1988.25,1918.0,1929.2,0,2013-09-10,396920
98,1996.5,2011.0,1956.6,1957.0,0,2013-09-11,349393
99,1978.7,2010.1,1970.6,1982.0,0,2013-09-12,373073
100,2003.4,2013.9,1961.5,1961.5,0,2013-09-13,509168
101,2000.25,2045.9,1982.85,2011.0,0,2013-09-16,392924
102,2013.4,2024.9,1981.55,1981.55,0,2013-09-17,246637
103,2017.25,2043.25,2003.0,2005.35,0,2013-09-18,233615
104,2053.15,2062.0,2022.5,2050.0,0,2013-09-19,324702
105,1992.45,2062.45,1980.25,2055.0,0,2013-09-20,735104
106,1979.1,2013.7,1963.4,1980.6,0,2013-09-23,249275
107,2031.6,2040.0,1972.0,1975.0,0,2013-09-24,610324
108,2005.35,2048.8,1985.0,2045.0,0,2013-09-25,373385
109,1995.8,2026.9,1979.95,2006.2,0,2013-09-26,302620
110,1993.15,2024.95,1985.0,2010.0,0,2013-09-27,434334
111,1987.45,2014.0,1978.0,1978.0,0,2013-09-30,367076
112,2020.0,2037.0,1981.8,2000.0,0,2013-10-01,312138
113,2119.4,2125.0,2025.0,2050.0,0,2013-10-03,572208
114,2117.9,2152.0,2105.0,2125.0,0,2013-10-04,339869
115,2128.3,2137.0,2093.4,2119.0,0,2013-10-07,337002
116,2116.05,2160.0,2096.4,2155.25,0,2013-10-08,275097
117,2153.9,2179.0,2101.0,2109.0,0,2013-10-09,583959
118,2141.4,2175.9,2117.05,2160.25,0,2013-10-10,1403631
119,2141.1,2165.9,2117.4,2141.5,0,2013-10-11,1128733
120,2137.85,2141.0,2114.7,2139.0,0,2013-10-14,173698
121,2125.65,2159.45,2111.1,2124.45,0,2013-10-15,387382
122,2153.3,2195.0,2136.2,2168.0,0,2013-10-17,2386073
123,2153.05,2168.55,2142.4,2158.3,0,2013-10-18,435157
124,2150.7,2168.9,2141.0,2165.0,0,2013-10-21,249234
125,2139.7,2160.0,2131.3,2160.0,0,2013-10-22,297322
126,2094.9,2149.7,2063.25,2149.7,0,2013-10-23,157062
127,2082.3,2121.0,2058.0,2085.0,0,2013-10-24,224947
128,2080.6,2108.65,2041.95,2080.1,0,2013-10-25,387226
129,2070.6,2109.4,2052.45,2085.25,0,2013-10-28,319532
130,2094.05,2112.0,2055.1,2073.0,0,2013-10-29,432986
131,2136.7,2147.0,2105.05,2105.05,0,2013-10-30,270065
132,2129.9,2157.0,2111.35,2130.0,0,2013-10-31,313985
133,2124.9,2143.9,2113.3,2121.2,0,2013-11-01,314887
134,2127.7,2150.0,2124.0,2150.0,0,2013-11-03,19187
135,2092.0,2130.0,2077.55,2129.0,0,2013-11-05,336581
136,2076.5,2100.05,2040.0,2100.05,0,2013-11-06,384191
137,2101.15,2109.35,2056.0,2090.0,0,2013-11-07,353237
138,2065.9,2109.0,2056.0,2095.0,0,2013-11-08,146711
139,2037.85,2055.6,2028.2,2053.0,0,2013-11-11,169102
140,2026.15,2054.6,2015.0,2030.0,0,2013-11-12,165926
141,2021.3,2062.0,2002.2,2015.0,0,2013-11-13,226050
142,2034.8,2060.0,2008.45,2034.7,0,2013-11-14,136260
143,2030.05,2060.0,2020.0,2060.0,0,2013-11-18,233351
144,2013.8,2041.9,2003.1,2030.0,0,2013-11-19,246966
145,1974.45,2024.05,1967.0,2023.9,0,2013-11-20,265878
146,1932.85,1984.8,1920.0,1965.0,0,2013-11-21,237839
147,1889.35,1950.0,1884.0,1940.1,0,2013-11-22,240050
148,1939.35,1947.0,1901.5,1906.0,0,2013-11-25,256110
149,1938.6,1949.0,1918.8,1930.3,0,2013-11-26,246097
150,1949.1,1964.0,1924.5,1941.1,0,2013-11-27,272809
151,1950.5,1979.0,1946.2,1949.95,0,2013-11-28,276225
152,1974.45,1979.0,1941.0,1941.0,0,2013-11-29,138619
153,1961.4,1997.0,1953.8,1966.35,0,2013-12-02,170993
154,1952.85,1965.0,1943.5,1959.0,0,2013-12-03,252930
155,1931.75,1956.8,1924.0,1942.55,0,2013-12-04,345248
156,1940.25,1973.0,1935.0,1970.0,0,2013-12-05,304627
157,1950.0,1970.0,1940.0,1940.0,0,2013-12-06,227760
158,1978.75,1987.8,1956.35,1987.0,0,2013-12-09,171546
159,1987.65,2009.0,1975.0,1980.0,0,2013-12-10,243976
160,1997.55,2013.4,1984.75,1994.95,0,2013-12-11,247332
161,1951.4,1978.0,1950.0,1977.25,0,2013-12-12,148544
162,1905.25,1938.0,1895.0,1911.0,0,2013-12-13,338750
163,1902.15,1929.6,1891.0,1912.0,0,2013-12-16,274980
164,1863.1,1924.5,1857.05,1912.0,0,2013-12-17,309323
165,1928.4,1943.3,1862.25,1875.0,0,2013-12-18,427615
166,1897.0,1945.0,1885.0,1924.95,0,2013-12-19,291251
167,1931.8,1941.9,1879.25,1893.6,0,2013-12-20,301800
168,1946.7,1963.4,1933.3,1933.3,0,2013-12-23,265193
169,1990.35,1994.5,1945.0,1948.1,0,2013-12-24,193334
170,1949.5,2014.1,1940.0,2010.0,0,2013-12-26,366298
171,1934.75,1965.0,1929.9,1953.5,0,2013-12-27,209220
172,1900.7,1942.2,1893.3,1939.35,0,2013-12-30,238040
173,1910.85,1921.15,1901.25,1906.0,0,2013-12-31,131618
174,1917.4,1924.4,1890.3,1915.0,0,2014-01-01,90587
175,1900.05,1928.75,1895.45,1918.0,0,2014-01-02,268521
176,1895.55,1909.0,1870.0,1893.0,0,2014-01-03,236545
177,1888.3,1899.9,1875.0,1896.0,0,2014-01-06,284336
