,c,h,l,o,oi,time,v
0,77.65,79.0,77.0,78.3,0,2013-04-22,345060
1,77.95,78.7,77.0,77.9,0,2013-04-23,183950
2,76.7,79.05,76.3,78.0,0,2013-04-25,661280
3,76.15,77.9,75.9,77.45,0,2013-04-26,227810
4,75.15,76.8,74.7,75.8,0,2013-04-29,507910
5,74.2,76.3,74.0,75.0,0,2013-04-30,476010
6,75.05,77.2,74.2,74.45,0,2013-05-02,696680
7,72.95,75.5,72.55,75.0,0,2013-05-03,788020
8,73.45,74.25,73.0,73.0,0,2013-05-06,354600
9,75.2,76.8,73.05,73.05,0,2013-05-07,755280
10,76.45,77.2,75.55,75.55,0,2013-05-08,831310
11,75.7,77.15,75.5,77.15,0,2013-05-09,522620
12,75.7,76.5,75.4,75.5,0,2013-05-10,294590
13,76.25,76.45,75.7,75.7,0,2013-05-11,87550
14,76.1,76.95,76.0,76.3,0,2013-05-13,355050
15,76.3,78.1,75.55,75.55,0,2013-05-14,822010
16,75.45,77.7,74.6,76.5,0,2013-05-15,1502220
17,72.25,75.5,71.9,75.2,0,2013-05-16,1606870
18,70.8,73.5,70.7,72.75,0,2013-05-17,1399810
19,69.85,71.55,69.75,71.0,0,2013-05-20,1345910
20,67.15,70.6,66.95,69.7,0,2013-05-21,1692770
21,68.65,69.95,67.4,67.4,0,2013-05-22,729370
22,66.95,68.55,66.85,68.55,0,2013-05-23,623110
23,66.95,68.9,66.4,66.4,0,2013-05-24,506550
24,67.95,68.3,67.0,67.0,0,2013-05-27,273460
25,69.05,69.5,68.1,68.1,0,2013-05-28,555710
26,66.8,69.3,66.7,68.5,0,2013-05-29,514200
27,66.75,67.5,66.15,66.15,0,2013-05-30,336120
28,66.3,67.4,66.15,66.4,0,2013-05-31,576060
29,66.45,67.55,66.05,66.05,0,2013-06-03,405210
30,66.95,68.5,66.6,67.15,0,2013-06-04,671310
31,66.2,67.3,66.05,66.5,0,2013-06-05,955710
32,66.15,66.75,65.9,66.5,0,2013-06-06,602200
33,65.8,67.2,65.75,65.8,0,2013-06-07,485310
34,65.05,66.3,65.0,65.15,0,2013-06-10,671870
35,62.45,64.65,62.05,64.55,0,2013-06-11,1140030
36,62.4,64.5,61.3,61.3,0,2013-06-12,477240
37,61.8,62.95,61.75,62.0,0,2013-06-13,480650
38,61.95,62.6,61.7,62.0,0,2013-06-14,508840
39,61.7,62.3,61.7,62.1,0,2013-06-17,240270
40,63.5,65.5,61.6,61.6,0,2013-06-18,1657840
41,63.45,67.7,62.6,64.05,0,2013-06-19,2994060
42,62.15,63.05,61.6,62.3,0,2013-06-20,1288950
43,62.3,62.65,61.6,61.75,0,2013-06-21,799700
44,62.1,62.4,61.55,61.7,0,2013-06-24,532890
45,62.05,62.45,61.6,61.6,0,2013-06-25,1093370
46,62.95,63.9,62.1,62.9,0,2013-06-26,785440
47,63.5,63.9,63.05,63.3,0,2013-06-27,934930
48,64.25,66.2,63.5,66.0,0,2013-06-28,1296740
49,64.1,64.75,63.7,63.7,0,2013-07-01,526040
50,66.7,67.05,63.85,64.6,0,2013-07-02,2150010
51,63.85,67.3,63.2,66.7,0,2013-07-03,1442650
52,63.5,64.45,62.5,63.7,0,2013-07-04,1305130
53,63.5,65.15,63.2,64.0,0,2013-07-05,507130
54,62.5,63.4,62.0,63.4,0,2013-07-08,2478380
55,63.4,64.3,62.05,62.05,0,2013-07-09,1289850
56,65.55,67.4,62.6,64.0,0,2013-07-10,1354790
57,66.85,67.8,65.6,66.2,0,2013-07-11,554910
58,66.35,67.5,65.1,66.8,0,2013-07-12,398830
59,66.1,66.55,65.55,65.7,0,2013-07-15,186270
60,64.3,65.9,64.1,65.7,0,2013-07-16,473660
61,62.95,65.35,61.1,65.1,0,2013-07-17,1278280
62,63.7,64.4,62.6,63.2,0,2013-07-18,1846400
63,63.05,65.5,62.9,64.9,0,2013-07-19,549660
64,63.35,64.2,62.0,63.0,0,2013-07-22,313880
65,64.65,65.1,63.6,64.0,0,2013-07-23,665550
66,63.3,64.5,63.0,64.0,0,2013-07-24,505890
67,62.35,63.8,62.2,63.0,0,2013-07-25,219080
68,61.4,62.9,61.35,62.15,0,2013-07-26,445540
69,61.35,61.8,61.3,61.5,0,2013-07-29,422610
70,61.1,62.0,60.95,62.0,0,2013-07-30,434900
71,58.95,61.5,58.65,60.5,0,2013-07-31,781030
72,57.85,60.5,57.5,58.55,0,2013-08-01,173580
73,59.05,59.8,56.95,57.05,0,2013-08-02,336570
74,60.7,61.6,57.9,58.5,0,2013-08-05,415940
75,58.25,61.5,58.0,61.0,0,2013-08-06,520200
76,56.9,58.2,56.75,57.05,0,2013-08-07,363460
77,56.8,57.9,56.5,56.5,0,2013-08-08,226170
78,58.65,59.0,56.3,56.3,0,2013-08-12,222150
79,58.6,59.95,57.3,58.1,0,2013-08-13,165600
80,60.35,61.0,58.05,58.05,0,2013-08-14,332180
81,58.4,60.3,57.7,59.7,0,2013-08-16,319220
82,57.9,58.7,57.5,57.8,0,2013-08-19,211830
83,56.65,57.9,56.6,57.5,0,2013-08-20,335990
84,56.45,58.6,56.4,58.6,0,2013-08-21,360680
85,56.6,57.3,56.1,56.1,0,2013-08-22,278510
86,57.15,58.45,56.45,56.5,0,2013-08-23,416070
87,58.2,58.5,56.95,57.6,0,2013-08-26,195210
88,57.65,58.3,57.0,57.6,0,2013-08-27,210230
89,58.85,59.8,56.35,56.5,0,2013-08-28,440080
90,59.6,59.9,58.7,59.2,0,2013-08-29,241290
91,59.0,59.95,58.5,58.5,0,2013-08-30,188570
92,59.05,59.7,58.9,58.95,0,2013-09-02,130230
93,58.2,59.3,58.0,58.6,0,2013-09-03,213880
94,58.4,58.7,58.1,58.1,0,2013-09-04,108480
95,56.9,60.8,56.6,59.5,0,2013-09-05,700270
96,57.95,58.8,57.0,58.8,0,2013-09-06,287320
97,58.9,59.3,58.25,59.3,0,2013-09-10,616750
98,59.05,60.3,58.05,58.4,0,2013-09-11,426470
99,57.4,59.7,57.25,58.65,0,2013-09-12,342700
100,57.85,58.5,57.5,57.9,0,2013-09-13,234630
101,58.0,58.8,57.95,58.8,0,2013-09-16,200950
102,57.85,58.5,57.2,57.2,0,2013-09-17,170840
103,58.5,58.7,57.3,57.4,0,2013-09-18,267660
104,60.05,60.3,58.55,59.5,0,2013-09-19,771870
105,60.05,61.4,58.15,60.1,0,2013-09-20,385580
106,59.0,60.3,58.5,59.95,0,2013-09-23,313390
