,c,h,l,o,oi,time,v
0,122.21,123.0,112.15,116.5,0,2013-04-22,743830
1,123.92,124.9,121.29,121.49,0,2013-04-23,73930
2,129.05,130.3,124.4,125.0,0,2013-04-25,272510
3,126.11,130.47,125.66,129.7,0,2013-04-26,78840
4,121.57,128.0,120.0,126.11,0,2013-04-29,727540
5,122.63,124.0,121.56,123.94,0,2013-04-30,59740
6,126.81,127.49,123.09,123.09,0,2013-05-02,144600
7,124.23,127.19,123.5,126.5,0,2013-05-03,97430
8,126.01,127.0,124.0,124.05,0,2013-05-06,2487500
9,128.13,129.0,126.5,126.5,0,2013-05-07,533320
10,136.21,138.0,128.54,129.87,0,2013-05-08,905050
11,139.0,140.1,132.5,132.5,0,2013-05-09,1278970
12,139.94,141.7,137.5,137.5,0,2013-05-10,210310
13,141.09,141.55,139.75,140.0,0,2013-05-11,30830
14,137.88,141.78,137.24,141.78,0,2013-05-13,216880
15,138.03,139.89,136.7,136.73,0,2013-05-14,107200
16,140.12,145.0,136.9,137.02,0,2013-05-15,1573330
17,147.36,149.0,141.91,143.9,0,2013-05-16,1017980
18,150.93,152.49,147.5,148.4,0,2013-05-17,1235360
19,158.12,158.99,150.5,152.9,0,2013-05-20,1741480
20,149.24,159.5,146.5,157.4,0,2013-05-21,608960
21,144.43,151.02,141.13,149.7,0,2013-05-22,522320
22,142.52,143.38,138.81,141.8,0,2013-05-23,200370
23,144.18,147.5,140.2,147.5,0,2013-05-24,425960
24,145.56,146.98,142.3,145.0,0,2013-05-27,133040
25,147.48,148.47,146.0,146.0,0,2013-05-28,362890
26,148.21,148.88,146.2,146.2,0,2013-05-29,194820
27,147.08,148.49,145.99,147.95,0,2013-05-30,133760
28,147.23,147.8,145.6,145.6,0,2013-05-31,173880
29,147.79,148.5,146.2,147.0,0,2013-06-03,82090
30,145.78,153.33,143.87,147.79,0,2013-06-04,117460
31,146.7,147.48,144.53,146.49,0,2013-06-05,75080
32,145.43,147.48,143.69,147.48,0,2013-06-06,57910
33,150.33,151.0,144.59,145.49,0,2013-06-07,259510
34,149.37,152.27,143.1,143.1,0,2013-06-10,144620
35,149.49,151.01,148.04,149.5,0,2013-06-11,3091100
36,145.64,149.78,145.01,148.13,0,2013-06-12,154840
37,143.76,146.0,142.11,146.0,0,2013-06-13,96720
38,143.97,144.89,143.0,143.51,0,2013-06-14,184090
39,143.8,146.89,143.0,144.5,0,2013-06-17,208230
40,143.93,147.5,143.35,144.0,0,2013-06-18,170700
41,142.97,147.38,142.51,144.89,0,2013-06-19,465930
42,142.2,144.4,141.53,142.99,0,2013-06-20,63960
43,139.76,141.99,138.9,141.99,0,2013-06-21,136670
44,134.15,138.78,133.0,137.52,0,2013-06-24,151620
45,137.65,141.48,130.33,135.97,0,2013-06-25,556590
46,137.42,140.99,134.12,138.0,0,2013-06-26,168210
47,134.85,141.0,134.15,139.0,0,2013-06-27,252770
48,138.48,142.18,134.67,137.58,0,2013-06-28,390470
49,143.9,144.5,138.7,140.0,0,2013-07-01,189120
50,141.88,146.5,137.87,144.55,0,2013-07-02,1954010
51,141.78,142.51,139.88,140.16,0,2013-07-03,111880
52,140.8,141.51,139.49,141.51,0,2013-07-04,56460
53,141.34,141.48,139.12,141.0,0,2013-07-05,84150
54,138.72,141.98,138.12,141.98,0,2013-07-08,130020
55,139.21,140.56,138.5,138.51,0,2013-07-09,90650
56,139.49,140.88,139.13,139.8,0,2013-07-10,124860
57,144.93,145.0,140.0,140.0,0,2013-07-11,1648620
58,144.12,144.59,142.2,142.2,0,2013-07-12,1000540
59,148.12,148.58,142.71,142.71,0,2013-07-15,170080
60,142.01,146.27,141.4,144.89,0,2013-07-16,1307040
61,141.06,145.49,140.0,142.33,0,2013-07-17,256610
62,137.46,144.01,135.21,139.7,0,2013-07-18,959110
63,132.53,138.5,131.6,137.5,0,2013-07-19,384870
64,134.09,137.5,131.66,131.66,0,2013-07-22,502940
65,135.63,137.28,122.87,133.2,0,2013-07-23,1290320
66,131.32,135.5,130.45,134.5,0,2013-07-24,437010
67,130.26,133.88,128.8,133.88,0,2013-07-25,152710
68,125.37,131.2,124.01,129.51,0,2013-07-26,243350
69,121.05,126.3,120.5,125.37,0,2013-07-29,225450
70,117.99,124.0,115.02,119.91,0,2013-07-30,302390
71,114.39,116.04,110.98,116.04,0,2013-07-31,414040
72,112.98,117.49,112.04,114.53,0,2013-08-01,203640
73,110.26,113.82,106.4,113.02,0,2013-08-02,336420
74,106.99,113.97,105.66,110.26,0,2013-08-05,324680
75,102.0,106.61,101.0,106.61,0,2013-08-06,386350
76,101.61,103.5,101.0,101.0,0,2013-08-07,275760
77,105.28,106.5,101.9,102.0,0,2013-08-08,313970
78,113.23,115.0,106.51,106.99,0,2013-08-12,3379050
79,124.4,126.99,112.1,113.79,0,2013-08-13,324390
80,122.25,127.51,120.63,126.4,0,2013-08-14,152290
81,115.02,123.0,114.5,120.61,0,2013-08-16,2274910
82,111.7,117.5,108.9,114.03,0,2013-08-19,2475960
83,115.54,117.6,102.52,111.7,0,2013-08-20,485180
84,110.01,119.99,108.0,117.5,0,2013-08-21,119160
85,109.58,113.39,106.8,106.8,0,2013-08-22,95320
86,113.77,114.8,110.01,112.5,0,2013-08-23,204840
87,112.11,114.88,111.1,113.0,0,2013-08-26,149950
88,104.27,114.24,103.15,114.24,0,2013-08-27,474620
89,98.43,103.6,97.5,103.6,0,2013-08-28,588370
90,100.8,101.77,96.53,101.3,0,2013-08-29,645500
91,102.68,103.4,98.0,98.0,0,2013-08-30,360610
92,101.18,105.5,98.5,103.5,0,2013-09-02,927240
93,100.09,102.4,98.6,102.4,0,2013-09-03,264390
94,98.58,100.89,98.0,99.12,0,2013-09-04,258290
95,106.65,108.29,100.02,100.8,0,2013-09-05,934420
96,109.55,111.5,107.01,107.2,0,2013-09-06,304680
97,114.73,115.5,111.0,113.0,0,2013-09-10,404200
98,116.53,117.0,114.1,114.1,0,2013-09-11,218360
99,112.59,117.5,111.0,116.9,0,2013-09-12,118590
100,114.56,115.47,111.25,113.2,0,2013-09-13,213470
101,114.11,116.84,113.0,115.44,0,2013-09-16,175620
102,117.96,134.4,113.98,114.4,0,2013-09-17,288370
103,122.18,124.73,117.27,119.19,0,2013-09-18,378870
104,124.56,127.5,120.62,123.99,0,2013-09-19,1298190
105,129.28,131.9,121.11,127.49,0,2013-09-20,689480
106,125.04,128.63,123.0,127.51,0,2013-09-23,145270
107,118.13,123.8,117.51,123.8,0,2013-09-24,327510
108,119.09,120.4,116.51,117.92,0,2013-09-25,152520
109,117.09,120.01,116.5,119.6,0,2013-09-26,367120
110,117.75,119.01,115.51,118.8,0,2013-09-27,205400
111,116.55,119.0,115.51,119.0,0,2013-09-30,37830
112,115.55,117.47,114.12,115.71,0,2013-10-01,174710
113,120.48,121.5,115.52,115.52,0,2013-10-03,118100
114,124.81,126.5,119.99,119.99,0,2013-10-04,403500
115,126.11,127.49,123.6,123.6,0,2013-10-07,285480
116,129.11,129.88,127.0,127.46,0,2013-10-08,449230
117,128.18,129.0,127.5,129.0,0,2013-10-09,238040
118,126.37,128.76,125.52,127.6,0,2013-10-10,147830
119,126.09,127.9,125.88,127.38,0,2013-10-11,158500
120,129.55,129.97,126.4,127.9,0,2013-10-14,131100
121,127.69,130.2,125.21,129.51,0,2013-10-15,1242030
122,127.76,128.19,126.0,126.12,0,2013-10-17,148410
123,127.84,129.21,127.0,127.33,0,2013-10-18,178430
124,128.94,129.78,127.83,127.85,0,2013-10-21,140400
125,129.6,130.2,127.9,128.2,0,2013-10-22,566630
126,128.53,130.7,128.01,129.58,0,2013-10-23,81500
127,127.49,129.49,126.0,126.0,0,2013-10-24,74820
128,128.58,130.86,125.8,126.7,0,2013-10-25,125330
129,127.44,131.5,127.02,129.0,0,2013-10-28,36150
130,128.95,131.0,125.1,127.5,0,2013-10-29,736120
131,131.63,133.56,129.03,129.65,0,2013-10-30,642540
132,135.31,136.39,130.04,132.83,0,2013-10-31,575490
133,136.73,137.5,132.54,135.01,0,2013-11-01,380140
134,136.84,139.0,135.56,137.5,0,2013-11-03,54810
135,134.11,136.82,133.5,136.5,0,2013-11-05,519010
136,137.32,138.9,133.49,135.0,0,2013-11-06,176630
137,140.93,142.3,136.5,136.51,0,2013-11-07,372040
138,139.52,142.3,137.01,141.0,0,2013-11-08,230670
139,141.17,142.0,139.5,140.48,0,2013-11-11,279570
140,141.13,143.48,140.41,141.17,0,2013-11-12,146690
141,140.11,141.42,138.5,140.01,0,2013-11-13,254700
142,142.49,144.8,140.13,141.08,0,2013-11-14,424120
143,142.63,145.9,141.03,143.2,0,2013-11-18,276990
144,143.78,144.48,141.7,142.71,0,2013-11-19,79240
145,142.78,144.48,142.22,143.47,0,2013-11-20,86010
146,139.49,143.8,138.72,143.1,0,2013-11-21,105660
147,137.84,139.99,136.5,139.99,0,2013-11-22,247830
148,139.87,141.5,136.6,137.33,0,2013-11-25,515230
149,137.58,141.0,136.51,138.49,0,2013-11-26,1104360
150,138.95,141.51,138.01,141.51,0,2013-11-27,254160
151,138.96,139.99,137.5,139.33,0,2013-11-28,700150
152,141.06,141.48,137.6,137.6,0,2013-11-29,239230
153,140.62,142.89,139.11,140.9,0,2013-12-02,687030
154,146.99,148.88,140.51,141.78,0,2013-12-03,744970
155,146.03,148.29,143.23,146.0,0,2013-12-04,1514350
156,145.23,149.5,144.0,147.88,0,2013-12-05,290560
157,148.88,150.0,145.08,145.49,0,2013-12-06,212180
158,149.68,151.89,146.44,150.5,0,2013-12-09,302100
159,150.06,150.5,148.96,150.5,0,2013-12-10,190570
160,149.28,150.3,148.14,149.99,0,2013-12-11,100400
161,149.65,150.5,146.0,148.51,0,2013-12-12,230190
162,148.16,149.79,147.5,148.03,0,2013-12-13,650300
163,148.33,149.58,145.33,145.33,0,2013-12-16,225620
164,147.98,149.0,147.68,148.0,0,2013-12-17,298650
165,149.53,150.39,145.16,146.38,0,2013-12-18,298530
166,148.19,150.46,146.67,148.06,0,2013-12-19,217300
167,149.48,150.0,147.0,147.81,0,2013-12-20,232570
168,155.53,156.0,149.99,150.7,0,2013-12-23,371910
169,153.18,157.5,152.71,156.95,0,2013-12-24,683420
170,151.86,154.8,151.1,154.8,0,2013-12-26,106130
171,152.49,153.98,149.5,149.5,0,2013-12-27,103740
172,155.59,157.99,154.5,155.0,0,2013-12-30,290880
173,158.13,158.9,155.14,155.14,0,2013-12-31,256800
174,157.03,161.5,156.0,156.0,0,2014-01-01,119950
175,156.92,158.01,155.88,157.05,0,2014-01-02,69730
176,155.55,160.4,153.87,157.18,0,2014-01-03,512820
177,155.14,158.0,153.01,157.12,0,2014-01-06,476960
178,155.41,157.19,154.53,155.53,0,2014-01-07,225390
179,155.54,156.08,154.5,156.08,0,2014-01-08,175680
180,155.03,155.78,153.7,154.61,0,2014-01-09,318820
181,156.06,156.45,154.92,155.98,0,2014-01-10,218390
182,156.59,157.18,155.52,156.11,0,2014-01-13,144560
183,155.31,156.99,155.01,156.99,0,2014-01-14,36600
184,155.49,156.98,153.2,155.4,0,2014-01-15,636260
185,158.41,160.4,154.88,155.5,0,2014-01-16,360550
