,c,h,l,o,oi,time,v
0,294.85,299.0,293.15,295.1,0,2013-04-22,3325457
1,293.6,301.7,290.7,294.8,0,2013-04-23,5952627
2,297.9,303.75,292.7,296.1,0,2013-04-25,5139964
3,312.2,314.7,303.05,304.9,0,2013-04-26,7236451
4,311.95,317.8,306.8,314.4,0,2013-04-29,3382174
5,312.5,317.7,307.75,317.65,0,2013-04-30,3484254
6,310.55,318.45,297.15,301.95,0,2013-05-02,12124136
7,311.45,325.0,309.9,319.6,0,2013-05-03,7935432
8,314.2,317.0,311.85,315.75,0,2013-05-06,5112511
9,324.7,326.25,312.65,315.95,0,2013-05-07,6104492
10,317.85,324.5,316.5,324.5,0,2013-05-08,3726149
11,318.65,321.35,315.7,315.7,0,2013-05-09,3382341
12,317.9,320.6,316.3,318.65,0,2013-05-10,2352576
13,319.05,320.1,313.85,316.15,0,2013-05-11,254752
14,305.65,318.45,304.1,315.6,0,2013-05-13,2997669
15,311.05,312.65,306.0,308.35,0,2013-05-14,2516236
16,316.3,318.25,309.1,309.1,0,2013-05-15,3373108
17,315.2,321.4,314.25,314.85,0,2013-05-16,2618889
18,309.35,317.15,306.5,316.1,0,2013-05-17,2729361
19,301.75,313.55,300.8,313.45,0,2013-05-20,3799436
20,298.5,304.9,296.8,301.0,0,2013-05-21,3247583
21,305.95,307.75,300.0,300.7,0,2013-05-22,3915409
22,294.35,302.8,293.25,302.2,0,2013-05-23,6540165
23,292.65,298.75,288.85,298.75,0,2013-05-24,2955717
24,303.1,304.8,294.1,294.1,0,2013-05-27,3231688
25,308.65,311.2,303.9,304.5,0,2013-05-28,2627504
26,308.8,310.0,303.55,309.75,0,2013-05-29,2104889
27,309.2,312.85,300.3,300.3,0,2013-05-30,2618564
28,296.05,310.35,291.2,307.85,0,2013-05-31,3024681
29,297.45,302.4,292.55,296.35,0,2013-06-03,1640726
30,298.25,302.45,296.6,299.25,0,2013-06-04,1336102
31,296.5,300.0,294.2,299.7,0,2013-06-05,4204575
32,289.3,296.45,286.55,296.05,0,2013-06-06,6030296
33,282.65,291.1,281.1,287.35,0,2013-06-07,4164338
34,278.2,285.7,275.5,284.8,0,2013-06-10,4542047
35,273.25,277.65,268.85,276.05,0,2013-06-11,8301143
36,272.3,276.2,269.2,270.85,0,2013-06-12,5319788
37,282.05,283.2,269.8,269.8,0,2013-06-13,4705784
38,283.75,286.6,281.45,284.3,0,2013-06-14,2631815
39,290.2,294.1,283.75,283.75,0,2013-06-17,4034902
40,286.25,295.55,283.95,293.25,0,2013-06-18,3478219
41,293.7,295.85,286.25,286.25,0,2013-06-19,3501393
42,283.15,289.2,281.0,289.2,0,2013-06-20,7261093
43,286.25,289.75,280.25,283.15,0,2013-06-21,5766608
44,277.9,285.3,276.1,283.35,0,2013-06-24,4878886
45,289.5,291.3,274.65,278.9,0,2013-06-25,4372064
46,272.25,288.25,271.05,287.25,0,2013-06-26,9294170
47,275.25,280.3,272.55,280.3,0,2013-06-27,5843647
48,286.05,288.35,275.8,276.7,0,2013-06-28,4148512
49,290.35,295.1,285.45,286.05,0,2013-07-01,3230740
50,296.9,299.65,286.25,289.05,0,2013-07-02,5135843
51,288.75,300.65,277.25,296.1,0,2013-07-03,4467191
52,295.25,297.65,287.35,287.35,0,2013-07-04,3138182
53,290.05,300.1,287.05,298.65,0,2013-07-05,1973607
54,287.85,301.65,284.4,287.45,0,2013-07-08,4637374
55,285.95,291.2,284.4,288.8,0,2013-07-09,2602209
56,284.4,288.25,283.5,288.25,0,2013-07-10,2871629
57,294.15,295.1,287.25,287.25,0,2013-07-11,2739005
58,299.5,300.95,291.0,295.1,0,2013-07-12,3474380
59,308.3,309.95,296.15,298.15,0,2013-07-15,3514407
60,314.8,317.2,302.25,303.9,0,2013-07-16,3854193
61,309.85,321.05,306.0,318.65,0,2013-07-17,6354794
62,317.3,318.65,308.6,308.6,0,2013-07-18,3528831
63,323.4,327.35,312.15,317.35,0,2013-07-19,5785737
64,329.5,330.7,319.65,322.45,0,2013-07-22,3606910
65,323.65,330.8,322.4,329.85,0,2013-07-23,2876903
66,330.8,332.35,320.6,320.6,0,2013-07-24,4440836
67,330.5,334.1,326.65,330.4,0,2013-07-25,4897782
68,330.6,333.3,324.55,331.25,0,2013-07-26,2697752
69,327.45,340.0,325.0,330.4,0,2013-07-29,5116852
70,314.8,327.3,311.0,326.0,0,2013-07-30,3269951
71,337.75,341.2,307.15,307.85,0,2013-07-31,14178409
72,336.5,347.05,332.6,340.95,0,2013-08-01,13629251
73,338.5,342.55,332.45,336.45,0,2013-08-02,6438103
74,329.75,339.6,328.45,337.4,0,2013-08-05,3478690
75,316.55,331.25,311.8,331.25,0,2013-08-06,5492057
76,319.85,326.0,314.2,318.65,0,2013-08-07,4312144
77,330.7,333.45,317.65,320.5,0,2013-08-08,4565603
78,335.1,337.7,326.4,335.5,0,2013-08-12,4697488
79,339.6,342.6,327.05,331.35,0,2013-08-13,3837875
80,336.55,344.9,334.5,339.2,0,2013-08-14,3019067
81,329.05,341.2,325.3,340.0,0,2013-08-16,8606545
82,311.35,328.4,301.75,328.35,0,2013-08-19,7362721
83,312.2,317.4,295.45,304.9,0,2013-08-20,6712338
84,292.9,318.2,288.75,317.65,0,2013-08-21,4966845
85,306.85,310.8,290.0,292.15,0,2013-08-22,5294956
86,302.9,307.8,297.6,306.85,0,2013-08-23,5842240
87,301.05,310.3,299.0,303.05,0,2013-08-26,2641063
88,288.15,300.75,285.4,299.0,0,2013-08-27,6371680
89,282.15,287.25,273.75,287.25,0,2013-08-28,4574939
90,293.5,295.0,284.3,287.65,0,2013-08-29,8701013
91,293.25,296.25,284.4,296.1,0,2013-08-30,5549157
92,294.4,297.85,289.3,297.85,0,2013-09-02,2606993
93,279.4,301.85,277.45,300.0,0,2013-09-03,4777384
94,291.35,293.35,275.0,279.6,0,2013-09-04,3487642
95,290.4,302.95,288.25,297.05,0,2013-09-05,7646767
96,307.6,311.55,292.7,297.0,0,2013-09-06,9525852
97,331.7,344.5,315.3,317.65,0,2013-09-10,12447894
98,328.55,338.1,322.8,332.0,0,2013-09-11,5798257
99,322.15,333.25,318.2,332.15,0,2013-09-12,3214291
100,319.35,325.75,310.2,316.75,0,2013-09-13,4957924
101,329.15,333.05,320.6,322.55,0,2013-09-16,3662866
102,330.7,334.1,323.8,330.1,0,2013-09-17,3380720
103,331.0,333.65,327.0,333.35,0,2013-09-18,2286317
104,347.35,351.7,336.3,338.25,0,2013-09-19,8708929
105,337.45,347.35,334.4,347.35,0,2013-09-20,10463823
106,328.6,333.65,323.6,333.25,0,2013-09-23,5392036
107,323.8,329.4,322.15,328.35,0,2013-09-24,5555279
108,329.4,332.25,318.75,323.55,0,2013-09-25,3380898
109,328.2,332.55,322.75,330.9,0,2013-09-26,5272766
110,318.9,331.85,317.2,331.85,0,2013-09-27,5139299
111,312.4,316.25,305.95,315.5,0,2013-09-30,5674767
112,316.25,317.95,302.95,313.05,0,2013-10-01,4278542
113,317.95,319.4,304.9,315.5,0,2013-10-03,5593770
114,321.9,325.7,312.05,312.05,0,2013-10-04,3835294
115,316.9,319.3,313.15,316.9,0,2013-10-07,2473014
116,325.6,328.05,316.65,324.7,0,2013-10-08,4107497
117,327.6,328.5,316.8,327.15,0,2013-10-09,5340921
118,326.35,329.7,322.65,324.75,0,2013-10-10,3376700
119,328.0,331.0,325.25,329.05,0,2013-10-11,2111222
120,326.55,331.85,325.5,330.3,0,2013-10-14,1708989
121,332.45,337.25,327.45,329.4,0,2013-10-15,4247661
122,341.8,343.15,332.85,334.3,0,2013-10-17,5980348
123,349.75,351.95,341.9,343.15,0,2013-10-18,4740870
124,346.05,352.5,343.15,347.6,0,2013-10-21,2386301
