,c,h,l,o,oi,time,v
0,138.23,140.77,135.4,135.75,0,2013-04-22,3699998
1,137.75,138.33,135.1,137.4,0,2013-04-23,1601264
2,138.92,140.0,136.6,137.07,0,2013-04-25,2720009
3,137.68,139.77,136.71,137.33,0,2013-04-26,1131332
4,138.1,138.93,137.1,137.1,0,2013-04-29,1704653
5,138.09,139.29,132.7,138.17,0,2013-04-30,2730569
6,138.95,140.67,138.33,138.75,0,2013-05-02,1934198
7,134.43,138.32,133.79,137.63,0,2013-05-03,1820621
8,136.15,136.51,132.88,134.93,0,2013-05-06,1574207
9,135.57,137.09,134.53,136.37,0,2013-05-07,1681226
10,136.45,137.63,135.59,136.0,0,2013-05-08,1498679
11,136.6,137.65,135.47,137.65,0,2013-05-09,2028101
12,138.35,139.0,136.9,136.9,0,2013-05-10,5123699
13,139.45,141.63,138.67,140.5,0,2013-05-11,751868
14,136.53,140.33,135.5,139.65,0,2013-05-13,1965617
15,136.59,138.33,136.01,137.17,0,2013-05-14,2340530
16,138.63,139.73,136.77,136.97,0,2013-05-15,2978795
17,140.63,142.77,137.55,138.83,0,2013-05-16,3037487
18,139.42,141.97,138.33,140.63,0,2013-05-17,1950347
19,136.59,139.95,135.7,139.75,0,2013-05-20,2182805
20,134.12,137.49,133.6,136.97,0,2013-05-21,2184728
21,129.88,134.95,126.13,134.59,0,2013-05-22,8716400
22,126.63,130.27,124.47,130.21,0,2013-05-23,9109553
23,127.49,130.27,127.07,127.5,0,2013-05-24,3439244
24,125.82,129.49,125.35,129.1,0,2013-05-27,4235657
25,126.87,128.0,126.0,126.6,0,2013-05-28,2759924
26,126.25,128.93,125.87,127.67,0,2013-05-29,2280803
27,127.9,128.3,124.4,128.3,0,2013-05-30,3794060
28,125.62,128.99,125.0,128.42,0,2013-05-31,2472131
29,122.62,127.1,121.83,126.67,0,2013-06-03,4592111
30,123.79,124.88,122.29,123.17,0,2013-06-04,2896802
31,124.55,125.17,123.4,123.59,0,2013-06-05,2150138
32,124.33,124.83,122.97,124.73,0,2013-06-06,1401605
33,125.4,126.83,124.0,124.0,0,2013-06-07,2308931
34,122.1,126.6,121.35,126.6,0,2013-06-10,2346626
35,119.68,123.21,117.5,122.0,0,2013-06-11,5981894
36,120.9,122.47,118.57,119.99,0,2013-06-12,1670456
37,119.1,120.71,117.93,120.03,0,2013-06-13,2540540
38,122.97,123.93,120.05,120.42,0,2013-06-14,2732054
39,122.3,124.23,120.57,124.21,0,2013-06-17,2810042
40,121.62,122.0,120.67,121.68,0,2013-06-18,2314037
41,121.59,122.33,119.51,120.71,0,2013-06-19,2229218
42,117.12,119.95,116.85,119.7,0,2013-06-20,2665520
43,116.12,118.59,114.82,116.7,0,2013-06-21,1645736
44,112.99,117.23,111.6,116.67,0,2013-06-24,2892809
45,114.99,117.67,112.68,112.68,0,2013-06-25,3283022
46,116.18,117.7,115.43,115.87,0,2013-06-26,2518484
47,115.21,118.29,114.23,118.29,0,2013-06-27,3856544
48,122.32,123.09,116.75,117.33,0,2013-06-28,4832411
49,124.79,125.2,120.23,123.33,0,2013-07-01,3467606
50,123.85,126.21,123.37,125.38,0,2013-07-02,2636297
51,119.13,122.67,117.75,122.33,0,2013-07-03,2359832
52,122.2,126.68,118.87,120.0,0,2013-07-04,1929302
53,121.8,123.97,120.23,123.67,0,2013-07-05,1550306
54,115.23,120.7,114.83,120.7,0,2013-07-08,4041059
55,115.2,117.95,114.85,116.67,0,2013-07-09,2022956
56,111.68,115.35,111.33,115.33,0,2013-07-10,2210039
57,113.12,114.88,112.7,113.93,0,2013-07-11,2583257
58,114.65,114.97,111.97,113.7,0,2013-07-12,1485596
59,113.5,115.77,112.97,115.67,0,2013-07-15,2238002
60,115.67,116.77,112.0,112.0,0,2013-07-16,2991443
61,114.07,116.15,111.67,115.0,0,2013-07-17,3525779
62,114.51,115.65,113.37,114.33,0,2013-07-18,2002202
63,115.55,116.5,113.7,114.01,0,2013-07-19,1888985
64,115.42,117.67,113.6,115.01,0,2013-07-22,3208985
65,117.59,119.17,115.82,115.85,0,2013-07-23,4288835
66,116.01,119.0,115.23,117.0,0,2013-07-24,3453557
67,116.71,121.33,114.57,116.67,0,2013-07-25,5715620
68,116.79,119.42,115.55,117.67,0,2013-07-26,3600905
69,113.47,116.83,112.25,116.67,0,2013-07-29,3217598
70,103.77,113.85,102.47,113.7,0,2013-07-30,7511636
71,107.92,108.33,96.25,103.0,0,2013-07-31,6640778
72,101.51,109.21,99.37,109.21,0,2013-08-01,6178940
73,96.62,100.67,94.05,100.0,0,2013-08-02,4326830
74,93.95,98.65,93.0,98.65,0,2013-08-05,5437925
75,87.15,95.29,85.31,93.33,0,2013-08-06,7248611
76,91.21,93.33,86.67,87.33,0,2013-08-07,9702194
77,92.0,94.33,88.77,91.67,0,2013-08-08,4039826
78,94.62,95.23,90.8,92.33,0,2013-08-12,3450641
79,95.35,96.17,91.85,93.33,0,2013-08-13,4763831
