,c,h,l,o,oi,time,v
0,282.3,283.35,271.75,271.75,0,2013-04-22,104402
1,278.27,286.38,275.77,282.5,0,2013-04-23,80650
2,281.83,288.42,275.5,275.5,0,2013-04-25,1277212
3,283.1,285.48,280.0,282.5,0,2013-04-26,90976
4,281.35,283.0,280.25,282.02,0,2013-04-29,62364
5,289.92,291.95,282.5,282.5,0,2013-04-30,127618
6,287.35,292.77,280.77,283.5,0,2013-05-02,86380
7,286.35,289.98,281.67,288.0,0,2013-05-03,137970
8,288.6,290.0,285.52,286.0,0,2013-05-06,141474
9,288.3,291.33,285.95,288.02,0,2013-05-07,92652
10,285.15,292.52,281.58,288.25,0,2013-05-08,353396
11,288.83,290.0,281.98,284.55,0,2013-05-09,257930
12,285.55,289.0,278.85,287.5,0,2013-05-10,61840
13,285.42,287.4,284.05,287.4,0,2013-05-11,1338
14,280.17,288.48,278.08,282.5,0,2013-05-13,94912
15,282.38,286.0,278.5,278.5,0,2013-05-14,245520
16,285.27,289.95,280.63,280.63,0,2013-05-15,666212
17,285.25,292.13,284.2,287.5,0,2013-05-16,106910
18,285.35,287.5,281.63,285.0,0,2013-05-17,273282
19,284.42,289.95,283.65,286.52,0,2013-05-20,188706
20,282.52,286.95,280.5,285.0,0,2013-05-21,234138
21,282.92,285.55,279.05,284.0,0,2013-05-22,251406
22,287.67,289.38,280.0,282.5,0,2013-05-23,210136
23,287.4,290.5,285.92,288.0,0,2013-05-24,95078
24,332.83,341.5,308.5,308.5,0,2013-05-27,3455274
25,339.48,349.35,326.0,334.92,0,2013-05-28,1708820
26,341.7,346.45,336.0,340.8,0,2013-05-29,693988
27,350.0,354.4,337.73,341.75,0,2013-05-30,433594
28,362.1,365.0,351.0,352.5,0,2013-05-31,562080
29,347.38,375.95,335.08,362.5,0,2013-06-03,1237316
30,338.92,355.45,336.55,346.5,0,2013-06-04,716798
31,332.38,344.98,330.08,338.5,0,2013-06-05,470918
32,346.05,348.6,324.5,332.35,0,2013-06-06,668000
33,345.13,354.17,342.75,349.13,0,2013-06-07,383680
34,345.88,349.0,341.15,345.0,0,2013-06-10,319356
35,346.38,351.0,344.52,349.98,0,2013-06-11,790394
36,342.1,347.5,340.5,343.0,0,2013-06-12,168954
37,337.55,343.48,333.15,342.0,0,2013-06-13,225142
38,341.33,345.0,339.75,339.85,0,2013-06-14,563194
39,337.13,344.75,336.13,344.75,0,2013-06-17,98148
40,335.1,342.5,334.02,337.25,0,2013-06-18,189010
41,333.8,336.0,332.52,336.0,0,2013-06-19,213324
