,c,h,l,o,oi,time,v
0,397.25,404.6,396.0,401.5,0,2013-04-22,735850
1,396.0,397.5,392.1,397.0,0,2013-04-23,598218
2,407.0,409.35,396.5,398.05,0,2013-04-25,1646543
3,409.85,412.4,406.1,408.0,0,2013-04-26,1064859
4,407.5,413.85,405.1,410.85,0,2013-04-29,919198
5,405.3,412.6,404.2,410.55,0,2013-04-30,964246
6,409.05,413.25,405.8,407.05,0,2013-05-02,1002488
7,400.65,411.1,399.05,410.95,0,2013-05-03,989546
8,405.05,406.15,401.0,401.0,0,2013-05-06,566516
9,408.05,409.7,403.0,406.0,0,2013-05-07,906339
10,406.05,412.0,404.5,409.85,0,2013-05-08,1202178
11,400.05,407.8,398.7,405.0,0,2013-05-09,1077931
12,397.55,398.95,394.15,397.85,0,2013-05-10,1025051
13,401.8,403.0,397.95,400.0,0,2013-05-11,169783
14,395.05,406.4,394.0,400.05,0,2013-05-13,1078667
15,398.65,400.5,392.25,396.25,0,2013-05-14,480898
16,411.1,412.9,397.6,398.4,0,2013-05-15,1604567
17,422.1,425.0,409.0,411.0,0,2013-05-16,2601211
18,425.6,428.0,415.7,422.0,0,2013-05-17,2126588
19,417.35,426.95,416.05,426.95,0,2013-05-20,976850
20,418.05,420.5,414.65,417.5,0,2013-05-21,800809
21,415.7,422.4,414.25,419.8,0,2013-05-22,597852
22,414.85,418.0,411.25,414.85,0,2013-05-23,904509
23,408.5,418.0,406.1,417.0,0,2013-05-24,1107334
24,401.5,409.0,399.4,408.0,0,2013-05-27,838566
25,396.3,406.95,396.0,399.7,0,2013-05-28,1559336
26,401.7,403.0,392.75,396.5,0,2013-05-29,2492144
27,383.0,403.35,381.0,392.0,0,2013-05-30,7939979
28,370.55,384.0,368.0,383.5,0,2013-05-31,2647020
29,367.55,375.7,364.0,371.55,0,2013-06-03,1399483
30,375.2,380.1,368.8,369.0,0,2013-06-04,1936385
31,375.55,377.2,369.6,376.05,0,2013-06-05,2132512
32,375.55,380.1,374.0,375.5,0,2013-06-06,1416392
33,373.3,375.4,371.5,373.05,0,2013-06-07,1426740
34,374.2,376.0,369.6,373.35,0,2013-06-10,1465436
35,379.9,381.25,371.6,371.6,0,2013-06-11,1466111
36,384.05,385.45,380.25,381.0,0,2013-06-12,2014328
37,378.5,382.9,375.0,382.9,0,2013-06-13,1435428
38,377.9,381.2,372.75,379.9,0,2013-06-14,2197305
39,380.25,381.5,373.55,378.1,0,2013-06-17,875560
40,379.65,381.5,375.3,380.3,0,2013-06-18,1270859
41,379.5,382.0,376.05,379.0,0,2013-06-19,997883
42,379.1,382.8,373.05,376.8,0,2013-06-20,2055603
43,381.3,382.3,374.6,380.0,0,2013-06-21,2001208
44,380.1,382.7,372.2,380.8,0,2013-06-24,1519576
45,379.4,381.5,375.0,380.0,0,2013-06-25,1718172
