,c,h,l,o,oi,time,v
0,312.5,313.9,300.15,300.15,0,2013-04-22,5301898
1,311.8,317.1,308.3,315.0,0,2013-04-23,2266794
2,317.1,318.5,312.55,312.95,0,2013-04-25,3417233
3,319.0,324.3,315.1,315.1,0,2013-04-26,2154596
4,313.45,322.1,312.25,320.1,0,2013-04-29,1361563
5,319.2,320.5,312.0,314.55,0,2013-04-30,2252928
6,317.3,322.7,315.1,321.0,0,2013-05-02,1430676
7,318.75,319.95,314.3,319.8,0,2013-05-03,1577249
8,316.45,320.0,315.3,316.55,0,2013-05-06,867052
9,309.95,315.9,308.75,315.9,0,2013-05-07,3570510
10,312.25,314.0,310.65,313.3,0,2013-05-08,1429302
11,308.85,313.0,307.8,312.25,0,2013-05-09,1546402
12,299.7,310.3,297.6,310.0,0,2013-05-10,2637865
13,303.65,303.95,298.5,298.5,0,2013-05-11,211932
14,296.8,304.25,295.25,303.9,0,2013-05-13,1982939
15,294.8,300.95,294.05,298.45,0,2013-05-14,1730499
16,300.15,301.5,295.5,295.5,0,2013-05-15,2373288
17,298.6,302.5,297.4,299.0,0,2013-05-16,2310647
18,297.5,300.0,296.1,298.8,0,2013-05-17,1472277
19,301.3,305.4,300.05,301.0,0,2013-05-20,1497496
20,307.5,308.95,304.0,304.8,0,2013-05-21,2690361
21,309.95,314.55,309.1,309.1,0,2013-05-22,3015493
22,308.1,310.5,306.05,309.0,0,2013-05-23,3558706
23,310.15,314.25,308.5,311.95,0,2013-05-24,8813985
24,313.8,314.75,312.55,313.25,0,2013-05-27,2356166
25,323.4,328.0,320.0,328.0,0,2013-05-28,5561014
26,327.4,328.8,324.0,325.9,0,2013-05-29,3055647
27,327.7,329.5,324.25,326.0,0,2013-05-30,3032019
28,324.7,328.0,323.0,325.1,0,2013-05-31,4512959
29,326.15,330.7,323.5,325.25,0,2013-06-03,1489728
30,325.0,327.95,320.0,326.0,0,2013-06-04,2561931
31,323.55,325.05,319.1,323.15,0,2013-06-05,1676990
32,323.3,325.4,318.05,320.0,0,2013-06-06,2308221
33,319.7,323.5,318.0,320.0,0,2013-06-07,2348565
34,319.95,323.6,319.05,320.05,0,2013-06-10,2130996
35,311.9,319.25,307.5,319.0,0,2013-06-11,3408678
36,303.05,309.5,299.55,306.0,0,2013-06-12,2536722
37,298.9,302.7,295.6,300.0,0,2013-06-13,2400040
38,300.95,303.0,296.9,302.1,0,2013-06-14,2962607
39,301.9,303.5,296.45,303.0,0,2013-06-17,2441271
40,303.05,304.65,300.75,300.75,0,2013-06-18,1833002
41,299.55,303.7,297.0,302.1,0,2013-06-19,4827143
42,295.9,297.35,293.3,296.95,0,2013-06-20,4313673
43,298.6,300.6,293.4,296.0,0,2013-06-21,3559191
