,c,h,l,o,oi,time,v
0,530.35,537.5,525.5,534.92,0,2013-04-22,551570
1,528.45,535.0,519.5,528.17,0,2013-04-23,248502
2,528.8,533.25,522.65,525.55,0,2013-04-25,636644
3,530.9,537.0,525.5,526.08,0,2013-04-26,182916
4,543.83,548.5,531.5,531.5,0,2013-04-29,373054
5,537.42,551.78,521.5,544.5,0,2013-04-30,374550
6,542.35,546.2,536.0,537.42,0,2013-05-02,195924
7,535.2,545.08,533.5,544.47,0,2013-05-03,99290
8,539.88,541.95,535.2,536.5,0,2013-05-06,115160
9,551.2,554.0,539.75,539.75,0,2013-05-07,244174
10,546.15,558.0,540.6,549.0,0,2013-05-08,324738
11,541.42,550.5,540.0,546.0,0,2013-05-09,155528
12,544.05,546.0,540.0,542.0,0,2013-05-10,51522
13,541.67,546.5,537.15,537.15,0,2013-05-11,10890
14,552.28,554.47,540.5,540.5,0,2013-05-13,199612
15,560.55,564.0,555.0,555.0,0,2013-05-14,530450
16,571.2,573.88,561.75,561.75,0,2013-05-15,413416
17,564.72,576.0,563.15,574.88,0,2013-05-16,223824
18,560.33,568.35,558.0,564.75,0,2013-05-17,143038
19,541.1,564.95,537.6,558.0,0,2013-05-20,249594
20,503.23,531.0,498.5,531.0,0,2013-05-21,1609216
21,497.5,509.5,491.35,504.0,0,2013-05-22,969762
22,489.85,504.0,487.55,504.0,0,2013-05-23,571370
23,494.7,497.0,489.0,493.45,0,2013-05-24,414306
24,495.3,503.0,490.05,490.05,0,2013-05-27,285114
25,491.38,499.5,490.33,492.0,0,2013-05-28,314464
26,497.38,500.0,492.75,492.75,0,2013-05-29,239326
27,486.38,500.0,482.98,492.5,0,2013-05-30,453678
28,488.8,493.5,485.0,485.0,0,2013-05-31,420960
29,476.83,493.45,474.23,487.5,0,2013-06-03,284384
30,482.65,485.85,475.63,477.45,0,2013-06-04,184500
31,486.15,487.45,477.0,482.65,0,2013-06-05,182592
32,480.67,489.45,478.13,487.85,0,2013-06-06,324282
33,472.25,484.0,470.2,480.0,0,2013-06-07,146796
34,468.17,476.9,463.55,471.5,0,2013-06-10,218216
35,480.23,483.45,466.05,466.05,0,2013-06-11,389616
36,485.23,491.0,480.0,480.1,0,2013-06-12,577146
37,478.17,486.65,475.1,484.0,0,2013-06-13,485852
38,485.1,486.0,480.0,480.0,0,2013-06-14,200030
39,483.67,489.5,480.05,489.5,0,2013-06-17,154012
40,480.88,487.5,477.13,482.5,0,2013-06-18,121198
41,484.02,487.48,480.0,484.0,0,2013-06-19,92302
42,484.5,490.45,471.02,482.52,0,2013-06-20,287718
43,490.6,501.1,479.5,479.5,0,2013-06-21,606694
44,484.45,497.33,480.6,492.85,0,2013-06-24,315230
45,483.48,492.1,471.55,478.5,0,2013-06-25,362246
46,489.92,494.4,480.5,485.15,0,2013-06-26,406440
47,486.48,496.0,481.5,496.0,0,2013-06-27,668824
48,495.55,497.5,489.08,492.5,0,2013-06-28,300764
49,494.75,499.98,487.5,497.0,0,2013-07-01,493776
50,489.67,495.92,487.0,492.75,0,2013-07-02,273150
51,482.17,492.17,480.02,490.0,0,2013-07-03,232916
52,481.33,487.5,480.63,485.0,0,2013-07-04,177766
53,486.83,492.5,482.65,484.45,0,2013-07-05,141010
54,484.63,490.5,483.05,490.0,0,2013-07-08,146314
55,496.02,497.5,487.0,487.8,0,2013-07-09,504840
56,503.55,509.5,496.52,496.52,0,2013-07-10,704224
57,502.75,512.72,499.5,508.13,0,2013-07-11,469152
58,505.05,508.02,496.2,503.0,0,2013-07-12,916688
59,500.7,507.5,499.73,500.5,0,2013-07-15,590896
60,498.13,503.6,495.1,502.5,0,2013-07-16,146682
61,498.45,503.3,492.0,498.0,0,2013-07-17,215530
62,497.23,503.45,495.0,499.0,0,2013-07-18,141324
63,488.0,501.02,481.75,498.0,0,2013-07-19,220006
64,478.73,490.0,475.58,487.5,0,2013-07-22,325098
65,482.38,486.0,477.48,478.73,0,2013-07-23,453052
66,484.55,485.0,474.0,485.0,0,2013-07-24,227338
67,469.42,481.0,467.25,480.08,0,2013-07-25,452350
68,473.65,476.5,471.4,471.55,0,2013-07-26,99086
69,481.13,482.95,471.33,471.33,0,2013-07-29,196448
70,462.77,484.5,459.52,481.15,0,2013-07-30,705076
71,468.35,471.5,452.63,462.77,0,2013-07-31,295182
72,460.58,473.98,455.5,468.0,0,2013-08-01,653746
73,463.95,469.95,459.13,462.63,0,2013-08-02,222224
74,477.35,479.5,455.0,467.5,0,2013-08-05,724764
75,466.23,478.95,463.23,472.5,0,2013-08-06,325230
76,472.83,475.75,467.5,467.5,0,2013-08-07,117856
77,484.65,489.0,470.17,472.58,0,2013-08-08,196438
78,504.08,508.73,488.25,493.98,0,2013-08-12,701100
79,499.35,508.45,494.15,504.0,0,2013-08-13,245794
80,499.1,505.65,495.35,500.0,0,2013-08-14,172512
81,495.95,507.33,490.98,495.13,0,2013-08-16,245288
82,476.48,504.67,464.85,497.6,0,2013-08-19,390266
83,472.52,475.95,469.27,475.0,0,2013-08-20,247120
84,472.58,484.35,470.05,479.02,0,2013-08-21,254784
85,472.98,480.0,466.63,471.05,0,2013-08-22,712434
86,467.45,475.02,465.5,469.05,0,2013-08-23,390672
87,475.1,479.52,466.1,466.1,0,2013-08-26,295770
88,469.42,477.38,466.3,475.1,0,2013-08-27,281426
89,478.52,480.5,458.67,465.05,0,2013-08-28,223646
90,478.48,484.7,474.5,477.5,0,2013-08-29,532974
91,497.13,502.5,478.13,487.0,0,2013-08-30,352458
92,497.95,508.95,494.15,497.5,0,2013-09-02,268028
93,476.9,502.95,465.13,502.95,0,2013-09-03,287912
94,486.5,494.5,473.0,476.9,0,2013-09-04,516786
95,483.38,498.5,475.48,498.5,0,2013-09-05,389200
96,491.45,494.0,486.65,492.0,0,2013-09-06,188118
97,497.58,501.98,483.77,493.0,0,2013-09-10,620722
98,497.05,500.88,492.5,497.58,0,2013-09-11,203112
99,497.33,512.5,488.0,497.05,0,2013-09-12,427036
100,501.3,517.5,499.13,500.25,0,2013-09-13,635382
101,491.1,509.5,487.55,509.5,0,2013-09-16,640750
102,494.48,497.83,485.65,488.65,0,2013-09-17,272350
103,496.45,499.5,490.63,494.52,0,2013-09-18,187384
104,505.25,507.5,495.5,502.0,0,2013-09-19,387810
105,498.88,514.7,492.55,508.0,0,2013-09-20,709180
106,497.75,500.95,492.65,494.42,0,2013-09-23,202110
107,495.02,499.75,493.0,494.0,0,2013-09-24,639716
108,489.4,498.0,486.5,496.5,0,2013-09-25,242052
109,487.98,493.95,485.5,489.55,0,2013-09-26,216636
110,492.35,497.42,488.5,490.0,0,2013-09-27,199364
111,485.17,493.48,478.63,488.58,0,2013-09-30,262826
112,496.42,497.5,480.85,481.65,0,2013-10-01,381792
113,506.8,508.5,496.42,496.42,0,2013-10-03,426614
114,511.17,515.35,505.25,505.25,0,2013-10-04,301692
115,524.6,527.5,510.55,512.5,0,2013-10-07,400874
116,529.28,532.15,521.55,527.5,0,2013-10-08,446212
117,523.7,529.97,521.28,524.9,0,2013-10-09,231560
118,523.42,532.45,520.55,527.0,0,2013-10-10,305538
119,517.05,530.0,514.5,528.5,0,2013-10-11,274702
120,512.42,522.33,510.77,519.4,0,2013-10-14,268358
121,515.97,519.0,507.52,517.0,0,2013-10-15,233574
122,504.38,519.4,502.5,519.4,0,2013-10-17,108788
123,515.17,517.5,505.0,508.35,0,2013-10-18,133794
124,515.72,522.05,514.53,517.45,0,2013-10-21,146278
125,516.9,520.0,513.4,515.5,0,2013-10-22,142644
126,509.17,519.92,503.1,519.92,0,2013-10-23,222230
127,495.6,510.0,493.05,509.48,0,2013-10-24,458514
128,487.42,497.27,486.1,497.27,0,2013-10-25,550996
129,483.3,492.0,481.6,487.5,0,2013-10-28,141130
130,495.58,497.5,478.63,478.63,0,2013-10-29,529102
131,486.45,499.3,485.58,499.3,0,2013-10-30,608678
132,486.25,490.65,482.6,488.75,0,2013-10-31,769782
133,488.75,492.5,484.5,489.0,0,2013-11-01,477978
134,494.6,496.0,490.2,493.5,0,2013-11-03,46064
135,492.13,499.5,490.75,491.25,0,2013-11-05,538306
136,514.83,517.53,492.5,494.5,0,2013-11-06,561542
137,500.1,519.9,493.6,519.85,0,2013-11-07,432420
138,510.2,514.0,500.0,502.45,0,2013-11-08,299326
139,550.65,565.35,525.0,525.0,0,2013-11-11,2713396
140,569.2,576.0,555.92,559.5,0,2013-11-12,1799262
141,569.72,579.97,566.08,575.25,0,2013-11-13,700162
142,574.15,581.45,561.5,570.0,0,2013-11-14,383232
143,577.63,583.38,573.7,574.95,0,2013-11-18,304866
144,569.67,578.28,567.78,578.25,0,2013-11-19,334196
145,569.5,581.8,564.95,572.47,0,2013-11-20,344404
146,566.3,575.5,561.0,571.5,0,2013-11-21,276452
