,c,h,l,o,oi,time,v
0,1886.35,1905.0,1859.1,1905.0,0,2013-04-22,209681
1,1901.5,1917.35,1885.05,1892.0,0,2013-04-23,233351
2,1992.5,2000.0,1910.0,1917.8,0,2013-04-25,1084753
3,1990.85,2010.0,1973.4,1990.0,0,2013-04-26,489333
4,1997.35,2018.9,1980.0,1992.0,0,2013-04-29,155864
5,2028.2,2038.65,1984.95,2000.0,0,2013-04-30,461599
6,2009.65,2035.9,2005.85,2023.1,0,2013-05-02,258750
7,2001.45,2020.0,1998.05,2005.0,0,2013-05-03,112023
8,1992.95,2015.0,1987.0,2003.25,0,2013-05-06,431404
9,1991.9,2004.5,1973.45,1992.3,0,2013-05-07,221147
10,1998.75,2003.0,1970.0,1995.25,0,2013-05-08,266876
11,1986.95,2018.0,1981.2,1999.0,0,2013-05-09,189635
12,2022.25,2029.0,1984.0,1984.0,0,2013-05-10,433919
13,2091.7,2108.4,2042.0,2042.0,0,2013-05-11,94050
14,2077.3,2152.0,2052.25,2109.0,0,2013-05-13,687285
15,2027.9,2120.0,2017.9,2094.0,0,2013-05-14,1101119
16,2065.3,2073.95,2034.0,2034.0,0,2013-05-15,751455
17,2118.95,2144.6,2082.65,2085.25,0,2013-05-16,546032
18,2078.3,2126.8,2072.0,2126.8,0,2013-05-17,248619
19,2044.8,2103.1,2037.3,2083.0,0,2013-05-20,426826
20,2020.85,2066.75,2013.75,2055.1,0,2013-05-21,541812
21,2055.75,2073.4,2026.0,2026.0,0,2013-05-22,295263
22,2051.45,2074.05,2033.0,2060.75,0,2013-05-23,399910
23,2066.1,2071.05,2053.45,2068.0,0,2013-05-24,342628
24,2090.95,2102.4,2062.7,2066.0,0,2013-05-27,346286
25,2116.85,2132.4,2086.0,2090.0,0,2013-05-28,650043
26,2122.75,2142.5,2085.05,2109.0,0,2013-05-29,285437
27,2107.65,2132.0,2087.65,2122.75,0,2013-05-30,431141
28,2092.0,2129.6,2085.3,2100.0,0,2013-05-31,350294
29,2111.85,2129.0,2080.75,2093.1,0,2013-06-03,272325
30,2157.1,2165.1,2120.7,2128.5,0,2013-06-04,362324
31,2160.65,2173.0,2152.0,2165.0,0,2013-06-05,247939
32,2137.85,2159.75,2121.1,2147.0,0,2013-06-06,362768
33,2190.3,2199.0,2132.0,2136.35,0,2013-06-07,458985
34,2181.5,2207.15,2171.25,2197.0,0,2013-06-10,309241
35,2183.95,2204.85,2153.0,2175.3,0,2013-06-11,363503
36,2178.45,2194.9,2165.0,2183.0,0,2013-06-12,318798
37,2159.05,2199.0,2148.05,2178.45,0,2013-06-13,256052
38,2175.85,2184.75,2154.25,2168.0,0,2013-06-14,221197
39,2146.45,2204.9,2136.5,2191.25,0,2013-06-17,234619
40,2130.95,2150.0,2120.0,2147.0,0,2013-06-18,189805
41,2099.7,2143.0,2078.4,2137.0,0,2013-06-19,233753
42,2077.65,2095.1,2052.25,2055.0,0,2013-06-20,293549
43,2121.4,2130.0,2034.2,2077.0,0,2013-06-21,344330
44,2103.05,2136.5,2080.15,2111.1,0,2013-06-24,190741
45,2099.65,2126.95,2085.0,2116.0,0,2013-06-25,242637
46,2095.85,2120.0,2081.2,2107.0,0,2013-06-26,344654
47,2159.25,2179.15,2105.0,2105.0,0,2013-06-27,612087
48,2218.85,2233.9,2166.0,2166.0,0,2013-06-28,420527
49,2263.8,2285.0,2217.0,2217.9,0,2013-07-01,401124
50,2263.4,2288.55,2240.6,2263.0,0,2013-07-02,272890
51,2210.85,2260.0,2154.8,2246.0,0,2013-07-03,363693
52,2222.8,2249.0,2202.65,2249.0,0,2013-07-04,274002
53,2238.85,2250.0,2221.25,2250.0,0,2013-07-05,224376
54,2248.75,2268.15,2208.7,2216.0,0,2013-07-08,235203
55,2284.2,2291.0,2233.1,2260.0,0,2013-07-09,167535
56,2261.5,2297.0,2246.1,2294.2,0,2013-07-10,229049
57,2295.85,2306.15,2261.0,2261.0,0,2013-07-11,252961
58,2349.45,2358.7,2254.0,2300.75,0,2013-07-12,397780
59,2347.65,2404.8,2328.0,2340.0,0,2013-07-15,316518
60,2278.4,2355.55,2265.15,2312.0,0,2013-07-16,785705
61,2311.15,2333.0,2295.0,2298.5,0,2013-07-17,517584
62,2339.5,2347.35,2312.3,2332.0,0,2013-07-18,604164
63,2346.1,2365.0,2321.4,2340.0,0,2013-07-19,229774
64,2319.45,2365.2,2307.7,2346.0,0,2013-07-22,607394
65,2361.25,2374.8,2321.0,2321.0,0,2013-07-23,418045
66,2346.2,2393.95,2330.25,2370.0,0,2013-07-24,297654
67,2317.95,2385.9,2306.5,2368.0,0,2013-07-25,369358
68,2294.45,2340.0,2258.0,2340.0,0,2013-07-26,147042
69,2217.7,2294.15,2205.1,2283.0,0,2013-07-29,260041
70,2177.25,2260.0,2145.6,2225.0,0,2013-07-30,1015472
71,2281.2,2294.35,2135.8,2150.05,0,2013-07-31,605278
72,2278.45,2329.0,2236.1,2300.0,0,2013-08-01,621878
73,2238.7,2275.0,2213.25,2275.0,0,2013-08-02,429804
74,2209.95,2264.0,2201.45,2244.8,0,2013-08-05,246328
75,2198.2,2232.0,2188.4,2200.0,0,2013-08-06,185211
76,2254.65,2262.0,2175.55,2205.0,0,2013-08-07,267333
77,2224.0,2249.0,2202.15,2249.0,0,2013-08-08,219845
78,2181.15,2235.05,2157.55,2235.0,0,2013-08-12,553674
79,2238.25,2246.0,2161.75,2180.4,0,2013-08-13,363898
80,2211.1,2241.8,2200.0,2220.0,0,2013-08-14,329020
81,2166.15,2215.25,2150.1,2192.0,0,2013-08-16,456542
82,2141.1,2187.9,2132.0,2150.0,0,2013-08-19,212585
83,2138.75,2164.8,2085.15,2085.15,0,2013-08-20,322964
