,c,h,l,o,oi,time,v
0,287.3,288.5,266.25,270.3,0,2013-04-22,859450
1,282.4,285.1,281.3,285.1,0,2013-04-23,29980
2,291.35,292.05,281.65,285.0,0,2013-04-25,140850
3,289.4,290.0,287.3,288.35,0,2013-04-26,53430
4,292.4,295.0,287.25,288.1,0,2013-04-29,72620
5,295.85,297.6,286.7,295.5,0,2013-04-30,259880
6,306.2,307.5,293.95,302.6,0,2013-05-02,302260
7,313.25,315.0,301.1,305.0,0,2013-05-03,138100
8,317.65,318.0,310.7,312.0,0,2013-05-06,351660
9,313.95,319.4,312.05,313.5,0,2013-05-07,264550
10,313.5,318.7,307.9,318.7,0,2013-05-08,124810
11,307.85,312.8,303.0,312.8,0,2013-05-09,148460
12,306.5,308.95,303.3,308.95,0,2013-05-10,290450
13,306.5,307.5,302.7,306.5,0,2013-05-11,2550
14,306.7,308.0,303.5,306.55,0,2013-05-13,71210
15,327.95,330.0,307.9,309.0,0,2013-05-14,1210070
16,340.1,348.6,327.1,333.4,0,2013-05-15,758590
17,345.2,348.0,333.9,339.9,0,2013-05-16,365860
18,344.95,346.5,341.35,346.1,0,2013-05-17,92650
19,349.55,355.5,340.65,344.1,0,2013-05-20,642660
20,349.7,357.3,345.05,349.4,0,2013-05-21,199850
21,351.05,352.5,347.5,349.0,0,2013-05-22,120890
22,345.35,350.5,343.15,345.2,0,2013-05-23,250060
23,358.25,359.9,343.6,346.8,0,2013-05-24,144670
24,365.6,369.8,357.0,357.0,0,2013-05-27,1006260
25,378.15,382.9,362.35,365.5,0,2013-05-28,168280
26,378.65,388.35,374.8,377.5,0,2013-05-29,288800
27,377.95,382.6,374.0,380.0,0,2013-05-30,80040
28,370.15,379.0,364.8,378.1,0,2013-05-31,89220
29,369.05,376.55,364.0,375.0,0,2013-06-03,92850
30,359.4,374.8,355.2,368.9,0,2013-06-04,128870
31,354.05,360.05,346.5,360.05,0,2013-06-05,177070
32,345.65,361.7,343.2,357.5,0,2013-06-06,101130
33,355.05,358.4,340.1,347.95,0,2013-06-07,612290
34,359.8,363.5,355.0,357.0,0,2013-06-10,418800
35,352.75,361.4,350.9,357.0,0,2013-06-11,177880
36,349.6,355.5,344.15,348.65,0,2013-06-12,309380
37,348.3,355.0,341.2,350.0,0,2013-06-13,41040
38,351.45,356.5,345.5,348.1,0,2013-06-14,238650
39,355.5,359.0,346.7,350.1,0,2013-06-17,145440
40,361.85,368.8,351.6,351.6,0,2013-06-18,350890
41,366.85,369.9,360.05,365.7,0,2013-06-19,268340
42,366.05,367.5,362.3,365.8,0,2013-06-20,130880
43,356.15,367.65,354.4,366.35,0,2013-06-21,52140
44,339.95,354.9,337.5,354.9,0,2013-06-24,101730
45,335.1,348.85,331.0,348.85,0,2013-06-25,504790
46,336.8,344.9,331.0,335.1,0,2013-06-26,204380
47,330.7,337.5,321.2,333.3,0,2013-06-27,440850
48,327.7,347.5,322.05,339.5,0,2013-06-28,701120
49,346.45,351.0,330.1,336.2,0,2013-07-01,232410
50,353.5,354.9,342.1,349.8,0,2013-07-02,97170
51,359.15,361.05,346.3,355.5,0,2013-07-03,45450
52,356.1,362.5,355.1,362.5,0,2013-07-04,79370
53,361.45,363.95,356.1,356.1,0,2013-07-05,39350
54,365.85,372.5,359.85,360.5,0,2013-07-08,551070
55,369.95,372.0,361.0,362.9,0,2013-07-09,835470
56,373.55,375.0,370.3,372.5,0,2013-07-10,184730
57,376.7,378.3,373.5,376.5,0,2013-07-11,440210
58,378.35,379.9,375.5,378.9,0,2013-07-12,63870
59,380.75,383.3,370.55,378.0,0,2013-07-15,179500
60,377.6,381.0,372.1,381.0,0,2013-07-16,161490
61,386.15,394.5,377.5,388.8,0,2013-07-17,1012740
62,387.75,398.0,385.0,390.0,0,2013-07-18,330710
63,383.95,394.35,383.0,391.5,0,2013-07-19,566230
64,380.6,385.4,377.5,378.1,0,2013-07-22,27040
65,372.6,386.45,369.0,379.9,0,2013-07-23,72380
66,373.15,379.4,370.4,373.2,0,2013-07-24,217870
67,364.9,378.0,360.1,378.0,0,2013-07-25,243510
68,370.15,374.9,364.5,367.25,0,2013-07-26,61420
69,364.85,372.5,357.65,372.5,0,2013-07-29,93910
70,349.15,363.35,345.2,362.0,0,2013-07-30,133210
71,348.95,359.0,342.05,345.1,0,2013-07-31,221590
72,347.2,357.7,345.0,349.5,0,2013-08-01,213980
73,349.7,353.5,342.7,345.0,0,2013-08-02,301440
74,346.05,353.0,344.0,349.7,0,2013-08-05,461110
