,c,h,l,o,oi,time,v
0,567.03,572.97,562.2,564.97,0,2013-04-22,421335
1,574.04,577.0,560.8,560.8,0,2013-04-23,259805
2,596.64,600.0,576.0,578.0,0,2013-04-25,1035205
3,583.34,598.35,580.06,597.0,0,2013-04-26,286600
4,596.23,597.65,584.07,584.07,0,2013-04-29,101630
5,586.19,596.4,585.4,594.63,0,2013-04-30,184840
6,589.69,596.0,584.0,584.0,0,2013-05-02,215150
7,589.02,595.77,585.15,585.4,0,2013-05-03,234915
8,588.0,598.4,581.0,589.02,0,2013-05-06,402105
9,603.67,605.0,588.02,588.02,0,2013-05-07,378805
10,607.35,610.0,604.0,606.0,0,2013-05-08,258320
11,605.4,607.99,601.04,607.0,0,2013-05-09,324490
12,603.54,608.0,598.42,607.0,0,2013-05-10,175310
13,606.51,608.0,600.06,600.06,0,2013-05-11,12630
14,602.41,612.0,599.92,604.0,0,2013-05-13,119900
15,603.45,609.0,601.07,603.06,0,2013-05-14,147775
16,606.71,614.0,602.15,604.0,0,2013-05-15,317080
17,617.49,625.71,606.6,606.6,0,2013-05-16,472865
18,625.39,630.4,617.61,620.0,0,2013-05-17,480120
19,625.82,632.0,622.22,625.2,0,2013-05-20,183515
20,612.51,629.37,606.0,626.0,0,2013-05-21,243665
21,609.93,620.0,608.42,608.53,0,2013-05-22,247460
22,586.11,609.6,582.52,609.0,0,2013-05-23,344770
23,591.92,598.0,580.34,588.27,0,2013-05-24,265810
24,598.36,599.6,582.22,592.0,0,2013-05-27,283040
25,593.99,599.55,585.69,596.05,0,2013-05-28,202165
26,578.59,597.99,577.0,593.2,0,2013-05-29,277865
27,590.28,594.8,574.72,577.0,0,2013-05-30,475510
28,570.81,589.03,568.61,589.0,0,2013-05-31,167045
29,557.72,574.73,553.42,571.45,0,2013-06-03,308015
30,550.06,563.8,548.0,558.8,0,2013-06-04,191965
31,554.31,555.98,546.2,549.21,0,2013-06-05,262925
32,555.42,559.8,548.39,553.98,0,2013-06-06,210750
33,556.33,561.06,551.2,554.0,0,2013-06-07,201910
34,556.57,561.6,552.9,554.52,0,2013-06-10,133540
35,558.46,563.2,550.0,554.98,0,2013-06-11,499060
36,556.07,561.19,552.04,556.0,0,2013-06-12,305960
37,549.29,554.0,546.02,554.0,0,2013-06-13,390150
38,556.04,558.0,548.67,552.4,0,2013-06-14,167700
39,561.53,565.6,550.0,559.37,0,2013-06-17,227215
40,556.52,563.0,554.2,563.0,0,2013-06-18,362745
41,557.32,559.48,549.99,555.0,0,2013-06-19,320005
42,550.22,554.58,541.0,552.0,0,2013-06-20,629815
43,556.61,559.8,544.24,546.0,0,2013-06-21,225565
44,550.89,556.4,542.7,553.0,0,2013-06-24,457070
45,558.83,561.6,546.8,550.0,0,2013-06-25,153400
46,557.18,561.4,551.0,559.73,0,2013-06-26,416835
47,550.98,564.0,544.0,560.0,0,2013-06-27,271035
48,551.98,556.6,550.0,556.0,0,2013-06-28,397735
49,560.61,562.0,552.1,552.1,0,2013-07-01,245285
50,559.54,567.04,553.45,558.0,0,2013-07-02,345245
51,559.94,561.67,552.45,556.0,0,2013-07-03,291285
52,559.39,564.99,553.2,561.6,0,2013-07-04,290510
53,561.22,564.0,557.8,562.0,0,2013-07-05,169005
54,560.51,563.0,554.4,557.99,0,2013-07-08,175625
55,561.85,564.98,558.73,563.05,0,2013-07-09,210660
56,556.28,564.67,552.9,563.25,0,2013-07-10,276870
57,565.2,567.98,558.01,561.4,0,2013-07-11,151570
58,562.35,566.04,554.4,565.5,0,2013-07-12,276875
59,560.04,561.97,556.25,556.25,0,2013-07-15,106080
60,560.38,561.8,554.0,555.0,0,2013-07-16,213310
61,555.61,564.8,550.22,560.99,0,2013-07-17,240270
62,560.98,562.0,551.03,554.0,0,2013-07-18,214530
63,563.33,565.0,556.79,559.62,0,2013-07-19,186825
64,561.53,565.2,556.87,560.82,0,2013-07-22,261805
65,559.3,565.98,556.0,564.6,0,2013-07-23,209005
66,559.86,563.49,547.62,557.8,0,2013-07-24,415150
