,c,h,l,o,oi,time,v
0,180.29,186.0,179.07,185.0,0,2013-04-22,11641000
1,183.04,184.44,180.4,181.2,0,2013-04-23,8919768
2,179.76,183.75,178.59,183.75,0,2013-04-25,7982256
3,171.07,179.32,169.41,179.32,0,2013-04-26,14659260
4,175.2,175.71,168.24,170.76,0,2013-04-29,7340976
5,180.35,181.1,174.82,174.82,0,2013-04-30,7386976
6,183.94,187.8,180.35,180.37,0,2013-05-02,13483624
7,187.62,189.18,185.0,185.25,0,2013-05-03,9582080
8,187.5,192.25,187.0,188.25,0,2013-05-06,6847016
9,188.38,190.0,185.85,188.75,0,2013-05-07,7104564
10,187.9,189.85,187.32,188.75,0,2013-05-08,4520876
11,192.54,195.9,188.25,188.63,0,2013-05-09,8729028
12,193.73,195.23,192.75,193.38,0,2013-05-10,5857196
13,193.16,193.95,191.25,193.73,0,2013-05-11,258920
14,189.6,194.18,188.46,194.13,0,2013-05-13,3741036
15,186.27,191.13,184.02,190.5,0,2013-05-14,5783876
16,186.38,188.75,184.75,186.51,0,2013-05-15,6634336
17,184.73,187.29,183.75,186.95,0,2013-05-16,3496504
18,179.99,187.35,179.16,184.85,0,2013-05-17,6403588
19,181.95,183.73,180.07,180.52,0,2013-05-20,3265484
20,184.16,185.87,182.57,183.0,0,2013-05-21,4222380
21,185.91,188.25,184.5,184.75,0,2013-05-22,4347576
22,184.21,187.74,182.75,187.0,0,2013-05-23,4821008
23,184.38,186.99,182.75,184.57,0,2013-05-24,2910452
24,185.43,187.35,183.04,184.07,0,2013-05-27,2576904
25,186.21,186.75,184.05,186.44,0,2013-05-28,2901148
26,186.88,189.95,186.16,186.88,0,2013-05-29,4270132
27,185.5,187.82,183.82,186.49,0,2013-05-30,4277368
28,186.21,187.85,185.01,186.5,0,2013-05-31,5051248
29,185.54,187.93,183.77,187.93,0,2013-06-03,2848988
30,183.9,186.5,182.88,186.5,0,2013-06-04,1948328
31,181.7,184.71,180.3,184.71,0,2013-06-05,1839204
32,186.91,187.38,180.25,180.75,0,2013-06-06,3382144
33,186.05,188.48,185.25,185.25,0,2013-06-07,3713360
34,188.37,189.12,186.32,187.25,0,2013-06-10,7422292
35,188.93,193.18,187.5,189.05,0,2013-06-11,6363000
36,190.91,192.43,188.13,188.48,0,2013-06-12,4490080
37,189.38,191.69,188.19,191.23,0,2013-06-13,6391744
38,190.93,191.62,187.26,191.2,0,2013-06-14,3832808
39,194.07,194.73,189.13,190.5,0,2013-06-17,4248740
40,194.95,195.4,192.87,194.18,0,2013-06-18,3965100
41,194.94,195.69,194.02,195.0,0,2013-06-19,4030392
42,189.96,194.25,189.63,194.25,0,2013-06-20,3152420
43,189.69,191.6,187.5,190.0,0,2013-06-21,2996392
44,190.19,191.82,188.59,190.25,0,2013-06-24,3464660
45,187.76,191.75,186.25,189.5,0,2013-06-25,3422596
46,191.76,193.0,186.25,188.25,0,2013-06-26,3512944
47,198.85,200.0,193.15,193.74,0,2013-06-27,7696940
48,194.0,200.0,192.48,200.0,0,2013-06-28,6568320
49,189.6,194.98,188.95,194.98,0,2013-07-01,2742568
50,191.52,193.18,190.0,190.5,0,2013-07-02,2463896
51,191.93,194.0,189.16,190.51,0,2013-07-03,3266880
52,199.94,200.5,191.51,191.51,0,2013-07-04,6883720
53,198.91,201.75,198.05,200.27,0,2013-07-05,2890504
54,204.7,205.4,199.76,200.68,0,2013-07-08,4591276
55,205.69,207.04,203.75,204.13,0,2013-07-09,3513816
56,209.9,211.0,205.5,205.69,0,2013-07-10,4127192
57,210.16,212.25,208.1,210.5,0,2013-07-11,3493012
58,215.65,216.32,211.84,212.5,0,2013-07-12,4853628
59,218.82,220.74,215.13,215.13,0,2013-07-15,3786484
60,219.25,221.23,215.63,216.0,0,2013-07-16,3098124
61,218.82,222.18,218.32,218.35,0,2013-07-17,3321512
62,214.71,219.73,213.88,219.73,0,2013-07-18,4242288
63,223.07,226.73,216.7,216.7,0,2013-07-19,9537080
64,222.57,224.88,219.21,223.75,0,2013-07-22,3851664
65,225.12,226.46,222.82,222.82,0,2013-07-23,4931300
66,225.02,226.99,222.51,223.65,0,2013-07-24,3090068
67,225.6,228.23,223.25,225.0,0,2013-07-25,4243444
68,225.95,229.73,225.45,227.4,0,2013-07-26,5295436
69,224.2,226.93,223.09,226.25,0,2013-07-29,3827536
70,226.41,228.74,225.5,226.75,0,2013-07-30,6222296
71,234.38,237.48,219.25,229.5,0,2013-07-31,16167372
72,232.68,237.88,231.63,237.75,0,2013-08-01,6363796
73,233.99,237.37,231.6,233.25,0,2013-08-02,5528720
74,237.41,240.25,234.07,234.07,0,2013-08-05,4003976
75,236.12,240.0,235.01,237.25,0,2013-08-06,3769488
76,226.65,239.0,224.71,238.0,0,2013-08-07,5661036
77,226.48,227.59,220.88,224.5,0,2013-08-08,5307584
78,233.34,234.0,225.76,228.5,0,2013-08-12,4591444
79,235.15,237.93,233.75,234.5,0,2013-08-13,3725304
80,230.05,236.73,228.21,236.24,0,2013-08-14,5897512
81,230.25,235.24,226.5,229.75,0,2013-08-16,8401384
82,232.87,234.37,228.69,232.25,0,2013-08-19,5959248
83,224.79,233.6,223.16,233.6,0,2013-08-20,5191016
84,221.48,228.45,220.32,223.41,0,2013-08-21,5213524
85,225.59,226.66,217.93,220.52,0,2013-08-22,4733996
86,236.59,238.25,224.65,225.26,0,2013-08-23,7902228
87,236.13,241.63,234.65,235.16,0,2013-08-26,5192304
88,236.93,240.24,235.0,235.0,0,2013-08-27,3159176
89,245.04,246.23,235.71,235.75,0,2013-08-28,6561592
90,254.41,256.54,242.59,245.25,0,2013-08-29,9258668
91,260.11,261.23,252.48,252.9,0,2013-08-30,6049048
92,259.58,262.5,257.5,257.5,0,2013-09-02,3931360
93,255.96,261.7,255.0,260.0,0,2013-09-03,4718252
94,259.83,262.71,253.75,256.2,0,2013-09-04,6988140
95,254.98,261.17,252.77,260.55,0,2013-09-05,5768332
96,254.24,260.33,250.77,254.0,0,2013-09-06,5481388
97,265.67,268.23,252.8,253.5,0,2013-09-10,8011760
98,266.64,270.32,262.88,267.48,0,2013-09-11,4176852
99,268.58,270.46,263.77,268.88,0,2013-09-12,5773264
100,261.44,270.02,259.58,268.58,0,2013-09-13,6290308
101,249.1,263.5,246.07,263.21,0,2013-09-16,10046268
102,259.29,259.95,250.25,250.32,0,2013-09-17,3625604
103,257.2,262.5,254.59,262.5,0,2013-09-18,3725976
104,256.0,259.46,249.02,257.25,0,2013-09-19,5247480
105,265.45,266.9,257.4,259.95,0,2013-09-20,4133648
106,272.75,274.82,264.13,264.13,0,2013-09-23,5997308
107,268.15,275.98,267.14,271.15,0,2013-09-24,5725484
108,265.75,270.23,263.4,268.77,0,2013-09-25,5015716
109,263.07,267.35,261.05,266.39,0,2013-09-26,6380440
110,268.19,271.0,261.25,262.35,0,2013-09-27,4014632
111,271.8,276.0,268.0,268.98,0,2013-09-30,5254356
112,267.77,272.5,265.96,271.38,0,2013-10-01,2051744
113,276.15,278.94,268.75,270.0,0,2013-10-03,8287912
114,274.2,279.88,273.1,275.32,0,2013-10-04,5397444
115,279.83,282.39,275.0,275.08,0,2013-10-07,5895704
116,276.67,279.98,275.85,279.98,0,2013-10-08,2544784
117,277.95,281.0,275.14,276.52,0,2013-10-09,5126556
118,279.42,282.5,277.95,277.95,0,2013-10-10,5806820
119,289.36,292.1,279.63,283.75,0,2013-10-11,10934984
120,289.96,292.0,288.8,291.25,0,2013-10-14,6419404
121,290.29,294.61,289.19,294.0,0,2013-10-15,5579340
122,270.77,292.08,269.27,291.25,0,2013-10-17,16121608
123,275.65,277.35,267.77,270.75,0,2013-10-18,7820096
124,271.02,278.55,263.08,276.5,0,2013-10-21,8981476
125,277.23,279.13,271.33,274.13,0,2013-10-22,5073020
126,276.67,279.98,268.77,279.95,0,2013-10-23,4021456
127,263.67,277.5,262.25,275.25,0,2013-10-24,7210448
128,269.69,271.98,260.58,261.23,0,2013-10-25,6109920
129,265.71,271.08,264.5,267.75,0,2013-10-28,3539636
130,270.15,271.2,266.2,266.27,0,2013-10-29,4523612
131,271.48,273.6,266.02,271.0,0,2013-10-30,3709464
132,273.83,277.9,271.54,274.0,0,2013-10-31,7494488
133,275.77,279.98,274.02,274.19,0,2013-11-01,5212456
134,275.08,276.73,273.75,274.58,0,2013-11-03,198312
135,275.25,277.45,270.52,273.02,0,2013-11-05,3171148
136,270.77,277.92,269.73,275.25,0,2013-11-06,4078512
137,275.77,280.85,272.6,273.48,0,2013-11-07,3972848
138,278.58,283.13,275.07,275.63,0,2013-11-08,4594308
139,275.5,284.48,274.17,278.75,0,2013-11-11,3360592
140,274.35,280.13,273.33,276.5,0,2013-11-12,4512768
141,274.04,278.0,272.5,272.5,0,2013-11-13,3054692
142,271.15,275.94,269.39,272.33,0,2013-11-14,2580632
143,274.08,278.58,267.17,268.44,0,2013-11-18,3925068
144,275.67,278.5,274.63,275.88,0,2013-11-19,3945228
145,271.73,278.89,270.64,277.38,0,2013-11-20,2153208
