,c,h,l,o,oi,time,v
0,835.6,839.0,816.95,819.0,0,2013-04-22,2115449
1,838.1,844.8,823.65,838.0,0,2013-04-23,1225389
2,862.75,885.4,838.55,843.5,0,2013-04-25,5182930
3,872.6,879.1,857.7,862.95,0,2013-04-26,2560119
4,864.2,874.5,858.0,870.05,0,2013-04-29,1634522
5,847.6,870.55,843.65,863.6,0,2013-04-30,2710730
6,863.45,870.9,845.65,845.65,0,2013-05-02,2976406
7,854.9,862.0,845.2,859.8,0,2013-05-03,2059570
8,852.65,861.35,845.5,858.0,0,2013-05-06,1186405
9,853.75,860.8,841.3,854.25,0,2013-05-07,3260999
10,885.0,895.0,852.0,859.75,0,2013-05-08,3070552
11,880.35,900.85,876.3,893.0,0,2013-05-09,2182837
12,877.3,882.15,863.1,880.0,0,2013-05-10,2659090
13,874.5,880.0,869.35,875.0,0,2013-05-11,76194
14,863.5,876.8,859.6,875.0,0,2013-05-13,1652780
15,870.85,873.0,855.25,864.7,0,2013-05-14,2017078
16,910.05,915.95,875.0,876.8,0,2013-05-15,5682986
17,908.35,917.5,903.7,909.8,0,2013-05-16,4700244
18,903.35,908.0,898.3,904.0,0,2013-05-17,2665794
19,898.4,916.7,895.0,903.0,0,2013-05-20,2658730
20,902.05,908.8,890.1,895.15,0,2013-05-21,3095064
21,899.85,904.0,894.1,903.8,0,2013-05-22,1971551
22,903.15,913.8,892.15,892.15,0,2013-05-23,3458455
23,906.05,910.15,899.35,908.0,0,2013-05-24,2830814
24,929.5,931.4,898.65,901.6,0,2013-05-27,2443669
25,919.8,929.9,913.15,929.9,0,2013-05-28,2347931
26,910.55,923.4,900.7,923.4,0,2013-05-29,3007036
27,926.25,929.0,905.1,905.1,0,2013-05-30,3100217
28,890.15,924.0,883.65,921.1,0,2013-05-31,4387938
29,869.05,898.65,867.05,895.0,0,2013-06-03,1870547
30,854.2,876.8,852.0,876.8,0,2013-06-04,2621881
31,843.95,855.0,839.05,853.8,0,2013-06-05,3011996
32,845.0,859.5,833.15,838.1,0,2013-06-06,3198369
33,839.35,856.35,833.35,840.0,0,2013-06-07,1645663
34,852.6,864.05,835.8,844.0,0,2013-06-10,2583932
35,831.15,851.8,826.4,845.5,0,2013-06-11,2677716
36,820.75,830.4,816.25,830.4,0,2013-06-12,2365088
37,812.2,816.55,804.3,806.1,0,2013-06-13,5578717
38,835.0,838.0,820.0,820.0,0,2013-06-14,3666156
39,844.4,855.05,831.0,836.1,0,2013-06-17,2464128
40,834.0,847.0,831.15,844.1,0,2013-06-18,1752255
41,842.75,844.7,828.1,830.0,0,2013-06-19,2567687
42,817.55,834.0,812.0,829.0,0,2013-06-20,3677976
43,820.7,824.15,801.3,815.0,0,2013-06-21,2841911
44,824.8,829.0,809.95,814.8,0,2013-06-24,2917116
45,817.45,834.9,810.1,826.9,0,2013-06-25,2449730
46,815.6,824.35,810.0,818.6,0,2013-06-26,2554481
47,837.15,843.2,809.05,816.5,0,2013-06-27,4811518
48,879.05,886.5,839.0,839.0,0,2013-06-28,5139254
49,889.65,891.0,861.0,879.0,0,2013-07-01,2565358
50,875.15,893.0,872.25,886.65,0,2013-07-02,2166106
51,853.6,871.6,850.0,870.0,0,2013-07-03,1760408
52,852.1,867.7,849.8,857.3,0,2013-07-04,1295767
53,850.1,859.65,848.15,859.0,0,2013-07-05,1960980
54,824.05,846.85,818.0,845.85,0,2013-07-08,3695733
55,830.05,832.0,826.0,826.0,0,2013-07-09,3236206
56,827.5,834.15,822.4,833.2,0,2013-07-10,3114437
57,854.8,856.7,834.0,838.5,0,2013-07-11,3000215
58,851.3,859.55,836.95,857.3,0,2013-07-12,2953316
59,848.5,853.6,841.1,849.85,0,2013-07-15,1580962
60,816.05,831.8,805.0,831.8,0,2013-07-16,3665638
61,817.1,829.05,803.25,820.5,0,2013-07-17,5669579
62,829.05,835.0,815.2,818.5,0,2013-07-18,5614744
63,803.2,832.0,789.5,829.05,0,2013-07-19,6622252
64,830.3,833.7,795.85,802.9,0,2013-07-22,2146242
65,826.85,838.45,819.05,832.0,0,2013-07-23,3677987
66,803.25,818.7,799.5,818.7,0,2013-07-24,6483783
67,800.8,816.0,797.25,804.4,0,2013-07-25,4837186
68,805.55,813.95,795.3,805.15,0,2013-07-26,2109712
69,806.6,816.8,803.0,803.0,0,2013-07-29,1619897
70,807.85,821.0,801.55,807.1,0,2013-07-30,3248187
71,800.45,816.0,794.6,807.85,0,2013-07-31,5920069
72,817.0,825.0,805.0,805.0,0,2013-08-01,4437968
73,808.35,827.3,798.4,825.7,0,2013-08-02,2616340
74,798.95,817.0,787.2,808.0,0,2013-08-05,2561534
75,751.85,807.55,734.85,798.45,0,2013-08-06,5898868
76,729.7,759.7,723.0,759.7,0,2013-08-07,11055713
77,746.95,751.5,729.7,730.0,0,2013-08-08,6720921
78,769.75,783.15,745.0,755.0,0,2013-08-12,5599176
79,791.95,794.6,755.45,769.85,0,2013-08-13,3162116
80,780.7,799.3,775.55,795.0,0,2013-08-14,2636452
81,737.9,780.3,731.0,780.0,0,2013-08-16,5354663
82,735.5,740.65,712.2,731.0,0,2013-08-19,5182645
83,726.25,740.7,710.55,716.0,0,2013-08-20,5240733
84,747.25,759.45,734.0,750.8,0,2013-08-21,6176085
85,735.9,748.85,727.2,744.0,0,2013-08-22,3413023
86,740.85,747.9,720.1,737.0,0,2013-08-23,3793047
87,744.0,749.8,735.45,744.25,0,2013-08-26,2824008
