,c,h,l,o,oi,time,v
0,349.15,351.0,337.35,337.35,0,2013-04-22,9930076
1,344.5,350.0,339.4,349.4,0,2013-04-23,11931780
2,344.77,347.5,340.02,346.17,0,2013-04-25,12947562
3,344.55,346.13,341.5,343.83,0,2013-04-26,4284372
4,347.58,348.42,343.25,344.13,0,2013-04-29,5837716
5,341.15,347.98,338.4,347.0,0,2013-04-30,6276136
6,346.25,347.0,341.15,342.2,0,2013-05-02,6151634
7,340.48,347.0,339.33,346.3,0,2013-05-03,6143292
8,337.75,339.65,334.98,339.5,0,2013-05-06,3836730
9,344.02,344.95,336.25,338.15,0,2013-05-07,5549232
10,348.58,349.75,343.25,344.5,0,2013-05-08,4326978
11,345.02,349.75,344.1,349.52,0,2013-05-09,2261680
12,351.67,352.45,344.33,344.35,0,2013-05-10,6956628
13,351.4,352.5,350.58,351.05,0,2013-05-11,438050
14,346.38,355.73,345.4,352.5,0,2013-05-13,4796986
15,344.52,347.45,342.55,345.02,0,2013-05-14,3326838
16,357.42,358.0,345.67,346.75,0,2013-05-15,7086740
17,361.4,362.0,355.5,356.0,0,2013-05-16,5830308
18,359.45,361.25,354.6,361.25,0,2013-05-17,6409926
19,357.25,362.0,356.08,359.75,0,2013-05-20,2920804
20,353.9,359.0,352.52,357.0,0,2013-05-21,4603250
21,351.73,356.0,349.0,353.75,0,2013-05-22,2706056
22,349.3,353.23,347.15,349.5,0,2013-05-23,3952624
23,350.67,352.88,347.15,352.88,0,2013-05-24,4132120
24,357.52,358.5,349.3,349.3,0,2013-05-27,4497604
25,356.65,360.4,353.4,357.13,0,2013-05-28,3353958
26,357.98,359.23,351.92,355.02,0,2013-05-29,2466746
27,362.58,363.65,355.05,355.05,0,2013-05-30,7678728
28,350.25,360.35,348.85,358.63,0,2013-05-31,6166448
29,344.58,350.7,343.27,349.0,0,2013-06-03,3945062
30,341.52,346.9,340.5,343.65,0,2013-06-04,2808162
31,343.98,347.2,339.25,341.0,0,2013-06-05,3781838
