,c,h,l,o,oi,time,v
0,344.6,369.0,307.0,310.0,0,2013-04-22,168836552
1,355.35,358.9,344.0,344.7,0,2013-04-23,14650240
2,385.3,418.9,352.5,356.4,0,2013-04-25,43078194
3,395.2,408.0,386.9,388.0,0,2013-04-26,15227642
4,374.85,392.0,371.1,390.0,0,2013-04-29,12300150
5,370.7,383.0,366.1,376.05,0,2013-04-30,9463228
6,380.35,384.5,371.0,371.0,0,2013-05-02,3832223
7,382.2,386.4,378.1,383.0,0,2013-05-03,2409447
8,377.8,384.7,376.1,382.4,0,2013-05-06,1657909
9,371.5,379.8,370.8,379.8,0,2013-05-07,2536960
10,372.75,379.55,368.0,373.7,0,2013-05-08,1904781
11,362.8,374.9,362.0,374.05,0,2013-05-09,1323453
12,362.35,365.9,357.15,361.0,0,2013-05-10,1806017
13,368.35,371.7,358.55,360.9,0,2013-05-11,3331373
14,388.3,389.9,370.05,370.05,0,2013-05-13,3350792
15,389.3,395.8,385.6,390.0,0,2013-05-14,2494845
16,380.8,392.25,379.05,387.0,0,2013-05-15,1029719
17,383.8,387.0,377.05,380.9,0,2013-05-16,2564559
18,380.8,389.25,378.5,386.45,0,2013-05-17,747787
19,384.3,386.0,377.0,382.85,0,2013-05-20,1261422
20,381.4,390.75,380.1,388.0,0,2013-05-21,1698848
21,377.45,383.3,372.25,380.0,0,2013-05-22,1399027
22,374.9,380.95,372.25,378.0,0,2013-05-23,1641589
23,375.15,377.7,371.5,377.45,0,2013-05-24,2251770
24,376.05,381.8,375.0,379.25,0,2013-05-27,1448962
25,374.55,380.4,374.2,376.25,0,2013-05-28,775946
26,376.55,378.6,373.4,376.0,0,2013-05-29,1310649
27,374.85,377.95,373.8,375.1,0,2013-05-30,589597
28,377.95,380.0,372.4,375.0,0,2013-05-31,912189
29,386.0,390.8,375.65,379.0,0,2013-06-03,1611972
30,389.65,399.8,386.55,388.5,0,2013-06-04,1445743
31,395.5,398.0,384.35,391.7,0,2013-06-05,1219713
32,385.65,398.3,384.1,398.0,0,2013-06-06,2275082
33,399.0,401.95,387.25,390.0,0,2013-06-07,2974278
34,407.0,412.0,398.0,401.0,0,2013-06-10,3554479
35,422.1,428.3,409.55,410.0,0,2013-06-11,3806105
36,435.5,447.65,422.65,424.0,0,2013-06-12,6183645
37,429.25,441.9,427.0,438.0,0,2013-06-13,2374166
38,446.7,449.8,424.0,424.0,0,2013-06-14,2605294
39,455.95,458.7,444.3,449.75,0,2013-06-17,5364763
40,474.85,488.0,457.0,460.0,0,2013-06-18,5635852
41,482.65,494.3,471.25,479.9,0,2013-06-19,8288750
42,478.4,488.2,470.0,485.4,0,2013-06-20,5691140
43,485.05,489.8,478.0,483.2,0,2013-06-21,1772870
44,481.5,491.35,477.0,489.25,0,2013-06-24,3488403
45,470.2,488.85,469.0,481.5,0,2013-06-25,3825798
46,458.55,474.25,454.5,474.25,0,2013-06-26,3561221
47,455.25,460.0,448.0,457.5,0,2013-06-27,2072037
48,448.5,460.0,447.0,455.0,0,2013-06-28,1194340
49,445.35,452.6,444.4,447.0,0,2013-07-01,1113037
50,421.85,448.1,417.0,444.0,0,2013-07-02,3583717
51,427.0,432.9,395.3,418.4,0,2013-07-03,14738305
52,448.25,452.0,423.0,429.95,0,2013-07-04,4965461
53,442.4,455.0,430.0,441.0,0,2013-07-05,5311751
54,441.7,444.0,422.35,428.2,0,2013-07-08,2268830
55,438.8,440.7,417.05,418.0,0,2013-07-09,1893871
56,433.45,449.3,431.0,443.0,0,2013-07-10,1048027
57,441.5,444.75,434.85,434.9,0,2013-07-11,927897
58,439.55,446.0,430.3,430.3,0,2013-07-12,1008995
59,441.75,451.0,435.05,442.0,0,2013-07-15,1944360
60,431.9,442.9,431.0,441.8,0,2013-07-16,2159701
61,432.0,437.0,428.0,433.0,0,2013-07-17,506167
62,431.45,435.3,426.6,434.15,0,2013-07-18,522734
63,435.9,439.4,426.8,432.0,0,2013-07-19,693977
64,434.5,442.0,432.6,439.5,0,2013-07-22,781850
65,449.6,450.5,436.15,438.9,0,2013-07-23,1312613
66,450.8,454.5,443.9,447.2,0,2013-07-24,772690
67,468.85,471.7,452.05,452.1,0,2013-07-25,1849448
68,468.3,472.8,461.35,472.8,0,2013-07-26,920977
69,469.0,477.8,460.0,467.9,0,2013-07-29,1378658
70,461.2,468.0,460.0,467.5,0,2013-07-30,1358563
71,450.95,464.35,450.1,461.9,0,2013-07-31,1102928
72,452.9,456.15,448.1,450.0,0,2013-08-01,1249630
73,447.35,457.4,445.1,457.0,0,2013-08-02,1595634
74,437.55,447.55,435.0,446.45,0,2013-08-05,2900233
75,430.55,442.0,427.7,441.0,0,2013-08-06,1951335
76,425.55,434.95,423.0,434.75,0,2013-08-07,1494497
77,430.4,433.35,425.5,429.95,0,2013-08-08,884484
78,441.95,445.5,429.8,431.95,0,2013-08-12,1396863
79,445.25,447.9,440.0,441.95,0,2013-08-13,872703
80,448.6,451.0,443.6,445.0,0,2013-08-14,656358
81,443.3,450.95,436.1,450.95,0,2013-08-16,553113
82,425.9,442.7,425.0,440.0,0,2013-08-19,697119
83,422.85,428.65,419.65,424.95,0,2013-08-20,1782357
84,422.5,438.0,419.25,426.7,0,2013-08-21,1341420
85,427.5,429.75,424.2,426.8,0,2013-08-22,1267475
86,429.15,431.0,416.1,420.0,0,2013-08-23,939860
87,437.55,439.0,427.25,429.0,0,2013-08-26,675696
88,448.65,449.4,440.05,440.05,0,2013-08-27,1231929
89,454.45,460.0,442.5,442.5,0,2013-08-28,1217753
90,482.65,487.0,456.6,456.6,0,2013-08-29,2112175
91,493.6,508.3,482.2,484.8,0,2013-08-30,3149584
92,495.85,504.0,488.9,495.0,0,2013-09-02,1687239
93,497.95,505.85,487.05,501.8,0,2013-09-03,1710038
94,496.35,504.4,494.0,497.8,0,2013-09-04,1505952
95,492.0,510.9,490.0,496.45,0,2013-09-05,2704392
96,503.55,505.9,492.1,494.95,0,2013-09-06,1439138
97,499.75,507.7,495.0,501.5,0,2013-09-10,2556799
98,499.6,501.5,497.4,500.0,0,2013-09-11,870497
99,499.8,501.55,497.6,500.25,0,2013-09-12,990964
100,494.75,500.3,492.75,495.7,0,2013-09-13,839503
101,491.3,500.3,486.0,497.5,0,2013-09-16,1325820
102,493.15,500.25,488.0,496.0,0,2013-09-17,1042991
103,503.5,511.0,497.1,501.0,0,2013-09-18,4279631
104,495.65,503.25,494.0,502.8,0,2013-09-19,1683866
105,493.6,496.85,489.0,496.4,0,2013-09-20,1348271
106,499.55,503.0,489.1,495.8,0,2013-09-23,2176962
107,510.6,514.9,495.0,499.0,0,2013-09-24,3740225
108,533.05,536.8,512.95,512.95,0,2013-09-25,4445968
109,519.15,546.85,517.0,537.9,0,2013-09-26,2924033
110,518.05,525.75,514.3,520.0,0,2013-09-27,1988145
111,509.95,525.3,508.1,520.75,0,2013-09-30,1474785
112,496.0,510.9,493.0,510.55,0,2013-10-01,1926354
113,500.35,504.9,490.1,490.1,0,2013-10-03,1276630
114,499.9,504.8,497.2,502.55,0,2013-10-04,1484565
115,509.95,513.95,499.0,503.3,0,2013-10-07,1444181
116,514.75,518.0,511.0,511.9,0,2013-10-08,1600419
117,517.65,520.9,509.5,517.0,0,2013-10-09,1447761
118,523.3,524.95,516.1,517.65,0,2013-10-10,1183632
119,540.0,548.25,524.85,526.0,0,2013-10-11,2848754
120,506.5,525.55,495.0,522.0,0,2013-10-14,7490877
121,497.55,509.5,495.2,502.25,0,2013-10-15,2261791
122,494.3,503.25,492.2,498.2,0,2013-10-17,1338372
123,493.95,497.8,485.1,497.6,0,2013-10-18,1158565
124,489.65,501.5,487.25,493.95,0,2013-10-21,1332552
