,c,h,l,o,oi,time,v
0,1532.3,1542.0,1502.85,1510.0,0,2013-04-22,299816
1,1573.6,1579.5,1523.0,1525.0,0,2013-04-23,245274
2,1617.75,1648.0,1560.5,1580.9,0,2013-04-25,373940
3,1596.85,1645.0,1576.1,1576.1,0,2013-04-26,485675
4,1648.8,1683.85,1633.1,1650.0,0,2013-04-29,805566
5,1644.45,1659.95,1630.0,1650.2,0,2013-04-30,329076
6,1613.85,1672.0,1611.0,1644.95,0,2013-05-02,472417
7,1611.4,1624.45,1587.15,1613.85,0,2013-05-03,203386
8,1649.4,1658.2,1608.65,1612.0,0,2013-05-06,210606
9,1706.35,1714.0,1655.1,1656.0,0,2013-05-07,286468
10,1676.35,1714.85,1671.0,1709.0,0,2013-05-08,262626
11,1676.1,1700.0,1670.35,1675.0,0,2013-05-09,134890
12,1704.95,1724.5,1675.4,1680.0,0,2013-05-10,395698
13,1709.1,1716.5,1705.1,1705.1,0,2013-05-11,9007
14,1678.85,1716.0,1672.65,1713.7,0,2013-05-13,125972
15,1674.5,1692.85,1661.0,1682.0,0,2013-05-14,189703
16,1703.85,1716.1,1685.0,1690.0,0,2013-05-15,418851
17,1693.95,1716.75,1680.1,1702.25,0,2013-05-16,369881
18,1684.4,1702.85,1677.0,1693.0,0,2013-05-17,238138
19,1701.7,1710.0,1684.55,1689.0,0,2013-05-20,235466
20,1683.8,1706.8,1676.55,1701.65,0,2013-05-21,400275
21,1650.35,1687.9,1644.1,1685.1,0,2013-05-22,188233
22,1651.65,1659.8,1614.75,1645.0,0,2013-05-23,289683
23,1633.35,1670.0,1630.05,1662.0,0,2013-05-24,388168
24,1654.35,1669.25,1613.4,1630.0,0,2013-05-27,219140
25,1750.0,1771.7,1660.5,1669.0,0,2013-05-28,528689
26,1788.7,1795.6,1742.6,1761.25,0,2013-05-29,571987
27,1751.45,1788.85,1740.1,1780.6,0,2013-05-30,266256
28,1736.35,1751.4,1726.7,1745.0,0,2013-05-31,224571
29,1670.5,1739.9,1653.0,1721.0,0,2013-06-03,214534
30,1670.6,1715.6,1664.05,1698.0,0,2013-06-04,285086
31,1665.5,1672.75,1642.55,1655.0,0,2013-06-05,134805
32,1646.35,1658.6,1635.0,1658.6,0,2013-06-06,117748
33,1646.9,1672.0,1640.55,1649.9,0,2013-06-07,201857
34,1642.55,1682.0,1634.45,1650.8,0,2013-06-10,162167
35,1653.0,1674.95,1636.2,1640.5,0,2013-06-11,277043
36,1610.35,1663.4,1588.0,1641.6,0,2013-06-12,413925
37,1614.0,1638.7,1574.0,1600.05,0,2013-06-13,230346
38,1605.8,1627.0,1600.0,1612.0,0,2013-06-14,200627
39,1627.25,1643.45,1610.0,1610.0,0,2013-06-17,163210
40,1637.6,1649.95,1620.35,1627.8,0,2013-06-18,189621
41,1620.65,1655.95,1605.0,1642.0,0,2013-06-19,149803
42,1602.45,1619.95,1567.5,1600.0,0,2013-06-20,276544
43,1625.95,1645.0,1574.9,1605.0,0,2013-06-21,289402
44,1578.9,1623.0,1575.85,1610.05,0,2013-06-24,348982
45,1579.3,1599.9,1563.6,1594.0,0,2013-06-25,253854
46,1637.55,1645.7,1580.0,1586.0,0,2013-06-26,255395
47,1648.45,1679.0,1621.0,1645.75,0,2013-06-27,622077
48,1663.05,1685.0,1635.2,1640.0,0,2013-06-28,219552
49,1698.6,1710.0,1665.3,1667.0,0,2013-07-01,166786
50,1681.25,1712.5,1662.0,1700.0,0,2013-07-02,279227
51,1655.8,1691.0,1644.4,1674.0,0,2013-07-03,108014
52,1656.1,1679.0,1644.75,1655.0,0,2013-07-04,138535
53,1648.9,1668.9,1640.0,1665.1,0,2013-07-05,64529
54,1653.65,1661.3,1638.0,1642.0,0,2013-07-08,125259
55,1659.7,1665.85,1653.65,1653.65,0,2013-07-09,958653
56,1652.35,1664.15,1640.1,1657.0,0,2013-07-10,113071
57,1697.5,1714.95,1658.0,1671.0,0,2013-07-11,268099
58,1715.1,1723.0,1678.7,1701.9,0,2013-07-12,156855
59,1725.0,1732.9,1688.6,1697.7,0,2013-07-15,368342
60,1692.35,1714.15,1656.85,1700.0,0,2013-07-16,241564
61,1685.35,1714.0,1674.9,1709.7,0,2013-07-17,138266
62,1731.75,1745.0,1685.1,1685.1,0,2013-07-18,381009
63,1772.9,1794.5,1731.05,1735.25,0,2013-07-19,596827
64,1789.85,1801.9,1751.0,1774.8,0,2013-07-22,282348
65,1789.6,1809.0,1771.55,1798.7,0,2013-07-23,349086
66,1754.5,1802.5,1744.5,1772.25,0,2013-07-24,646693
67,1828.15,1840.95,1765.0,1765.0,0,2013-07-25,1772968
68,1865.45,1870.0,1836.0,1840.0,0,2013-07-26,861624
69,1877.95,1899.8,1865.0,1866.0,0,2013-07-29,413969
70,1850.75,1880.0,1837.05,1880.0,0,2013-07-30,320301
71,1819.4,1849.95,1807.6,1845.0,0,2013-07-31,329505
72,1815.1,1832.8,1798.0,1820.0,0,2013-08-01,373538
73,1801.8,1850.0,1780.05,1821.25,0,2013-08-02,251833
74,1854.15,1859.95,1786.1,1803.75,0,2013-08-05,1537397
75,1848.2,1894.9,1828.2,1851.0,0,2013-08-06,370097
76,1834.65,1867.9,1816.25,1843.2,0,2013-08-07,306022
77,1847.95,1858.75,1815.0,1815.0,0,2013-08-08,604588
78,1906.5,1917.0,1849.9,1849.9,0,2013-08-12,428810
79,1942.65,1965.0,1917.65,1929.9,0,2013-08-13,367774
80,1935.95,1947.9,1922.6,1940.05,0,2013-08-14,341241
81,1985.35,2004.3,1926.0,1942.0,0,2013-08-16,508142
