,c,h,l,o,oi,time,v
0,95.45,96.15,93.0,94.45,0,2013-04-22,7264653
1,96.3,97.6,95.1,95.6,0,2013-04-23,6402187
2,98.15,98.5,96.6,96.6,0,2013-04-25,5221811
3,99.0,99.8,98.0,98.0,0,2013-04-26,6230237
4,98.85,99.65,97.55,99.0,0,2013-04-29,2978869
5,97.25,99.5,95.4,99.2,0,2013-04-30,5726841
6,95.95,97.4,95.55,97.05,0,2013-05-02,4364022
7,98.05,98.8,94.8,95.95,0,2013-05-03,4464583
8,101.7,102.15,98.75,99.0,0,2013-05-06,6785285
9,101.95,103.8,101.4,102.0,0,2013-05-07,6985141
10,103.0,103.8,101.65,102.3,0,2013-05-08,7409486
11,103.55,104.15,102.6,102.7,0,2013-05-09,7470893
12,105.95,106.5,103.15,103.6,0,2013-05-10,5930251
13,106.3,106.8,105.35,106.0,0,2013-05-11,475181
14,105.05,106.3,103.45,105.95,0,2013-05-13,13696216
15,105.5,107.5,103.45,104.3,0,2013-05-14,8583986
16,108.35,109.5,106.45,106.5,0,2013-05-15,8242372
17,111.1,112.55,107.1,107.1,0,2013-05-16,7569341
18,110.15,112.1,109.45,111.0,0,2013-05-17,5189367
19,110.15,111.9,109.8,110.3,0,2013-05-20,3996080
20,110.4,112.4,109.3,110.0,0,2013-05-21,14920677
21,110.65,111.35,108.35,110.9,0,2013-05-22,5142628
22,108.9,110.8,107.1,110.0,0,2013-05-23,13357897
23,107.05,110.2,104.8,109.9,0,2013-05-24,8991868
24,110.6,111.5,106.4,106.6,0,2013-05-27,5154867
25,110.05,110.9,108.5,110.9,0,2013-05-28,9193504
26,110.15,110.7,108.15,108.9,0,2013-05-29,5256339
27,106.85,110.6,106.0,109.0,0,2013-05-30,10861618
28,102.4,106.5,101.0,106.15,0,2013-05-31,9148981
29,101.4,103.15,99.25,102.4,0,2013-06-03,5575586
30,100.85,103.7,100.0,103.7,0,2013-06-04,4522679
31,102.5,103.25,100.3,100.5,0,2013-06-05,4667579
32,102.85,103.45,99.9,101.8,0,2013-06-06,4967248
33,101.95,104.5,101.5,102.5,0,2013-06-07,3896574
34,100.6,103.25,99.85,102.55,0,2013-06-10,3531868
35,94.35,100.6,93.2,100.0,0,2013-06-11,9481909
36,92.3,94.7,91.5,93.0,0,2013-06-12,6952543
37,96.8,97.9,91.0,91.75,0,2013-06-13,10520991
38,103.65,105.2,97.0,97.0,0,2013-06-14,12196294
39,102.0,105.35,101.05,105.1,0,2013-06-17,8909126
40,101.3,103.9,100.2,101.9,0,2013-06-18,6626285
41,104.3,105.4,100.65,101.2,0,2013-06-19,6678170
42,97.75,102.4,97.2,102.1,0,2013-06-20,10484687
43,94.0,101.0,91.15,96.5,0,2013-06-21,11354652
44,94.1,96.9,92.65,96.05,0,2013-06-24,6540033
45,97.05,98.15,94.75,95.6,0,2013-06-25,7980824
46,94.7,97.8,94.1,97.1,0,2013-06-26,4472739
47,95.8,97.0,94.8,96.9,0,2013-06-27,6247947
48,99.8,100.65,96.6,97.1,0,2013-06-28,6716298
49,101.9,102.9,98.15,99.0,0,2013-07-01,5796204
50,102.45,104.35,101.05,101.8,0,2013-07-02,6291540
51,98.9,101.55,97.55,101.55,0,2013-07-03,5372862
52,99.95,100.9,98.1,99.35,0,2013-07-04,4699475
53,99.95,102.9,98.2,101.05,0,2013-07-05,3698882
54,100.15,101.0,96.75,99.05,0,2013-07-08,4357406
55,100.85,101.95,99.5,101.0,0,2013-07-09,4020564
56,98.2,101.5,97.7,101.25,0,2013-07-10,3961539
57,102.8,104.4,99.7,99.9,0,2013-07-11,8199130
58,101.8,103.5,100.7,103.1,0,2013-07-12,4027737
59,105.4,106.2,100.25,101.6,0,2013-07-15,7054795
60,103.9,104.4,102.0,102.5,0,2013-07-16,4815809
61,101.9,104.4,100.75,103.7,0,2013-07-17,4538415
62,104.4,105.6,102.4,102.4,0,2013-07-18,7285184
63,103.65,104.9,103.0,104.2,0,2013-07-19,4057651
64,104.35,106.15,102.9,103.3,0,2013-07-22,4479336
65,105.15,106.0,103.75,105.0,0,2013-07-23,5916408
66,103.25,105.05,101.6,104.45,0,2013-07-24,3802684
67,102.2,103.7,101.3,103.0,0,2013-07-25,5696212
68,94.45,103.2,93.8,102.3,0,2013-07-26,9553322
69,90.65,95.6,89.4,95.5,0,2013-07-29,7939096
70,86.5,91.65,85.2,91.05,0,2013-07-30,8851620
71,90.1,90.8,84.5,86.5,0,2013-07-31,6882175
72,87.5,92.0,86.4,91.0,0,2013-08-01,5414718
73,86.7,89.0,84.55,88.1,0,2013-08-02,6503281
74,86.3,87.9,85.2,87.0,0,2013-08-05,3901121
75,85.55,86.9,84.5,85.3,0,2013-08-06,5157109
76,86.5,87.85,83.1,85.5,0,2013-08-07,8781589
77,91.7,92.4,86.2,86.5,0,2013-08-08,8935982
78,94.05,94.85,90.0,92.8,0,2013-08-12,7344754
79,91.4,93.9,89.7,92.0,0,2013-08-13,22789755
80,98.2,98.8,91.55,92.15,0,2013-08-14,16664295
81,93.55,97.8,92.05,97.35,0,2013-08-16,9314657
82,96.05,96.65,90.7,93.0,0,2013-08-19,9593013
83,97.35,98.7,92.3,93.0,0,2013-08-20,12915528
84,93.3,99.9,92.1,99.0,0,2013-08-21,11279306
85,104.0,105.3,93.55,94.75,0,2013-08-22,19204284
86,103.8,105.55,100.8,104.3,0,2013-08-23,11149842
87,104.4,107.5,102.5,103.9,0,2013-08-26,9829310
88,99.15,104.8,98.0,102.4,0,2013-08-27,9714221
89,102.1,103.35,96.6,98.35,0,2013-08-28,10128111
90,107.1,108.5,102.1,103.0,0,2013-08-29,15191190
91,105.05,109.0,101.8,106.4,0,2013-08-30,12961890
92,108.95,109.5,104.7,105.0,0,2013-09-02,8545257
93,104.4,110.4,103.75,109.4,0,2013-09-03,11638850
94,108.55,109.5,103.85,104.75,0,2013-09-04,10579678
95,108.2,110.85,106.7,110.05,0,2013-09-05,10731601
96,107.9,109.5,106.0,108.3,0,2013-09-06,8174003
97,110.2,111.25,107.1,109.5,0,2013-09-10,10171012
98,114.45,115.35,109.15,110.5,0,2013-09-11,12710941
99,111.2,114.5,110.05,114.5,0,2013-09-12,6488525
100,112.4,113.7,110.1,110.15,0,2013-09-13,5066014
101,113.1,115.25,111.5,113.55,0,2013-09-16,6926671
102,113.9,114.7,111.55,112.8,0,2013-09-17,4628986
103,114.65,115.8,113.4,113.9,0,2013-09-18,5013717
104,118.5,119.7,116.0,117.1,0,2013-09-19,7588877
105,113.95,118.15,112.4,117.4,0,2013-09-20,7175240
106,116.55,117.15,113.15,113.9,0,2013-09-23,5854812
107,112.0,116.75,111.45,115.85,0,2013-09-24,7708701
108,116.8,117.55,111.15,112.0,0,2013-09-25,7855335
109,117.05,119.15,115.15,116.2,0,2013-09-26,7970953
110,113.9,118.5,113.25,117.1,0,2013-09-27,5494749
111,111.9,113.85,110.55,112.05,0,2013-09-30,5614201
112,110.5,112.5,109.15,111.75,0,2013-10-01,5375233
113,115.55,116.2,110.5,111.2,0,2013-10-03,6776388
114,118.05,119.85,114.15,114.75,0,2013-10-04,10374519
115,121.85,122.4,116.5,117.15,0,2013-10-07,14800082
116,119.45,123.0,119.1,123.0,0,2013-10-08,8023428
117,119.6,120.6,117.9,118.5,0,2013-10-09,9207369
118,117.05,121.45,116.2,119.1,0,2013-10-10,7408245
119,114.25,119.1,113.5,119.0,0,2013-10-11,12420442
120,110.6,114.25,109.8,114.25,0,2013-10-14,10461942
121,112.1,113.35,105.0,108.0,0,2013-10-15,22947336
122,111.15,113.75,109.3,110.0,0,2013-10-17,9822584
123,114.85,115.8,110.2,110.2,0,2013-10-18,12059655
124,118.4,119.8,114.95,115.6,0,2013-10-21,10397418
125,116.5,121.15,115.7,117.8,0,2013-10-22,10174738
126,115.9,118.65,113.3,115.5,0,2013-10-23,11436312
127,114.55,118.1,113.9,115.1,0,2013-10-24,6134457
128,109.2,114.0,108.9,114.0,0,2013-10-25,11030631
129,107.05,110.65,106.5,109.5,0,2013-10-28,7039471
130,110.25,110.7,106.1,107.0,0,2013-10-29,6557724
131,113.45,113.9,109.95,110.65,0,2013-10-30,7013388
132,115.05,116.3,111.7,112.55,0,2013-10-31,8231615
133,115.2,115.9,113.35,114.25,0,2013-11-01,6356485
134,115.9,116.5,115.55,116.15,0,2013-11-03,925060
135,117.7,118.85,114.6,115.9,0,2013-11-05,5356086
136,115.25,118.05,114.35,117.55,0,2013-11-06,3544847
137,116.85,119.2,114.7,115.5,0,2013-11-07,8682989
138,116.5,117.9,114.4,116.9,0,2013-11-08,5874233
139,111.35,116.3,110.8,115.9,0,2013-11-11,7096767
140,111.25,114.45,110.0,112.25,0,2013-11-12,10337140
141,113.95,114.9,109.1,110.2,0,2013-11-13,8827958
142,115.2,117.0,114.35,115.0,0,2013-11-14,6313951
143,119.0,119.4,113.95,116.5,0,2013-11-18,8677657
144,124.25,124.7,119.3,119.35,0,2013-11-19,16182171
145,120.75,125.0,120.15,124.1,0,2013-11-20,7845073
146,119.5,122.15,118.9,120.2,0,2013-11-21,7108124
147,118.4,121.65,116.4,120.5,0,2013-11-22,8317855
148,118.15,120.85,117.0,119.0,0,2013-11-25,5389057
149,118.45,122.0,117.6,118.0,0,2013-11-26,8244575
150,118.75,120.6,116.9,119.0,0,2013-11-27,6496457
151,121.4,122.35,118.75,119.6,0,2013-11-28,8327954
152,122.7,123.4,121.0,121.0,0,2013-11-29,5005082
153,121.85,123.4,120.35,122.75,0,2013-12-02,5004229
154,124.05,126.35,120.4,120.75,0,2013-12-03,9469051
155,120.7,124.45,120.15,124.0,0,2013-12-04,5586058
156,121.75,123.95,121.25,122.65,0,2013-12-05,4796038
157,120.5,122.45,119.0,119.05,0,2013-12-06,5150035
158,123.9,124.95,121.15,123.8,0,2013-12-09,6669984
159,125.1,126.0,120.7,124.4,0,2013-12-10,8452805
160,123.45,126.85,122.7,125.0,0,2013-12-11,8394182
161,121.05,123.25,120.5,122.0,0,2013-12-12,3781269
162,118.7,121.05,117.8,120.2,0,2013-12-13,6925600
163,116.65,119.0,115.65,118.0,0,2013-12-16,4894608
164,116.45,119.0,116.1,117.5,0,2013-12-17,4133927
165,117.8,118.45,116.05,116.65,0,2013-12-18,4704581
166,119.0,120.75,117.65,118.5,0,2013-12-19,9030128
167,119.45,120.15,118.0,118.0,0,2013-12-20,5390331
168,123.55,124.8,120.0,120.0,0,2013-12-23,6397430
169,122.0,124.35,121.5,123.6,0,2013-12-24,2888364
170,121.1,122.7,120.35,120.8,0,2013-12-26,5727281
171,122.45,123.1,120.6,121.1,0,2013-12-27,2847198
172,121.75,123.4,121.1,123.0,0,2013-12-30,2793865
173,122.6,123.15,121.25,122.0,0,2013-12-31,2175457
174,121.8,123.8,121.35,122.6,0,2014-01-01,4120036
175,120.65,125.65,120.0,121.8,0,2014-01-02,7275995
176,118.75,120.7,117.1,120.0,0,2014-01-03,4279292
177,118.25,119.6,117.2,118.5,0,2014-01-06,3307710
178,116.05,118.95,115.0,118.15,0,2014-01-07,4922926
179,115.25,118.3,114.5,118.25,0,2014-01-08,5002283
180,112.65,115.25,112.0,115.0,0,2014-01-09,5398443
181,110.55,113.0,110.15,112.8,0,2014-01-10,9012277
182,110.0,112.25,108.5,110.2,0,2014-01-13,4214147
183,109.4,111.25,108.75,110.0,0,2014-01-14,2923798
184,110.85,112.9,110.2,110.3,0,2014-01-15,4817973
185,112.95,113.35,111.15,111.45,0,2014-01-16,4745742
186,111.3,114.0,110.5,113.5,0,2014-01-17,5325344
187,112.1,113.5,110.1,110.1,0,2014-01-20,3113909
188,113.0,113.4,110.65,112.45,0,2014-01-21,3825639
189,115.2,115.4,112.5,112.6,0,2014-01-22,5517465
190,114.3,115.25,113.6,114.2,0,2014-01-23,2853691
191,114.0,115.35,113.0,113.15,0,2014-01-24,5737135
192,111.1,112.7,109.3,112.0,0,2014-01-27,8724577
193,113.8,115.0,109.75,110.0,0,2014-01-28,4513345
194,111.75,114.75,111.15,114.5,0,2014-01-29,4713458
195,108.1,110.7,107.6,110.2,0,2014-01-30,5077231
196,109.55,110.0,107.0,109.05,0,2014-01-31,8287236
197,103.45,109.4,103.0,109.0,0,2014-02-03,5572627
198,102.45,103.45,99.8,102.0,0,2014-02-04,13935173
199,104.25,105.15,101.0,102.4,0,2014-02-05,9106760
200,105.75,106.5,103.1,104.65,0,2014-02-06,10194884
201,106.4,107.7,104.75,106.15,0,2014-02-07,9650511
202,106.8,107.7,105.8,106.45,0,2014-02-10,3124538
203,104.55,107.1,104.25,106.9,0,2014-02-11,3964390
204,103.5,105.6,103.05,105.15,0,2014-02-12,5325176
205,100.2,104.55,99.75,103.9,0,2014-02-13,12652556
206,99.9,101.0,97.85,100.75,0,2014-02-14,6390793
207,98.5,100.75,97.65,100.0,0,2014-02-17,6870442
