,c,h,l,o,oi,time,v
0,482.9,487.0,481.15,482.6,0,2013-04-22,2283739
1,479.35,489.5,477.65,482.0,0,2013-04-23,1320840
2,478.65,486.35,469.1,480.25,0,2013-04-25,2833099
3,465.05,477.35,462.7,477.35,0,2013-04-26,2239631
4,497.35,499.65,457.6,465.0,0,2013-04-29,11096404
5,583.8,597.0,547.05,547.05,0,2013-04-30,19185543
6,571.85,582.85,570.35,582.85,0,2013-05-02,7162821
7,572.4,577.5,570.5,570.5,0,2013-05-03,2935748
8,573.15,576.15,571.1,572.2,0,2013-05-06,1541686
9,579.35,581.4,572.5,573.0,0,2013-05-07,1953522
10,587.0,588.4,578.25,578.25,0,2013-05-08,2665710
11,584.85,588.1,584.0,588.0,0,2013-05-09,1192515
12,585.0,587.75,583.55,587.7,0,2013-05-10,962470
13,586.1,587.0,585.0,585.85,0,2013-05-11,43958
14,582.2,587.0,581.25,585.85,0,2013-05-13,1858762
15,583.85,585.0,581.55,582.45,0,2013-05-14,762210
16,585.5,587.6,583.55,585.7,0,2013-05-15,1871906
17,582.75,585.85,582.05,583.1,0,2013-05-16,3247546
18,586.0,586.75,582.5,582.5,0,2013-05-17,1493246
19,586.4,587.85,585.05,586.0,0,2013-05-20,1476948
20,585.8,590.0,585.25,586.0,0,2013-05-21,1565233
21,585.1,585.55,584.1,584.1,0,2013-05-22,1053010
22,585.25,585.9,584.25,584.25,0,2013-05-23,2498040
23,586.15,587.0,585.15,586.0,0,2013-05-24,1290939
24,591.6,592.65,585.2,586.2,0,2013-05-27,1185438
25,591.35,592.3,589.05,592.0,0,2013-05-28,826579
26,594.15,594.95,590.0,591.6,0,2013-05-29,898094
27,595.55,596.5,591.1,591.1,0,2013-05-30,2469202
28,592.5,597.85,591.1,593.05,0,2013-05-31,1683995
29,592.1,593.85,588.25,588.25,0,2013-06-03,1389907
30,590.7,592.95,590.4,591.0,0,2013-06-04,1301781
31,590.3,591.75,589.6,590.75,0,2013-06-05,1881857
32,590.85,591.35,589.15,590.3,0,2013-06-06,2907337
33,591.15,592.3,590.55,590.55,0,2013-06-07,982944
34,592.7,594.0,591.1,591.1,0,2013-06-10,824294
35,593.5,594.75,592.0,592.2,0,2013-06-11,1117140
36,593.65,594.8,593.1,594.8,0,2013-06-12,733188
37,594.7,595.0,592.05,594.0,0,2013-06-13,1071002
38,593.6,595.0,592.65,595.0,0,2013-06-14,1029944
39,595.9,597.35,593.65,594.15,0,2013-06-17,787063
40,595.65,598.05,593.35,595.7,0,2013-06-18,1831701
41,594.75,595.0,593.5,595.0,0,2013-06-19,2962206
42,593.3,595.0,592.55,594.55,0,2013-06-20,2592060
43,590.65,594.35,589.05,593.5,0,2013-06-21,6623347
44,583.95,591.75,581.55,590.05,0,2013-06-24,8830754
