,c,h,l,o,oi,time,v
0,208.81,210.85,202.99,204.58,0,2013-04-22,19837163
1,211.15,211.8,204.48,209.09,0,2013-04-23,22457715
2,214.06,216.0,211.27,212.75,0,2013-04-25,34175350
3,208.09,216.15,204.55,213.18,0,2013-04-26,38868885
4,209.67,210.91,206.09,209.11,0,2013-04-29,12108723
5,211.57,213.09,207.65,210.45,0,2013-04-30,16337541
6,213.04,215.82,210.91,210.95,0,2013-05-02,15253199
7,205.45,212.73,203.98,212.3,0,2013-05-03,21828449
8,207.75,208.91,201.68,205.0,0,2013-05-06,13608061
9,211.63,213.09,207.64,207.82,0,2013-05-07,16100205
10,210.54,213.78,208.29,212.73,0,2013-05-08,13112506
11,209.57,211.85,207.96,210.91,0,2013-05-09,8672928
12,211.88,212.71,209.15,209.64,0,2013-05-10,10691846
13,212.35,213.09,211.09,211.09,0,2013-05-11,448024
14,208.87,213.91,208.23,211.09,0,2013-05-13,10484056
15,208.63,212.1,207.62,209.64,0,2013-05-14,11398414
16,216.59,217.96,209.45,209.63,0,2013-05-15,19773429
17,219.55,221.64,215.42,215.45,0,2013-05-16,16552888
18,223.72,224.89,218.74,219.11,0,2013-05-17,15429496
19,219.96,224.44,218.84,223.45,0,2013-05-20,15072865
20,220.18,224.76,218.58,219.96,0,2013-05-21,13731074
21,220.02,223.09,218.99,220.91,0,2013-05-22,14560749
22,213.15,219.35,211.32,218.18,0,2013-05-23,18462532
23,218.94,220.13,214.13,215.71,0,2013-05-24,14106999
24,221.71,222.73,217.24,218.91,0,2013-05-27,13687630
25,223.99,225.16,221.8,222.45,0,2013-05-28,14966160
26,220.89,224.09,219.65,223.64,0,2013-05-29,11424242
27,215.05,217.72,213.14,217.27,0,2013-05-30,23897703
28,209.9,216.15,208.73,214.73,0,2013-05-31,18191398
29,208.21,210.55,206.3,209.09,0,2013-06-03,13596192
30,206.95,212.03,206.31,209.09,0,2013-06-04,12805567
31,206.25,208.14,203.64,207.25,0,2013-06-05,14967551
32,209.93,211.42,204.19,205.09,0,2013-06-06,10282987
33,207.58,210.51,207.04,208.55,0,2013-06-07,13126982
34,203.24,210.51,201.65,208.36,0,2013-06-10,16822921
35,195.73,202.35,195.15,201.27,0,2013-06-11,31926708
36,196.59,198.0,194.33,194.59,0,2013-06-12,17971541
37,194.34,196.98,193.82,194.55,0,2013-06-13,14672218
38,200.39,200.81,195.45,197.62,0,2013-06-14,19640098
39,200.26,201.06,196.38,200.0,0,2013-06-17,14558142
40,198.35,199.9,197.28,199.44,0,2013-06-18,10463062
41,197.58,198.36,196.0,197.6,0,2013-06-19,7688026
42,190.21,194.18,188.49,194.18,0,2013-06-20,26143441
43,189.97,190.91,186.57,188.4,0,2013-06-21,22564300
44,190.75,191.64,187.14,188.45,0,2013-06-24,22071538
45,187.79,192.09,186.94,191.82,0,2013-06-25,28836703
46,186.57,190.33,185.69,189.05,0,2013-06-26,22165990
47,187.37,189.82,186.4,189.27,0,2013-06-27,34649395
48,194.68,195.66,189.82,190.55,0,2013-06-28,26626495
49,194.16,195.25,192.55,193.21,0,2013-07-01,11799568
