,c,h,l,o,oi,time,v
0,466.4,471.9,451.1,451.1,0,2013-04-22,4233365
1,461.15,467.5,450.6,467.5,0,2013-04-23,2117529
2,467.85,478.5,460.95,463.25,0,2013-04-25,3011657
3,458.15,467.45,453.0,467.45,0,2013-04-26,2336599
4,477.7,484.2,448.7,457.5,0,2013-04-29,2814078
5,467.75,480.0,466.1,479.0,0,2013-04-30,1179396
6,472.8,476.7,465.0,467.0,0,2013-05-02,1157355
7,468.05,476.4,457.85,473.2,0,2013-05-03,1386740
8,474.5,476.55,456.65,465.5,0,2013-05-06,1621140
9,484.9,494.65,473.1,476.5,0,2013-05-07,2141462
10,493.2,495.0,483.95,484.5,0,2013-05-08,2039165
11,488.9,495.0,487.45,494.0,0,2013-05-09,1567833
12,505.65,509.5,488.9,489.0,0,2013-05-10,2592210
13,507.95,509.0,503.0,505.0,0,2013-05-11,101334
14,493.15,508.6,491.4,507.95,0,2013-05-13,1799085
15,490.3,496.95,487.1,493.5,0,2013-05-14,765284
16,514.05,516.5,492.1,495.2,0,2013-05-15,2091125
17,524.55,527.3,509.25,511.25,0,2013-05-16,1940442
18,511.1,524.45,506.05,524.0,0,2013-05-17,1790256
19,501.8,519.5,499.5,513.0,0,2013-05-20,1230538
20,496.3,507.8,494.0,502.25,0,2013-05-21,810945
21,494.3,504.4,489.35,498.3,0,2013-05-22,1416886
22,491.1,499.65,484.85,492.0,0,2013-05-23,1238524
23,498.25,502.0,487.0,498.9,0,2013-05-24,706236
24,529.35,531.5,496.95,497.0,0,2013-05-27,2357861
25,523.0,531.9,518.05,530.0,0,2013-05-28,1039356
26,516.85,525.0,514.3,521.8,0,2013-05-29,874714
27,528.85,531.7,512.65,512.65,0,2013-05-30,1267557
28,517.3,526.8,512.95,526.8,0,2013-05-31,588014
29,509.9,525.4,501.45,520.0,0,2013-06-03,1412889
30,509.4,519.8,506.5,509.0,0,2013-06-04,770478
31,512.25,519.0,502.7,505.25,0,2013-06-05,927599
32,509.7,515.45,504.1,510.0,0,2013-06-06,1055016
33,507.15,513.0,505.05,506.05,0,2013-06-07,708581
34,495.45,512.0,492.4,503.65,0,2013-06-10,1023103
35,476.9,495.0,471.65,495.0,0,2013-06-11,1827166
36,492.6,497.8,474.0,480.0,0,2013-06-12,1015978
37,488.8,493.7,481.05,488.0,0,2013-06-13,810475
38,482.1,492.85,477.55,491.7,0,2013-06-14,1758294
39,486.1,488.5,469.5,479.3,0,2013-06-17,1074238
40,477.6,486.75,473.0,485.4,0,2013-06-18,647101
41,478.45,482.0,471.75,477.0,0,2013-06-19,700024
42,449.25,472.0,446.1,472.0,0,2013-06-20,1455164
43,464.3,468.4,440.35,447.5,0,2013-06-21,1846376
44,453.7,465.9,449.0,462.45,0,2013-06-24,1505334
45,471.7,479.8,449.0,453.0,0,2013-06-25,1835731
46,455.2,475.5,452.0,475.0,0,2013-06-26,1511583
47,455.65,464.0,449.25,462.0,0,2013-06-27,1383441
48,467.45,469.95,454.45,463.1,0,2013-06-28,1760619
49,471.95,481.9,465.0,466.5,0,2013-07-01,1003751
50,476.45,478.8,466.85,469.1,0,2013-07-02,963654
51,467.25,477.0,463.1,472.8,0,2013-07-03,689427
52,472.3,485.0,468.55,468.55,0,2013-07-04,1593383
53,475.05,479.0,465.4,475.25,0,2013-07-05,1033634
54,492.2,494.7,468.0,473.0,0,2013-07-08,2004937
55,503.5,507.0,496.0,496.0,0,2013-07-09,1443282
56,495.95,513.4,490.55,508.0,0,2013-07-10,3378634
57,510.7,516.8,503.3,507.0,0,2013-07-11,2233280
58,502.85,513.6,499.4,513.0,0,2013-07-12,1328001
59,506.35,509.75,499.55,502.05,0,2013-07-15,667294
60,466.4,489.0,461.1,489.0,0,2013-07-16,2917668
61,453.9,471.95,441.2,471.95,0,2013-07-17,3539319
62,465.0,470.45,454.45,457.0,0,2013-07-18,4039242
63,445.0,465.0,440.2,465.0,0,2013-07-19,3204539
64,459.05,462.6,441.55,445.0,0,2013-07-22,1812575
65,462.95,471.0,460.6,466.5,0,2013-07-23,1689821
66,423.55,450.35,419.5,449.85,0,2013-07-24,5520199
67,422.45,431.95,419.95,423.6,0,2013-07-25,3598704
68,420.15,430.15,404.1,429.5,0,2013-07-26,2335051
69,412.45,425.75,408.15,420.25,0,2013-07-29,2008750
70,398.7,420.8,393.65,415.0,0,2013-07-30,3632814
71,387.45,395.0,367.8,395.0,0,2013-07-31,3026323
72,392.95,398.6,368.1,391.95,0,2013-08-01,3827048
73,390.45,406.5,380.35,398.5,0,2013-08-02,3145030
74,390.9,401.85,379.35,398.9,0,2013-08-05,1846081
75,360.15,386.1,353.0,382.65,0,2013-08-06,2679728
76,372.15,378.65,355.15,362.0,0,2013-08-07,3843246
77,375.2,377.5,361.25,372.1,0,2013-08-08,1440010
78,372.9,389.0,358.0,372.55,0,2013-08-12,2173435
79,384.25,387.8,364.65,367.8,0,2013-08-13,2019325
80,380.65,392.2,373.55,384.0,0,2013-08-14,2330603
81,356.4,378.0,348.0,373.5,0,2013-08-16,3173412
82,339.95,357.95,334.4,350.0,0,2013-08-19,3279735
83,337.3,351.35,311.5,330.0,0,2013-08-20,5187529
84,358.85,383.7,354.0,364.7,0,2013-08-21,8113368
85,366.4,370.35,345.25,351.0,0,2013-08-22,6411982
86,370.15,374.0,358.65,369.0,0,2013-08-23,5521984
87,374.55,383.0,368.95,375.0,0,2013-08-26,3088890
88,345.25,369.0,337.6,369.0,0,2013-08-27,3429668
89,344.55,352.5,318.0,338.8,0,2013-08-28,6941686
90,353.05,358.5,338.25,351.2,0,2013-08-29,2654131
91,356.75,368.0,345.0,350.55,0,2013-08-30,2433451
92,381.05,383.35,357.95,357.95,0,2013-09-02,2228734
93,348.4,385.0,342.5,385.0,0,2013-09-03,3305740
94,366.9,374.8,344.0,351.0,0,2013-09-04,3966778
95,397.5,415.0,380.4,380.4,0,2013-09-05,8526456
96,413.25,415.9,387.55,401.85,0,2013-09-06,4101301
97,409.75,435.6,403.15,425.0,0,2013-09-10,3472659
98,419.8,422.45,401.0,404.55,0,2013-09-11,3246382
99,397.1,423.8,391.35,420.35,0,2013-09-12,2377014
