,c,h,l,o,oi,time,v
0,280.57,286.63,277.95,286.45,0,2013-04-22,15401288
1,282.79,283.83,280.55,281.25,0,2013-04-23,7869960
2,278.46,281.25,277.89,281.0,0,2013-04-25,13762344
3,276.5,279.73,275.32,277.52,0,2013-04-26,11129584
4,278.67,281.1,273.25,275.75,0,2013-04-29,8965680
5,279.43,280.3,277.77,279.25,0,2013-04-30,8840720
6,285.83,286.43,279.5,279.5,0,2013-05-02,9376184
7,288.49,290.5,284.77,287.1,0,2013-05-03,9117192
8,292.64,293.13,289.38,289.38,0,2013-05-06,6000104
9,293.6,294.38,290.6,293.75,0,2013-05-07,6983104
10,293.83,297.5,292.26,295.63,0,2013-05-08,7278352
11,295.17,296.11,293.75,293.98,0,2013-05-09,4561424
12,296.45,298.13,294.64,295.27,0,2013-05-10,4534040
13,295.24,296.25,293.89,295.02,0,2013-05-11,206432
14,292.45,295.27,291.29,294.38,0,2013-05-13,5014960
15,293.76,296.35,292.17,292.17,0,2013-05-14,4484448
16,295.05,296.58,293.42,294.13,0,2013-05-15,8893176
17,291.58,294.98,289.16,294.19,0,2013-05-16,6991752
18,293.97,296.13,291.88,292.11,0,2013-05-17,6431752
19,296.51,297.88,293.0,293.25,0,2013-05-20,8758288
20,299.7,302.14,295.86,296.27,0,2013-05-21,5660128
21,298.17,304.13,297.29,300.0,0,2013-05-22,6245672
22,294.98,302.41,294.52,297.0,0,2013-05-23,5100584
23,293.48,298.13,291.75,295.2,0,2013-05-24,3688648
24,296.58,298.25,291.29,292.65,0,2013-05-27,3325168
25,295.77,297.5,294.2,296.25,0,2013-05-28,4234952
26,294.05,298.88,291.63,296.25,0,2013-05-29,5166528
27,292.68,293.58,289.57,291.69,0,2013-05-30,6338632
28,301.46,304.36,292.75,292.75,0,2013-05-31,18498304
29,314.27,328.13,309.39,315.63,0,2013-06-03,33215248
30,311.98,314.93,307.95,311.25,0,2013-06-04,11714560
31,307.66,311.27,306.88,310.0,0,2013-06-05,5078784
32,303.7,306.83,301.98,306.25,0,2013-06-06,7509232
33,305.85,309.11,302.5,303.13,0,2013-06-07,6618168
34,310.85,312.25,307.15,307.5,0,2013-06-10,4289040
35,309.44,314.32,308.23,311.25,0,2013-06-11,5957704
