,c,h,l,o,oi,time,v
0,211.33,212.0,208.7,209.1,0,2013-04-22,6824171
1,211.73,212.0,209.37,211.67,0,2013-04-23,4370819
2,213.23,215.5,210.13,210.23,0,2013-04-25,18560941
3,212.6,213.23,211.13,211.67,0,2013-04-26,6455633
4,216.43,216.67,211.1,212.07,0,2013-04-29,6204319
5,219.23,223.73,217.33,217.33,0,2013-04-30,12815411
6,222.37,223.3,216.8,218.37,0,2013-05-02,9189452
7,220.47,222.27,219.27,222.1,0,2013-05-03,8680502
8,217.47,221.67,216.93,220.0,0,2013-05-06,3957778
9,223.53,224.0,217.4,217.4,0,2013-05-07,7669528
10,228.53,229.87,222.9,224.5,0,2013-05-08,7133002
11,229.67,230.63,227.77,229.63,0,2013-05-09,6004226
12,235.43,236.1,228.0,229.07,0,2013-05-10,9901381
13,236.1,236.63,234.27,234.67,0,2013-05-11,473558
14,223.87,236.0,222.9,236.0,0,2013-05-13,16419212
15,223.9,226.57,222.03,225.93,0,2013-05-14,10203167
16,228.3,229.3,224.0,225.37,0,2013-05-15,12404467
17,224.67,229.0,221.77,227.43,0,2013-05-16,11077166
18,223.27,227.63,222.07,225.77,0,2013-05-17,24402313
19,223.1,228.07,222.67,223.33,0,2013-05-20,11083103
20,220.67,223.6,219.23,222.67,0,2013-05-21,7706809
21,223.7,224.67,219.43,219.43,0,2013-05-22,9757463
22,221.67,223.97,220.23,222.27,0,2013-05-23,7726027
23,219.93,222.77,219.13,222.67,0,2013-05-24,10614929
24,222.6,223.07,219.67,220.0,0,2013-05-27,8008484
25,226.67,227.9,221.73,221.77,0,2013-05-28,8197505
26,228.43,228.77,224.97,227.33,0,2013-05-29,6836812
27,236.2,237.27,227.93,228.27,0,2013-05-30,16890533
28,226.6,234.33,225.73,234.33,0,2013-05-31,11126308
29,224.03,227.93,222.13,227.1,0,2013-06-03,7278041
30,224.87,225.8,223.4,223.9,0,2013-06-04,9254278
31,222.67,224.63,220.23,223.67,0,2013-06-05,8365124
32,223.27,224.5,220.07,222.67,0,2013-06-06,6394967
33,222.57,225.67,220.77,222.0,0,2013-06-07,6522953
34,224.67,225.33,222.57,222.7,0,2013-06-10,4775480
35,222.9,224.83,222.0,223.2,0,2013-06-11,9871106
36,220.67,222.63,218.7,221.87,0,2013-06-12,10105126
37,218.0,220.23,215.67,219.43,0,2013-06-13,12352501
38,221.17,222.0,217.5,219.6,0,2013-06-14,8107097
39,221.23,221.87,217.4,221.87,0,2013-06-17,5108966
40,220.1,221.4,218.87,220.37,0,2013-06-18,8104336
41,219.93,220.47,218.13,219.97,0,2013-06-19,6809846
42,215.13,218.6,212.67,218.57,0,2013-06-20,15620893
43,214.9,216.53,211.67,214.67,0,2013-06-21,10081105
44,209.6,217.07,207.57,213.57,0,2013-06-24,12685849
45,213.13,214.33,207.33,211.0,0,2013-06-25,12458821
46,215.3,217.93,212.47,214.5,0,2013-06-26,13188347
47,214.47,217.93,211.37,217.27,0,2013-06-27,15447925
48,216.23,220.0,214.17,215.07,0,2013-06-28,13819636
49,217.3,217.87,215.0,216.67,0,2013-07-01,13293920
50,216.57,217.7,215.0,216.67,0,2013-07-02,9031021
51,217.57,218.33,213.43,215.87,0,2013-07-03,10135750
52,225.9,226.53,217.57,217.67,0,2013-07-04,9645748
53,228.4,230.0,227.07,228.0,0,2013-07-05,6815045
54,231.13,232.4,225.83,227.47,0,2013-07-08,7952411
55,231.63,233.23,230.3,230.3,0,2013-07-09,6940654
56,230.37,232.6,228.73,232.6,0,2013-07-10,6719473
57,235.6,236.27,230.53,234.57,0,2013-07-11,6915356
58,233.73,235.5,231.73,235.5,0,2013-07-12,6394100
59,235.07,235.57,231.87,234.9,0,2013-07-15,6656909
60,240.03,241.33,232.0,232.0,0,2013-07-16,9762691
61,245.57,246.93,240.5,240.67,0,2013-07-17,17965229
62,245.77,247.93,243.2,245.5,0,2013-07-18,11436518
63,246.03,247.93,243.47,245.67,0,2013-07-19,8103916
64,245.87,247.0,244.3,244.83,0,2013-07-22,5949512
65,250.5,250.73,246.3,246.9,0,2013-07-23,7412786
66,250.53,253.33,245.93,250.33,0,2013-07-24,10686655
67,239.27,249.33,237.17,249.27,0,2013-07-25,21235403
68,245.43,248.5,233.1,240.43,0,2013-07-26,17561381
69,238.63,245.13,237.07,243.33,0,2013-07-29,7964438
70,233.73,239.07,232.67,237.07,0,2013-07-30,5585278
71,227.8,236.6,224.03,233.33,0,2013-07-31,19964458
72,226.27,232.7,224.7,229.0,0,2013-08-01,9546841
73,221.97,229.33,219.77,226.67,0,2013-08-02,9044092
74,223.6,227.3,221.43,222.17,0,2013-08-05,8635825
75,220.17,223.87,219.33,223.57,0,2013-08-06,11109770
76,214.73,221.83,212.33,220.67,0,2013-08-07,11836568
77,216.9,218.13,213.6,214.73,0,2013-08-08,9115868
78,223.77,225.0,216.67,219.93,0,2013-08-12,18346214
79,222.8,226.13,221.73,224.93,0,2013-08-13,14909851
80,223.23,224.67,219.4,222.1,0,2013-08-14,9639463
81,213.6,225.33,211.67,222.67,0,2013-08-16,18002075
82,209.27,214.57,206.67,213.6,0,2013-08-19,12379667
83,210.2,215.13,202.0,208.13,0,2013-08-20,18708482
84,200.57,213.93,197.43,213.33,0,2013-08-21,14922136
85,205.3,207.13,193.33,200.67,0,2013-08-22,20115064
86,205.67,206.57,200.7,205.8,0,2013-08-23,14739134
87,205.0,208.43,204.03,206.83,0,2013-08-26,8696441
88,198.6,204.5,193.77,204.17,0,2013-08-27,17306215
89,198.8,203.2,190.13,197.33,0,2013-08-28,20711270
90,203.7,206.0,196.67,199.8,0,2013-08-29,17358521
91,205.8,208.0,200.0,204.0,0,2013-08-30,17055796
92,213.6,215.87,205.87,206.67,0,2013-09-02,13712042
93,200.47,215.77,197.07,214.27,0,2013-09-03,20205521
94,199.9,203.33,195.73,203.33,0,2013-09-04,20956126
95,208.1,210.93,205.0,205.17,0,2013-09-05,13624513
96,210.93,212.53,206.87,208.67,0,2013-09-06,11033593
97,223.93,225.6,212.67,213.33,0,2013-09-10,18161731
98,219.97,224.67,218.03,224.0,0,2013-09-11,11302909
99,224.33,225.93,219.5,221.17,0,2013-09-12,16206458
100,220.9,225.93,219.97,225.23,0,2013-09-13,11005883
101,222.63,226.0,220.23,223.37,0,2013-09-16,10647887
102,225.8,226.53,221.03,221.4,0,2013-09-17,6579115
103,229.03,230.0,226.13,227.33,0,2013-09-18,10132802
104,236.97,237.67,232.17,232.27,0,2013-09-19,14783795
105,236.87,238.67,230.87,236.6,0,2013-09-20,12846751
106,233.23,238.0,231.1,234.07,0,2013-09-23,7868921
107,232.63,235.77,230.13,231.53,0,2013-09-24,12601384
108,229.83,233.33,224.57,233.0,0,2013-09-25,10854725
109,232.87,233.33,227.33,228.87,0,2013-09-26,11848279
110,231.93,233.93,230.03,233.93,0,2013-09-27,8281052
111,226.93,231.0,225.57,230.23,0,2013-09-30,8331931
112,228.67,229.0,225.33,226.9,0,2013-10-01,6400643
113,225.83,230.67,224.67,230.67,0,2013-10-03,11574532
114,226.57,227.83,223.57,225.83,0,2013-10-04,6663289
115,226.7,227.3,221.33,225.93,0,2013-10-07,7841258
116,231.77,232.43,226.4,228.17,0,2013-10-08,8390912
117,232.37,233.67,229.03,231.67,0,2013-10-09,7784354
118,231.43,233.87,229.8,231.13,0,2013-10-10,5129638
119,228.13,233.3,227.13,232.4,0,2013-10-11,5345368
120,226.53,229.0,225.77,229.0,0,2013-10-14,4019941
121,226.67,228.53,222.23,226.0,0,2013-10-15,7515373
122,230.33,231.0,226.13,226.67,0,2013-10-17,6741910
123,236.37,237.4,230.1,231.8,0,2013-10-18,11753062
124,229.8,237.33,228.67,236.67,0,2013-10-21,9770465
125,227.7,229.87,227.0,228.27,0,2013-10-22,6527044
126,227.73,229.67,225.67,228.1,0,2013-10-23,7096190
127,228.5,232.23,226.8,228.27,0,2013-10-24,9660392
128,226.7,231.33,224.0,229.93,0,2013-10-25,8802368
129,218.63,225.33,217.53,225.33,0,2013-10-28,20201309
130,218.6,221.37,215.33,218.2,0,2013-10-29,17061031
131,222.07,222.33,217.03,219.67,0,2013-10-30,15703255
132,223.33,224.33,220.23,220.9,0,2013-10-31,16451852
133,218.7,222.67,218.0,222.1,0,2013-11-01,10340530
134,220.4,221.3,220.07,220.67,0,2013-11-03,1482533
135,212.67,219.93,212.07,219.4,0,2013-11-05,19512898
136,212.47,215.03,211.47,213.33,0,2013-11-06,9105287
137,213.63,215.87,210.0,212.7,0,2013-11-07,10819576
138,213.03,215.8,211.47,213.9,0,2013-11-08,6661994
139,211.1,214.6,208.73,211.93,0,2013-11-11,9415745
140,213.27,213.93,211.2,212.0,0,2013-11-12,6387644
141,209.43,213.33,209.0,213.33,0,2013-11-13,7396816
142,209.63,212.0,208.0,208.0,0,2013-11-14,6432992
143,217.4,218.0,210.67,210.67,0,2013-11-18,12527794
144,215.67,218.43,215.0,217.93,0,2013-11-19,7184038
145,213.83,217.23,213.33,215.57,0,2013-11-20,11257588
146,208.63,213.33,207.4,212.87,0,2013-11-21,9989587
147,205.8,210.6,205.17,209.97,0,2013-11-22,8951782
148,210.8,211.27,207.33,207.57,0,2013-11-25,6516746
149,207.17,210.8,206.03,210.17,0,2013-11-26,10219502
150,209.43,210.13,206.03,206.03,0,2013-11-27,7364246
151,209.0,211.2,208.0,210.67,0,2013-11-28,10173413
152,213.6,214.0,208.7,208.7,0,2013-11-29,7474751
153,214.33,215.8,212.43,213.97,0,2013-12-02,5085724
154,212.8,214.63,211.63,214.63,0,2013-12-03,5571166
155,208.57,212.93,207.9,212.67,0,2013-12-04,6589585
156,205.83,212.3,205.03,210.67,0,2013-12-05,15412309
157,207.37,208.23,205.63,206.5,0,2013-12-06,12720287
158,208.7,211.73,207.1,210.67,0,2013-12-09,9375442
159,211.93,212.33,208.67,208.83,0,2013-12-10,16106660
160,213.9,214.5,211.33,211.33,0,2013-12-11,10507286
161,211.2,214.67,210.47,213.9,0,2013-12-12,6252733
162,210.2,211.67,208.23,210.4,0,2013-12-13,7155218
163,208.53,210.0,207.13,209.57,0,2013-12-16,6392978
164,210.2,210.57,208.07,209.9,0,2013-12-17,8170760
165,210.37,211.77,208.53,210.2,0,2013-12-18,11976707
166,209.1,211.67,207.4,211.33,0,2013-12-19,11225015
167,210.13,210.6,206.9,209.33,0,2013-12-20,15025765
168,212.8,213.27,209.9,210.13,0,2013-12-23,8737721
169,212.7,213.33,211.67,213.17,0,2013-12-24,6601424
170,213.5,214.27,211.8,212.73,0,2013-12-26,15461170
171,214.97,215.77,213.33,214.0,0,2013-12-27,8181664
172,214.93,216.0,213.33,214.67,0,2013-12-30,5758996
173,214.57,216.0,213.53,215.33,0,2013-12-31,5206775
174,214.93,215.6,214.07,214.87,0,2014-01-01,1859278
175,209.97,216.67,209.53,214.9,0,2014-01-02,6784786
176,209.83,210.67,206.9,210.0,0,2014-01-03,11999876
177,210.43,211.13,209.0,210.0,0,2014-01-06,8155127
178,211.13,211.6,208.5,211.0,0,2014-01-07,7779137
179,211.23,212.0,209.17,211.67,0,2014-01-08,7475486
180,210.4,211.13,208.43,211.13,0,2014-01-09,7663868
181,215.07,216.33,209.33,211.8,0,2014-01-10,9187307
182,216.97,217.53,215.07,215.73,0,2014-01-13,6358396
183,216.3,220.0,215.9,217.33,0,2014-01-14,7568300
