,c,h,l,o,oi,time,v
0,72.55,73.3,71.44,71.6,0,2013-04-22,9304060
1,72.52,74.95,71.62,72.99,0,2013-04-23,14727990
2,73.22,73.77,71.8,72.9,0,2013-04-25,10248120
3,70.44,73.94,70.01,73.4,0,2013-04-26,11512130
4,69.94,71.3,69.2,71.15,0,2013-04-29,6024870
5,70.28,70.97,68.2,70.2,0,2013-04-30,11925960
6,70.12,71.39,69.6,70.21,0,2013-05-02,7322840
7,70.96,72.68,69.06,70.5,0,2013-05-03,11655890
8,72.06,72.65,71.0,71.1,0,2013-05-06,8357510
9,72.1,72.98,71.39,72.15,0,2013-05-07,10186270
10,71.08,72.87,70.69,72.2,0,2013-05-08,8690130
11,70.22,71.58,69.85,70.66,0,2013-05-09,8017030
12,69.46,70.74,69.06,70.1,0,2013-05-10,9336660
13,69.53,70.06,69.22,69.6,0,2013-05-11,840490
14,67.71,70.5,67.15,69.8,0,2013-05-13,8436060
15,67.75,68.4,67.13,68.0,0,2013-05-14,6361600
16,69.28,69.77,67.6,67.6,0,2013-05-15,6569460
17,70.37,71.25,68.5,68.63,0,2013-05-16,11012520
18,70.7,71.4,69.75,70.5,0,2013-05-17,8221960
19,70.02,72.09,69.66,71.32,0,2013-05-20,9252370
20,69.12,70.46,68.83,70.2,0,2013-05-21,6655750
21,68.48,69.98,67.8,69.47,0,2013-05-22,6714810
22,68.79,69.3,66.51,66.91,0,2013-05-23,19827110
23,71.28,71.78,68.02,69.3,0,2013-05-24,15511640
24,71.86,72.44,70.72,71.4,0,2013-05-27,9839520
25,71.9,72.78,71.43,72.03,0,2013-05-28,6783240
26,70.68,72.49,70.08,72.49,0,2013-05-29,5113130
27,71.81,72.1,69.83,70.07,0,2013-05-30,8197640
28,68.4,71.63,68.1,71.63,0,2013-05-31,9148860
29,69.39,69.9,68.2,68.2,0,2013-06-03,6453330
30,71.07,72.06,69.5,69.5,0,2013-06-04,10795550
31,72.69,73.31,70.51,70.51,0,2013-06-05,8019940
32,73.67,74.44,72.01,72.32,0,2013-06-06,10756220
33,72.18,73.85,71.83,73.5,0,2013-06-07,7661440
34,72.64,73.2,71.67,72.53,0,2013-06-10,11134820
35,70.47,72.78,68.4,72.25,0,2013-06-11,15309710
36,67.29,70.4,66.51,69.87,0,2013-06-12,12185420
37,67.1,68.0,66.03,66.65,0,2013-06-13,8298500
38,68.47,69.17,67.72,67.72,0,2013-06-14,5397620
39,69.12,69.38,67.12,68.64,0,2013-06-17,5070830
40,70.35,70.6,68.52,68.97,0,2013-06-18,5928400
41,71.33,72.37,70.4,70.5,0,2013-06-19,8347850
42,68.75,70.4,68.5,70.3,0,2013-06-20,6415570
43,66.97,68.73,65.0,68.11,0,2013-06-21,10236370
44,67.46,68.14,65.82,67.4,0,2013-06-24,9964350
45,65.57,68.2,65.22,67.4,0,2013-06-25,11651180
46,64.58,65.8,63.93,65.7,0,2013-06-26,11251740
47,64.34,65.8,63.28,65.45,0,2013-06-27,15405980
48,65.83,66.16,64.72,64.72,0,2013-06-28,11501940
49,65.93,66.75,64.94,65.31,0,2013-07-01,10213960
50,64.21,66.58,63.81,65.3,0,2013-07-02,19418150
51,61.07,63.6,60.1,63.51,0,2013-07-03,20392400
52,61.17,62.5,60.5,61.13,0,2013-07-04,14565550
53,61.63,62.8,61.2,61.7,0,2013-07-05,8732290
54,60.38,61.1,59.65,61.1,0,2013-07-08,7588110
55,60.89,61.66,60.42,60.99,0,2013-07-09,7491970
56,59.41,61.49,59.05,60.9,0,2013-07-10,10978880
57,60.4,61.7,60.1,60.1,0,2013-07-11,12370780
58,60.18,60.98,59.5,60.5,0,2013-07-12,7814750
59,59.07,59.73,58.45,59.18,0,2013-07-15,8903900
60,57.09,58.94,56.71,58.3,0,2013-07-16,9379310
61,56.03,57.16,55.17,56.9,0,2013-07-17,9475230
62,56.92,57.6,55.17,56.1,0,2013-07-18,9753850
63,57.14,58.2,56.6,56.98,0,2013-07-19,6249130
64,56.42,57.13,55.56,56.63,0,2013-07-22,8833530
65,58.07,58.38,56.6,57.01,0,2013-07-23,7269650
66,56.03,57.98,54.69,57.5,0,2013-07-24,11008480
67,56.68,57.78,56.06,56.5,0,2013-07-25,12457450
68,55.48,57.22,53.65,56.76,0,2013-07-26,10628520
69,55.13,56.18,54.4,55.01,0,2013-07-29,6896410
70,53.31,55.43,52.73,55.01,0,2013-07-30,6399240
71,56.59,57.5,51.5,52.8,0,2013-07-31,18341470
72,55.3,57.5,53.95,57.09,0,2013-08-01,9058950
73,53.66,56.06,52.0,55.6,0,2013-08-02,13193940
74,52.74,54.57,51.65,53.5,0,2013-08-05,13844080
75,50.98,52.99,49.97,52.99,0,2013-08-06,15838700
76,52.15,53.3,49.1,50.74,0,2013-08-07,15946050
77,50.38,52.48,50.05,51.6,0,2013-08-08,13089370
78,51.74,53.18,50.45,51.2,0,2013-08-12,11994000
79,51.87,52.8,51.0,51.2,0,2013-08-13,9392270
80,53.47,54.28,52.6,52.65,0,2013-08-14,11212710
81,48.74,53.45,48.01,52.9,0,2013-08-16,13314350
82,49.98,50.3,46.2,48.1,0,2013-08-19,12336900
83,52.17,53.19,48.5,48.98,0,2013-08-20,16134040
84,49.74,53.7,49.35,52.84,0,2013-08-21,10866110
85,54.59,55.75,48.7,49.8,0,2013-08-22,21217880
86,54.65,55.47,52.7,54.71,0,2013-08-23,18502680
87,53.98,55.55,53.04,55.1,0,2013-08-26,16167990
88,51.95,53.62,51.05,53.49,0,2013-08-27,13652450
89,53.43,53.95,50.01,50.85,0,2013-08-28,13027640
90,56.95,57.9,52.6,53.88,0,2013-08-29,28299880
91,54.15,57.78,53.5,56.8,0,2013-08-30,17999060
92,55.61,56.3,54.0,54.0,0,2013-09-02,9173030
93,52.38,56.49,51.73,55.7,0,2013-09-03,14761760
94,54.08,54.58,52.56,52.8,0,2013-09-04,9916730
95,56.43,57.47,54.92,55.0,0,2013-09-05,12184950
96,58.07,58.78,55.25,56.63,0,2013-09-06,13290090
97,59.49,60.0,58.2,59.0,0,2013-09-10,12087320
98,64.61,64.99,59.02,60.0,0,2013-09-11,24107140
99,62.4,65.3,61.8,65.3,0,2013-09-12,11401430
100,63.31,64.0,61.42,61.98,0,2013-09-13,10154830
101,65.36,67.5,63.19,64.8,0,2013-09-16,16427330
102,66.17,66.79,64.1,65.56,0,2013-09-17,12238320
103,66.68,67.1,65.81,66.88,0,2013-09-18,7737790
104,72.22,73.3,68.22,68.5,0,2013-09-19,17054960
105,74.27,74.7,69.53,72.11,0,2013-09-20,18026610
106,72.95,73.85,71.63,73.05,0,2013-09-23,11124260
107,74.31,74.88,72.21,72.3,0,2013-09-24,13600530
108,75.74,76.2,73.0,73.81,0,2013-09-25,15485980
109,74.43,75.9,74.02,75.2,0,2013-09-26,11598130
110,73.31,75.07,72.53,74.33,0,2013-09-27,10523360
111,72.97,73.34,70.67,72.01,0,2013-09-30,12293790
112,75.0,75.61,71.64,73.1,0,2013-10-01,14820480
113,76.27,77.15,75.2,75.5,0,2013-10-03,10014540
114,77.43,77.99,75.31,75.53,0,2013-10-04,13942990
115,78.74,79.39,76.4,76.72,0,2013-10-07,12117930
116,77.92,80.4,77.1,79.01,0,2013-10-08,13764370
117,79.15,79.3,76.31,77.0,0,2013-10-09,9387620
118,78.55,79.8,78.06,78.4,0,2013-10-10,8464890
119,78.07,79.78,77.4,79.5,0,2013-10-11,6937590
120,77.68,78.78,77.37,77.98,0,2013-10-14,5733220
121,78.88,79.7,77.09,77.71,0,2013-10-15,9291580
122,78.53,80.29,78.1,78.56,0,2013-10-17,8734580
123,81.1,81.79,78.1,78.1,0,2013-10-18,11303760
124,83.83,84.14,80.57,81.25,0,2013-10-21,11208760
125,83.96,84.79,83.18,83.5,0,2013-10-22,8909740
126,84.03,84.82,82.81,84.15,0,2013-10-23,7605360
127,84.63,86.2,83.83,83.85,0,2013-10-24,9904300
128,85.04,85.75,84.0,84.0,0,2013-10-25,9174560
129,85.92,86.37,85.2,85.21,0,2013-10-28,9583350
130,86.25,87.59,84.5,85.9,0,2013-10-29,17697490
131,84.89,86.4,84.22,86.06,0,2013-10-30,8131080
132,86.15,87.05,84.28,84.6,0,2013-10-31,14924560
133,86.53,88.6,85.5,85.5,0,2013-11-01,11476050
134,86.49,87.31,86.11,86.5,0,2013-11-03,957190
135,86.69,87.5,84.62,85.72,0,2013-11-05,7785270
136,86.38,87.45,85.7,86.33,0,2013-11-06,5796760
137,86.96,88.5,86.11,86.11,0,2013-11-07,9543140
138,86.64,87.85,85.92,86.3,0,2013-11-08,9859210
139,85.65,86.99,84.87,86.0,0,2013-11-11,7703870
140,83.68,86.15,83.21,85.36,0,2013-11-12,6526170
141,83.31,84.11,82.54,83.22,0,2013-11-13,6143940
142,86.48,87.44,84.34,84.6,0,2013-11-14,9110380
143,87.26,87.8,86.65,87.5,0,2013-11-18,5743530
144,88.73,89.57,87.15,87.31,0,2013-11-19,7074150
145,89.59,90.9,88.5,88.59,0,2013-11-20,12772210
146,88.86,90.15,88.43,89.33,0,2013-11-21,8689280
147,87.46,89.74,86.72,89.4,0,2013-11-22,6465290
148,88.75,89.1,87.38,87.8,0,2013-11-25,5100860
149,89.06,89.54,88.03,88.03,0,2013-11-26,6106120
150,91.97,92.49,88.85,88.85,0,2013-11-27,8655560
151,91.5,93.35,91.03,93.0,0,2013-11-28,8841820
152,91.86,92.9,91.2,91.9,0,2013-11-29,4435770
153,93.4,94.0,91.2,91.53,0,2013-12-02,8022250
154,93.33,94.33,92.58,93.03,0,2013-12-03,7793290
155,93.17,94.19,92.83,93.2,0,2013-12-04,5742100
156,93.25,94.68,92.91,94.5,0,2013-12-05,3876070
157,92.71,93.63,92.11,93.2,0,2013-12-06,3647460
158,93.08,94.83,92.1,94.83,0,2013-12-09,5285470
159,95.0,95.4,92.83,93.11,0,2013-12-10,7635480
160,94.11,94.95,93.5,94.6,0,2013-12-11,4929040
161,93.15,94.02,92.86,93.34,0,2013-12-12,3336530
162,92.15,93.4,91.8,92.5,0,2013-12-13,5013050
163,91.36,92.96,90.13,92.2,0,2013-12-16,5222130
164,92.44,93.5,91.32,92.18,0,2013-12-17,6180220
165,94.34,94.78,91.56,92.51,0,2013-12-18,5987780
166,96.04,96.3,94.21,94.61,0,2013-12-19,7622460
167,96.38,96.62,95.68,96.3,0,2013-12-20,5645780
168,98.69,99.5,96.22,96.31,0,2013-12-23,8356250
169,98.87,99.42,98.03,98.8,0,2013-12-24,5890190
170,99.88,100.8,98.35,98.6,0,2013-12-26,9029620
171,100.74,101.0,99.57,99.89,0,2013-12-27,6678510
172,102.23,102.5,100.6,101.72,0,2013-12-30,8899370
173,101.72,102.89,101.06,102.6,0,2013-12-31,6193970
174,101.54,102.27,101.15,101.98,0,2014-01-01,2592560
175,100.91,104.0,99.17,101.77,0,2014-01-02,13790330
176,99.4,100.97,98.6,100.51,0,2014-01-03,7380140
177,103.43,104.17,99.65,99.87,0,2014-01-06,11094920
178,102.76,104.62,101.4,103.54,0,2014-01-07,8881400
179,102.63,103.37,101.8,102.72,0,2014-01-08,4745410
180,102.56,103.2,100.78,102.9,0,2014-01-09,5221660
181,102.33,103.4,101.52,103.0,0,2014-01-10,4793600
182,101.93,103.13,101.0,102.33,0,2014-01-13,6294510
183,100.99,102.49,100.21,101.5,0,2014-01-14,4514970
184,99.03,101.95,98.52,100.83,0,2014-01-15,7431180
185,102.35,102.6,98.62,99.69,0,2014-01-16,7167370
186,100.02,102.46,99.2,102.35,0,2014-01-17,4442060
187,98.7,101.03,98.15,99.9,0,2014-01-20,4632080
188,99.08,100.18,98.39,99.05,0,2014-01-21,3877800
189,99.46,100.0,98.7,99.1,0,2014-01-22,3302930
190,99.43,100.74,99.01,99.44,0,2014-01-23,4586290
191,97.0,99.48,96.54,98.5,0,2014-01-24,6435990
192,91.47,96.0,90.87,96.0,0,2014-01-27,6295430
193,93.06,94.65,90.8,91.53,0,2014-01-28,13972210
194,93.31,94.42,92.25,93.72,0,2014-01-29,5357420
195,89.62,92.37,88.07,92.33,0,2014-01-30,11665950
196,91.74,92.12,89.82,90.2,0,2014-01-31,7177520
197,85.26,91.49,84.73,90.89,0,2014-02-03,9276840
198,84.33,86.5,82.63,83.9,0,2014-02-04,8174160
199,84.68,85.65,83.33,84.77,0,2014-02-05,6375620
