,c,h,l,o,oi,time,v
0,338.25,340.0,331.65,334.48,0,2013-04-22,633860
1,345.95,348.08,335.33,337.98,0,2013-04-23,678420
2,355.25,357.45,345.92,346.5,0,2013-04-25,2263954
3,356.38,358.25,347.95,355.13,0,2013-04-26,623556
4,354.5,356.8,350.0,356.8,0,2013-04-29,989964
5,353.55,357.45,348.38,353.55,0,2013-04-30,1220638
6,358.73,362.45,350.6,352.0,0,2013-05-02,2780994
7,361.63,363.9,353.85,357.95,0,2013-05-03,1602762
8,355.8,361.0,352.45,361.0,0,2013-05-06,704878
9,364.23,365.67,356.5,356.52,0,2013-05-07,1409960
10,364.42,367.4,360.0,365.0,0,2013-05-08,882204
11,361.67,365.0,360.33,364.65,0,2013-05-09,497792
12,365.23,366.73,358.0,360.63,0,2013-05-10,863772
13,367.4,368.38,363.58,365.25,0,2013-05-11,65048
14,362.5,368.33,361.5,368.0,0,2013-05-13,685192
15,364.95,366.2,360.38,362.9,0,2013-05-14,656674
16,384.13,385.02,363.45,365.0,0,2013-05-15,1567376
17,388.98,390.75,380.98,381.5,0,2013-05-16,1568396
18,397.17,399.5,384.35,387.0,0,2013-05-17,1143234
19,390.88,398.98,389.0,397.25,0,2013-05-20,1063732
20,382.55,391.4,381.42,390.88,0,2013-05-21,1072282
21,384.05,386.65,379.67,383.05,0,2013-05-22,635168
22,382.77,386.08,376.3,381.5,0,2013-05-23,909458
23,390.52,392.13,379.7,383.55,0,2013-05-24,761950
24,394.73,396.95,384.63,390.67,0,2013-05-27,1233954
25,387.7,396.0,386.3,394.0,0,2013-05-28,874200
26,388.63,391.0,382.2,387.5,0,2013-05-29,641940
27,399.92,403.67,386.15,389.5,0,2013-05-30,1541448
28,391.48,398.0,388.4,396.5,0,2013-05-31,1371826
29,385.2,392.85,382.6,390.63,0,2013-06-03,700880
30,383.65,388.35,381.33,382.5,0,2013-06-04,807838
31,384.23,385.95,379.35,381.0,0,2013-06-05,810088
32,387.35,388.98,380.0,383.25,0,2013-06-06,693794
33,381.45,387.5,381.0,387.35,0,2013-06-07,806834
34,376.83,384.15,371.67,382.75,0,2013-06-10,851978
35,374.7,382.45,373.5,374.0,0,2013-06-11,1832394
36,373.17,377.3,370.33,372.63,0,2013-06-12,1493410
37,371.7,373.95,369.1,369.5,0,2013-06-13,606572
38,378.35,380.98,374.0,376.45,0,2013-06-14,519688
39,378.08,380.67,372.65,378.35,0,2013-06-17,820358
40,381.4,385.8,375.02,377.75,0,2013-06-18,1582298
41,383.08,384.75,379.33,381.42,0,2013-06-19,838252
42,369.3,380.02,365.67,379.5,0,2013-06-20,1194286
43,364.75,369.0,360.15,365.5,0,2013-06-21,1370450
44,346.85,362.5,345.05,362.5,0,2013-06-24,1331004
45,359.15,362.33,345.83,348.27,0,2013-06-25,2479146
46,344.13,360.0,341.5,359.25,0,2013-06-26,2345366
47,351.05,355.02,346.5,346.75,0,2013-06-27,2337666
48,361.1,363.5,353.75,354.0,0,2013-06-28,3083766
49,361.98,367.5,357.6,361.5,0,2013-07-01,920042
50,357.88,362.27,356.5,360.05,0,2013-07-02,672346
51,349.42,357.52,347.63,355.9,0,2013-07-03,809052
52,349.77,355.4,347.25,351.05,0,2013-07-04,818560
53,351.33,353.88,349.25,353.88,0,2013-07-05,429990
54,346.13,350.48,341.55,348.5,0,2013-07-08,1059670
55,357.02,359.5,342.83,348.05,0,2013-07-09,1115624
56,363.17,368.25,358.8,359.0,0,2013-07-10,1783838
57,372.9,376.0,365.0,365.0,0,2013-07-11,1616150
58,379.05,380.95,368.33,376.5,0,2013-07-12,1183274
59,378.73,381.15,373.0,377.9,0,2013-07-15,877426
60,356.42,372.45,351.35,365.3,0,2013-07-16,2002660
61,355.7,358.6,350.02,357.5,0,2013-07-17,2109950
62,355.85,362.5,339.35,357.5,0,2013-07-18,4841500
63,345.42,356.9,343.1,355.55,0,2013-07-19,2257952
64,350.33,351.75,340.58,342.6,0,2013-07-22,1318854
65,365.05,366.98,351.5,352.5,0,2013-07-23,1227576
66,344.73,358.45,340.0,358.45,0,2013-07-24,1593116
67,342.58,349.5,340.6,344.35,0,2013-07-25,1346216
68,339.98,347.5,333.75,346.9,0,2013-07-26,1830618
69,330.95,341.42,328.55,338.5,0,2013-07-29,2587772
70,325.17,339.45,323.4,331.15,0,2013-07-30,1752886
71,326.17,329.85,311.25,324.0,0,2013-07-31,3809576
72,333.15,337.5,319.4,327.6,0,2013-08-01,2179628
73,326.75,336.15,322.5,331.13,0,2013-08-02,1498506
74,330.45,332.9,320.5,326.75,0,2013-08-05,1044428
75,319.08,328.35,315.0,328.35,0,2013-08-06,5545754
76,320.45,322.9,316.0,316.0,0,2013-08-07,2008648
77,326.38,328.25,319.15,322.5,0,2013-08-08,1280828
78,325.02,330.25,323.35,326.55,0,2013-08-12,5446794
79,329.55,330.9,319.1,325.0,0,2013-08-13,1415696
80,330.65,334.67,326.95,330.0,0,2013-08-14,2952394
81,316.13,330.38,313.45,326.13,0,2013-08-16,3788566
82,310.4,317.5,306.08,314.5,0,2013-08-19,1319798
83,317.1,321.4,301.17,303.17,0,2013-08-20,9529640
84,312.27,337.0,309.0,325.05,0,2013-08-21,1883338
85,315.3,319.25,307.5,310.9,0,2013-08-22,3073496
86,321.27,323.6,312.0,318.0,0,2013-08-23,4057098
87,316.58,325.0,312.5,324.63,0,2013-08-26,1478032
88,306.77,311.0,300.5,310.0,0,2013-08-27,2255254
89,303.33,311.92,294.0,299.0,0,2013-08-28,3134430
90,323.73,329.9,298.13,304.25,0,2013-08-29,4971674
91,329.8,334.5,304.23,317.5,0,2013-08-30,3549300
92,313.5,337.35,311.17,327.45,0,2013-09-02,1362662
93,300.33,320.0,298.0,315.1,0,2013-09-03,2264498
94,304.25,312.0,295.5,299.95,0,2013-09-04,2158200
95,331.0,337.5,312.63,312.63,0,2013-09-05,3263316
96,338.63,340.8,326.38,333.85,0,2013-09-06,2193286
97,354.23,357.2,342.55,343.15,0,2013-09-10,1905336
98,357.6,359.15,344.5,350.0,0,2013-09-11,1939814
99,350.25,360.42,345.92,357.6,0,2013-09-12,1308428
100,358.0,361.45,345.6,347.45,0,2013-09-13,1944866
101,355.55,369.35,351.95,367.5,0,2013-09-16,11343848
102,354.63,357.8,350.52,357.0,0,2013-09-17,995932
103,357.42,358.5,348.5,355.0,0,2013-09-18,1632454
104,385.83,389.5,371.0,373.55,0,2013-09-19,3485612
105,374.1,387.98,363.7,386.5,0,2013-09-20,2535230
106,359.65,370.35,357.02,366.77,0,2013-09-23,1523848
107,360.05,366.2,353.5,353.5,0,2013-09-24,1355014
108,354.65,362.38,347.63,360.6,0,2013-09-25,3253054
109,351.7,360.75,349.0,354.65,0,2013-09-26,2545946
110,341.42,356.42,340.05,353.5,0,2013-09-27,1364778
111,339.05,344.58,334.2,338.5,0,2013-09-30,1307142
112,342.55,344.75,333.5,339.2,0,2013-10-01,925668
113,350.05,352.42,343.8,345.0,0,2013-10-03,1571032
114,347.77,353.8,344.9,348.9,0,2013-10-04,1554416
115,343.38,350.0,338.55,346.63,0,2013-10-07,979454
116,347.42,358.38,343.0,352.75,0,2013-10-08,1045696
117,359.4,361.85,342.67,343.5,0,2013-10-09,1188582
118,352.85,361.75,350.15,358.5,0,2013-10-10,1945376
119,352.5,360.02,351.3,357.5,0,2013-10-11,1766882
120,349.3,357.25,347.75,352.5,0,2013-10-14,1426638
121,341.45,352.5,339.1,351.5,0,2013-10-15,1337222
122,338.42,347.25,336.5,342.35,0,2013-10-17,1491182
123,350.67,352.17,339.3,340.05,0,2013-10-18,2489958
124,358.42,361.75,350.13,352.5,0,2013-10-21,2858120
125,354.55,359.9,353.0,356.05,0,2013-10-22,1895936
126,355.05,359.6,352.55,355.5,0,2013-10-23,1351706
127,353.52,365.25,351.8,352.85,0,2013-10-24,3109388
128,352.45,358.4,347.67,353.23,0,2013-10-25,2123074
129,354.25,357.9,352.8,354.95,0,2013-10-28,1262172
130,366.52,367.5,351.88,353.0,0,2013-10-29,2920580
131,369.05,372.27,366.55,368.0,0,2013-10-30,1272858
132,376.23,380.9,364.65,369.35,0,2013-10-31,2293376
133,374.25,378.1,372.77,376.5,0,2013-11-01,2345960
134,371.8,376.38,370.3,376.38,0,2013-11-03,104904
135,372.7,376.5,367.17,371.7,0,2013-11-05,1691006
136,365.73,374.08,365.0,372.5,0,2013-11-06,541352
137,367.33,373.45,365.0,366.0,0,2013-11-07,822708
138,363.7,367.0,358.63,363.08,0,2013-11-08,852730
139,356.17,363.35,354.6,358.05,0,2013-11-11,980366
140,358.1,364.7,355.52,355.52,0,2013-11-12,665076
141,359.13,361.75,355.0,356.45,0,2013-11-13,866354
142,362.83,367.38,360.15,362.5,0,2013-11-14,1061552
143,371.52,372.5,366.2,368.85,0,2013-11-18,1211964
144,367.67,373.0,366.33,373.0,0,2013-11-19,810422
145,366.48,372.4,362.83,367.67,0,2013-11-20,890750
146,355.75,364.2,354.0,363.0,0,2013-11-21,1278628
147,358.3,364.0,356.75,358.05,0,2013-11-22,1061796
148,372.83,374.0,360.3,361.0,0,2013-11-25,1019290
149,372.92,374.95,367.55,372.0,0,2013-11-26,3297848
150,373.52,374.85,368.35,372.35,0,2013-11-27,501214
151,375.95,378.42,370.13,373.5,0,2013-11-28,1599424
152,378.4,382.35,376.0,379.0,0,2013-11-29,1147480
153,385.27,387.0,378.13,378.13,0,2013-12-02,950750
154,379.35,383.98,377.23,383.33,0,2013-12-03,865754
155,374.52,380.7,373.33,376.55,0,2013-12-04,1095694
156,380.98,385.65,377.5,379.0,0,2013-12-05,1517482
157,378.92,384.5,375.83,382.15,0,2013-12-06,1258436
158,381.95,393.95,379.88,392.5,0,2013-12-09,1571958
159,386.25,388.4,377.27,382.13,0,2013-12-10,1524756
160,384.48,387.4,380.35,383.58,0,2013-12-11,914688
161,382.55,385.35,378.63,381.1,0,2013-12-12,602626
162,379.25,381.05,376.95,379.27,0,2013-12-13,738088
163,375.4,379.52,373.9,379.2,0,2013-12-16,716338
164,370.3,379.27,369.15,378.25,0,2013-12-17,613416
165,375.1,381.58,369.25,370.45,0,2013-12-18,2150854
166,360.98,378.55,360.0,378.5,0,2013-12-19,1360080
167,366.58,368.17,357.52,361.35,0,2013-12-20,2178034
168,366.27,370.5,364.5,367.45,0,2013-12-23,812832
169,364.4,367.5,361.5,367.0,0,2013-12-24,581106
170,362.95,367.5,361.02,363.5,0,2013-12-26,1850304
171,370.02,371.48,363.5,364.85,0,2013-12-27,1069134
172,365.9,370.55,362.85,370.25,0,2013-12-30,893452
173,364.13,367.5,362.75,367.48,0,2013-12-31,360542
174,361.27,366.02,360.38,366.0,0,2014-01-01,785536
175,353.7,365.73,351.5,361.3,0,2014-01-02,912278
176,356.27,358.15,348.3,353.55,0,2014-01-03,1145134
177,357.05,358.5,352.8,355.0,0,2014-01-06,893430
178,354.08,357.5,350.0,356.0,0,2014-01-07,1287588
179,356.45,358.5,351.83,354.5,0,2014-01-08,625966
180,355.08,357.77,353.33,355.25,0,2014-01-09,615166
181,350.23,357.4,349.0,352.05,0,2014-01-10,732448
182,358.45,362.38,347.58,347.58,0,2014-01-13,944984
183,355.65,361.55,353.5,358.0,0,2014-01-14,527652
184,364.58,365.58,356.27,357.0,0,2014-01-15,1111286
185,365.73,367.5,361.5,365.15,0,2014-01-16,1102364
186,363.55,368.88,360.0,365.25,0,2014-01-17,646298
187,364.08,368.75,360.0,362.9,0,2014-01-20,998634
188,353.15,366.0,352.0,364.85,0,2014-01-21,3400284
189,355.15,359.0,349.1,352.5,0,2014-01-22,2640594
190,352.65,355.77,351.6,353.5,0,2014-01-23,675740
191,342.38,352.4,340.5,347.5,0,2014-01-24,1715606
192,329.05,341.25,327.27,339.05,0,2014-01-27,3229532
193,329.9,335.0,322.52,328.5,0,2014-01-28,2678918
