,c,h,l,o,oi,time,v
0,681.71,684.0,656.95,657.78,0,2013-04-22,3710066
1,668.75,681.38,661.8,681.02,0,2013-04-23,3519968
2,675.22,679.11,667.11,671.55,0,2013-04-25,3983743
3,684.82,687.0,668.98,673.78,0,2013-04-26,2805923
4,679.91,687.55,676.05,683.65,0,2013-04-29,1658494
5,672.09,684.45,658.25,682.22,0,2013-04-30,2767408
6,689.8,693.78,667.11,668.93,0,2013-05-02,4134076
7,697.95,704.0,680.75,687.75,0,2013-05-03,3290396
8,693.13,699.89,688.05,694.67,0,2013-05-06,1968572
9,701.35,704.45,693.33,695.55,0,2013-05-07,2863820
10,694.45,703.98,685.67,702.27,0,2013-05-08,2067437
11,694.51,700.0,684.45,692.45,0,2013-05-09,1721485
12,694.25,700.0,689.0,690.51,0,2013-05-10,2204755
13,694.91,697.78,690.93,690.93,0,2013-05-11,125317
14,674.4,694.67,672.07,691.22,0,2013-05-13,2508971
15,676.15,679.71,667.49,675.55,0,2013-05-14,2167637
16,702.47,703.98,678.22,680.0,0,2013-05-15,3513448
17,707.89,713.29,696.87,700.49,0,2013-05-16,4613837
18,721.51,724.78,702.51,710.67,0,2013-05-17,3439972
19,721.09,730.05,716.67,721.51,0,2013-05-20,3103075
20,713.58,722.67,707.02,717.05,0,2013-05-21,2417675
21,672.85,734.22,666.71,717.22,0,2013-05-22,15881608
22,630.31,667.8,624.45,666.67,0,2013-05-23,9395633
23,647.47,652.38,631.55,641.71,0,2013-05-24,6528520
24,652.25,655.09,640.89,649.78,0,2013-05-27,2487938
25,646.6,656.98,641.58,653.78,0,2013-05-28,3034243
26,642.75,646.2,637.78,644.6,0,2013-05-29,2239774
27,634.42,646.09,630.22,640.98,0,2013-05-30,3493486
28,622.55,632.38,621.33,629.78,0,2013-05-31,3592064
29,616.58,623.71,611.22,619.11,0,2013-06-03,2594993
30,626.45,636.45,617.09,617.09,0,2013-06-04,4358503
31,631.0,633.69,620.45,624.45,0,2013-06-05,3244871
32,636.25,642.2,625.6,627.55,0,2013-06-06,3316493
33,627.69,639.91,625.38,632.67,0,2013-06-07,3320872
34,624.2,636.22,622.22,631.11,0,2013-06-10,2648723
35,623.58,631.11,617.33,621.65,0,2013-06-11,3793910
36,620.71,626.6,615.55,622.22,0,2013-06-12,3626204
37,619.45,624.89,614.67,614.67,0,2013-06-13,2492047
38,640.33,642.22,625.15,625.58,0,2013-06-14,2805098
39,646.75,648.78,634.22,640.0,0,2013-06-17,2701730
40,639.05,650.67,636.0,646.22,0,2013-06-18,2511766
41,639.02,640.0,632.13,637.78,0,2013-06-19,2169286
42,620.35,630.13,616.0,630.13,0,2013-06-20,3549223
43,619.02,627.95,613.33,618.22,0,2013-06-21,3393815
44,602.05,619.53,597.78,616.45,0,2013-06-24,3094232
45,607.69,616.29,595.8,604.35,0,2013-06-25,3526534
46,601.13,619.82,594.67,610.87,0,2013-06-26,3969682
47,600.18,609.87,593.33,608.89,0,2013-06-27,6115079
48,625.73,626.67,609.33,609.33,0,2013-06-28,3598169
49,645.18,647.55,625.33,625.33,0,2013-07-01,3219548
50,635.33,644.31,631.11,644.31,0,2013-07-02,2048299
51,618.95,630.13,616.89,630.13,0,2013-07-03,2235553
52,623.18,636.0,618.4,628.45,0,2013-07-04,2970257
53,626.13,635.55,623.82,633.11,0,2013-07-05,1762147
54,623.58,627.91,616.45,624.18,0,2013-07-08,2306261
55,634.8,636.75,626.55,630.67,0,2013-07-09,2004517
56,628.31,639.87,625.0,637.33,0,2013-07-10,2369363
57,643.23,653.33,638.33,646.53,0,2013-07-11,2623676
58,663.67,666.0,640.33,650.0,0,2013-07-12,3020893
59,670.93,673.93,661.33,663.33,0,2013-07-15,2322479
60,647.5,657.53,639.37,657.53,0,2013-07-16,2565173
61,645.47,657.87,640.0,656.67,0,2013-07-17,3068144
62,656.87,659.17,645.5,646.7,0,2013-07-18,2181913
63,649.33,659.7,643.83,656.87,0,2013-07-19,1872305
64,601.0,658.53,599.7,651.93,0,2013-07-22,12102994
65,600.73,615.17,591.87,602.03,0,2013-07-23,9307067
66,578.23,600.67,572.9,600.0,0,2013-07-24,8819573
67,569.57,579.57,566.73,573.5,0,2013-07-25,5297963
68,563.83,582.33,562.07,573.33,0,2013-07-26,3707045
69,560.77,574.13,557.33,564.0,0,2013-07-29,3961691
70,566.6,575.3,563.5,566.63,0,2013-07-30,5122897
71,564.77,569.67,556.67,567.33,0,2013-07-31,3893291
72,563.33,576.6,552.0,564.0,0,2013-08-01,3165391
73,553.43,567.97,551.1,563.5,0,2013-08-02,2316698
74,542.5,558.47,540.07,554.67,0,2013-08-05,3464776
75,530.17,539.8,521.8,539.8,0,2013-08-06,4088920
76,519.33,529.27,514.2,524.67,0,2013-08-07,5682076
77,520.0,525.33,518.3,521.33,0,2013-08-08,3485573
