,c,h,l,o,oi,time,v
0,446.13,457.0,441.3,454.6,0,2013-04-22,2103264
1,442.67,449.4,438.95,449.4,0,2013-04-23,1350424
2,454.55,459.5,440.2,445.0,0,2013-04-25,3437440
3,444.88,452.98,440.7,452.5,0,2013-04-26,2593644
4,451.1,452.88,445.6,447.5,0,2013-04-29,1918246
5,462.05,465.88,440.5,451.17,0,2013-04-30,2481850
6,476.8,484.4,456.2,456.95,0,2013-05-02,4519532
7,480.5,486.85,469.7,476.25,0,2013-05-03,3424494
8,483.23,487.4,477.55,477.55,0,2013-05-06,1756394
9,479.55,483.23,474.0,480.58,0,2013-05-07,2250700
10,473.2,482.0,470.67,481.63,0,2013-05-08,2003464
11,473.95,480.65,469.17,472.27,0,2013-05-09,1999972
12,485.1,488.8,473.13,473.13,0,2013-05-10,3589228
13,483.8,485.08,481.5,482.63,0,2013-05-11,59634
14,478.17,486.0,475.1,482.0,0,2013-05-13,1231670
15,475.4,481.27,473.45,477.63,0,2013-05-14,1148012
16,491.88,496.5,475.2,476.63,0,2013-05-15,2801338
17,492.7,498.5,486.05,490.0,0,2013-05-16,2046714
18,493.65,497.23,489.95,490.05,0,2013-05-17,1305790
19,501.0,513.0,492.0,492.3,0,2013-05-20,2904248
20,493.88,501.0,490.48,501.0,0,2013-05-21,1308286
21,495.05,502.48,491.25,496.25,0,2013-05-22,1368140
22,479.58,492.25,475.15,487.75,0,2013-05-23,1379700
23,484.05,489.98,476.05,482.55,0,2013-05-24,1349358
24,475.95,483.25,471.33,483.08,0,2013-05-27,1247108
25,486.42,488.48,466.3,476.0,0,2013-05-28,2517018
26,480.52,489.7,478.05,488.25,0,2013-05-29,1086242
27,502.33,504.42,477.67,477.67,0,2013-05-30,5534838
28,483.77,504.17,480.1,502.3,0,2013-05-31,4675066
29,486.9,494.5,472.85,479.13,0,2013-06-03,4781134
30,493.6,498.75,487.0,489.0,0,2013-06-04,2319644
31,493.27,499.0,488.45,492.5,0,2013-06-05,1894806
32,495.6,499.5,486.13,491.0,0,2013-06-06,1776942
33,483.17,498.25,480.5,495.6,0,2013-06-07,1397688
34,488.17,492.35,485.52,488.05,0,2013-06-10,1841766
35,473.45,484.08,468.27,483.55,0,2013-06-11,1872440
36,473.65,481.8,462.88,473.5,0,2013-06-12,1734204
37,461.92,475.5,456.6,475.5,0,2013-06-13,1600804
38,474.5,477.45,463.2,466.5,0,2013-06-14,1997326
39,494.67,500.38,479.5,482.5,0,2013-06-17,3254262
40,491.88,499.88,490.08,496.5,0,2013-06-18,2068668
41,489.95,493.42,486.0,490.8,0,2013-06-19,1065006
42,471.45,483.0,467.88,483.0,0,2013-06-20,2822484
43,469.83,477.25,461.6,468.75,0,2013-06-21,2351226
44,463.48,471.0,457.6,468.3,0,2013-06-24,1498646
45,478.4,480.0,462.55,465.0,0,2013-06-25,1594854
46,455.58,479.5,452.0,476.13,0,2013-06-26,3998270
47,466.83,475.17,461.13,461.5,0,2013-06-27,4182584
48,485.3,487.98,469.83,469.83,0,2013-06-28,3284804
49,493.38,494.95,475.2,482.5,0,2013-07-01,2396738
50,489.45,497.15,485.05,490.0,0,2013-07-02,1639610
51,490.02,492.98,481.35,484.5,0,2013-07-03,1814958
52,491.02,494.35,486.55,492.45,0,2013-07-04,1513212
53,485.83,494.65,482.6,493.1,0,2013-07-05,2038138
54,473.85,481.85,470.05,480.83,0,2013-07-08,1470242
55,469.05,479.92,467.13,475.55,0,2013-07-09,2237702
56,456.27,474.0,453.5,470.05,0,2013-07-10,2389012
57,458.9,464.98,457.52,462.5,0,2013-07-11,3315822
58,453.63,462.5,447.5,460.63,0,2013-07-12,3761184
59,464.1,465.95,453.0,453.45,0,2013-07-15,2018096
60,456.75,462.0,453.25,454.55,0,2013-07-16,2356220
61,446.58,467.33,438.3,462.05,0,2013-07-17,3625068
62,437.38,445.25,431.2,444.5,0,2013-07-18,4034936
63,439.63,449.5,434.5,437.83,0,2013-07-19,3244576
64,451.35,452.5,437.5,437.5,0,2013-07-22,1196498
65,460.65,462.95,449.48,452.55,0,2013-07-23,2109578
66,446.88,459.48,441.52,458.5,0,2013-07-24,1781426
67,439.98,453.65,437.7,442.5,0,2013-07-25,2267884
68,447.42,448.9,440.63,440.63,0,2013-07-26,1741962
69,448.88,452.23,443.05,443.05,0,2013-07-29,1603764
70,448.42,452.48,445.5,448.0,0,2013-07-30,2590040
71,455.7,458.13,444.0,444.0,0,2013-07-31,2787640
72,435.75,461.58,433.52,456.05,0,2013-08-01,2654138
73,427.38,439.0,424.98,438.5,0,2013-08-02,3615722
74,432.3,439.95,428.0,428.05,0,2013-08-05,1792026
75,427.08,433.98,424.27,428.33,0,2013-08-06,1929898
76,421.3,429.0,418.55,428.0,0,2013-08-07,3016134
77,431.85,435.42,423.1,425.0,0,2013-08-08,1771846
78,430.63,437.5,427.0,433.75,0,2013-08-12,1631690
79,436.88,449.2,433.13,435.1,0,2013-08-13,7312106
80,436.73,442.5,432.05,437.5,0,2013-08-14,5129438
81,420.05,436.5,414.48,436.5,0,2013-08-16,7310122
82,405.13,422.5,393.13,422.5,0,2013-08-19,5474550
83,395.75,402.0,388.8,399.0,0,2013-08-20,2451758
84,391.98,407.8,387.5,404.0,0,2013-08-21,4046642
85,396.6,400.7,374.77,387.6,0,2013-08-22,5914786
86,406.9,409.85,392.77,395.5,0,2013-08-23,2387096
87,403.95,410.88,398.75,410.0,0,2013-08-26,2182110
88,394.7,402.25,392.0,400.0,0,2013-08-27,4255842
89,387.95,392.77,370.08,390.0,0,2013-08-28,3903860
90,397.13,402.48,383.33,387.0,0,2013-08-29,3233194
91,391.63,400.8,384.13,399.48,0,2013-08-30,4061386
92,383.02,391.55,377.75,388.0,0,2013-09-02,3730944
93,384.02,387.4,380.0,384.0,0,2013-09-03,2920674
94,390.17,394.45,380.45,384.48,0,2013-09-04,2228394
95,388.52,399.13,386.8,396.0,0,2013-09-05,3914814
96,384.73,392.52,373.6,390.0,0,2013-09-06,4822424
97,406.48,408.4,383.27,389.4,0,2013-09-10,3849196
98,413.67,417.5,402.55,408.5,0,2013-09-11,2612550
99,406.42,417.95,398.9,417.95,0,2013-09-12,2683098
100,415.15,417.5,405.7,407.45,0,2013-09-13,2459686
101,418.5,431.65,414.75,420.0,0,2013-09-16,4538326
102,422.2,425.3,413.35,417.0,0,2013-09-17,1497692
103,420.9,424.9,414.1,424.9,0,2013-09-18,2230732
104,433.77,446.0,430.08,431.0,0,2013-09-19,4488298
105,437.1,442.5,416.27,434.0,0,2013-09-20,3041998
106,430.45,435.0,425.73,434.4,0,2013-09-23,1742988
107,435.75,441.0,425.7,428.5,0,2013-09-24,2064670
108,425.05,439.0,416.52,437.5,0,2013-09-25,2691988
109,426.05,432.4,422.5,423.5,0,2013-09-26,2564332
110,422.0,429.0,419.5,429.0,0,2013-09-27,1711676
111,413.73,422.5,407.5,420.5,0,2013-09-30,2953590
112,415.9,423.25,410.67,417.25,0,2013-10-01,2866908
113,425.9,430.5,416.63,416.63,0,2013-10-03,3033472
114,429.4,435.7,425.5,425.9,0,2013-10-04,3064158
115,432.5,435.0,423.6,432.25,0,2013-10-07,1558494
116,431.58,437.15,429.0,432.5,0,2013-10-08,1336004
117,425.5,429.85,421.5,428.5,0,2013-10-09,2380630
118,433.6,434.5,425.6,425.6,0,2013-10-10,1778282
119,436.25,443.75,432.77,437.5,0,2013-10-11,2764482
120,432.63,441.23,431.0,436.5,0,2013-10-14,1649438
121,433.8,440.63,429.63,433.5,0,2013-10-15,2408832
122,432.63,438.4,430.5,435.85,0,2013-10-17,2141818
123,441.35,444.0,434.3,434.3,0,2013-10-18,2849200
124,443.85,447.5,436.02,440.0,0,2013-10-21,2234406
125,437.85,447.45,437.0,446.88,0,2013-10-22,1744880
126,432.92,442.38,430.1,438.35,0,2013-10-23,1287454
127,444.67,446.9,431.67,433.1,0,2013-10-24,2461684
128,433.88,442.15,432.5,441.13,0,2013-10-25,2221828
129,434.45,441.83,428.08,435.8,0,2013-10-28,2174064
130,450.35,451.5,430.55,437.0,0,2013-10-29,2556270
131,447.92,453.9,439.35,452.4,0,2013-10-30,2564122
132,443.92,448.48,437.85,447.5,0,2013-10-31,2812436
133,462.65,464.0,439.83,442.6,0,2013-11-01,5918258
134,459.52,466.15,458.35,465.0,0,2013-11-03,299012
135,453.33,461.38,451.0,457.5,0,2013-11-05,2052830
136,449.7,455.85,447.5,454.02,0,2013-11-06,1222656
137,449.0,458.35,447.02,449.0,0,2013-11-07,1966708
138,439.3,449.0,436.33,448.5,0,2013-11-08,960318
139,434.98,443.98,420.0,439.0,0,2013-11-11,1449756
140,439.95,442.1,432.08,437.85,0,2013-11-12,2766468
141,447.67,450.0,437.5,438.0,0,2013-11-13,4221190
142,462.58,464.48,453.25,455.0,0,2013-11-14,3641892
143,472.4,474.0,457.5,465.0,0,2013-11-18,2592024
144,473.75,475.98,469.0,472.5,0,2013-11-19,1896218
145,470.98,479.33,467.52,472.5,0,2013-11-20,3537004
146,467.23,473.9,465.5,470.5,0,2013-11-21,2057192
147,468.27,473.38,464.55,469.0,0,2013-11-22,1598272
148,471.58,474.5,466.6,474.5,0,2013-11-25,1601784
149,472.6,476.5,469.05,471.55,0,2013-11-26,1473916
150,470.75,474.0,468.0,472.5,0,2013-11-27,2109830
151,479.42,482.35,473.0,473.5,0,2013-11-28,2044766
152,472.63,482.55,471.08,481.0,0,2013-11-29,1311512
153,480.1,481.73,466.25,469.5,0,2013-12-02,2026714
154,474.63,479.88,471.55,475.13,0,2013-12-03,1262496
155,471.9,476.85,470.0,473.1,0,2013-12-04,1181472
156,472.17,479.95,469.38,479.95,0,2013-12-05,1390184
157,472.65,478.73,471.1,471.1,0,2013-12-06,1105716
158,483.5,488.85,476.73,482.5,0,2013-12-09,2411550
159,476.5,485.85,473.95,483.58,0,2013-12-10,1749224
160,474.95,479.45,470.8,474.0,0,2013-12-11,1094546
161,470.9,476.02,470.0,472.5,0,2013-12-12,2130544
162,475.27,477.15,465.52,470.95,0,2013-12-13,1485332
163,463.3,476.0,461.5,476.0,0,2013-12-16,1041084
164,465.88,470.0,463.3,463.5,0,2013-12-17,865728
165,474.08,476.23,463.45,465.85,0,2013-12-18,986716
166,469.45,477.85,463.2,475.5,0,2013-12-19,2101856
167,484.9,486.0,464.75,468.5,0,2013-12-20,2114490
168,482.73,489.55,480.42,486.0,0,2013-12-23,1096064
169,481.75,487.5,480.33,482.5,0,2013-12-24,554490
170,480.42,484.9,477.88,482.02,0,2013-12-26,1641748
171,483.58,485.95,475.55,480.0,0,2013-12-27,1541872
172,474.2,486.3,471.15,484.05,0,2013-12-30,1777974
173,472.1,479.0,469.75,477.5,0,2013-12-31,854370
174,474.0,476.5,471.25,474.0,0,2014-01-01,623518
175,468.05,479.5,465.0,472.0,0,2014-01-02,1007552
176,450.13,467.0,448.75,464.0,0,2014-01-03,2091942
177,447.7,452.45,443.7,451.85,0,2014-01-06,1276106
178,451.55,454.02,445.05,448.0,0,2014-01-07,1798394
179,454.3,457.45,449.52,454.0,0,2014-01-08,1176368
180,447.17,458.73,445.0,455.0,0,2014-01-09,918880
181,437.27,448.0,432.4,447.0,0,2014-01-10,1793254
182,444.13,445.52,436.5,436.5,0,2014-01-13,1015350
183,445.52,450.42,441.33,441.5,0,2014-01-14,1343398
184,452.45,453.5,443.48,445.75,0,2014-01-15,1649988
185,446.33,453.05,444.17,452.75,0,2014-01-16,1652120
186,449.77,452.7,445.5,445.5,0,2014-01-17,1833502
187,453.38,456.63,445.5,445.5,0,2014-01-20,1016848
188,451.8,460.88,449.0,453.0,0,2014-01-21,1039276
189,458.23,459.0,449.08,449.08,0,2014-01-22,1911630
190,445.05,458.5,443.35,458.23,0,2014-01-23,2094830
191,442.4,446.25,437.0,441.25,0,2014-01-24,3982058
192,433.42,437.5,429.13,430.6,0,2014-01-27,2608894
193,437.55,440.0,431.52,432.5,0,2014-01-28,2258654
194,430.98,443.27,429.5,439.48,0,2014-01-29,1569436
195,433.95,439.0,424.98,429.5,0,2014-01-30,1549420
196,445.1,449.3,434.52,437.0,0,2014-01-31,1884416
197,442.42,445.8,433.5,441.1,0,2014-02-03,1980024
198,426.88,438.0,423.3,437.5,0,2014-02-04,3645936
199,439.17,440.5,428.0,428.5,0,2014-02-05,1835988
200,448.48,449.85,433.45,437.75,0,2014-02-06,2221996
201,447.77,451.5,443.23,451.27,0,2014-02-07,1443216
202,447.1,451.25,443.5,447.63,0,2014-02-10,1580562
203,448.52,451.15,443.5,449.05,0,2014-02-11,1393540
204,447.75,450.42,444.98,448.85,0,2014-02-12,876740
205,453.33,455.5,447.5,447.5,0,2014-02-13,1609454
206,452.2,456.85,443.33,453.5,0,2014-02-14,2537296
207,464.05,467.85,448.65,452.48,0,2014-02-17,2243006
208,467.58,469.95,462.25,467.5,0,2014-02-18,2043648
209,471.6,473.65,467.98,468.0,0,2014-02-19,1783782
210,464.98,470.8,463.55,468.08,0,2014-02-20,1651326
211,465.0,469.5,461.42,465.15,0,2014-02-21,934626
212,472.05,473.0,464.02,465.0,0,2014-02-24,782596
213,471.95,474.65,467.77,472.95,0,2014-02-25,1910380
214,482.35,485.0,468.23,471.5,0,2014-02-26,1708188
