,c,h,l,o,oi,time,v
0,1540.45,1553.85,1525.9,1528.0,0,2013-04-22,352370
1,1536.35,1544.2,1515.15,1541.0,0,2013-04-23,288841
2,1590.95,1599.25,1541.9,1541.9,0,2013-04-25,775649
3,1673.15,1693.0,1567.5,1590.95,0,2013-04-26,3505606
4,1683.5,1704.35,1675.85,1675.85,0,2013-04-29,897487
5,1669.6,1697.0,1655.85,1690.0,0,2013-04-30,400577
6,1679.8,1709.7,1642.0,1642.0,0,2013-05-02,877894
7,1665.4,1699.5,1661.6,1682.75,0,2013-05-03,575722
8,1692.4,1699.0,1657.4,1669.0,0,2013-05-06,414868
9,1692.8,1707.15,1683.8,1700.0,0,2013-05-07,462187
10,1680.85,1697.0,1674.0,1697.0,0,2013-05-08,306652
11,1660.15,1684.0,1655.9,1682.25,0,2013-05-09,344448
12,1727.95,1734.9,1673.0,1675.0,0,2013-05-10,1228156
13,1734.65,1739.95,1721.2,1730.0,0,2013-05-11,114025
14,1705.0,1740.0,1698.85,1740.0,0,2013-05-13,347596
15,1703.9,1715.9,1691.5,1706.0,0,2013-05-14,300610
16,1739.05,1758.0,1711.8,1719.75,0,2013-05-15,653485
17,1728.2,1749.8,1722.3,1730.1,0,2013-05-16,289810
18,1708.7,1741.25,1700.7,1730.0,0,2013-05-17,288440
19,1742.25,1774.4,1715.0,1715.0,0,2013-05-20,549253
20,1697.4,1744.55,1691.6,1742.35,0,2013-05-21,559417
21,1687.6,1714.65,1682.0,1705.0,0,2013-05-22,419210
22,1647.5,1687.45,1586.1,1680.0,0,2013-05-23,1072941
23,1674.9,1777.0,1614.0,1650.4,0,2013-05-24,743669
24,1648.75,1670.0,1633.7,1670.0,0,2013-05-27,584287
25,1655.1,1669.0,1650.05,1650.05,0,2013-05-28,333797
26,1634.15,1661.8,1620.65,1650.0,0,2013-05-29,457835
27,1637.5,1646.0,1603.35,1623.0,0,2013-05-30,593474
28,1605.6,1652.9,1598.15,1625.1,0,2013-05-31,410598
29,1568.55,1599.95,1548.35,1599.95,0,2013-06-03,432366
30,1546.8,1588.75,1539.3,1555.65,0,2013-06-04,431388
31,1568.25,1576.3,1533.25,1550.1,0,2013-06-05,621196
32,1587.1,1598.8,1550.0,1558.8,0,2013-06-06,498248
33,1554.9,1583.5,1545.0,1565.0,0,2013-06-07,780953
34,1521.85,1580.95,1510.15,1575.0,0,2013-06-10,503982
35,1490.45,1521.0,1481.0,1512.0,0,2013-06-11,675122
36,1479.65,1490.0,1461.9,1486.0,0,2013-06-12,469660
37,1456.6,1461.5,1430.0,1459.0,0,2013-06-13,690959
38,1514.15,1520.0,1471.65,1482.0,0,2013-06-14,383703
39,1535.25,1551.4,1505.1,1535.1,0,2013-06-17,533292
40,1538.55,1547.0,1521.0,1535.0,0,2013-06-18,529919
41,1543.75,1549.5,1524.0,1529.2,0,2013-06-19,389004
42,1525.15,1540.9,1493.25,1520.0,0,2013-06-20,505078
43,1554.65,1559.9,1511.75,1520.0,0,2013-06-21,433570
44,1544.45,1572.0,1531.8,1546.0,0,2013-06-24,707604
45,1545.2,1557.2,1502.25,1540.0,0,2013-06-25,484805
46,1544.75,1557.9,1513.6,1546.2,0,2013-06-26,408512
47,1521.2,1565.0,1511.2,1560.0,0,2013-06-27,493875
48,1537.75,1549.2,1517.1,1540.0,0,2013-06-28,444718
49,1605.45,1622.4,1515.0,1540.0,0,2013-07-01,856025
50,1578.65,1619.0,1572.5,1590.5,0,2013-07-02,589430
51,1560.95,1581.0,1555.65,1561.0,0,2013-07-03,173724
52,1557.35,1577.0,1533.05,1570.0,0,2013-07-04,278194
53,1554.55,1575.0,1549.0,1571.0,0,2013-07-05,273858
54,1551.05,1563.0,1530.0,1545.0,0,2013-07-08,311166
55,1543.85,1549.0,1521.0,1544.0,0,2013-07-09,467745
56,1543.5,1549.65,1530.0,1537.05,0,2013-07-10,344394
57,1505.55,1579.1,1497.25,1560.0,0,2013-07-11,543696
58,1447.95,1505.05,1438.5,1495.0,0,2013-07-12,945429
59,1446.6,1465.0,1433.15,1449.0,0,2013-07-15,522612
60,1411.25,1429.9,1401.0,1429.0,0,2013-07-16,817379
61,1421.15,1432.8,1401.5,1412.25,0,2013-07-17,1141103
62,1445.55,1456.0,1407.2,1415.0,0,2013-07-18,714436
63,1451.5,1462.0,1432.1,1450.25,0,2013-07-19,403857
64,1448.45,1466.5,1435.0,1437.0,0,2013-07-22,324022
65,1448.7,1464.0,1439.7,1442.3,0,2013-07-23,451305
66,1416.05,1443.8,1402.1,1437.0,0,2013-07-24,405613
67,1414.0,1452.15,1402.25,1420.4,0,2013-07-25,1896090
68,1375.4,1448.0,1352.7,1448.0,0,2013-07-26,1226137
69,1348.2,1378.1,1335.8,1375.0,0,2013-07-29,710715
70,1342.4,1362.8,1340.5,1349.9,0,2013-07-30,459744
71,1326.3,1336.0,1292.0,1336.0,0,2013-07-31,500776
72,1340.3,1359.6,1322.25,1326.0,0,2013-08-01,797570
73,1337.7,1363.85,1327.65,1358.0,0,2013-08-02,360939
74,1343.9,1361.8,1332.05,1345.25,0,2013-08-05,178344
75,1331.95,1358.75,1309.25,1330.0,0,2013-08-06,301434
76,1330.85,1349.9,1302.0,1345.0,0,2013-08-07,456603
77,1385.05,1392.4,1331.1,1331.1,0,2013-08-08,1398921
78,1380.2,1409.0,1372.2,1392.25,0,2013-08-12,700028
79,1396.95,1412.85,1355.0,1355.0,0,2013-08-13,1031827
80,1391.2,1424.0,1385.0,1398.0,0,2013-08-14,530381
81,1325.1,1389.2,1317.15,1389.15,0,2013-08-16,1464791
82,1308.45,1336.8,1300.0,1320.0,0,2013-08-19,429786
83,1297.9,1306.7,1268.6,1300.0,0,2013-08-20,916913
84,1284.45,1324.85,1275.0,1313.0,0,2013-08-21,926580
85,1285.7,1299.0,1232.6,1284.2,0,2013-08-22,1030562
86,1293.0,1324.0,1266.05,1299.9,0,2013-08-23,621224
87,1308.15,1318.3,1294.45,1300.0,0,2013-08-26,438706
88,1260.25,1306.95,1240.0,1299.9,0,2013-08-27,929746
89,1236.35,1249.0,1215.0,1238.0,0,2013-08-28,1150637
90,1250.6,1263.8,1223.3,1240.5,0,2013-08-29,573972
91,1243.55,1249.0,1225.0,1246.0,0,2013-08-30,758972
92,1300.0,1307.6,1233.0,1240.25,0,2013-09-02,537411
93,1276.05,1319.6,1254.5,1315.0,0,2013-09-03,627614
94,1276.5,1282.8,1242.0,1269.0,0,2013-09-04,656723
95,1299.6,1314.35,1290.0,1290.0,0,2013-09-05,531076
96,1288.4,1311.95,1277.0,1311.0,0,2013-09-06,473918
97,1336.65,1349.95,1300.0,1305.0,0,2013-09-10,857196
98,1360.8,1388.8,1346.3,1351.0,0,2013-09-11,1255303
99,1320.9,1376.0,1315.55,1367.95,0,2013-09-12,523296
100,1315.9,1335.0,1301.0,1315.0,0,2013-09-13,534719
101,1359.9,1379.3,1334.45,1343.35,0,2013-09-16,707004
102,1375.8,1388.8,1360.0,1362.0,0,2013-09-17,478211
103,1401.85,1405.0,1377.0,1385.0,0,2013-09-18,413270
104,1480.0,1503.4,1441.0,1441.0,0,2013-09-19,1132596
105,1467.25,1482.0,1401.0,1479.9,0,2013-09-20,751243
106,1401.25,1454.4,1388.0,1450.0,0,2013-09-23,500010
107,1410.8,1442.0,1387.0,1390.0,0,2013-09-24,517200
108,1393.2,1423.0,1376.15,1414.9,0,2013-09-25,326342
109,1387.55,1423.0,1380.1,1415.0,0,2013-09-26,537625
110,1366.95,1407.7,1361.55,1391.9,0,2013-09-27,599199
111,1358.55,1373.65,1340.0,1366.0,0,2013-09-30,406918
112,1380.2,1410.0,1364.0,1364.05,0,2013-10-01,931358
113,1412.35,1420.0,1375.2,1394.95,0,2013-10-03,650153
114,1428.5,1434.95,1406.05,1410.5,0,2013-10-04,666373
115,1410.2,1432.7,1402.05,1425.0,0,2013-10-07,329756
116,1406.6,1423.85,1400.0,1420.0,0,2013-10-08,411447
117,1398.5,1407.0,1386.2,1407.0,0,2013-10-09,481828
118,1421.1,1425.2,1398.25,1399.0,0,2013-10-10,617290
119,1464.0,1470.0,1413.1,1436.1,0,2013-10-11,762748
120,1446.9,1479.0,1442.4,1465.25,0,2013-10-14,697237
121,1439.9,1473.2,1431.0,1452.0,0,2013-10-15,413066
