,c,h,l,o,oi,time,v
0,5834.4,5844.85,5789.8,5789.85,0,2013-04-22,0
1,5836.9,5844.3,5791.55,5843.1,0,2013-04-23,0
2,5916.3,5924.6,5853.3,5856.1,0,2013-04-25,0
3,5871.45,5907.05,5860.5,5899.75,0,2013-04-26,0
4,5904.1,5918.65,5868.8,5877.6,0,2013-04-29,0
5,5930.2,5962.3,5867.8,5932.6,0,2013-04-30,0
6,5999.35,6019.45,5910.95,5911.4,0,2013-05-02,0
7,5944.0,6000.3,5930.15,5993.5,0,2013-05-03,0
8,5971.05,5976.5,5928.45,5944.9,0,2013-05-06,0
9,6043.55,6050.5,5982.95,5983.45,0,2013-05-07,0
10,6069.3,6083.55,6024.95,6064.15,0,2013-05-08,0
11,6050.15,6084.7,6040.45,6078.35,0,2013-05-09,0
12,6094.75,6105.3,6045.6,6046.25,0,2013-05-10,0
13,6107.25,6114.55,6084.15,6088.2,0,2013-05-11,0
14,5980.45,6104.95,5972.9,6098.2,0,2013-05-13,0
15,5995.4,6026.2,5970.05,5989.7,0,2013-05-14,0
16,6146.75,6157.1,6018.85,6018.85,0,2013-05-15,0
17,6169.9,6187.3,6128.25,6128.25,0,2013-05-16,0
18,6187.3,6199.95,6146.15,6172.95,0,2013-05-17,0
19,6156.9,6229.45,6146.05,6198.0,0,2013-05-20,0
20,6114.1,6180.25,6102.35,6152.35,0,2013-05-21,0
21,6094.5,6147.6,6074.45,6127.05,0,2013-05-22,0
22,5967.05,6081.45,5955.7,6050.4,0,2013-05-23,0
23,5983.55,6015.3,5936.8,6010.7,0,2013-05-24,0
24,6083.15,6099.9,5975.55,5989.4,0,2013-05-27,0
25,6111.25,6127.65,6055.4,6086.35,0,2013-05-28,0
26,6104.3,6125.05,6069.8,6120.45,0,2013-05-29,0
27,6124.05,6133.75,6072.15,6072.15,0,2013-05-30,0
28,5985.95,6106.25,5975.55,6098.7,0,2013-05-31,0
29,5939.3,6011.0,5916.35,5997.35,0,2013-06-03,0
30,5919.45,5981.6,5910.25,5941.1,0,2013-06-04,0
31,5923.85,5935.2,5883.7,5908.3,0,2013-06-05,0
32,5921.4,5956.55,5869.5,5895.0,0,2013-06-06,0
33,5881.0,5972.7,5871.3,5900.05,0,2013-06-07,0
34,5878.0,5931.65,5857.4,5907.9,0,2013-06-10,0
35,5788.8,5868.05,5780.35,5848.75,0,2013-06-11,0
36,5760.2,5792.9,5738.6,5771.75,0,2013-06-12,0
37,5699.1,5729.85,5683.1,5709.35,0,2013-06-13,0
38,5808.4,5819.4,5739.4,5748.95,0,2013-06-14,0
39,5850.05,5854.9,5770.25,5820.4,0,2013-06-17,0
40,5813.6,5863.4,5804.3,5841.9,0,2013-06-18,0
41,5822.25,5828.4,5777.9,5805.75,0,2013-06-19,0
42,5655.9,5755.0,5645.65,5754.15,0,2013-06-20,0
43,5667.65,5686.15,5616.85,5639.9,0,2013-06-21,0
44,5590.25,5640.0,5566.25,5638.05,0,2013-06-24,0
45,5609.1,5666.25,5570.25,5606.95,0,2013-06-25,0
46,5588.7,5635.25,5579.35,5627.95,0,2013-06-26,0
47,5682.35,5699.35,5630.95,5647.95,0,2013-06-27,0
48,5842.2,5852.95,5749.5,5749.5,0,2013-06-28,0
49,5898.85,5904.35,5822.2,5834.1,0,2013-07-01,0
50,5857.55,5898.8,5852.3,5885.5,0,2013-07-02,0
51,5770.9,5815.0,5760.4,5811.95,0,2013-07-03,0
52,5836.95,5848.2,5786.05,5794.75,0,2013-07-04,0
53,5867.9,5900.45,5858.45,5889.95,0,2013-07-05,0
54,5811.55,5833.85,5775.55,5833.15,0,2013-07-08,0
55,5859.0,5864.95,5834.6,5834.6,0,2013-07-09,0
56,5816.7,5879.35,5802.85,5869.9,0,2013-07-10,0
57,5935.1,5948.85,5887.95,5894.5,0,2013-07-11,0
58,6009.0,6019.0,5951.15,6000.5,0,2013-07-12,0
59,6030.8,6038.2,5980.95,5991.2,0,2013-07-15,0
60,5955.25,5966.05,5910.95,5930.8,0,2013-07-16,0
61,5973.3,5989.8,5926.75,5972.25,0,2013-07-17,0
62,6038.05,6051.1,5974.55,5984.7,0,2013-07-18,0
63,6029.2,6066.85,6020.25,6057.2,0,2013-07-19,0
64,6031.8,6064.15,6004.25,6009.75,0,2013-07-22,0
65,6077.8,6093.35,6061.3,6064.3,0,2013-07-23,0
66,5990.5,6047.25,5962.6,6032.2,0,2013-07-24,0
67,5907.5,5990.65,5896.4,5970.4,0,2013-07-25,0
68,5886.2,5944.5,5869.5,5937.95,0,2013-07-26,0
69,5831.65,5886.0,5825.8,5869.95,0,2013-07-29,0
70,5755.05,5861.3,5747.6,5836.05,0,2013-07-30,0
71,5742.0,5752.1,5675.75,5738.35,0,2013-07-31,0
72,5727.85,5808.5,5676.85,5776.9,0,2013-08-01,0
73,5677.9,5761.85,5649.0,5750.05,0,2013-08-02,0
74,5685.4,5721.0,5661.5,5682.4,0,2013-08-05,0
75,5542.25,5664.9,5521.8,5664.9,0,2013-08-06,0
76,5519.1,5561.45,5486.85,5549.3,0,2013-08-07,0
77,5565.65,5577.6,5510.05,5510.05,0,2013-08-08,0
78,5612.4,5644.1,5557.1,5606.7,0,2013-08-12,0
79,5699.3,5704.75,5578.9,5600.25,0,2013-08-13,0
80,5742.3,5754.55,5690.2,5715.4,0,2013-08-14,0
81,5507.85,5716.6,5496.05,5705.45,0,2013-08-16,0
82,5414.75,5499.65,5360.65,5497.55,0,2013-08-19,0
83,5401.45,5417.8,5306.35,5353.45,0,2013-08-20,0
84,5302.55,5504.1,5268.45,5494.45,0,2013-08-21,0
85,5408.45,5418.95,5254.05,5282.8,0,2013-08-22,0
86,5471.75,5478.8,5377.8,5428.75,0,2013-08-23,0
87,5476.5,5528.7,5454.45,5499.4,0,2013-08-26,0
88,5287.45,5427.4,5274.25,5426.5,0,2013-08-27,0
89,5285.0,5317.7,5118.85,5233.45,0,2013-08-28,0
90,5409.05,5428.9,5303.0,5316.5,0,2013-08-29,0
91,5471.8,5493.3,5360.2,5407.45,0,2013-08-30,0
92,5550.75,5564.9,5478.85,5480.25,0,2013-09-02,0
93,5341.45,5580.95,5323.75,5574.7,0,2013-09-03,0
94,5448.1,5460.25,5318.9,5358.65,0,2013-09-04,0
95,5592.95,5625.75,5552.7,5553.75,0,2013-09-05,0
96,5680.4,5688.6,5566.15,5617.45,0,2013-09-06,0
97,5896.75,5904.85,5738.2,5738.5,0,2013-09-10,0
98,5913.15,5924.35,5832.7,5887.25,0,2013-09-11,0
99,5850.7,5932.0,5815.8,5931.15,0,2013-09-12,0
100,5850.6,5884.3,5822.9,5828.0,0,2013-09-13,0
101,5840.55,5957.25,5798.15,5930.3,0,2013-09-16,0
102,5850.2,5857.8,5804.9,5824.2,0,2013-09-17,0
103,5899.45,5916.9,5840.2,5872.75,0,2013-09-18,0
104,6115.55,6142.5,6040.15,6044.15,0,2013-09-19,0
105,6012.1,6130.95,5932.85,6104.55,0,2013-09-20,0
106,5889.75,5989.4,5871.4,5945.8,0,2013-09-23,0
107,5892.45,5938.4,5854.55,5855.0,0,2013-09-24,0
108,5873.85,5910.55,5811.1,5901.55,0,2013-09-25,0
109,5882.25,5917.65,5864.1,5872.8,0,2013-09-26,0
110,5833.2,5909.2,5819.3,5905.55,0,2013-09-27,0
111,5735.3,5810.2,5718.5,5801.05,0,2013-09-30,0
112,5780.05,5786.45,5700.95,5756.1,0,2013-10-01,0
113,5909.7,5917.6,5802.7,5819.1,0,2013-10-03,0
114,5907.3,5950.45,5885.0,5891.3,0,2013-10-04,0
115,5906.15,5912.0,5825.85,5889.05,0,2013-10-07,0
116,5928.4,5981.7,5913.0,5975.0,0,2013-10-08,0
117,6007.45,6015.5,5877.1,5893.25,0,2013-10-09,0
118,6020.95,6033.95,5979.8,6001.05,0,2013-10-10,0
119,6096.2,6107.6,6046.4,6104.85,0,2013-10-11,0
120,6112.7,6124.1,6082.9,6093.0,0,2013-10-14,0
121,6089.05,6156.3,6056.55,6147.55,0,2013-10-15,0
122,6045.85,6110.75,6032.55,6098.5,0,2013-10-17,0
123,6189.35,6201.45,6070.9,6070.9,0,2013-10-18,0
124,6204.95,6218.95,6163.3,6202.0,0,2013-10-21,0
125,6202.8,6220.1,6181.8,6192.3,0,2013-10-22,0
126,6178.35,6217.95,6116.6,6209.55,0,2013-10-23,0
127,6164.35,6252.45,6142.95,6162.8,0,2013-10-24,0
128,6144.9,6174.75,6125.95,6154.0,0,2013-10-25,0
129,6101.1,6168.75,6094.1,6155.1,0,2013-10-28,0
130,6220.9,6228.05,6079.2,6107.55,0,2013-10-29,0
131,6251.7,6269.2,6222.6,6230.8,0,2013-10-30,0
132,6299.15,6309.05,6235.9,6237.15,0,2013-10-31,0
133,6307.2,6332.6,6286.95,6289.75,0,2013-11-01,0
134,6317.35,6342.95,6311.15,6332.05,0,2013-11-03,0
135,6253.15,6304.75,6244.3,6282.15,0,2013-11-05,0
136,6215.15,6269.7,6208.7,6260.55,0,2013-11-06,0
137,6187.25,6288.95,6180.8,6228.9,0,2013-11-07,0
138,6140.75,6185.15,6120.95,6170.15,0,2013-11-08,0
139,6078.8,6141.65,6067.75,6110.4,0,2013-11-11,0
140,6018.05,6108.7,6011.75,6087.25,0,2013-11-12,0
141,5989.6,6042.25,5972.45,5998.85,0,2013-11-13,0
142,6056.15,6101.65,6036.65,6037.0,0,2013-11-14,0
143,6189.0,6196.8,6110.4,6111.05,0,2013-11-18,0
144,6203.35,6212.4,6180.2,6197.25,0,2013-11-19,0
145,6106.95,6204.35,6106.95,6186.85,0,2013-11-20,0
146,5999.05,6097.35,5985.4,6096.5,0,2013-11-21,0
147,5995.45,6049.6,5972.8,6027.35,0,2013-11-22,0
148,6115.35,6123.5,6035.95,6035.95,0,2013-11-25,0
149,6059.1,6112.7,6047.75,6099.25,0,2013-11-26,0
150,6057.1,6074.0,6030.3,6062.7,0,2013-11-27,0
151,6091.85,6112.95,6068.3,6092.0,0,2013-11-28,0
152,6176.1,6182.5,6103.8,6103.9,0,2013-11-29,0
153,6217.85,6228.7,6171.15,6171.15,0,2013-12-02,0
154,6201.85,6225.4,6191.4,6204.25,0,2013-12-03,0
155,6160.95,6209.15,6149.9,6187.95,0,2013-12-04,0
156,6241.1,6300.55,6232.0,6262.45,0,2013-12-05,0
157,6259.9,6275.35,6230.75,6234.4,0,2013-12-06,0
158,6363.9,6415.25,6345.0,6415.0,0,2013-12-09,0
159,6332.85,6362.25,6307.55,6354.7,0,2013-12-10,0
160,6307.9,6326.6,6280.25,6307.2,0,2013-12-11,0
161,6237.05,6286.85,6230.55,6276.75,0,2013-12-12,0
162,6168.4,6208.6,6161.4,6201.3,0,2013-12-13,0
163,6154.7,6183.25,6146.05,6168.35,0,2013-12-16,0
164,6139.05,6190.55,6133.0,6178.2,0,2013-12-17,0
165,6217.15,6236.0,6129.95,6129.95,0,2013-12-18,0
166,6166.65,6263.75,6150.7,6253.9,0,2013-12-19,0
167,6274.25,6284.5,6170.35,6179.95,0,2013-12-20,0
168,6284.5,6317.5,6266.95,6267.2,0,2013-12-23,0
169,6268.4,6301.5,6262.0,6296.45,0,2013-12-24,0
170,6278.9,6302.75,6259.45,6270.1,0,2013-12-26,0
171,6313.8,6324.9,6289.4,6292.8,0,2013-12-27,0
172,6291.1,6344.05,6273.15,6336.4,0,2013-12-30,0
173,6304.0,6317.3,6287.3,6307.35,0,2013-12-31,0
174,6301.65,6327.2,6298.25,6323.8,0,2014-01-01,0
175,6221.15,6358.3,6211.3,6301.25,0,2014-01-02,0
176,6211.15,6221.7,6171.25,6194.55,0,2014-01-03,0
177,6191.45,6224.7,6170.25,6220.85,0,2014-01-06,0
178,6162.25,6221.5,6144.75,6203.9,0,2014-01-07,0
179,6174.6,6192.1,6160.35,6178.05,0,2014-01-08,0
180,6168.35,6188.05,6148.25,6181.7,0,2014-01-09,0
181,6171.45,6239.1,6139.6,6178.85,0,2014-01-10,0
182,6272.75,6288.2,6189.55,6189.55,0,2014-01-13,0
183,6241.85,6280.35,6234.15,6260.25,0,2014-01-14,0
184,6320.9,6325.2,6265.3,6265.95,0,2014-01-15,0
185,6318.9,6346.5,6299.85,6341.35,0,2014-01-16,0
186,6261.65,6327.1,6246.35,6306.25,0,2014-01-17,0
187,6303.95,6307.45,6243.35,6261.75,0,2014-01-20,0
188,6313.8,6330.3,6297.9,6320.15,0,2014-01-21,0
189,6338.95,6349.95,6287.45,6309.05,0,2014-01-22,0
190,6345.65,6355.6,6316.4,6325.95,0,2014-01-23,0
191,6266.75,6331.45,6263.9,6301.65,0,2014-01-24,0
192,6135.85,6188.55,6130.25,6186.3,0,2014-01-27,0
193,6126.25,6163.6,6085.95,6131.85,0,2014-01-28,0
194,6120.25,6170.45,6109.8,6161.0,0,2014-01-29,0
195,6073.7,6082.85,6027.25,6067.0,0,2014-01-30,0
196,6089.5,6097.85,6067.35,6082.75,0,2014-01-31,0
197,6001.8,6074.85,5994.45,6058.8,0,2014-02-03,0
198,6000.9,6017.8,5933.3,5947.6,0,2014-02-04,0
199,6022.4,6028.05,5962.05,6004.25,0,2014-02-05,0
200,6036.3,6048.35,5965.4,6028.35,0,2014-02-06,0
201,6063.2,6079.95,6030.9,6077.65,0,2014-02-07,0
202,6053.45,6083.05,6046.4,6072.8,0,2014-02-10,0
203,6062.7,6081.85,6053.25,6072.45,0,2014-02-11,0
204,6084.0,6106.6,6077.4,6085.35,0,2014-02-12,0
205,6001.1,6094.4,5991.1,6087.55,0,2014-02-13,0
206,6048.35,6056.4,5984.6,6023.75,0,2014-02-14,0
207,6073.3,6080.65,6038.3,6057.1,0,2014-02-17,0
208,6127.1,6141.7,6066.8,6071.3,0,2014-02-18,0
209,6152.75,6160.35,6125.75,6132.05,0,2014-02-19,0
210,6091.45,6129.1,6086.45,6127.15,0,2014-02-20,0
211,6155.45,6159.65,6108.0,6108.3,0,2014-02-21,0
212,6186.1,6191.85,6130.8,6140.95,0,2014-02-24,0
213,6200.05,6216.85,6176.6,6205.7,0,2014-02-25,0
214,6238.8,6245.95,6202.1,6202.45,0,2014-02-26,0
215,6276.95,6282.7,6228.1,6228.45,0,2014-02-28,0
216,6221.45,6277.75,6212.25,6264.35,0,2014-03-03,0
217,6297.95,6302.15,6215.7,6216.75,0,2014-03-04,0
218,6328.65,6336.25,6287.8,6328.45,0,2014-03-05,0
219,6401.15,6406.6,6339.7,6344.75,0,2014-03-06,0
220,6526.65,6537.8,6413.55,6413.95,0,2014-03-07,0
221,6537.25,6562.2,6487.35,6491.7,0,2014-03-10,0
222,6511.9,6562.85,6494.25,6537.35,0,2014-03-11,0
223,6516.9,6546.15,6487.3,6497.5,0,2014-03-12,0
224,6493.1,6561.45,6476.65,6491.75,0,2014-03-13,0
225,6504.2,6518.45,6432.7,6447.25,0,2014-03-14,0
226,6516.65,6574.95,6497.65,6532.45,0,2014-03-18,0
227,6524.05,6541.2,6506.0,6530.0,0,2014-03-19,0
228,6483.1,6523.65,6473.25,6508.35,0,2014-03-20,0
229,6493.2,6522.9,6485.7,6515.2,0,2014-03-21,0
230,6494.9,6502.65,6481.35,6497.8,0,2014-03-22,0
231,6583.5,6591.5,6510.5,6510.5,0,2014-03-24,0
232,6589.75,6595.55,6544.85,6550.1,0,2014-03-25,0
233,6601.4,6627.45,6580.6,6615.65,0,2014-03-26,0
