,c,h,l,o,oi,time,v
0,124.12,124.58,120.88,120.88,0,2013-04-22,5182513
1,124.21,124.75,123.38,124.17,0,2013-04-23,6070285
2,129.38,129.92,123.79,123.79,0,2013-04-25,22359763
3,129.08,131.42,127.79,129.17,0,2013-04-26,9053696
4,130.0,130.83,129.17,129.17,0,2013-04-29,5796454
5,131.13,131.67,129.71,130.79,0,2013-04-30,6730076
6,133.54,134.17,130.42,130.42,0,2013-05-02,11285049
7,132.75,135.75,132.42,133.0,0,2013-05-03,12211286
8,131.0,134.17,130.25,132.29,0,2013-05-06,7553244
9,131.54,133.75,130.17,132.42,0,2013-05-07,8094973
10,130.25,132.08,129.54,131.54,0,2013-05-08,3415879
11,130.25,131.58,129.17,130.0,0,2013-05-09,2189985
12,129.17,133.33,127.75,130.42,0,2013-05-10,9048691
13,128.46,129.17,127.92,129.17,0,2013-05-11,254811
14,128.21,129.96,127.33,128.33,0,2013-05-13,4008868
15,128.29,129.17,127.38,128.42,0,2013-05-14,6171589
16,131.08,131.67,128.46,128.5,0,2013-05-15,8046690
17,130.38,132.5,129.88,131.08,0,2013-05-16,6904082
18,133.25,134.17,130.08,130.08,0,2013-05-17,8793200
19,132.96,134.13,132.13,133.46,0,2013-05-20,7932806
20,126.92,132.96,126.17,132.54,0,2013-05-21,5568141
21,128.96,129.92,126.75,127.5,0,2013-05-22,3607292
22,123.75,129.17,123.29,127.79,0,2013-05-23,6475280
23,125.0,126.13,124.25,125.83,0,2013-05-24,4042612
24,126.92,127.42,125.42,125.79,0,2013-05-27,5049696
25,129.25,130.17,126.71,126.71,0,2013-05-28,6506010
26,128.33,129.21,127.33,128.54,0,2013-05-29,6831055
27,130.5,131.21,127.08,127.08,0,2013-05-30,7456255
28,128.5,130.92,127.21,130.42,0,2013-05-31,6589592
29,126.83,128.38,125.71,128.33,0,2013-06-03,3084902
30,128.38,129.67,126.88,126.92,0,2013-06-04,3852181
31,128.29,129.5,127.58,127.58,0,2013-06-05,3213481
32,125.63,127.67,125.33,127.21,0,2013-06-06,2024972
33,123.17,127.25,121.67,126.67,0,2013-06-07,2976812
34,125.04,126.67,123.38,123.38,0,2013-06-10,4559923
35,125.17,127.0,124.33,124.33,0,2013-06-11,7900899
36,125.96,126.75,123.83,126.21,0,2013-06-12,4622372
37,124.75,125.58,123.33,123.87,0,2013-06-13,3067269
38,126.67,126.92,124.58,125.92,0,2013-06-14,3247035
39,125.54,126.58,124.42,126.13,0,2013-06-17,3494604
40,122.33,125.42,122.13,124.92,0,2013-06-18,2014850
41,120.83,122.33,119.79,122.33,0,2013-06-19,3829286
42,116.83,119.92,115.83,119.92,0,2013-06-20,6945070
43,119.17,120.0,115.0,116.83,0,2013-06-21,4564035
44,118.33,121.37,117.17,118.33,0,2013-06-24,5461852
45,115.04,120.21,114.46,118.0,0,2013-06-25,3104718
46,117.75,118.25,115.88,116.17,0,2013-06-26,4420333
47,116.92,119.12,115.42,118.87,0,2013-06-27,7682696
48,119.79,120.5,116.29,116.96,0,2013-06-28,6238158
49,123.46,123.87,119.79,120.33,0,2013-07-01,4106786
50,121.33,123.58,120.88,123.25,0,2013-07-02,2199507
51,120.12,121.54,119.75,120.37,0,2013-07-03,2415169
52,120.04,122.42,119.38,121.62,0,2013-07-04,5206243
53,119.71,121.29,119.0,120.92,0,2013-07-05,1406809
54,117.0,119.58,115.79,119.29,0,2013-07-08,3593552
55,118.58,119.46,117.17,118.71,0,2013-07-09,3879142
56,117.58,119.83,116.96,119.58,0,2013-07-10,2820000
57,119.88,121.46,119.04,119.79,0,2013-07-11,3935263
58,121.75,122.25,118.17,120.08,0,2013-07-12,3788784
59,118.63,122.5,118.21,121.67,0,2013-07-15,3253920
60,119.33,120.08,117.79,118.33,0,2013-07-16,2046444
61,122.96,124.17,120.04,120.54,0,2013-07-17,6237286
62,122.08,123.63,120.67,123.17,0,2013-07-18,3095780
63,119.75,122.92,119.04,122.54,0,2013-07-19,2725862
64,119.21,120.37,118.21,119.75,0,2013-07-22,3454150
65,119.42,120.58,118.87,120.21,0,2013-07-23,2947651
66,117.67,120.42,116.67,118.54,0,2013-07-24,3835554
67,116.88,118.46,115.92,118.33,0,2013-07-25,5287524
68,117.54,118.71,115.67,118.33,0,2013-07-26,2027745
69,118.33,119.08,117.92,118.29,0,2013-07-29,4503955
70,114.75,118.38,113.75,118.0,0,2013-07-30,2955787
71,108.92,114.04,106.42,113.38,0,2013-07-31,11718688
72,109.63,112.83,107.5,110.0,0,2013-08-01,5328572
73,108.21,112.79,105.46,111.92,0,2013-08-02,12243422
74,112.71,113.71,108.5,108.5,0,2013-08-05,4082802
75,112.38,114.17,111.42,112.08,0,2013-08-06,5535063
76,113.67,116.17,110.58,112.42,0,2013-08-07,3382635
77,114.25,115.58,111.88,112.54,0,2013-08-08,8062657
78,115.29,116.62,112.13,113.96,0,2013-08-12,3215958
79,119.79,120.37,113.67,113.71,0,2013-08-13,7877853
80,120.25,121.54,118.79,119.96,0,2013-08-14,5916610
81,116.37,120.42,115.0,119.67,0,2013-08-16,7385864
82,113.96,116.67,112.17,116.17,0,2013-08-19,7231168
83,113.46,114.92,111.62,113.25,0,2013-08-20,4212328
84,108.87,114.17,107.5,113.54,0,2013-08-21,8885953
85,109.29,110.58,105.08,108.63,0,2013-08-22,6463108
86,107.54,110.42,106.33,110.04,0,2013-08-23,6045550
87,110.33,111.25,108.33,108.5,0,2013-08-26,5208382
88,103.71,110.67,102.83,110.67,0,2013-08-27,6612222
89,105.25,106.25,102.17,102.92,0,2013-08-28,6510321
90,109.0,109.88,104.17,105.75,0,2013-08-29,7207062
91,109.08,109.96,106.25,108.17,0,2013-08-30,4771605
92,108.92,109.21,106.46,109.17,0,2013-09-02,3644349
93,106.71,109.63,104.71,108.58,0,2013-09-03,4505785
94,108.33,108.92,104.17,106.17,0,2013-09-04,5532195
95,108.71,110.83,107.46,110.42,0,2013-09-05,14049868
96,111.92,112.42,107.08,109.0,0,2013-09-06,6917160
97,115.5,116.25,112.5,112.5,0,2013-09-10,6076485
98,114.67,117.46,112.75,116.25,0,2013-09-11,6099210
99,116.21,117.42,114.33,114.33,0,2013-09-12,3425737
100,117.58,117.92,115.0,115.33,0,2013-09-13,4770879
101,119.12,121.25,117.83,119.0,0,2013-09-16,3363045
102,116.79,120.29,115.42,119.58,0,2013-09-17,3253344
103,120.75,121.58,116.25,117.0,0,2013-09-18,3385705
104,122.58,126.33,121.42,123.42,0,2013-09-19,6172186
