,c,h,l,o,oi,time,v
0,218.7,223.2,218.07,222.37,0,2013-04-22,5141531
1,217.63,221.23,213.7,221.23,0,2013-04-23,4650721
2,217.67,224.27,214.63,217.43,0,2013-04-25,10452445
3,216.1,220.47,215.27,217.27,0,2013-04-26,3283457
4,219.23,221.73,216.67,217.67,0,2013-04-29,4057423
5,217.8,219.8,210.87,219.33,0,2013-04-30,5604577
6,219.27,221.33,215.33,215.33,0,2013-05-02,4491692
7,215.83,220.53,215.0,218.0,0,2013-05-03,2813606
8,212.53,217.87,211.73,217.3,0,2013-05-06,3397763
9,213.3,214.67,212.33,214.63,0,2013-05-07,3689246
10,213.43,216.57,212.0,214.0,0,2013-05-08,5236375
11,214.37,215.67,212.87,213.4,0,2013-05-09,2809546
12,217.63,219.57,215.07,215.2,0,2013-05-10,6119713
13,219.1,219.8,218.13,219.8,0,2013-05-11,281284
14,213.9,220.0,213.43,219.4,0,2013-05-13,3017266
15,217.83,219.33,214.67,215.0,0,2013-05-14,4032673
16,223.37,224.4,218.0,218.63,0,2013-05-15,7499611
17,225.27,230.13,222.03,222.33,0,2013-05-16,9114040
18,227.17,228.33,225.1,225.97,0,2013-05-17,5398696
19,221.8,228.67,220.67,228.0,0,2013-05-20,3948701
20,217.83,225.33,217.33,223.33,0,2013-05-21,5165011
21,219.43,221.13,211.63,218.73,0,2013-05-22,7879792
22,218.77,222.53,217.03,217.03,0,2013-05-23,7861276
23,216.63,221.23,215.33,220.0,0,2013-05-24,4442006
24,217.97,219.1,213.67,217.53,0,2013-05-27,4854214
25,222.63,223.97,218.2,218.2,0,2013-05-28,6193013
26,223.3,224.67,221.6,224.33,0,2013-05-29,5535038
27,222.6,225.07,217.4,218.0,0,2013-05-30,8016431
28,218.6,222.97,216.27,220.73,0,2013-05-31,6435490
29,211.33,219.7,210.43,218.17,0,2013-06-03,4447595
30,212.13,215.27,210.33,212.0,0,2013-06-04,4068079
31,216.4,216.83,211.33,212.6,0,2013-06-05,2240909
32,215.93,216.73,213.53,216.0,0,2013-06-06,3733231
33,212.87,218.0,212.23,215.33,0,2013-06-07,3237139
34,214.03,216.23,211.87,214.63,0,2013-06-10,2259281
35,205.47,215.13,204.2,212.37,0,2013-06-11,6212305
36,206.13,208.67,204.77,205.47,0,2013-06-12,3935146
37,206.07,207.83,203.6,204.67,0,2013-06-13,3903295
38,207.5,210.1,205.5,207.8,0,2013-06-14,5390380
39,208.57,209.07,205.4,208.0,0,2013-06-17,2341330
40,205.17,208.53,204.03,208.03,0,2013-06-18,2561842
41,205.9,207.33,201.47,204.67,0,2013-06-19,4459564
42,199.63,204.0,198.4,203.67,0,2013-06-20,5046344
43,205.17,206.0,198.27,199.33,0,2013-06-21,6561485
44,199.2,205.6,197.4,204.67,0,2013-06-24,5450647
45,207.6,209.57,200.1,201.33,0,2013-06-25,6400579
46,205.63,210.0,204.03,209.67,0,2013-06-26,5003165
47,213.5,214.67,207.63,208.37,0,2013-06-27,8777743
48,220.73,235.37,215.57,230.0,0,2013-06-28,32426843
49,218.67,226.17,217.73,221.63,0,2013-07-01,7180172
50,214.6,221.6,214.1,218.87,0,2013-07-02,6067718
51,207.4,213.1,206.73,210.73,0,2013-07-03,4606925
52,206.07,210.0,203.37,207.47,0,2013-07-04,4697212
53,210.7,211.5,207.2,209.4,0,2013-07-05,3267571
54,202.57,210.57,201.57,210.0,0,2013-07-08,5437603
55,201.43,204.67,200.67,203.4,0,2013-07-09,5228588
56,197.43,202.83,196.33,200.53,0,2013-07-10,5353513
57,203.17,204.87,200.0,200.87,0,2013-07-11,4641898
58,197.7,205.9,195.23,205.8,0,2013-07-12,8317910
59,197.4,199.07,196.27,197.7,0,2013-07-15,3200078
60,199.83,202.47,195.33,195.93,0,2013-07-16,6210578
61,200.53,201.77,196.87,200.0,0,2013-07-17,5967010
62,209.77,211.23,201.03,201.03,0,2013-07-18,7946761
63,211.3,213.2,208.17,210.67,0,2013-07-19,5671733
64,204.9,211.23,204.07,209.67,0,2013-07-22,3306269
65,208.1,210.33,205.73,206.17,0,2013-07-23,3292267
66,205.6,211.0,204.17,206.83,0,2013-07-24,3727103
