,c,h,l,o,oi,time,v
0,82.25,83.15,79.9,79.9,0,2013-04-22,4172383
1,82.5,82.7,81.75,81.95,0,2013-04-23,2208252
2,82.6,84.45,81.2,82.05,0,2013-04-25,5314661
3,82.95,83.25,82.35,82.9,0,2013-04-26,2556612
4,83.05,83.75,82.35,82.35,0,2013-04-29,3937836
5,84.35,85.1,82.35,82.85,0,2013-04-30,4228852
6,86.4,86.85,83.65,83.7,0,2013-05-02,5826278
7,84.2,86.6,83.95,85.65,0,2013-05-03,2610362
8,84.3,84.9,83.3,83.85,0,2013-05-06,1175197
9,84.75,85.55,83.0,84.15,0,2013-05-07,3213619
10,86.3,86.6,84.7,84.7,0,2013-05-08,3458697
11,85.35,86.6,84.8,86.45,0,2013-05-09,2573174
12,84.45,86.15,84.2,84.85,0,2013-05-10,2535187
13,84.35,84.75,84.15,84.2,0,2013-05-11,45304
14,84.35,84.95,83.75,83.9,0,2013-05-13,2608328
15,86.0,86.6,84.45,84.45,0,2013-05-14,3881097
16,85.55,86.9,84.95,86.15,0,2013-05-15,5684988
17,85.65,86.65,85.1,85.15,0,2013-05-16,5867834
18,87.25,87.9,85.55,85.7,0,2013-05-17,3161409
19,85.95,87.3,85.7,87.2,0,2013-05-20,4527417
20,84.75,86.4,84.1,85.8,0,2013-05-21,2918702
21,84.7,85.05,84.15,84.95,0,2013-05-22,3217082
22,82.4,84.85,81.95,84.3,0,2013-05-23,4052338
23,81.95,83.3,81.3,83.3,0,2013-05-24,3213553
24,84.3,84.75,81.95,82.1,0,2013-05-27,1478513
25,84.6,85.5,84.15,84.45,0,2013-05-28,2953112
26,85.35,85.7,84.35,84.9,0,2013-05-29,3084995
27,86.0,86.45,84.3,85.1,0,2013-05-30,3601947
28,85.2,86.45,84.7,86.45,0,2013-05-31,6142136
29,83.75,85.25,83.2,85.25,0,2013-06-03,1748407
30,85.1,85.6,83.6,83.6,0,2013-06-04,4742703
31,84.55,84.9,84.15,84.6,0,2013-06-05,2200804
32,84.25,84.65,84.0,84.0,0,2013-06-06,2798981
33,83.2,84.75,83.05,83.5,0,2013-06-07,2523571
34,82.7,83.85,82.55,83.45,0,2013-06-10,3125692
35,81.1,84.1,80.7,82.2,0,2013-06-11,3732362
36,81.2,82.25,80.6,81.2,0,2013-06-12,1485317
37,79.5,81.5,79.2,80.65,0,2013-06-13,2484412
38,82.05,82.35,79.7,79.9,0,2013-06-14,4070360
39,81.35,82.3,80.45,82.0,0,2013-06-17,1317829
40,81.5,82.5,80.7,81.2,0,2013-06-18,1944746
41,80.85,81.35,80.35,81.15,0,2013-06-19,2362942
42,79.6,80.7,79.35,80.6,0,2013-06-20,2945097
43,80.6,80.95,78.95,79.45,0,2013-06-21,6060497
44,79.6,81.6,79.0,80.15,0,2013-06-24,5780160
45,77.5,80.45,76.75,79.85,0,2013-06-25,4387792
46,79.7,80.0,77.05,77.3,0,2013-06-26,7419869
47,80.1,81.2,79.6,80.1,0,2013-06-27,7574049
48,83.7,84.3,80.45,80.45,0,2013-06-28,10440326
49,84.9,85.2,83.1,83.1,0,2013-07-01,3651149
50,83.7,84.8,83.15,84.3,0,2013-07-02,3618011
51,81.45,83.25,81.05,83.25,0,2013-07-03,2396659
52,80.95,82.35,79.9,81.6,0,2013-07-04,3919441
53,80.9,81.9,80.3,81.2,0,2013-07-05,2153152
54,79.15,80.85,78.8,80.85,0,2013-07-08,3796538
55,82.6,82.7,79.6,79.9,0,2013-07-09,4209313
56,81.3,83.55,81.1,83.05,0,2013-07-10,5095503
57,82.95,83.75,82.05,82.65,0,2013-07-11,4323494
58,82.95,83.25,81.25,83.25,0,2013-07-12,2678494
59,82.75,83.4,82.0,82.65,0,2013-07-15,2183166
60,82.85,83.4,81.45,81.45,0,2013-07-16,1853227
61,83.4,84.35,82.55,82.8,0,2013-07-17,7399649
62,83.45,84.0,82.9,83.1,0,2013-07-18,4354697
63,83.7,84.05,83.15,84.05,0,2013-07-19,3406056
64,83.55,84.05,82.95,83.25,0,2013-07-22,1882251
65,82.8,84.4,82.1,84.4,0,2013-07-23,4051237
66,82.7,83.2,81.75,82.05,0,2013-07-24,1940789
67,82.8,84.0,79.9,83.15,0,2013-07-25,3146968
68,81.45,83.25,81.25,83.1,0,2013-07-26,4039822
69,81.3,82.45,80.7,82.1,0,2013-07-29,1538805
70,79.35,81.35,78.7,81.3,0,2013-07-30,989371
71,76.0,78.95,73.85,78.25,0,2013-07-31,4526265
72,77.35,78.15,74.45,75.8,0,2013-08-01,3327919
73,68.7,75.45,65.1,74.45,0,2013-08-02,23202911
74,70.15,71.3,65.95,69.15,0,2013-08-05,11819802
75,70.35,71.8,69.5,69.9,0,2013-08-06,10759955
76,70.15,71.4,69.6,70.7,0,2013-08-07,4277558
77,72.2,72.95,70.3,70.55,0,2013-08-08,5071447
78,71.5,73.25,71.15,72.55,0,2013-08-12,7071806
79,72.3,72.55,70.7,71.4,0,2013-08-13,1688307
80,73.0,73.8,71.85,72.2,0,2013-08-14,6782677
81,73.7,74.45,71.8,73.0,0,2013-08-16,12459883
82,72.55,73.45,71.25,73.0,0,2013-08-19,3772121
83,72.5,72.95,71.3,72.55,0,2013-08-20,4069160
84,73.4,74.3,72.65,72.9,0,2013-08-21,13101677
85,73.75,74.25,72.2,72.95,0,2013-08-22,8453552
86,73.55,73.85,72.65,73.55,0,2013-08-23,14436945
87,73.65,74.0,73.1,73.45,0,2013-08-26,18262000
