,c,h,l,o,oi,time,v
0,394.88,397.35,389.15,393.0,0,2013-04-22,5847566
1,401.85,402.9,393.02,395.75,0,2013-04-23,5648852
2,409.83,413.3,403.8,403.8,0,2013-04-25,11850450
3,396.2,412.5,394.85,406.5,0,2013-04-26,9532868
4,396.33,399.45,394.23,396.55,0,2013-04-29,9586122
5,394.1,398.33,388.58,396.83,0,2013-04-30,8022794
6,401.45,403.5,391.7,393.7,0,2013-05-02,12451504
7,400.25,407.95,397.45,401.5,0,2013-05-03,5905280
8,410.8,412.48,401.1,401.1,0,2013-05-06,4278292
9,414.08,417.95,409.83,410.75,0,2013-05-07,7556900
10,414.83,416.45,411.02,415.05,0,2013-05-08,5421260
11,409.05,415.83,407.5,414.2,0,2013-05-09,3740782
12,406.48,410.25,404.6,407.35,0,2013-05-10,4151862
13,407.05,407.45,406.0,406.7,0,2013-05-11,222108
14,401.5,412.75,399.4,406.67,0,2013-05-13,4154376
15,399.08,404.5,397.8,400.27,0,2013-05-14,4035900
16,409.5,410.4,401.0,401.0,0,2013-05-15,5145612
17,420.33,421.9,407.75,408.0,0,2013-05-16,6947802
18,417.75,422.35,411.65,420.33,0,2013-05-17,5707714
19,415.58,427.5,414.38,418.7,0,2013-05-20,6051898
20,414.3,420.0,412.65,415.55,0,2013-05-21,4843328
21,409.38,417.0,406.75,415.05,0,2013-05-22,5750828
22,392.23,408.0,390.05,405.83,0,2013-05-23,5850878
23,393.23,397.35,389.6,396.7,0,2013-05-24,3646080
24,414.15,416.4,400.5,401.38,0,2013-05-27,8666260
25,421.7,423.45,413.1,415.0,0,2013-05-28,9936308
26,423.95,424.9,416.73,420.25,0,2013-05-29,11773126
27,418.4,423.0,415.0,422.5,0,2013-05-30,8331900
28,403.15,417.88,401.05,417.05,0,2013-05-31,7844694
29,393.95,402.67,392.63,401.85,0,2013-06-03,6475820
30,390.1,399.9,389.58,395.3,0,2013-06-04,6744434
31,401.0,402.15,390.25,390.25,0,2013-06-05,5828342
32,396.0,401.95,394.05,400.0,0,2013-06-06,7823668
33,391.8,401.0,390.5,397.1,0,2013-06-07,4306828
34,394.67,397.75,391.0,394.5,0,2013-06-10,5194040
35,392.8,395.75,387.65,391.75,0,2013-06-11,6053872
36,395.4,398.75,391.1,391.52,0,2013-06-12,5840102
37,394.9,396.45,390.27,391.5,0,2013-06-13,4446526
38,407.33,409.92,398.05,398.1,0,2013-06-14,8034980
39,412.77,413.95,405.55,407.75,0,2013-06-17,5069814
40,411.7,418.75,408.73,411.85,0,2013-06-18,7158472
41,415.85,416.63,407.45,411.0,0,2013-06-19,7923400
42,399.0,408.95,397.5,408.95,0,2013-06-20,7964940
43,396.42,405.17,391.8,399.95,0,2013-06-21,9365612
44,396.33,398.08,389.25,395.0,0,2013-06-24,7457128
45,401.9,409.95,397.5,399.85,0,2013-06-25,8792396
46,401.8,407.23,400.55,404.73,0,2013-06-26,7616988
47,415.0,418.48,407.2,408.25,0,2013-06-27,11772716
48,431.3,436.5,423.0,434.75,0,2013-06-28,22005106
49,442.85,444.0,427.83,431.0,0,2013-07-01,9370792
50,435.92,445.9,434.38,441.55,0,2013-07-02,8128276
51,425.42,431.67,424.27,430.25,0,2013-07-03,5859256
52,430.83,435.3,423.67,426.55,0,2013-07-04,6049916
53,440.17,442.38,433.17,433.17,0,2013-07-05,5831902
54,433.48,436.73,429.08,435.0,0,2013-07-08,6516034
55,437.4,440.9,433.52,434.55,0,2013-07-09,5907622
56,428.0,439.92,419.5,437.13,0,2013-07-10,10166218
57,435.02,436.65,429.63,432.5,0,2013-07-11,5197068
58,444.98,448.0,434.8,437.13,0,2013-07-12,6570384
59,448.42,449.95,443.0,443.0,0,2013-07-15,5903496
60,450.3,452.23,441.52,443.5,0,2013-07-16,5931594
61,457.48,458.95,451.5,451.5,0,2013-07-17,10575276
62,458.63,459.98,454.6,459.0,0,2013-07-18,5624774
63,461.85,463.95,456.52,459.52,0,2013-07-19,6536844
64,454.52,457.5,449.48,457.5,0,2013-07-22,7752964
65,454.77,462.5,453.63,456.02,0,2013-07-23,5683014
66,454.67,458.45,447.58,454.0,0,2013-07-24,6303676
67,445.38,456.1,438.73,452.98,0,2013-07-25,7237536
68,445.08,451.85,442.73,446.1,0,2013-07-26,4372982
69,442.85,449.33,441.27,443.52,0,2013-07-29,4183692
70,428.67,446.0,426.95,443.52,0,2013-07-30,5208512
71,436.02,439.85,421.3,429.33,0,2013-07-31,7221288
72,425.0,441.42,422.42,437.58,0,2013-08-01,5061444
73,428.67,435.98,425.0,430.0,0,2013-08-02,5861750
74,430.77,436.45,427.88,430.0,0,2013-08-05,5741612
75,420.52,432.1,415.08,429.23,0,2013-08-06,5675954
76,436.23,440.92,415.5,422.5,0,2013-08-07,8592360
77,432.83,436.23,428.58,433.67,0,2013-08-08,5196708
78,422.83,436.42,420.23,434.5,0,2013-08-12,3990544
79,426.45,429.98,417.5,421.5,0,2013-08-13,5274330
80,432.5,434.0,423.73,428.0,0,2013-08-14,5147812
81,413.35,433.5,408.58,432.5,0,2013-08-16,12490656
82,410.13,417.0,403.77,411.5,0,2013-08-19,7383300
83,412.67,415.4,402.52,405.55,0,2013-08-20,5220334
84,391.8,417.35,390.1,416.5,0,2013-08-21,7182704
85,403.05,404.33,387.1,391.23,0,2013-08-22,10191958
86,409.75,412.35,404.25,406.85,0,2013-08-23,6552196
87,411.3,415.73,404.2,411.25,0,2013-08-26,4533278
88,401.63,412.45,400.0,407.0,0,2013-08-27,5986540
89,405.9,409.27,381.95,397.55,0,2013-08-28,11800902
90,422.63,426.7,406.25,408.0,0,2013-08-29,14098020
91,426.92,430.0,414.15,421.9,0,2013-08-30,9803366
92,443.38,445.0,426.6,426.6,0,2013-09-02,9624470
93,415.5,445.85,414.15,444.1,0,2013-09-03,7921266
94,424.67,432.27,416.5,416.88,0,2013-09-04,6091100
95,431.27,434.88,425.55,431.5,0,2013-09-05,6516516
96,434.0,436.75,420.75,435.0,0,2013-09-06,6879582
97,445.17,446.77,433.13,436.45,0,2013-09-10,8454728
98,443.88,446.45,437.08,444.5,0,2013-09-11,6793884
99,437.7,450.5,435.58,444.0,0,2013-09-12,8219520
100,436.5,441.85,433.52,434.0,0,2013-09-13,4492098
101,430.88,443.85,427.0,442.98,0,2013-09-16,5509048
102,429.08,432.0,426.3,428.17,0,2013-09-17,4996874
103,435.98,437.5,428.4,430.25,0,2013-09-18,6265120
104,445.3,447.98,440.27,444.02,0,2013-09-19,8656678
105,440.95,450.5,435.25,443.0,0,2013-09-20,8394714
106,437.17,440.5,432.5,436.02,0,2013-09-23,4057354
107,437.3,442.27,434.08,436.0,0,2013-09-24,5647350
108,424.52,437.45,421.1,436.2,0,2013-09-25,7987850
109,419.13,425.08,417.63,423.33,0,2013-09-26,9086174
110,419.95,427.25,418.5,421.0,0,2013-09-27,5488956
111,411.2,422.25,409.55,416.02,0,2013-09-30,7279374
112,410.73,414.95,408.85,413.15,0,2013-10-01,4164176
113,423.48,424.45,411.7,411.7,0,2013-10-03,4164018
114,427.2,429.85,419.0,420.27,0,2013-10-04,4530450
115,422.02,426.2,418.0,423.8,0,2013-10-07,5150310
116,422.48,427.35,419.6,424.85,0,2013-10-08,5540542
117,430.45,433.83,418.75,419.98,0,2013-10-09,5465250
118,430.0,431.4,424.02,429.5,0,2013-10-10,4284216
119,431.67,434.0,427.15,432.5,0,2013-10-11,4467934
120,435.15,437.5,431.6,432.5,0,2013-10-14,5557764
121,433.9,449.33,432.0,448.65,0,2013-10-15,10533900
122,440.17,444.0,432.33,435.0,0,2013-10-17,8052306
123,452.83,454.0,440.8,440.8,0,2013-10-18,10138748
124,456.6,457.75,448.08,452.83,0,2013-10-21,6923144
125,452.1,455.48,448.75,453.7,0,2013-10-22,4684206
126,448.38,454.6,443.83,452.6,0,2013-10-23,4089396
127,442.25,455.5,440.67,446.02,0,2013-10-24,5356664
128,443.5,446.4,439.67,442.05,0,2013-10-25,4546860
129,445.38,452.42,443.92,444.0,0,2013-10-28,7028642
130,448.4,451.98,441.95,444.55,0,2013-10-29,6606344
131,449.08,451.45,447.35,448.25,0,2013-10-30,4395554
132,457.35,459.0,448.0,450.0,0,2013-10-31,9042628
133,454.13,463.27,451.67,455.05,0,2013-11-01,5436126
134,454.35,457.2,453.4,455.0,0,2013-11-03,851238
135,454.85,460.85,451.67,451.67,0,2013-11-05,5008526
136,449.3,459.95,447.48,455.0,0,2013-11-06,4397852
137,442.95,452.9,441.05,449.5,0,2013-11-07,4476848
138,437.98,444.0,435.58,443.0,0,2013-11-08,4002850
139,431.95,441.05,430.1,437.0,0,2013-11-11,4069342
140,426.3,435.8,425.1,432.5,0,2013-11-12,5563624
141,422.2,430.7,421.05,424.95,0,2013-11-13,3836328
142,425.83,432.0,425.2,425.63,0,2013-11-14,3671676
143,437.38,438.88,428.08,429.05,0,2013-11-18,5519446
144,439.17,442.45,437.5,437.5,0,2013-11-19,3856146
145,431.25,441.5,428.5,437.42,0,2013-11-20,5984610
146,423.8,430.0,421.73,429.95,0,2013-11-21,5241732
147,421.88,428.23,419.55,425.5,0,2013-11-22,3420578
148,425.85,428.42,422.02,423.67,0,2013-11-25,4607508
149,420.63,428.4,418.77,425.25,0,2013-11-26,6384780
150,418.98,424.75,417.63,422.25,0,2013-11-27,5221672
151,423.98,428.2,421.55,421.55,0,2013-11-28,5735930
152,426.6,428.25,424.3,425.48,0,2013-11-29,4518706
153,427.65,431.48,426.15,426.5,0,2013-12-02,3301542
154,430.95,432.75,425.33,427.5,0,2013-12-03,4198902
155,428.02,433.75,426.6,430.45,0,2013-12-04,4005270
156,435.5,438.5,434.02,436.0,0,2013-12-05,5730308
157,433.35,437.33,430.6,435.08,0,2013-12-06,3337802
158,439.48,444.0,438.1,441.05,0,2013-12-09,5808226
159,442.33,444.35,439.25,439.25,0,2013-12-10,3985834
160,441.3,442.48,436.25,441.25,0,2013-12-11,2275578
161,435.1,440.0,434.0,439.0,0,2013-12-12,2601292
162,432.35,434.05,428.83,433.5,0,2013-12-13,4080718
163,422.52,431.13,421.6,430.0,0,2013-12-16,4592748
164,419.6,426.45,418.38,424.35,0,2013-12-17,4612544
165,429.98,431.92,419.6,419.6,0,2013-12-18,5490502
166,427.02,432.2,421.85,432.2,0,2013-12-19,6149134
167,447.58,449.0,431.05,436.0,0,2013-12-20,9375852
168,448.13,454.5,445.0,449.5,0,2013-12-23,7402426
169,449.02,452.5,447.55,448.25,0,2013-12-24,3340412
170,443.77,450.0,441.05,447.25,0,2013-12-26,6683712
171,439.42,446.95,438.45,444.3,0,2013-12-27,3540554
172,443.55,444.92,437.92,440.5,0,2013-12-30,4715912
173,447.6,449.13,443.55,444.0,0,2013-12-31,2608596
174,444.4,449.13,443.8,448.73,0,2014-01-01,2674148
175,437.5,448.0,435.05,443.85,0,2014-01-02,2753802
176,432.13,436.67,427.5,435.8,0,2014-01-03,5867226
177,427.48,431.63,425.0,431.05,0,2014-01-06,6087562
178,421.05,429.98,420.02,427.3,0,2014-01-07,7914222
179,424.52,428.67,422.2,422.2,0,2014-01-08,5818096
180,425.35,426.9,422.52,425.23,0,2014-01-09,3798680
181,429.08,438.15,424.0,424.17,0,2014-01-10,6784340
182,440.2,441.5,434.0,434.13,0,2014-01-13,5512780
183,440.75,442.27,436.23,439.25,0,2014-01-14,5520534
184,442.73,447.5,440.5,442.35,0,2014-01-15,5787920
185,443.08,446.65,441.02,444.35,0,2014-01-16,8246532
186,442.38,448.45,440.13,444.58,0,2014-01-17,7069260
187,434.88,444.5,433.05,443.45,0,2014-01-20,7578016
188,431.52,436.8,431.0,436.33,0,2014-01-21,4483140
189,436.23,437.67,429.08,431.75,0,2014-01-22,3894018
190,432.9,435.65,430.3,430.3,0,2014-01-23,6293962
191,433.83,437.33,430.55,431.0,0,2014-01-24,5430688
192,421.58,430.4,420.17,428.0,0,2014-01-27,5644102
193,422.42,428.0,421.35,423.5,0,2014-01-28,5291150
194,418.3,426.25,417.5,424.9,0,2014-01-29,5657052
195,412.5,416.92,411.1,415.7,0,2014-01-30,6446980
196,415.58,416.73,413.08,413.5,0,2014-01-31,5046364
197,410.45,414.9,409.73,413.1,0,2014-02-03,3761456
198,410.77,413.33,406.58,407.25,0,2014-02-04,5651606
199,408.63,410.75,403.45,410.05,0,2014-02-05,5165272
200,407.92,412.05,404.08,410.0,0,2014-02-06,4949514
201,407.23,411.9,405.3,411.05,0,2014-02-07,3867194
202,410.98,412.8,405.58,407.63,0,2014-02-10,4729480
203,402.63,412.5,401.38,411.5,0,2014-02-11,5764488
204,408.95,410.95,403.7,404.0,0,2014-02-12,4493438
205,403.7,409.45,402.52,409.45,0,2014-02-13,3957828
206,411.02,412.0,404.0,405.95,0,2014-02-14,4214500
207,406.15,411.0,403.52,408.83,0,2014-02-17,4141244
208,406.58,408.92,403.55,403.55,0,2014-02-18,2624718
209,406.13,410.0,405.0,406.5,0,2014-02-19,2802494
210,402.73,406.85,401.55,405.65,0,2014-02-20,3676302
211,405.75,408.0,402.8,403.55,0,2014-02-21,2860158
212,406.17,407.48,402.65,404.02,0,2014-02-24,3109018
213,405.27,408.0,403.77,407.15,0,2014-02-25,3218148
214,405.35,408.42,404.13,405.5,0,2014-02-26,6221142
215,399.98,407.67,396.55,405.35,0,2014-02-28,8663244
216,401.7,403.4,398.58,400.05,0,2014-03-03,5319350
217,406.48,407.33,401.3,401.5,0,2014-03-04,4113150
218,403.5,409.0,402.58,407.77,0,2014-03-05,5407206
219,411.23,412.2,404.65,404.67,0,2014-03-06,4650566
220,434.7,437.0,412.5,412.5,0,2014-03-07,15359504
221,442.73,451.83,431.7,432.55,0,2014-03-10,15026818
222,437.38,443.9,436.05,442.5,0,2014-03-11,5842670
223,435.67,441.45,433.83,437.0,0,2014-03-12,4311714
224,439.77,447.38,437.35,437.5,0,2014-03-13,7873240
225,443.08,444.98,434.52,437.0,0,2014-03-14,7561782
226,448.23,454.4,444.75,444.75,0,2014-03-18,8702092
227,451.5,454.95,447.63,450.0,0,2014-03-19,7486738
228,453.0,453.75,449.08,450.8,0,2014-03-20,13583302
229,442.9,456.67,441.08,453.5,0,2014-03-21,10080962
230,444.08,444.92,441.77,443.8,0,2014-03-22,463022
231,452.7,454.38,445.55,445.63,0,2014-03-24,13173462
232,439.65,441.25,436.25,439.5,0,2014-03-25,14309112
233,445.6,451.48,440.58,440.63,0,2014-03-26,6313930
234,450.38,452.45,446.05,447.42,0,2014-03-27,25330644
235,458.08,459.98,450.0,450.0,0,2014-03-28,8534220
236,465.38,469.9,456.6,458.13,0,2014-03-31,8572736
237,471.3,472.5,464.65,468.0,0,2014-04-01,7150360
238,479.1,481.0,469.05,472.5,0,2014-04-02,12242998
239,476.33,481.48,470.2,478.4,0,2014-04-03,12138176
240,472.13,476.63,470.77,476.0,0,2014-04-04,5720924
241,472.08,477.48,467.17,472.0,0,2014-04-07,5899846
242,481.08,483.35,473.58,475.0,0,2014-04-09,6143834
243,484.52,486.95,481.1,482.35,0,2014-04-10,4868594
244,476.88,485.52,475.3,481.15,0,2014-04-11,5345016
245,474.55,477.0,468.3,475.0,0,2014-04-15,4235430
246,470.65,479.5,469.05,473.25,0,2014-04-16,5660304
247,479.55,480.9,471.9,472.5,0,2014-04-17,3586836
248,479.8,484.98,478.05,484.98,0,2014-04-21,5402428
249,483.88,494.38,478.05,480.0,0,2014-04-22,8837860
250,483.58,491.0,482.13,484.5,0,2014-04-23,6989386
251,474.13,484.5,473.0,484.0,0,2014-04-25,6058440
