,c,h,l,o,oi,time,v
0,707.55,740.0,701.7,735.0,0,2013-04-22,35367877
1,703.65,710.75,699.0,710.15,0,2013-04-23,3613280
2,694.55,704.55,686.1,704.55,0,2013-04-25,2680742
3,696.75,702.0,689.0,693.9,0,2013-04-26,1416485
4,698.65,702.5,694.1,694.1,0,2013-04-29,951473
5,700.0,701.2,695.55,698.35,0,2013-04-30,555002
6,689.9,703.0,686.0,700.0,0,2013-05-02,1077409
7,687.7,694.0,685.0,691.1,0,2013-05-03,439314
8,689.7,695.05,680.0,688.95,0,2013-05-06,1344510
9,670.1,689.45,669.0,686.0,0,2013-05-07,971834
10,673.05,674.0,669.0,670.5,0,2013-05-08,664335
11,668.4,672.85,664.15,671.0,0,2013-05-09,415712
12,675.1,678.25,666.1,666.1,0,2013-05-10,93358
13,665.8,673.8,665.0,670.0,0,2013-05-11,292330
14,665.85,671.45,663.0,663.8,0,2013-05-13,350373
15,669.9,673.45,658.1,667.0,0,2013-05-14,583868
16,666.85,669.9,660.5,669.9,0,2013-05-15,242175
17,662.2,666.05,659.0,663.2,0,2013-05-16,396395
18,655.0,665.0,649.9,665.0,0,2013-05-17,1164020
19,662.1,669.0,655.8,655.8,0,2013-05-20,1402840
20,647.05,664.85,642.25,664.0,0,2013-05-21,859011
21,642.75,653.6,641.2,647.05,0,2013-05-22,574130
22,642.25,653.5,641.1,643.05,0,2013-05-23,672547
23,656.75,659.9,642.65,642.65,0,2013-05-24,483071
24,642.35,659.0,639.55,659.0,0,2013-05-27,763293
25,631.6,649.0,629.0,649.0,0,2013-05-28,843603
26,657.95,670.4,633.0,633.0,0,2013-05-29,356798
27,676.55,679.2,655.1,655.1,0,2013-05-30,784443
28,665.0,680.8,663.0,665.0,0,2013-05-31,192279
29,660.0,667.75,654.0,655.2,0,2013-06-03,350594
30,649.35,660.05,644.4,650.1,0,2013-06-04,269314
31,649.9,659.2,642.8,648.6,0,2013-06-05,261879
32,659.55,663.7,645.1,653.0,0,2013-06-06,3200674
33,661.45,665.0,656.5,657.3,0,2013-06-07,712433
34,687.45,696.4,660.0,660.0,0,2013-06-10,2077453
35,693.15,698.95,681.15,689.0,0,2013-06-11,669175
36,666.3,689.0,664.0,689.0,0,2013-06-12,827451
37,655.7,670.45,655.0,668.0,0,2013-06-13,599114
38,653.7,662.7,651.85,655.55,0,2013-06-14,239417
39,653.45,666.95,652.0,653.0,0,2013-06-17,269211
40,656.2,658.4,650.8,654.05,0,2013-06-18,258606
41,654.9,665.95,653.85,665.95,0,2013-06-19,316178
42,655.9,658.0,652.25,658.0,0,2013-06-20,86648
43,661.75,665.8,653.05,660.0,0,2013-06-21,162592
44,659.1,662.15,653.55,660.0,0,2013-06-24,125688
45,656.1,660.0,654.05,654.05,0,2013-06-25,210799
46,668.4,670.0,651.0,655.1,0,2013-06-26,279051
47,685.7,689.9,664.05,664.05,0,2013-06-27,480717
48,674.75,682.75,671.05,680.0,0,2013-06-28,122163
49,676.05,682.0,671.0,671.05,0,2013-07-01,121938
50,675.35,682.0,657.0,671.05,0,2013-07-02,260250
51,679.9,683.0,673.3,675.1,0,2013-07-03,444539
52,689.0,691.0,678.0,680.5,0,2013-07-04,351667
53,692.15,694.0,665.0,681.45,0,2013-07-05,259324
54,697.3,699.9,688.1,688.1,0,2013-07-08,343970
55,697.15,703.75,692.15,692.15,0,2013-07-09,531872
56,701.8,704.4,693.3,693.3,0,2013-07-10,259491
57,702.85,703.9,694.0,694.0,0,2013-07-11,390144
58,701.7,707.8,697.2,702.75,0,2013-07-12,272983
59,700.45,702.0,695.1,700.0,0,2013-07-15,163978
60,698.9,703.0,690.55,697.0,0,2013-07-16,269410
61,695.35,705.4,693.0,695.45,0,2013-07-17,667407
62,699.5,703.0,694.0,694.0,0,2013-07-18,174646
63,685.1,700.15,680.1,699.5,0,2013-07-19,342012
64,690.5,695.0,680.25,685.05,0,2013-07-22,125483
65,701.6,702.2,690.0,694.6,0,2013-07-23,411800
66,701.95,704.9,699.0,700.0,0,2013-07-24,195946
67,704.15,706.9,692.0,692.0,0,2013-07-25,310252
68,717.25,719.95,700.15,700.15,0,2013-07-26,605429
69,711.6,715.0,706.1,714.85,0,2013-07-29,297500
70,703.8,714.7,699.0,707.0,0,2013-07-30,113144
71,701.75,709.0,700.0,703.8,0,2013-07-31,93456
72,716.75,724.6,701.5,701.5,0,2013-08-01,764541
73,700.85,716.0,696.0,716.0,0,2013-08-02,338329
74,705.25,714.8,691.65,696.0,0,2013-08-05,232397
75,707.8,712.0,700.1,706.6,0,2013-08-06,323715
76,711.5,713.95,701.45,705.05,0,2013-08-07,293534
77,714.65,717.0,701.85,704.1,0,2013-08-08,464739
78,716.9,722.0,710.0,710.0,0,2013-08-12,399677
79,702.6,714.3,698.0,711.2,0,2013-08-13,200051
80,682.05,707.0,661.15,702.5,0,2013-08-14,424803
81,681.85,689.45,680.0,682.0,0,2013-08-16,143914
82,667.9,681.7,663.3,681.7,0,2013-08-19,339031
83,660.65,681.5,653.75,670.0,0,2013-08-20,324432
84,708.7,722.0,660.5,665.0,0,2013-08-21,1539000
85,718.3,733.25,691.1,708.4,0,2013-08-22,1772440
86,695.05,716.45,690.0,716.45,0,2013-08-23,352909
87,695.25,705.0,665.0,670.0,0,2013-08-26,399206
88,713.7,715.0,700.05,700.05,0,2013-08-27,315230
89,715.0,720.0,711.05,717.1,0,2013-08-28,159852
90,709.9,717.65,699.0,700.0,0,2013-08-29,159318
91,685.8,718.0,681.5,709.0,0,2013-08-30,689547
92,682.25,695.0,679.5,689.0,0,2013-09-02,312807
93,682.4,695.0,673.2,685.0,0,2013-09-03,282049
94,689.25,694.55,685.65,688.0,0,2013-09-04,226925
95,685.25,705.0,678.6,700.0,0,2013-09-05,423633
96,674.65,690.0,670.0,687.0,0,2013-09-06,172882
97,675.5,682.95,662.45,680.0,0,2013-09-10,428939
98,666.2,675.4,664.0,675.0,0,2013-09-11,235890
99,675.7,679.75,666.15,670.0,0,2013-09-12,288608
100,682.2,689.75,674.25,680.0,0,2013-09-13,271771
101,689.45,690.8,676.0,681.5,0,2013-09-16,219932
102,694.5,698.7,682.1,689.4,0,2013-09-17,360647
103,690.0,696.0,686.0,695.9,0,2013-09-18,272512
104,672.55,689.0,666.0,689.0,0,2013-09-19,301455
105,655.05,682.1,651.0,678.0,0,2013-09-20,245988
106,652.6,659.95,650.05,657.0,0,2013-09-23,192215
107,653.3,659.45,647.0,653.6,0,2013-09-24,113706
108,670.3,674.4,650.55,657.5,0,2013-09-25,483527
109,678.55,689.9,668.8,670.2,0,2013-09-26,163349
110,677.5,685.0,672.0,677.0,0,2013-09-27,73256
111,674.15,683.5,667.5,673.0,0,2013-09-30,305570
112,675.0,676.75,671.05,672.5,0,2013-10-01,140732
113,668.45,677.35,666.0,675.0,0,2013-10-03,150189
114,674.1,681.8,666.45,666.45,0,2013-10-04,138766
115,686.6,688.5,668.4,669.0,0,2013-10-07,167488
116,672.9,691.0,670.55,686.1,0,2013-10-08,395902
117,664.9,679.0,662.05,675.0,0,2013-10-09,147381
118,664.5,673.9,658.0,660.05,0,2013-10-10,225060
119,663.1,669.45,659.0,660.15,0,2013-10-11,186540
120,672.95,680.8,666.05,667.0,0,2013-10-14,369173
121,678.25,711.0,664.0,668.95,0,2013-10-15,446572
122,683.9,695.0,681.0,681.0,0,2013-10-17,263227
123,680.0,686.0,675.0,686.0,0,2013-10-18,783770
124,679.95,690.95,677.1,681.05,0,2013-10-21,520436
125,675.0,687.65,674.15,680.5,0,2013-10-22,514819
126,679.65,685.0,674.0,679.65,0,2013-10-23,667025
127,678.7,685.0,675.0,675.55,0,2013-10-24,886583
128,695.7,699.95,678.0,678.0,0,2013-10-25,955511
129,719.0,720.0,691.0,691.0,0,2013-10-28,715637
130,719.05,724.7,712.0,713.55,0,2013-10-29,665026
131,711.65,720.0,706.35,714.0,0,2013-10-30,681889
132,708.9,712.5,702.0,702.0,0,2013-10-31,389870
133,721.4,723.0,708.2,710.0,0,2013-11-01,307669
134,721.35,724.5,713.05,715.9,0,2013-11-03,241773
135,722.9,724.95,713.9,716.05,0,2013-11-05,228583
136,716.15,721.95,710.1,718.0,0,2013-11-06,114992
137,716.95,725.0,712.1,712.1,0,2013-11-07,523622
138,746.0,755.0,714.95,717.0,0,2013-11-08,1182526
139,766.1,768.8,746.05,749.9,0,2013-11-11,1763048
140,762.8,771.05,742.65,767.0,0,2013-11-12,1352072
141,758.85,774.6,745.0,750.0,0,2013-11-13,700854
142,743.1,762.85,732.0,756.0,0,2013-11-14,448784
143,746.55,757.65,736.5,736.5,0,2013-11-18,514382
144,732.0,752.05,716.25,746.55,0,2013-11-19,259083
145,702.1,728.95,700.1,725.0,0,2013-11-20,405214
146,703.6,714.6,696.3,704.0,0,2013-11-21,291749
147,702.45,708.9,692.25,708.9,0,2013-11-22,256284
148,699.95,709.0,691.0,704.9,0,2013-11-25,1771037
149,713.75,719.0,693.0,702.9,0,2013-11-26,589720
150,698.3,715.9,696.05,711.05,0,2013-11-27,402458
151,691.15,704.55,688.0,702.0,0,2013-11-28,226655
152,678.9,699.0,672.2,690.0,0,2013-11-29,579274
153,667.65,683.0,665.05,674.0,0,2013-12-02,632333
154,669.7,679.7,665.5,670.1,0,2013-12-03,203078
155,665.2,673.7,663.05,669.0,0,2013-12-04,224549
156,655.2,706.7,647.0,663.0,0,2013-12-05,297261
