,c,h,l,o,oi,time,v
0,232.71,236.0,230.64,230.64,0,2013-04-22,14450260
1,228.75,234.33,226.6,234.0,0,2013-04-23,18770200
2,233.46,234.3,229.4,230.9,0,2013-04-25,20535590
3,228.79,233.46,227.71,232.5,0,2013-04-26,11550470
4,227.36,230.94,226.21,230.2,0,2013-04-29,13964420
5,226.43,229.25,222.54,228.2,0,2013-04-30,14814500
6,229.94,232.69,226.51,227.5,0,2013-05-02,20143690
7,221.38,229.34,220.6,228.5,0,2013-05-03,36583570
8,222.61,223.26,218.3,220.56,0,2013-05-06,19604120
9,225.68,226.4,221.86,222.0,0,2013-05-07,12903980
10,225.47,227.3,223.16,226.0,0,2013-05-08,14795230
11,229.1,232.68,224.4,226.0,0,2013-05-09,22585460
12,229.36,232.3,228.38,228.99,0,2013-05-10,18603240
13,230.57,231.5,229.1,229.1,0,2013-05-11,1089650
14,227.77,231.88,226.81,230.5,0,2013-05-13,12807580
15,229.31,231.86,226.64,227.32,0,2013-05-14,19822490
16,238.28,239.28,230.53,231.01,0,2013-05-15,27233960
17,241.94,243.91,237.2,237.53,0,2013-05-16,22683930
18,242.49,243.48,238.8,242.04,0,2013-05-17,16893270
19,241.18,247.2,240.25,243.0,0,2013-05-20,18149490
20,236.07,242.9,235.39,242.0,0,2013-05-21,19350270
21,236.3,240.22,234.56,238.0,0,2013-05-22,15125760
22,217.76,235.5,215.3,235.5,0,2013-05-23,63821860
23,215.12,219.8,212.74,219.2,0,2013-05-24,34747060
24,216.21,218.33,214.68,215.4,0,2013-05-27,22382280
25,212.98,216.18,212.25,213.54,0,2013-05-28,21430960
26,210.63,213.93,209.81,213.51,0,2013-05-29,16838910
27,208.86,211.99,207.91,210.0,0,2013-05-30,24345150
28,204.68,208.9,204.21,208.19,0,2013-05-31,20767490
29,206.99,208.19,204.01,204.81,0,2013-06-03,21804450
30,202.82,208.4,202.1,207.0,0,2013-06-04,18890680
31,203.18,204.44,201.2,202.6,0,2013-06-05,19682800
32,204.88,206.7,200.65,202.32,0,2013-06-06,24860940
33,202.42,207.5,201.5,203.5,0,2013-06-07,18938650
34,201.16,204.7,200.11,204.0,0,2013-06-10,14601870
35,199.75,202.6,198.2,200.5,0,2013-06-11,27831190
36,200.61,202.9,197.07,202.9,0,2013-06-12,31892330
37,201.88,203.58,198.52,198.99,0,2013-06-13,21107870
38,204.59,205.9,203.1,203.6,0,2013-06-14,18141370
39,206.58,207.4,199.22,205.26,0,2013-06-17,25618850
40,204.36,207.5,203.73,206.3,0,2013-06-18,15409980
41,204.58,205.21,202.87,204.4,0,2013-06-19,15403450
42,199.76,201.98,198.74,200.9,0,2013-06-20,26521840
43,198.91,200.88,196.63,199.4,0,2013-06-21,26461690
44,194.85,198.71,193.0,198.31,0,2013-06-24,21810540
45,190.78,194.95,190.13,194.8,0,2013-06-25,30781170
46,190.01,192.57,189.21,191.4,0,2013-06-26,20557680
47,191.25,193.0,190.1,192.15,0,2013-06-27,19891950
48,195.38,195.74,193.0,193.8,0,2013-06-28,15660360
49,201.56,202.1,195.5,196.3,0,2013-07-01,15135150
50,198.99,202.9,198.23,201.12,0,2013-07-02,16265170
51,189.88,197.6,189.28,197.6,0,2013-07-03,25313640
52,189.99,192.35,187.26,190.19,0,2013-07-04,28494530
53,189.44,192.77,188.82,192.11,0,2013-07-05,17580390
