,c,h,l,o,oi,time,v
0,463.52,472.25,457.95,461.0,0,2013-04-22,2539560
1,474.98,476.73,462.1,462.1,0,2013-04-23,1367732
2,489.8,492.85,471.75,475.05,0,2013-04-25,4517038
3,478.05,487.5,477.17,486.25,0,2013-04-26,2150012
4,470.25,483.8,467.9,482.0,0,2013-04-29,1885780
5,475.52,482.48,470.3,471.02,0,2013-04-30,1419360
6,483.52,487.1,473.25,473.67,0,2013-05-02,1594214
7,492.35,494.7,481.0,485.4,0,2013-05-03,2787976
8,491.08,497.4,488.83,496.15,0,2013-05-06,710626
9,495.48,499.0,493.0,495.95,0,2013-05-07,1964836
10,492.77,499.42,491.15,499.42,0,2013-05-08,1158394
11,474.13,492.5,471.8,491.13,0,2013-05-09,2130960
12,467.52,479.6,464.08,477.9,0,2013-05-10,2265212
13,476.38,479.1,469.75,469.75,0,2013-05-11,236616
14,471.95,481.33,470.13,479.85,0,2013-05-13,1977412
15,481.85,484.0,469.0,472.4,0,2013-05-14,1824490
16,487.02,488.08,478.75,480.5,0,2013-05-15,2628462
17,484.42,490.88,481.8,482.0,0,2013-05-16,2135930
18,483.08,488.3,479.0,485.05,0,2013-05-17,829624
19,482.98,494.83,479.35,487.35,0,2013-05-20,1447280
20,486.98,490.25,479.58,479.58,0,2013-05-21,1588402
21,500.95,506.85,487.63,487.63,0,2013-05-22,2406450
22,503.0,508.25,490.0,490.0,0,2013-05-23,2539658
23,484.42,499.02,480.25,494.13,0,2013-05-24,2623550
24,506.85,513.0,480.98,485.0,0,2013-05-27,3350316
25,498.13,511.5,494.08,510.5,0,2013-05-28,3192018
26,532.88,540.35,510.0,520.3,0,2013-05-29,7929878
27,537.1,542.4,529.4,530.1,0,2013-05-30,2747088
28,522.05,535.5,518.5,531.78,0,2013-05-31,4391362
29,508.83,523.42,494.25,517.0,0,2013-06-03,2791600
30,509.13,516.38,499.33,505.0,0,2013-06-04,2693116
31,518.5,523.0,505.55,512.5,0,2013-06-05,2588284
32,509.05,516.92,506.38,515.1,0,2013-06-06,1560132
33,506.23,513.4,503.52,504.0,0,2013-06-07,1767874
34,499.33,509.9,494.05,509.0,0,2013-06-10,2037266
35,491.2,500.73,488.3,496.83,0,2013-06-11,2888004
36,490.35,495.65,485.75,491.2,0,2013-06-12,2231638
37,474.7,482.0,457.85,466.63,0,2013-06-13,6768578
38,476.77,481.0,471.0,476.6,0,2013-06-14,1661092
39,486.35,492.95,473.55,477.5,0,2013-06-17,1932922
40,485.95,490.48,482.0,485.13,0,2013-06-18,1476768
41,480.63,488.5,476.65,482.5,0,2013-06-19,1286968
42,484.67,492.45,471.5,475.5,0,2013-06-20,3116684
43,474.25,485.5,471.58,484.0,0,2013-06-21,2758082
44,473.58,482.38,470.05,474.0,0,2013-06-24,1692162
45,474.38,479.58,471.33,473.9,0,2013-06-25,2229816
46,469.6,478.5,467.95,475.5,0,2013-06-26,1825544
47,485.8,499.5,472.75,472.75,0,2013-06-27,4283804
48,505.77,508.05,490.0,490.0,0,2013-06-28,3609114
49,502.5,513.5,500.77,505.77,0,2013-07-01,1421220
50,503.92,513.75,500.08,504.0,0,2013-07-02,1510760
51,509.88,511.0,495.98,501.25,0,2013-07-03,1825538
52,515.35,558.3,497.5,515.0,0,2013-07-04,1751098
53,517.88,523.45,516.0,520.0,0,2013-07-05,1077646
54,521.33,525.5,513.5,518.0,0,2013-07-08,990634
55,539.85,547.05,524.0,524.0,0,2013-07-09,2219666
56,540.72,548.2,533.05,541.0,0,2013-07-10,1673354
57,547.67,554.35,543.0,543.0,0,2013-07-11,1155086
58,554.35,557.5,545.0,555.0,0,2013-07-12,1765166
59,555.47,561.85,549.08,550.03,0,2013-07-15,1359632
60,559.8,564.92,550.8,552.0,0,2013-07-16,1068354
61,556.4,565.78,551.03,561.13,0,2013-07-17,2560946
62,559.2,566.25,555.05,560.0,0,2013-07-18,2067200
63,540.08,563.3,536.85,559.5,0,2013-07-19,3133700
64,555.0,556.5,534.0,540.08,0,2013-07-22,2048418
65,553.25,558.72,545.5,557.0,0,2013-07-23,1785728
66,563.63,565.4,551.0,552.5,0,2013-07-24,1756166
67,547.65,565.5,540.1,560.6,0,2013-07-25,3198186
68,558.65,562.15,550.5,554.45,0,2013-07-26,2549844
69,569.25,575.7,560.05,565.0,0,2013-07-29,836269
70,575.65,579.9,568.85,574.5,0,2013-07-30,1805002
71,565.3,581.1,560.0,578.0,0,2013-07-31,3114492
72,568.25,576.0,562.4,573.0,0,2013-08-01,1343683
73,555.2,576.9,550.45,576.9,0,2013-08-02,1152598
74,549.5,563.9,545.1,563.9,0,2013-08-05,883575
75,538.3,548.95,535.0,548.15,0,2013-08-06,1041651
76,522.05,541.3,515.2,540.5,0,2013-08-07,1612383
77,505.7,518.9,495.0,512.0,0,2013-08-08,3169712
78,541.7,552.0,521.0,521.0,0,2013-08-12,3185173
79,547.45,551.7,533.2,542.35,0,2013-08-13,1503470
80,550.55,559.0,538.0,546.1,0,2013-08-14,1488108
81,542.45,553.9,535.0,548.15,0,2013-08-16,3335121
82,520.1,547.0,511.9,547.0,0,2013-08-19,2188987
83,507.35,514.0,491.25,514.0,0,2013-08-20,2817923
84,482.45,515.6,476.3,510.0,0,2013-08-21,2632375
85,502.2,507.0,475.35,481.0,0,2013-08-22,2846075
86,507.35,510.9,490.0,505.55,0,2013-08-23,2992002
87,517.0,522.0,510.0,514.0,0,2013-08-26,1994208
88,496.85,516.45,490.0,511.95,0,2013-08-27,2859676
