,c,h,l,o,oi,time,v
0,140.55,141.2,137.0,139.0,0,2013-04-22,2041646
1,138.35,141.3,136.65,141.3,0,2013-04-23,998966
2,136.05,139.45,135.5,138.35,0,2013-04-25,2035505
3,140.4,140.95,136.1,136.4,0,2013-04-26,2279744
4,144.25,144.7,140.9,141.0,0,2013-04-29,3641202
5,147.25,148.0,142.7,145.0,0,2013-04-30,3713627
6,149.0,149.85,145.9,146.8,0,2013-05-02,3400457
7,147.35,149.75,146.2,149.75,0,2013-05-03,2503514
8,147.55,149.8,146.0,147.6,0,2013-05-06,1885775
9,149.05,149.6,147.0,147.75,0,2013-05-07,1337524
10,151.0,151.8,149.0,149.0,0,2013-05-08,1717318
11,148.05,153.4,147.15,151.8,0,2013-05-09,3362377
12,146.15,149.2,145.1,148.05,0,2013-05-10,1749193
13,147.7,148.0,146.0,146.5,0,2013-05-11,163605
14,146.45,149.1,145.65,147.1,0,2013-05-13,1966719
15,141.0,146.5,139.6,146.0,0,2013-05-14,2111690
16,147.3,148.1,141.5,141.5,0,2013-05-15,3704692
17,143.25,148.35,142.75,146.5,0,2013-05-16,1838806
18,146.6,147.8,143.05,143.5,0,2013-05-17,2294608
19,144.05,147.85,143.25,145.95,0,2013-05-20,1408332
20,144.4,146.1,142.0,144.8,0,2013-05-21,1245564
21,142.65,146.3,141.85,144.7,0,2013-05-22,1048831
22,138.75,143.0,136.2,141.5,0,2013-05-23,2023773
23,141.3,142.0,137.25,139.15,0,2013-05-24,830319
24,143.7,144.0,141.15,141.65,0,2013-05-27,1372887
25,144.7,148.7,143.25,144.1,0,2013-05-28,5651909
26,143.0,145.75,140.85,145.45,0,2013-05-29,3312025
27,148.0,149.1,142.15,142.15,0,2013-05-30,8696753
28,145.9,149.75,144.7,149.45,0,2013-05-31,3823348
29,147.05,148.4,144.3,145.9,0,2013-06-03,1446953
30,149.9,152.2,147.1,147.8,0,2013-06-04,3464825
31,150.2,151.9,149.1,150.6,0,2013-06-05,1965493
32,149.6,150.85,147.4,149.7,0,2013-06-06,1633085
