,c,h,l,o,oi,time,v
0,285.25,287.55,281.75,283.25,0,2013-04-22,6519483
1,281.5,284.5,277.0,284.2,0,2013-04-23,4307228
2,293.3,296.05,284.75,285.5,0,2013-04-25,9750912
3,296.3,298.0,290.2,294.0,0,2013-04-26,8055456
4,296.15,298.75,292.05,294.65,0,2013-04-29,5048414
5,300.0,301.0,291.1,296.2,0,2013-04-30,7962986
6,297.35,300.8,292.05,295.7,0,2013-05-02,9184868
7,285.6,294.35,284.55,293.95,0,2013-05-03,8403039
8,291.05,293.35,282.85,285.0,0,2013-05-06,7815749
9,298.4,300.7,292.55,292.55,0,2013-05-07,5479556
10,300.25,305.75,298.6,299.9,0,2013-05-08,6459265
11,300.1,303.75,295.1,301.0,0,2013-05-09,5577369
12,309.05,310.0,299.25,300.1,0,2013-05-10,7393745
13,307.55,308.85,306.25,308.85,0,2013-05-11,319689
14,297.45,309.8,295.9,305.65,0,2013-05-13,3785524
15,300.3,303.85,295.4,297.8,0,2013-05-14,6699345
16,308.85,311.95,302.1,302.45,0,2013-05-15,8414912
17,303.65,309.45,302.3,307.0,0,2013-05-16,5186185
18,303.35,308.4,300.8,301.25,0,2013-05-17,6975884
19,302.05,316.2,300.0,305.6,0,2013-05-20,9271269
20,292.95,303.1,292.0,301.5,0,2013-05-21,7468655
21,291.15,298.15,289.0,296.1,0,2013-05-22,5937143
22,291.05,293.6,285.25,287.3,0,2013-05-23,7921154
23,288.1,296.15,282.85,292.5,0,2013-05-24,9101109
24,294.5,295.9,285.15,286.6,0,2013-05-27,5514680
25,295.8,298.6,290.6,294.0,0,2013-05-28,7124280
26,303.8,305.35,295.55,299.0,0,2013-05-29,10664646
27,317.05,319.1,310.8,315.0,0,2013-05-30,14890021
28,313.3,319.5,312.1,316.25,0,2013-05-31,6832753
29,314.05,315.8,307.4,309.75,0,2013-06-03,7991736
30,306.1,317.8,302.95,310.0,0,2013-06-04,7785500
31,307.3,310.0,303.7,304.55,0,2013-06-05,5666915
32,306.7,309.7,304.0,304.0,0,2013-06-06,5515881
33,301.9,309.9,298.0,305.5,0,2013-06-07,5839679
34,296.05,303.8,292.4,301.55,0,2013-06-10,6474598
35,293.15,297.55,288.75,296.4,0,2013-06-11,9747868
36,293.55,296.5,290.0,291.0,0,2013-06-12,6462768
37,282.95,290.4,280.1,290.4,0,2013-06-13,7846830
38,296.8,298.4,287.4,289.0,0,2013-06-14,7610723
39,299.45,300.6,288.55,296.8,0,2013-06-17,7205573
40,297.6,299.5,293.0,298.0,0,2013-06-18,8257875
41,292.1,295.75,290.75,295.0,0,2013-06-19,4812234
42,288.75,292.25,283.35,287.1,0,2013-06-20,13426910
43,287.05,289.25,282.15,285.0,0,2013-06-21,8394864
44,283.9,287.65,280.5,285.0,0,2013-06-24,9699151
45,281.45,284.75,272.1,283.25,0,2013-06-25,12647291
46,272.65,282.75,269.15,281.0,0,2013-06-26,10379194
47,270.3,277.45,263.1,274.55,0,2013-06-27,21100726
48,281.3,282.0,275.2,275.2,0,2013-06-28,8113830
49,289.8,291.05,277.0,278.0,0,2013-07-01,7770037
50,286.45,288.25,282.0,287.0,0,2013-07-02,6304038
51,284.2,289.35,277.75,282.15,0,2013-07-03,10505656
52,292.3,293.75,282.25,286.0,0,2013-07-04,7025766
53,296.2,298.3,293.1,296.0,0,2013-07-05,6383463
54,287.8,289.5,282.3,288.9,0,2013-07-08,7342292
55,289.1,290.45,284.65,288.5,0,2013-07-09,7075394
56,284.05,288.5,280.8,287.7,0,2013-07-10,9886352
57,284.9,291.6,282.75,287.7,0,2013-07-11,5910118
58,292.5,294.3,285.1,285.2,0,2013-07-12,8593420
59,288.45,291.8,286.05,290.8,0,2013-07-15,5312833
60,291.55,292.35,281.7,284.0,0,2013-07-16,6937607
61,285.25,291.05,282.3,290.65,0,2013-07-17,5373439
62,286.9,288.1,280.75,284.6,0,2013-07-18,5208359
63,294.65,297.6,287.0,287.0,0,2013-07-19,6247962
64,297.85,300.8,293.3,294.0,0,2013-07-22,5330210
65,298.8,301.5,294.25,298.2,0,2013-07-23,7317801
66,297.3,300.95,294.7,298.0,0,2013-07-24,4795606
67,299.9,303.25,294.7,298.0,0,2013-07-25,8102895
68,289.95,301.65,287.3,301.0,0,2013-07-26,4255393
69,295.75,297.0,288.0,288.0,0,2013-07-29,4588678
70,284.9,297.65,282.3,295.95,0,2013-07-30,6381746
71,290.5,292.5,278.0,282.5,0,2013-07-31,6074890
72,288.95,293.7,284.2,291.5,0,2013-08-01,4065282
73,290.45,291.9,282.25,287.8,0,2013-08-02,5526691
74,284.75,302.0,279.2,290.25,0,2013-08-05,6363971
75,287.55,288.9,280.4,284.45,0,2013-08-06,7936760
76,278.9,286.75,271.8,284.1,0,2013-08-07,19307409
77,278.8,293.3,275.3,285.5,0,2013-08-08,16147469
78,281.3,285.4,278.25,282.0,0,2013-08-12,6850785
79,290.85,294.0,276.05,280.9,0,2013-08-13,12092244
80,319.1,324.4,298.2,298.25,0,2013-08-14,22573141
81,313.95,323.4,311.35,317.5,0,2013-08-16,15609517
82,301.7,308.75,297.4,307.2,0,2013-08-19,9626161
83,287.95,298.4,285.6,297.0,0,2013-08-20,11189887
84,283.35,294.6,278.55,290.8,0,2013-08-21,6630724
85,291.95,294.9,284.0,284.0,0,2013-08-22,10446451
86,300.95,304.6,294.1,295.0,0,2013-08-23,10250648
87,298.1,304.3,293.5,301.5,0,2013-08-26,5415542
88,290.05,295.5,287.75,295.0,0,2013-08-27,6614370
89,297.95,299.5,286.3,290.05,0,2013-08-28,10404816
90,306.0,309.0,295.3,299.5,0,2013-08-29,10493664
91,299.25,308.7,293.5,308.05,0,2013-08-30,6378520
92,299.7,302.0,292.05,296.0,0,2013-09-02,6556397
93,297.35,311.35,295.65,302.0,0,2013-09-03,8166216
94,311.7,313.75,300.25,302.4,0,2013-09-04,7751371
95,318.1,324.35,314.65,316.05,0,2013-09-05,8725114
96,317.8,320.0,312.2,318.3,0,2013-09-06,5172580
97,349.6,353.35,320.1,320.1,0,2013-09-10,19020755
98,340.45,350.55,336.2,348.5,0,2013-09-11,9117663
99,333.45,342.0,329.5,341.9,0,2013-09-12,6590825
100,334.05,338.3,330.1,332.0,0,2013-09-13,5908250
101,331.35,340.8,324.85,339.0,0,2013-09-16,5733708
102,335.05,337.65,328.25,329.0,0,2013-09-17,4875668
103,336.85,341.0,332.95,341.0,0,2013-09-18,6544480
104,349.15,351.55,341.4,344.8,0,2013-09-19,9317393
105,338.35,354.85,332.4,344.9,0,2013-09-20,11600943
106,333.85,341.35,331.1,337.65,0,2013-09-23,3938571
107,337.1,342.25,334.15,334.5,0,2013-09-24,8854718
108,344.1,347.45,339.1,339.1,0,2013-09-25,9674826
109,343.55,347.3,341.0,342.3,0,2013-09-26,4832518
110,340.1,346.2,338.35,343.0,0,2013-09-27,3325470
111,332.5,339.5,330.0,338.1,0,2013-09-30,3492037
112,335.65,339.8,330.3,332.9,0,2013-10-01,5030614
113,345.95,348.35,334.1,335.7,0,2013-10-03,8229114
114,350.05,364.8,344.4,345.0,0,2013-10-04,12261119
115,347.9,352.8,343.5,350.0,0,2013-10-07,5520739
116,350.55,359.4,349.8,352.2,0,2013-10-08,7297904
117,354.2,356.35,350.0,350.8,0,2013-10-09,8808415
118,371.65,373.85,352.1,354.0,0,2013-10-10,12367384
119,385.3,389.6,368.55,375.0,0,2013-10-11,18024178
120,390.45,393.3,385.7,386.1,0,2013-10-14,7173403
121,388.85,393.0,382.3,390.85,0,2013-10-15,8293578
122,373.4,385.45,370.6,385.45,0,2013-10-17,9937912
123,379.65,381.8,374.5,376.55,0,2013-10-18,6931755
124,380.05,391.5,378.65,380.0,0,2013-10-21,6909188
125,380.0,385.1,376.1,380.4,0,2013-10-22,5165286
126,374.65,382.35,368.1,381.15,0,2013-10-23,6365332
127,379.3,384.7,374.4,377.1,0,2013-10-24,7336447
128,376.25,379.4,372.6,378.1,0,2013-10-25,2965203
129,377.6,381.8,374.1,377.15,0,2013-10-28,3421077
130,381.65,384.2,375.0,377.7,0,2013-10-29,5667639
131,379.6,384.15,377.2,383.0,0,2013-10-30,5324966
132,381.15,386.4,379.2,380.0,0,2013-10-31,9109644
133,384.6,389.0,383.2,384.0,0,2013-11-01,4489619
134,391.0,392.6,386.0,386.0,0,2013-11-03,1801390
135,395.3,400.95,387.0,387.0,0,2013-11-05,9064304
136,391.05,400.8,390.0,397.3,0,2013-11-06,6519204
137,380.15,394.9,377.35,390.9,0,2013-11-07,5685498
138,384.15,391.0,371.25,378.8,0,2013-11-08,12659764
139,377.1,386.0,374.5,380.0,0,2013-11-11,10752349
140,360.0,379.35,358.1,377.8,0,2013-11-12,8282471
141,366.2,369.45,362.0,362.0,0,2013-11-13,7488788
142,387.05,388.25,372.1,372.1,0,2013-11-14,12280945
143,392.25,394.0,382.05,388.0,0,2013-11-18,11542633
