,c,h,l,o,oi,time,v
0,30.65,30.8,30.1,30.2,0,2013-04-22,53099180
1,30.9,31.2,30.6,30.7,0,2013-04-23,50320800
2,31.25,31.45,31.0,31.0,0,2013-04-25,45481160
3,30.5,31.65,30.4,31.35,0,2013-04-26,35940910
4,30.25,30.65,30.1,30.55,0,2013-04-29,25264480
5,30.25,30.75,29.75,30.5,0,2013-04-30,41316030
6,30.45,30.65,30.2,30.4,0,2013-05-02,28317600
7,31.1,31.45,30.1,30.35,0,2013-05-03,53656590
8,32.25,32.35,31.3,31.35,0,2013-05-06,58912520
9,32.45,32.65,32.0,32.4,0,2013-05-07,50330090
10,31.85,32.7,31.65,32.65,0,2013-05-08,51718940
11,31.6,32.2,31.5,31.95,0,2013-05-09,31365950
12,31.85,32.05,31.5,31.7,0,2013-05-10,28294110
13,31.85,32.0,31.8,31.9,0,2013-05-11,1828700
14,30.55,32.15,30.5,31.9,0,2013-05-13,40561830
15,30.4,30.65,29.65,30.3,0,2013-05-14,62117530
16,30.85,31.0,30.5,30.5,0,2013-05-15,37764690
17,31.2,31.45,30.75,30.85,0,2013-05-16,44223820
18,31.2,31.35,30.85,31.25,0,2013-05-17,31705600
19,31.55,31.95,31.25,31.3,0,2013-05-20,40903020
20,30.85,31.65,30.65,31.5,0,2013-05-21,29728940
21,30.6,31.35,30.4,30.75,0,2013-05-22,33171930
22,29.95,31.05,29.55,30.5,0,2013-05-23,84926000
23,31.3,31.95,30.65,31.0,0,2013-05-24,115160720
24,31.7,31.85,31.1,31.3,0,2013-05-27,37040440
25,32.2,32.4,31.6,31.6,0,2013-05-28,52232980
26,31.45,32.3,31.25,32.15,0,2013-05-29,36065650
27,30.15,31.3,30.1,31.3,0,2013-05-30,64126330
28,29.2,30.35,29.0,30.35,0,2013-05-31,67699280
29,29.65,29.8,29.0,29.35,0,2013-06-03,43600200
30,29.85,30.25,29.7,29.7,0,2013-06-04,38371710
31,29.9,30.25,29.65,29.75,0,2013-06-05,33382230
32,29.55,29.7,29.35,29.7,0,2013-06-06,34362730
33,29.2,29.85,29.1,29.4,0,2013-06-07,27555030
