,c,h,l,o,oi,time,v
0,712.65,729.9,712.5,723.0,0,2013-04-22,2962484
1,715.28,724.0,712.0,712.22,0,2013-04-23,3384170
2,701.15,715.28,699.33,715.28,0,2013-04-25,7929194
3,684.67,696.72,682.55,696.5,0,2013-04-26,4754076
4,685.38,692.35,682.5,682.5,0,2013-04-29,3968916
5,689.2,691.0,682.5,684.0,0,2013-04-30,4020570
6,716.95,719.4,686.75,686.75,0,2013-05-02,5630326
7,709.25,723.63,703.95,713.0,0,2013-05-03,3641790
8,733.6,736.2,710.0,710.0,0,2013-05-06,3727118
9,735.8,739.42,728.7,733.55,0,2013-05-07,2260180
10,740.05,743.9,735.0,736.0,0,2013-05-08,1768130
11,749.22,751.72,741.5,741.6,0,2013-05-09,1949700
12,747.95,755.45,745.55,749.22,0,2013-05-10,1139714
13,744.83,747.5,743.05,747.5,0,2013-05-11,56034
14,725.8,740.5,722.85,740.0,0,2013-05-13,1862498
15,728.97,735.28,721.88,727.55,0,2013-05-14,2250100
16,735.78,738.6,725.0,729.05,0,2013-05-15,3565926
17,727.03,734.5,723.72,734.5,0,2013-05-16,2415652
18,736.9,739.25,727.05,727.5,0,2013-05-17,2900200
19,736.2,739.0,730.5,735.63,0,2013-05-20,1385504
20,746.42,751.0,732.5,732.5,0,2013-05-21,1898432
21,749.2,754.58,746.15,749.0,0,2013-05-22,1846944
22,746.35,763.38,739.17,747.5,0,2013-05-23,3063962
23,734.78,751.47,731.8,750.0,0,2013-05-24,1586612
24,749.0,750.0,730.0,734.75,0,2013-05-27,2023864
25,757.05,758.25,745.15,749.0,0,2013-05-28,1400254
26,748.67,763.75,742.55,758.0,0,2013-05-29,1452038
27,749.7,756.0,743.5,750.0,0,2013-05-30,2408346
28,749.22,754.63,738.38,745.5,0,2013-05-31,1929868
29,734.7,753.5,728.55,752.0,0,2013-06-03,3097612
30,732.67,736.95,725.08,730.0,0,2013-06-04,1305320
31,733.9,736.33,726.35,730.55,0,2013-06-05,1728676
32,735.38,739.25,726.03,726.85,0,2013-06-06,2540452
