,c,h,l,o,oi,time,v
0,232.73,240.75,231.32,235.0,0,2013-04-22,1118852
1,231.02,237.38,226.7,232.18,0,2013-04-23,1360908
2,231.88,233.48,228.87,231.25,0,2013-04-25,2447340
3,231.57,236.63,230.25,232.25,0,2013-04-26,1232772
4,236.45,238.5,231.01,232.68,0,2013-04-29,854772
5,238.32,240.94,232.05,236.25,0,2013-04-30,1217432
6,241.41,244.75,239.74,239.74,0,2013-05-02,1134208
7,246.66,248.45,239.52,241.63,0,2013-05-03,1447848
8,250.41,253.2,246.66,247.48,0,2013-05-06,2079144
9,251.38,254.5,249.84,251.71,0,2013-05-07,844288
10,245.95,253.69,244.5,252.0,0,2013-05-08,1211580
11,245.85,247.82,244.54,245.95,0,2013-05-09,758536
12,244.01,247.48,242.0,246.25,0,2013-05-10,566044
13,248.7,249.25,243.0,243.5,0,2013-05-11,209472
14,238.71,250.91,237.59,249.49,0,2013-05-13,989880
15,239.62,243.5,237.88,239.25,0,2013-05-14,1013372
16,238.5,241.99,235.38,240.57,0,2013-05-15,2196868
17,235.57,240.0,234.38,238.0,0,2013-05-16,1301320
18,231.96,238.75,230.29,237.5,0,2013-05-17,1635352
19,230.52,234.0,229.5,232.93,0,2013-05-20,1694632
20,227.46,233.73,223.76,231.27,0,2013-05-21,5450172
21,235.82,244.87,233.32,240.5,0,2013-05-22,10670120
22,238.13,240.2,234.43,236.74,0,2013-05-23,2547880
23,237.87,241.21,236.34,239.68,0,2013-05-24,893304
24,238.41,239.79,236.25,237.75,0,2013-05-27,872084
25,245.9,246.75,238.04,239.25,0,2013-05-28,2392500
26,245.84,249.38,243.07,246.75,0,2013-05-29,1390380
27,244.7,248.5,243.52,244.25,0,2013-05-30,1574152
28,241.88,246.75,240.27,244.75,0,2013-05-31,478088
29,235.07,243.75,231.32,240.63,0,2013-06-03,1137708
30,235.63,237.5,235.0,235.25,0,2013-06-04,2076636
31,229.4,237.38,228.02,234.63,0,2013-06-05,2322816
32,231.25,235.73,227.27,227.75,0,2013-06-06,2205108
33,234.24,237.87,232.25,232.63,0,2013-06-07,1684840
34,235.09,237.5,233.27,237.23,0,2013-06-10,1997832
35,242.0,244.43,230.88,234.75,0,2013-06-11,3673796
36,244.7,248.0,240.75,244.45,0,2013-06-12,3230292
37,242.91,244.25,237.82,242.74,0,2013-06-13,1603524
38,241.44,247.25,240.55,245.26,0,2013-06-14,1402700
39,242.85,243.66,237.75,241.38,0,2013-06-17,701076
40,244.46,246.18,241.75,241.75,0,2013-06-18,914452
41,253.07,255.43,243.99,244.5,0,2013-06-19,2670276
42,246.09,256.86,245.15,253.25,0,2013-06-20,3189196
43,248.88,252.48,245.27,246.02,0,2013-06-21,2749988
44,250.5,253.37,246.0,246.0,0,2013-06-24,3723316
45,252.46,256.1,250.82,253.49,0,2013-06-25,3499744
46,259.7,262.23,253.75,253.75,0,2013-06-26,4262064
47,270.2,274.5,260.07,262.98,0,2013-06-27,4884608
48,264.95,273.75,262.52,273.75,0,2013-06-28,2368636
49,258.61,267.35,256.38,264.0,0,2013-07-01,2511240
50,250.55,260.57,244.07,259.75,0,2013-07-02,6041132
51,249.77,256.75,241.25,252.13,0,2013-07-03,7461580
52,257.86,259.25,252.98,256.5,0,2013-07-04,4093568
53,259.67,264.38,257.95,264.38,0,2013-07-05,2688100
54,261.42,262.69,254.0,258.0,0,2013-07-08,1445516
55,260.67,264.5,258.92,262.0,0,2013-07-09,1433184
56,269.82,272.88,260.67,261.5,0,2013-07-10,3622536
57,266.61,272.07,263.79,271.5,0,2013-07-11,3318772
58,280.48,281.96,268.0,268.75,0,2013-07-12,13563240
59,277.98,283.07,275.48,280.52,0,2013-07-15,4288428
60,273.1,277.48,270.5,273.0,0,2013-07-16,2340128
61,273.6,282.48,270.58,272.5,0,2013-07-17,3903792
62,272.83,279.08,270.54,275.92,0,2013-07-18,3634500
63,283.08,285.36,275.7,278.38,0,2013-07-19,7496204
64,292.92,296.17,282.5,283.0,0,2013-07-22,6764312
65,294.79,298.5,290.13,295.0,0,2013-07-23,5640780
66,301.92,305.38,292.52,293.48,0,2013-07-24,6371408
67,294.92,304.75,292.33,300.79,0,2013-07-25,9851600
68,304.44,306.4,295.25,295.7,0,2013-07-26,4271748
69,312.15,312.75,302.07,302.07,0,2013-07-29,3542040
70,308.07,315.5,304.21,313.0,0,2013-07-30,4929400
71,311.58,313.67,306.0,308.75,0,2013-07-31,3372392
72,312.9,315.2,307.7,312.15,0,2013-08-01,2827760
73,308.3,318.75,300.13,314.13,0,2013-08-02,4426048
74,315.95,319.25,307.2,307.75,0,2013-08-05,3169924
75,308.35,316.3,307.52,316.0,0,2013-08-06,3710664
76,307.35,314.98,302.58,308.5,0,2013-08-07,4400120
