,c,h,l,o,oi,time,v
0,273.6,279.8,258.05,258.05,0,2013-04-22,5693986
1,267.35,274.6,264.6,273.0,0,2013-04-23,1972713
2,264.65,270.85,259.45,269.45,0,2013-04-25,3078084
3,264.0,269.15,260.0,266.4,0,2013-04-26,1261166
4,273.15,276.0,261.45,264.0,0,2013-04-29,2055992
5,270.7,276.1,266.1,274.7,0,2013-04-30,1850978
6,274.15,275.0,267.05,268.0,0,2013-05-02,1311270
7,270.5,278.7,268.3,275.0,0,2013-05-03,2424516
8,274.55,276.8,269.95,272.0,0,2013-05-06,1718680
9,278.35,281.1,272.2,273.1,0,2013-05-07,1523000
10,276.3,279.0,275.0,278.0,0,2013-05-08,1049742
11,276.25,279.8,275.25,277.7,0,2013-05-09,849268
12,287.4,289.0,276.25,277.0,0,2013-05-10,2846321
13,288.6,289.7,287.0,287.4,0,2013-05-11,164243
14,285.4,291.9,282.9,289.75,0,2013-05-13,2304011
15,282.3,284.95,279.55,283.0,0,2013-05-14,1282073
16,284.8,287.95,282.7,283.75,0,2013-05-15,959084
17,280.65,286.3,276.1,284.0,0,2013-05-16,1255654
18,275.3,280.0,273.05,278.7,0,2013-05-17,1571142
19,271.25,277.35,269.7,272.55,0,2013-05-20,1437646
20,275.5,276.9,270.0,270.0,0,2013-05-21,1566972
21,275.25,279.0,272.25,276.1,0,2013-05-22,831266
22,269.5,274.0,264.2,274.0,0,2013-05-23,762566
23,276.5,279.65,265.6,269.25,0,2013-05-24,1057377
24,289.0,290.8,277.0,277.9,0,2013-05-27,2163083
25,296.7,297.7,286.4,288.0,0,2013-05-28,1844190
26,299.4,301.7,294.0,296.7,0,2013-05-29,1762975
27,301.0,302.0,292.15,299.75,0,2013-05-30,1729005
28,293.55,301.9,292.1,298.55,0,2013-05-31,1240732
29,289.8,295.7,285.0,293.0,0,2013-06-03,1173694
30,281.55,292.0,278.5,288.5,0,2013-06-04,2085444
31,279.1,283.25,275.2,280.0,0,2013-06-05,2348999
32,277.2,280.75,273.0,275.0,0,2013-06-06,2438952
33,272.5,280.55,271.0,276.5,0,2013-06-07,1890140
34,264.7,274.8,262.75,273.55,0,2013-06-10,1849186
35,237.2,263.1,227.7,262.75,0,2013-06-11,6726646
36,204.55,223.9,201.0,223.9,0,2013-06-12,33276611
37,213.75,218.5,201.0,201.0,0,2013-06-13,12014762
38,225.2,228.3,217.85,218.3,0,2013-06-14,7981556
39,229.75,232.45,220.05,225.9,0,2013-06-17,5687245
40,224.25,231.8,222.5,230.45,0,2013-06-18,6227806
41,231.65,233.55,220.65,221.65,0,2013-06-19,5311232
42,225.05,228.5,223.4,228.0,0,2013-06-20,2656131
43,223.05,228.85,218.6,224.95,0,2013-06-21,2589148
44,222.5,228.7,213.4,223.25,0,2013-06-24,4896292
45,228.65,231.85,219.25,225.0,0,2013-06-25,3322441
46,225.6,231.2,223.0,230.05,0,2013-06-26,3094128
47,222.8,230.0,216.75,225.3,0,2013-06-27,5701743
48,223.5,229.4,218.2,229.4,0,2013-06-28,6211503
49,226.95,229.5,218.6,225.0,0,2013-07-01,3319630
50,232.05,238.85,226.75,228.1,0,2013-07-02,6587501
51,225.6,236.45,221.6,231.95,0,2013-07-03,4495489
52,229.95,232.5,226.6,228.0,0,2013-07-04,2435692
53,232.05,233.8,227.3,231.0,0,2013-07-05,2310155
54,233.35,234.95,225.9,230.8,0,2013-07-08,1298841
55,239.15,241.7,234.35,235.0,0,2013-07-09,3119633
56,250.15,252.05,240.25,241.0,0,2013-07-10,4408331
57,250.05,254.95,245.4,252.2,0,2013-07-11,2472101
58,249.5,251.5,245.25,251.5,0,2013-07-12,1987701
59,252.5,254.5,246.4,246.65,0,2013-07-15,1517599
60,250.15,252.0,246.15,247.5,0,2013-07-16,2421264
61,258.85,259.85,250.1,250.15,0,2013-07-17,3397005
62,264.4,266.0,259.2,260.0,0,2013-07-18,1616250
63,261.45,264.4,258.65,264.4,0,2013-07-19,1337658
64,259.8,263.1,256.15,260.8,0,2013-07-22,1907826
65,275.0,276.65,242.65,244.9,0,2013-07-23,8761771
66,261.4,276.4,258.55,274.8,0,2013-07-24,6119862
67,260.2,264.75,255.8,258.8,0,2013-07-25,2421560
68,261.25,265.4,257.4,260.7,0,2013-07-26,1744776
69,260.05,266.0,257.55,260.0,0,2013-07-29,1798671
70,259.05,263.0,254.5,260.2,0,2013-07-30,1566563
71,263.4,265.0,255.0,259.0,0,2013-07-31,2105464
72,259.4,267.5,255.35,266.0,0,2013-08-01,5597586
73,282.5,284.4,263.4,263.7,0,2013-08-02,5689114
74,280.35,288.9,276.55,284.0,0,2013-08-05,1847920
75,259.75,278.0,257.5,277.15,0,2013-08-06,3459362
76,262.75,267.0,255.4,261.0,0,2013-08-07,2233107
77,264.15,269.9,261.1,264.2,0,2013-08-08,1142928
78,265.75,269.95,263.15,265.1,0,2013-08-12,1238291
79,262.8,269.8,258.1,264.1,0,2013-08-13,2751982
80,273.35,277.25,260.0,260.0,0,2013-08-14,2936656
81,240.25,250.0,235.3,250.0,0,2013-08-16,9284021
82,234.5,247.0,230.4,236.5,0,2013-08-19,4081188
83,220.3,230.95,217.1,230.95,0,2013-08-20,3755960
84,223.15,228.5,218.85,225.0,0,2013-08-21,3041447
85,225.75,228.7,218.55,222.0,0,2013-08-22,1757405
86,228.4,237.0,226.0,226.0,0,2013-08-23,2064686
87,228.0,232.7,223.95,229.1,0,2013-08-26,1114779
88,221.7,231.85,215.2,228.0,0,2013-08-27,3482384
89,212.35,224.7,205.4,219.0,0,2013-08-28,4814864
90,216.9,220.95,210.0,217.05,0,2013-08-29,2763115
91,224.65,227.25,215.1,219.0,0,2013-08-30,2080317
92,230.6,232.0,226.0,228.15,0,2013-09-02,1280895
93,213.75,233.9,212.2,232.05,0,2013-09-03,1698291
94,215.9,221.6,211.0,213.8,0,2013-09-04,2048651
95,231.95,233.85,218.2,218.2,0,2013-09-05,2535345
96,227.65,235.0,226.3,234.75,0,2013-09-06,2067197
97,242.45,244.8,228.6,233.0,0,2013-09-10,2645361
98,237.95,247.4,234.0,244.9,0,2013-09-11,2090196
99,231.5,242.0,229.0,237.95,0,2013-09-12,1454897
100,226.1,234.7,224.8,231.5,0,2013-09-13,1690271
101,223.95,231.8,219.1,231.5,0,2013-09-16,2026618
102,221.8,227.0,219.1,224.5,0,2013-09-17,1921902
103,222.75,227.0,220.2,227.0,0,2013-09-18,1787711
104,228.7,233.45,224.2,227.0,0,2013-09-19,3448687
105,232.7,235.3,223.0,227.0,0,2013-09-20,2489867
106,241.85,246.25,229.05,229.8,0,2013-09-23,3876284
107,244.35,249.0,242.0,243.0,0,2013-09-24,4774809
108,244.4,246.9,239.6,241.95,0,2013-09-25,2575959
109,241.25,245.1,239.4,242.1,0,2013-09-26,1139947
110,235.0,244.15,234.4,243.3,0,2013-09-27,944757
111,232.1,237.25,231.0,233.55,0,2013-09-30,1087077
112,234.95,236.6,230.15,235.0,0,2013-10-01,889328
113,239.5,241.0,235.0,235.0,0,2013-10-03,2632971
114,240.5,245.0,237.0,237.0,0,2013-10-04,1796057
115,239.0,242.0,235.6,239.0,0,2013-10-07,779213
116,241.0,243.7,239.75,241.0,0,2013-10-08,1336698
117,239.95,241.6,235.6,238.0,0,2013-10-09,1586575
118,238.9,242.0,238.0,238.0,0,2013-10-10,1232047
119,237.8,241.25,235.0,240.0,0,2013-10-11,1365826
120,237.0,241.55,234.4,238.65,0,2013-10-14,736661
121,234.05,239.15,232.0,237.0,0,2013-10-15,938053
122,241.5,243.8,232.05,232.05,0,2013-10-17,1344204
123,242.4,245.75,240.55,244.6,0,2013-10-18,1498692
124,241.05,243.75,235.7,242.4,0,2013-10-21,3129351
125,238.8,244.3,237.55,241.0,0,2013-10-22,1441418
126,239.8,242.55,237.05,239.0,0,2013-10-23,1355688
127,241.85,247.5,240.0,240.0,0,2013-10-24,2466130
128,244.15,245.4,238.7,241.0,0,2013-10-25,2163383
129,250.8,253.6,244.8,245.0,0,2013-10-28,2748272
130,255.15,257.35,251.1,251.55,0,2013-10-29,2516997
131,256.2,257.4,253.0,256.0,0,2013-10-30,978936
132,267.2,272.0,251.3,256.0,0,2013-10-31,4134730
133,261.65,265.0,254.25,258.5,0,2013-11-01,4424540
134,262.35,264.25,260.65,261.3,0,2013-11-03,272721
135,258.65,261.05,254.6,257.55,0,2013-11-05,1232084
136,248.65,262.9,248.0,257.1,0,2013-11-06,2276932
137,242.05,248.0,240.05,246.45,0,2013-11-07,1387970
138,234.4,240.0,232.8,240.0,0,2013-11-08,1347453
139,231.8,236.85,230.3,234.5,0,2013-11-11,1124814
140,231.8,234.7,230.0,230.0,0,2013-11-12,815462
141,232.85,237.35,230.0,230.0,0,2013-11-13,792038
142,233.65,238.9,233.0,234.1,0,2013-11-14,755388
143,236.25,238.35,234.2,236.1,0,2013-11-18,622302
144,234.1,237.85,232.25,235.2,0,2013-11-19,829913
145,227.8,234.5,227.0,233.0,0,2013-11-20,1325471
146,223.8,227.5,221.3,227.0,0,2013-11-21,1872443
147,227.55,230.85,224.9,224.95,0,2013-11-22,1863241
148,228.3,232.0,225.75,228.2,0,2013-11-25,1293958
149,224.5,232.55,221.4,228.0,0,2013-11-26,9704702
150,227.8,229.6,223.75,228.05,0,2013-11-27,1384129
151,227.25,230.55,225.3,227.25,0,2013-11-28,2026047
152,229.05,231.0,227.35,227.4,0,2013-11-29,708693
153,228.45,231.35,226.45,229.4,0,2013-12-02,819519
154,225.4,229.0,225.0,227.9,0,2013-12-03,836450
155,225.05,226.95,223.75,224.05,0,2013-12-04,892761
156,226.7,228.4,225.2,228.4,0,2013-12-05,1169289
157,231.05,234.15,225.95,227.0,0,2013-12-06,1958279
158,229.75,236.0,226.6,236.0,0,2013-12-09,943496
159,226.75,232.5,226.2,227.05,0,2013-12-10,842968
160,225.0,228.35,224.05,226.5,0,2013-12-11,1081603
161,222.4,225.8,222.0,225.5,0,2013-12-12,968008
162,219.85,222.15,218.2,221.9,0,2013-12-13,1177049
163,225.05,226.95,220.6,220.6,0,2013-12-16,1445430
164,229.7,233.5,224.05,226.1,0,2013-12-17,1495689
165,235.5,237.5,230.1,230.1,0,2013-12-18,2505774
166,232.8,237.0,229.55,236.75,0,2013-12-19,913780
167,228.65,235.55,227.8,230.4,0,2013-12-20,1107056
168,229.1,233.35,228.6,229.05,0,2013-12-23,918680
169,228.2,231.05,227.0,230.0,0,2013-12-24,988244
170,229.95,232.0,228.2,228.2,0,2013-12-26,2084229
171,229.45,232.5,226.65,231.3,0,2013-12-27,1050933
172,228.95,231.9,228.1,231.8,0,2013-12-30,845697
173,229.5,230.3,228.2,230.05,0,2013-12-31,486572
174,230.8,232.5,229.35,230.0,0,2014-01-01,538938
175,226.35,235.95,225.1,229.5,0,2014-01-02,1570396
176,227.4,228.75,224.0,226.0,0,2014-01-03,818984
177,227.8,230.3,225.55,228.0,0,2014-01-06,497192
178,226.05,230.9,224.8,230.0,0,2014-01-07,713955
179,222.75,226.95,222.1,226.9,0,2014-01-08,878308
180,223.85,227.45,221.4,225.15,0,2014-01-09,1126716
181,220.25,227.25,219.0,224.0,0,2014-01-10,983757
182,221.1,223.4,214.1,221.0,0,2014-01-13,1253786
183,221.0,222.4,220.0,221.25,0,2014-01-14,364394
184,218.05,222.25,216.15,221.15,0,2014-01-15,1060362
185,218.2,219.7,216.65,218.05,0,2014-01-16,809129
186,217.05,220.75,216.55,216.7,0,2014-01-17,645915
187,216.5,217.95,215.0,216.1,0,2014-01-20,392820
188,217.8,220.3,216.1,217.0,0,2014-01-21,875408
189,217.35,219.25,216.25,217.2,0,2014-01-22,656092
190,225.35,227.4,216.2,216.75,0,2014-01-23,2570554
191,218.7,227.9,218.0,226.4,0,2014-01-24,2042034
192,215.85,218.0,212.35,217.0,0,2014-01-27,830741
193,217.0,218.6,214.95,216.5,0,2014-01-28,440878
194,214.65,219.0,212.0,218.4,0,2014-01-29,1075952
195,222.8,224.4,202.45,210.0,0,2014-01-30,5930481
196,221.55,223.5,216.65,222.8,0,2014-01-31,1223691
197,219.95,227.5,218.65,220.15,0,2014-02-03,1428280
198,221.75,225.9,217.1,218.7,0,2014-02-04,1093372
199,220.9,224.0,219.0,221.2,0,2014-02-05,545189
200,225.55,226.2,219.35,221.9,0,2014-02-06,977396
201,225.7,228.6,223.15,226.05,0,2014-02-07,1025574
202,230.95,233.75,223.6,225.0,0,2014-02-10,1757160
203,232.3,235.65,230.1,231.25,0,2014-02-11,1510573
204,230.3,233.8,228.6,233.0,0,2014-02-12,714283
205,229.35,232.0,226.6,230.0,0,2014-02-13,755689
206,231.55,232.6,226.65,230.0,0,2014-02-14,723069
207,228.95,236.3,225.15,233.65,0,2014-02-17,2328888
208,228.65,231.0,225.95,231.0,0,2014-02-18,609396
209,232.6,233.9,228.2,228.9,0,2014-02-19,1306199
210,234.15,237.8,231.1,233.0,0,2014-02-20,1303544
211,234.05,236.8,232.8,235.2,0,2014-02-21,691017
212,235.7,237.5,231.5,234.7,0,2014-02-24,729670
213,243.2,244.3,236.5,237.35,0,2014-02-25,2388002
214,245.6,247.3,242.5,244.5,0,2014-02-26,1495138
215,242.5,246.9,240.05,246.1,0,2014-02-28,716553
216,249.25,251.5,239.5,242.5,0,2014-03-03,2029854
217,254.8,258.4,250.3,250.5,0,2014-03-04,2544333
218,245.65,252.85,244.0,252.55,0,2014-03-05,1424629
219,246.8,250.6,243.15,245.6,0,2014-03-06,1075669
220,255.0,256.4,246.0,249.6,0,2014-03-07,1893634
221,250.55,258.5,249.3,254.0,0,2014-03-10,1527237
222,248.75,254.5,247.0,252.25,0,2014-03-11,1189688
223,252.25,257.0,248.4,248.5,0,2014-03-12,1350784
224,251.65,258.5,248.4,254.0,0,2014-03-13,1672077
225,253.15,254.35,248.5,251.75,0,2014-03-14,653400
226,255.35,257.0,253.15,254.95,0,2014-03-18,1294867
227,254.85,257.25,251.55,256.0,0,2014-03-19,829853
228,253.4,262.45,252.0,257.0,0,2014-03-20,2161044
229,255.0,257.4,253.4,256.4,0,2014-03-21,948531
230,254.95,256.5,254.05,255.0,0,2014-03-22,52070
231,252.9,258.5,251.15,254.3,0,2014-03-24,637996
232,255.4,257.3,253.05,253.05,0,2014-03-25,654922
233,248.75,256.9,248.2,256.0,0,2014-03-26,658823
234,253.8,254.65,246.1,249.2,0,2014-03-27,1316243
235,253.15,256.1,250.4,254.8,0,2014-03-28,674424
236,262.7,268.35,254.1,255.0,0,2014-03-31,2092440
237,265.15,268.0,260.6,266.45,0,2014-04-01,986673
238,265.35,267.0,263.0,266.45,0,2014-04-02,357890
239,268.0,270.85,263.0,266.0,0,2014-04-03,1540496
240,269.8,274.3,266.0,270.1,0,2014-04-04,961371
241,262.75,269.0,260.1,269.0,0,2014-04-07,856375
242,264.25,265.9,261.85,263.1,0,2014-04-09,832258
243,262.95,267.9,262.2,263.2,0,2014-04-10,638846
244,262.75,266.4,261.5,262.0,0,2014-04-11,470768
