,c,h,l,o,oi,time,v
0,1871.6,1931.8,1858.0,1931.8,0,2013-04-22,289632
1,1865.6,1880.0,1855.05,1880.0,0,2013-04-23,222160
2,1929.95,1940.0,1869.0,1869.0,0,2013-04-25,437288
3,1908.4,1934.65,1881.1,1929.45,0,2013-04-26,115233
4,1918.25,1930.0,1885.2,1915.25,0,2013-04-29,80984
5,1900.85,1920.0,1875.3,1913.1,0,2013-04-30,225526
6,1882.65,1929.15,1866.75,1900.0,0,2013-05-02,279898
7,1886.3,1903.5,1865.0,1883.0,0,2013-05-03,187931
8,1911.5,1920.0,1881.25,1890.35,0,2013-05-06,374197
9,1928.55,1937.0,1905.6,1911.5,0,2013-05-07,410178
10,1978.2,1996.9,1925.0,1932.0,0,2013-05-08,972546
11,2002.0,2009.0,1980.0,1980.0,0,2013-05-09,242692
12,1977.65,2023.15,1970.25,1997.5,0,2013-05-10,174154
13,1980.3,1995.75,1967.0,1979.95,0,2013-05-11,5673
14,1955.8,1989.0,1943.1,1980.3,0,2013-05-13,84152
15,1973.75,1979.9,1958.05,1964.9,0,2013-05-14,152281
16,1973.55,1988.0,1957.95,1980.0,0,2013-05-15,241041
17,2002.8,2007.65,1967.1,1973.55,0,2013-05-16,171224
18,2016.75,2035.0,2009.35,2009.9,0,2013-05-17,149468
19,2020.05,2069.05,2010.05,2017.0,0,2013-05-20,192118
20,1929.15,2024.9,1913.65,2022.0,0,2013-05-21,236742
21,1950.3,1969.0,1927.75,1938.65,0,2013-05-22,122934
22,1954.15,1973.9,1925.85,1935.0,0,2013-05-23,157237
23,1944.2,1968.0,1925.75,1955.25,0,2013-05-24,113566
24,2013.65,2025.0,1941.1,1941.1,0,2013-05-27,123617
25,1980.25,2015.0,1965.05,2015.0,0,2013-05-28,87550
26,1978.35,1988.35,1945.1,1975.0,0,2013-05-29,66529
27,1988.05,2000.0,1957.8,1962.25,0,2013-05-30,140533
28,1878.3,1994.35,1855.15,1985.0,0,2013-05-31,147689
29,1858.55,1893.75,1840.5,1887.0,0,2013-06-03,190310
30,1868.5,1890.0,1830.6,1869.9,0,2013-06-04,223198
31,1853.9,1865.0,1830.55,1860.1,0,2013-06-05,100082
32,1894.6,1905.0,1827.0,1847.5,0,2013-06-06,127647
33,1860.2,1902.35,1853.95,1899.0,0,2013-06-07,127357
34,1893.45,1905.4,1865.1,1865.1,0,2013-06-10,86536
35,1857.7,1885.0,1830.0,1885.0,0,2013-06-11,102398
36,1841.1,1860.05,1829.7,1850.3,0,2013-06-12,100511
37,1822.25,1835.7,1805.15,1815.0,0,2013-06-13,117814
38,1874.0,1884.7,1820.0,1846.0,0,2013-06-14,137306
39,1911.25,1917.6,1846.5,1875.25,0,2013-06-17,38646
40,1865.9,1907.75,1863.0,1892.0,0,2013-06-18,126631
41,1837.9,1878.7,1820.35,1878.7,0,2013-06-19,306135
42,1817.0,1824.0,1775.3,1821.0,0,2013-06-20,387248
43,1813.15,1828.9,1776.0,1806.0,0,2013-06-21,117462
