,c,h,l,o,oi,time,v
0,86.5,87.33,83.0,83.0,0,2013-04-22,1162339
1,86.0,87.6,84.23,87.6,0,2013-04-23,2735261
2,88.17,90.97,85.7,85.7,0,2013-04-25,7514783
3,92.5,94.87,88.93,89.17,0,2013-04-26,7709471
4,92.27,93.67,91.7,93.33,0,2013-04-29,2508485
5,94.1,95.33,90.53,92.07,0,2013-04-30,3090530
6,96.77,97.2,93.67,94.0,0,2013-05-02,5816443
7,96.0,98.5,95.33,96.8,0,2013-05-03,5047468
8,98.2,98.73,96.0,96.0,0,2013-05-06,2885411
9,98.43,98.93,97.6,98.63,0,2013-05-07,3495563
10,99.97,100.8,98.43,98.67,0,2013-05-08,4206392
11,100.13,101.27,98.73,100.0,0,2013-05-09,3626189
12,102.67,103.3,99.63,100.37,0,2013-05-10,2881633
13,102.53,103.2,102.13,102.67,0,2013-05-11,94364
14,96.93,103.2,95.87,103.2,0,2013-05-13,2226854
15,100.77,101.57,97.33,97.33,0,2013-05-14,4207226
16,101.37,103.0,100.9,101.33,0,2013-05-15,3850934
17,102.77,104.6,99.07,99.07,0,2013-05-16,4141499
18,103.27,103.6,102.1,102.57,0,2013-05-17,1658906
19,102.87,104.6,102.37,104.33,0,2013-05-20,1512011
20,103.17,105.93,102.4,102.83,0,2013-05-21,3693263
21,103.7,105.3,103.13,103.33,0,2013-05-22,3994267
22,104.83,106.57,103.3,103.37,0,2013-05-23,5361070
23,105.03,107.3,103.67,105.0,0,2013-05-24,2580776
24,103.97,105.7,103.33,104.77,0,2013-05-27,2791628
25,103.3,105.77,102.43,103.8,0,2013-05-28,1765745
26,101.6,104.23,100.77,104.23,0,2013-05-29,1207556
27,103.47,104.43,100.83,100.93,0,2013-05-30,2474968
28,103.33,105.0,102.27,103.03,0,2013-05-31,3069280
29,108.33,109.33,102.47,102.83,0,2013-06-03,3281627
30,108.9,110.17,107.17,108.93,0,2013-06-04,3249289
31,110.33,111.67,108.07,109.1,0,2013-06-05,3602060
32,108.43,111.3,108.07,109.97,0,2013-06-06,2317427
33,103.93,108.3,103.6,107.2,0,2013-06-07,3251656
34,102.23,104.6,100.33,103.97,0,2013-06-10,2429131
35,99.27,103.0,98.6,101.03,0,2013-06-11,1999306
36,98.57,100.93,96.87,99.27,0,2013-06-12,1845152
37,93.27,98.6,92.5,97.03,0,2013-06-13,4758221
38,92.33,97.63,90.8,93.4,0,2013-06-14,3809558
39,97.5,98.6,92.73,92.73,0,2013-06-17,2645861
40,96.93,98.33,95.83,97.7,0,2013-06-18,3161198
41,97.57,98.63,95.73,96.67,0,2013-06-19,2784604
42,95.13,96.83,94.33,96.0,0,2013-06-20,2576498
43,90.87,95.4,89.0,93.5,0,2013-06-21,2545102
44,85.97,90.5,84.27,90.03,0,2013-06-24,3457112
45,88.5,90.97,86.07,86.07,0,2013-06-25,3436267
46,89.77,91.6,88.67,89.73,0,2013-06-26,3772777
47,90.07,91.6,89.33,90.5,0,2013-06-27,1199579
48,90.5,91.97,87.47,90.83,0,2013-06-28,3212069
49,92.83,93.67,90.33,90.5,0,2013-07-01,2413708
50,91.6,93.5,90.77,91.73,0,2013-07-02,1870252
51,88.8,91.33,88.13,90.67,0,2013-07-03,1838873
52,89.8,90.23,87.4,88.63,0,2013-07-04,1204619
53,88.33,91.5,88.07,90.53,0,2013-07-05,1786421
54,90.57,91.77,87.03,87.73,0,2013-07-08,3482771
55,92.07,92.47,91.07,91.33,0,2013-07-09,2107169
56,92.43,94.27,91.53,93.2,0,2013-07-10,2761367
57,95.6,96.37,93.0,93.33,0,2013-07-11,3016423
58,95.57,98.0,94.5,96.13,0,2013-07-12,2663701
59,92.87,95.5,92.2,95.13,0,2013-07-15,2520349
60,91.73,93.47,90.57,91.33,0,2013-07-16,2650886
61,92.17,93.27,89.83,91.9,0,2013-07-17,3815777
62,95.97,96.17,93.23,94.37,0,2013-07-18,3979646
63,98.13,98.67,96.4,96.67,0,2013-07-19,3269747
64,98.97,100.33,98.13,98.3,0,2013-07-22,2186725
65,96.0,100.0,95.4,98.67,0,2013-07-23,1991719
66,94.93,97.33,91.47,95.83,0,2013-07-24,5375453
67,95.9,97.33,93.47,94.0,0,2013-07-25,3293347
68,94.27,97.17,93.6,96.0,0,2013-07-26,2569454
69,91.33,94.63,90.17,94.63,0,2013-07-29,1937311
70,91.6,93.3,89.7,91.33,0,2013-07-30,1368925
71,84.9,90.57,84.0,90.0,0,2013-07-31,5061697
72,83.1,87.0,80.7,84.07,0,2013-08-01,4461443
73,83.23,84.67,80.6,83.7,0,2013-08-02,4032308
74,85.0,87.13,81.47,84.0,0,2013-08-05,3393437
75,86.13,87.9,85.33,85.43,0,2013-08-06,6403663
76,84.43,87.67,82.0,86.6,0,2013-08-07,4969781
77,91.33,92.6,85.7,85.83,0,2013-08-08,6837232
78,96.0,96.8,92.23,93.33,0,2013-08-12,7206526
79,98.67,99.1,93.33,96.0,0,2013-08-13,5660095
80,101.03,102.0,96.3,98.67,0,2013-08-14,3870619
81,95.63,101.57,94.7,100.67,0,2013-08-16,8360708
82,98.3,100.67,92.87,97.3,0,2013-08-19,9947371
83,96.13,99.6,94.4,98.83,0,2013-08-20,4156214
84,92.57,98.2,91.13,97.07,0,2013-08-21,1803238
85,97.2,98.2,91.33,91.33,0,2013-08-22,3913846
86,96.13,98.93,94.23,98.53,0,2013-08-23,5323594
87,96.33,97.07,93.57,96.97,0,2013-08-26,6267136
88,94.93,96.63,91.27,95.63,0,2013-08-27,8144225
89,94.9,97.67,90.7,94.0,0,2013-08-28,5383153
90,90.93,98.6,87.5,97.33,0,2013-08-29,15560992
91,88.93,92.13,87.8,90.63,0,2013-08-30,4238267
92,90.7,91.9,88.93,88.93,0,2013-09-02,1269029
93,88.1,91.8,86.7,91.6,0,2013-09-03,2240222
94,89.57,90.53,88.1,88.57,0,2013-09-04,1815664
95,90.13,91.6,88.93,91.33,0,2013-09-05,1697578
96,92.17,92.93,89.33,90.97,0,2013-09-06,2194067
97,90.67,93.8,89.77,92.37,0,2013-09-10,2905859
98,89.7,92.5,89.03,91.6,0,2013-09-11,2922247
99,89.13,91.17,88.0,90.27,0,2013-09-12,3663556
100,90.1,91.07,88.7,88.7,0,2013-09-13,3201272
101,89.37,92.47,88.77,92.47,0,2013-09-16,1518235
102,89.0,89.97,87.63,89.33,0,2013-09-17,1063328
103,90.8,91.83,87.87,89.0,0,2013-09-18,3415109
104,95.43,96.6,91.27,92.47,0,2013-09-19,5914310
105,96.43,97.1,93.17,97.07,0,2013-09-20,2134328
106,92.37,95.33,91.83,95.33,0,2013-09-23,7185301
107,94.7,95.3,92.17,93.23,0,2013-09-24,2105243
108,94.07,95.2,91.8,95.2,0,2013-09-25,2072198
109,96.2,97.4,92.77,94.47,0,2013-09-26,3169429
110,95.2,97.8,94.47,97.8,0,2013-09-27,1482380
111,96.57,96.9,93.13,94.0,0,2013-09-30,3858166
112,95.53,97.33,94.5,96.33,0,2013-10-01,2974234
113,98.7,100.0,95.23,96.53,0,2013-10-03,3172615
114,102.43,103.47,99.03,99.03,0,2013-10-04,5924653
115,103.23,104.3,102.33,103.33,0,2013-10-07,2293093
116,99.9,103.4,99.33,103.07,0,2013-10-08,2237680
117,101.2,102.53,99.87,99.97,0,2013-10-09,3244762
118,101.1,101.93,100.27,101.33,0,2013-10-10,1428073
119,99.57,102.0,99.33,102.0,0,2013-10-11,1165610
120,100.93,101.87,99.7,99.7,0,2013-10-14,1726750
121,99.5,102.13,98.07,102.0,0,2013-10-15,2772929
122,103.8,105.57,99.03,100.47,0,2013-10-17,5276111
123,103.57,105.67,102.83,103.67,0,2013-10-18,3824627
124,104.97,105.6,103.67,104.3,0,2013-10-21,1668892
125,105.2,106.6,103.83,104.33,0,2013-10-22,3413485
126,104.37,104.8,100.37,102.6,0,2013-10-23,1240271
127,103.03,104.67,101.67,104.67,0,2013-10-24,1173865
128,104.87,105.5,100.73,103.27,0,2013-10-25,1346192
129,106.6,107.93,104.03,104.83,0,2013-10-28,2220281
130,109.67,110.0,106.2,107.47,0,2013-10-29,2401675
131,109.9,111.73,108.07,109.33,0,2013-10-30,2255506
132,111.4,112.0,110.4,110.4,0,2013-10-31,360791
133,111.3,113.53,109.4,109.4,0,2013-11-01,2551930
134,114.63,115.07,110.13,110.67,0,2013-11-03,2743262
135,111.83,117.0,111.17,114.67,0,2013-11-05,3023353
136,111.93,114.47,110.5,111.63,0,2013-11-06,1613233
137,110.37,112.97,110.0,112.63,0,2013-11-07,787504
138,111.77,113.8,109.73,110.0,0,2013-11-08,2769187
