,c,h,l,o,oi,time,v
0,127.27,130.5,122.81,129.86,0,2013-04-22,23865554
1,128.54,130.46,127.54,128.35,0,2013-04-23,4627488
2,125.81,129.36,124.76,128.63,0,2013-04-25,6464674
3,123.83,127.13,122.91,126.08,0,2013-04-26,3946546
4,128.25,128.59,122.7,124.13,0,2013-04-29,4611693
5,130.63,131.25,127.22,129.05,0,2013-04-30,4092504
6,132.1,133.31,128.8,130.5,0,2013-05-02,4127496
7,133.22,134.2,130.95,131.49,0,2013-05-03,3392333
8,134.01,135.55,132.64,133.84,0,2013-05-06,3061856
9,131.55,135.0,130.89,134.25,0,2013-05-07,6239477
10,131.64,132.9,130.22,132.0,0,2013-05-08,2802384
11,133.05,133.88,132.0,132.15,0,2013-05-09,3364749
12,133.13,133.93,132.23,133.7,0,2013-05-10,4018456
13,133.13,133.65,132.24,132.86,0,2013-05-11,139026
14,130.49,133.35,129.83,133.13,0,2013-05-13,3573565
15,130.37,131.44,129.23,130.5,0,2013-05-14,1393048
16,129.8,131.81,128.06,130.22,0,2013-05-15,4101586
17,129.92,130.26,128.45,129.94,0,2013-05-16,5125373
18,129.0,131.02,126.98,129.75,0,2013-05-17,2927392
19,126.74,128.2,125.3,127.97,0,2013-05-20,12247648
20,127.09,128.91,126.01,126.76,0,2013-05-21,4046178
21,128.26,128.85,127.16,127.27,0,2013-05-22,3844421
22,126.41,128.45,124.42,127.89,0,2013-05-23,5748941
23,126.08,128.4,124.8,126.95,0,2013-05-24,1786266
24,127.6,128.25,124.88,126.38,0,2013-05-27,3287562
25,127.54,128.8,126.0,127.01,0,2013-05-28,3536357
26,127.26,129.11,126.01,127.13,0,2013-05-29,4566421
27,126.04,128.36,125.44,126.58,0,2013-05-30,3120568
28,122.87,127.45,118.07,126.66,0,2013-05-31,7264509
29,121.86,125.25,121.16,123.79,0,2013-06-03,3930482
30,124.09,125.2,122.38,122.38,0,2013-06-04,2558976
31,121.88,124.76,121.51,124.5,0,2013-06-05,2684453
32,123.75,124.22,121.16,121.5,0,2013-06-06,3626096
33,125.59,127.13,123.0,123.0,0,2013-06-07,2179090
34,128.72,129.34,126.3,126.38,0,2013-06-10,2785050
35,129.39,130.13,119.96,129.04,0,2013-06-11,6214922
36,129.13,129.75,127.88,129.66,0,2013-06-12,2968090
37,127.5,127.88,124.5,127.5,0,2013-06-13,1810885
38,126.58,128.55,123.85,123.85,0,2013-06-14,3225901
39,126.76,127.5,124.5,126.6,0,2013-06-17,1437042
